cai_personality_deal_evaluation_components_tables	8
id	max_payment_value	payment_treachery_value	payment_offered_multiplier_under	payment_requested_multiplier	payment_offered_multiplier_over	peace_penalty	peace_penalty_turns	war_penalty	war_penalty_turns	trespassing_peace_effect_multiplier	trespassing_peace_effect_cap	trespassing_war_effect_multiplier	trespassing_war_effect_cap	confederation_bonus	short_description	long_description	war_break_treaty_bonus_towards_victory_region_owners	peace_sign_treaty_penalty_towards_victory_region_owners
dlc03_beastman_hostile	15	0	6	10000	10000	50	15	40	10	0.1	15	-0.1	15	15			10	10
dlc03_beastman_mission_sucess	15	0	6	10000	10000	50	15	40	10	0.1	15	-0.1	15	15			10	10
dlc03_beastmen_chapter_impressed	15	0	10	10000	10000	50	15	40	10	0.1	15	-0.1	15	15			10	10
dlc03_beastmen_chapter_unimpressed	15	0	10	10000	10000	50	15	40	10	0.1	15	-0.1	15	15			10	10
dlc05_wood_elves_default	50	0	10	2	50	50	10	40	10	0.1	15	-0.1	15	15			10	10
dlc05_wood_elves_default_durthu	50	0	10	2	50	50	10	40	10	0.1	15	-0.1	15	15			10	10
dlc05_wood_elves_default_durthu_mini	50	0	10	2	50	50	10	40	10	0.1	15	-0.1	15	15			10	10
dlc05_wood_elves_default_mini	50	0	10	2	50	50	10	40	10	0.1	15	-0.1	15	15			10	10
dlc05_wood_elves_default_orion	50	0	10	2	50	50	10	40	10	0.1	15	-0.1	15	15			10	10
dlc05_wood_elves_default_orion_mini	50	0	10	2	50	50	10	40	10	0.1	15	-0.1	15	15			10	10
dlc05_wood_elves_default_rest	50	0	10	2	50	50	10	40	10	0.1	15	-0.1	15	15			10	10
dlc05_wood_elves_default_rest_mini	50	0	10	2	50	50	10	40	10	0.1	15	-0.1	15	15			10	10
dlc09_tomb_kings	50	0	10	1	50	50	10	40	15	0.1	15	-0.1	15	15			10	10
dlc09_tomb_kings_major	50	0	10	1	50	50	10	40	15	0.1	15	-0.1	15	15			10	10
dlc10_friendly_no_confed	50	0	10	2	50	50	10	40	10	0.1	15	-0.1	15	15			10	10
friendly	50	0	10	2	50	50	10	40	10	0.1	15	-0.1	15	15			10	10
friendly_diplomat	50	0	10	2	50	50	10	40	10	0.1	15	-0.1	15	15	personality_desc_short_diplomatic	personality_desc_long_diplomatic	10	10
friendly_joins_strong	50	0	10	2	50	50	10	40	10	0.1	15	-0.1	15	15			10	10
joins_strong	50	0	10	2	50	50	10	40	10	0.1	15	-0.1	15	15			10	10
joins_strong_subordinate	50	0	10	2	50	50	10	40	10	0.1	15	-0.1	15	15	personality_desc_short_underdog	personality_desc_long_underdog	10	10
joins_strong_unfriendly	50	0	10	2	50	50	10	40	10	0.1	15	-0.1	15	15			10	10
passive	50	0	10	2	50	50	10	40	10	0.1	15	-0.1	15	15	personality_desc_short_passive	personality_desc_long_passive	10	10
reliable	30	0	12	1	50	50	10	40	10	0.1	15	-0.1	15	15			10	10
reliable_subordinate	30	0	12	1	50	50	10	40	10	0.1	15	-0.1	15	15	personality_desc_short_underdog	personality_desc_long_underdog	10	10
reliable_trader	30	0	12	1	50	50	10	40	10	0.1	15	-0.1	15	15			10	10
reliable_trader_unfriendly	30	0	12	1	50	50	10	40	10	0.1	15	-0.1	15	15			10	10
reliable_unfriendly	30	0	12	1	50	50	10	40	10	0.1	15	-0.1	15	15			10	10
repulsive	50	0	10	2	50	50	10	40	10	0.1	15	-0.1	15	15	personality_desc_short_repulsive	personality_desc_long_repulsive	10	10
schemer	50	0	10	2	50	50	10	40	10	0.1	15	-0.1	15	15	personality_desc_short_schemer	personality_desc_long_schemer	10	10
schemer_unfriendly	50	0	10	2	50	50	10	40	10	0.1	15	-0.1	15	15	personality_desc_short_schemer	personality_desc_long_schemer	10	10
straightforward	50	0	10	1.5	50	50	10	40	10	0.1	15	-0.1	15	15	personality_desc_short_straightforward	personality_desc_long_straightforward	10	10
straightforward_friendly	50	0	10	1.5	50	50	10	40	10	0.1	15	-0.1	15	15	personality_desc_short_straightforward	personality_desc_long_straightforward	10	10
straightforward_unfriendly	50	0	10	1.5	50	50	10	40	10	0.1	15	-0.1	15	15	personality_desc_short_straightforward	personality_desc_long_straightforward	10	10
unreliable	70	0	10	4	50	50	10	40	10	0.1	15	-0.1	15	15			10	10
unreliable_joins_strong	70	0	10	4	50	50	10	40	10	0.1	15	-0.1	15	15			10	10
unreliable_joins_strong_subordinate	70	0	10	4	50	50	10	40	10	0.1	15	-0.1	15	15	personality_desc_short_underdog	personality_desc_long_underdog	10	10
unreliable_joins_strong_unfriendly	70	0	10	4	50	50	10	40	10	0.1	15	-0.1	15	15			10	10
unreliable_schemer	70	0	10	4	50	50	10	40	10	0.1	15	-0.1	15	15	personality_desc_short_schemer	personality_desc_long_schemer	10	10
unreliable_schemer_unfriendly	70	0	10	4	50	50	10	40	10	0.1	15	-0.1	15	15	personality_desc_short_schemer	personality_desc_long_schemer	10	10
unreliable_unfriendly	70	0	10	4	50	50	10	40	10	0.1	15	-0.1	15	15			10	10
vassalized	50	0	1	2	100	40	20	40	20	0.1	15	-0.1	15	15	personality_desc_short_beaten	personality_desc_long_beaten	0	0
