culture_settlement_occupation_options_tables	8
option	acting_army_faction_effect_bundle	acting_army_faction_effect_bundle_turns	target_settlement_faction_effect_bundle	target_settlement_faction_effect_bundle_turns	group	acting_army_effect_bundle	acting_army_effect_bundle_turns	id	tooltip	icon	base_loot	building_loot_mod
occupation_decision_sack		0		0	wh2_main_sc_lzd_lizardmen_occupation_decision_sack		0	1118	Sack||You do not capture the settlement but instead steal wealth and damage buildings. All captives are enslaved, [[img:icon_public_order]][[/img]]{{tr:hp_campaign_public_order_term}} is reduced, and the previous owners will like you a lot less.	sack	0	1
occupation_decision_resettle		0		0	wh2_main_sc_rogue_hunters_of_kurnous_occupation_decision_resettle		0	1118618530	Resettle||With no regions currently under your control, you have the option to settle your army here.	colonise	0	1
occupation_decision_treasure_hunt		0		0	wh2_main_sc_rogue_vashnaar_occupation_decision_treasure_hunt		0	1118716587	Search Ruins||You will be presented with a puzzle to solve, rewarding you if successfully deciphered.	search_ruins	0	1
occupation_decision_colonise		0		0	wh2_dlc09_rogue_dwellers_of_zardok_occupation_decision_colonise		0	111999490	Colonise||Settle your troops.	colonise	0	1
occupation_decision_raze_without_occupy		0		0	wh2_main_sc_rogue_scourge_of_aquitaine_occupation_decision_raze_without_occupy		0	1121797200	Raze||All buildings are destroyed and the settlement is torched.	raze	100	0.2
occupation_decision_loot		0		0	wh2_main_sc_rogue_vauls_expedition_occupation_decision_loot		0	1124241207	Loot & Occupy||You gain wealth from looting, but buildings in the settlement are damaged. All captives are enslaved, [[img:icon_public_order]][[/img]]{{tr:hp_campaign_public_order_term}} is greatly reduced, and your diplomatic relations with the previous owner also suffer greatly.	loot	0	1
occupation_decision_occupy		0		0	wh2_dlc09_rogue_black_creek_raiders_occupation_decision_occupy		0	1125371321	Occupy||{{tr:occupation_decision_occupy}}	occupy	0	1
occupation_decision_colonise		0		0	wh2_main_sc_skv_skaven_occupation_decision_colonise		0	1129	Colonise||Settle your troops.	colonise	0	1
occupation_decision_sack		0		0	wh2_main_sc_rogue_celestial_storm_occupation_decision_sack		0	1130897820	Sack||You do not capture the settlement but instead steal wealth and damage buildings. All captives are enslaved, [[img:icon_public_order]][[/img]]{{tr:hp_campaign_public_order_term}} is reduced, and the previous owners will like you a lot less.	sack	0	1
occupation_decision_do_nothing		0		0	wh2_main_sc_skv_skaven_occupation_decision_do_nothing		0	1134	Do Nothing||Leave the settlement as it stands.	desolation	0	1
occupation_decision_loot		0		0	wh2_main_sc_skv_skaven_occupation_decision_loot		0	1137	Loot & Occupy||You gain wealth from looting, but buildings in the settlement are damaged. All captives are enslaved, [[img:icon_public_order]][[/img]]{{tr:hp_campaign_public_order_term}} is greatly reduced, and your diplomatic relations with the previous owner also suffer greatly.	loot	0	1
occupation_decision_loot		0		0	wh2_main_sc_rogue_black_spider_tribe_occupation_decision_loot		0	1138195892	Loot & Occupy||You gain wealth from looting, but buildings in the settlement are damaged. All captives are enslaved, [[img:icon_public_order]][[/img]]{{tr:hp_campaign_public_order_term}} is greatly reduced, and your diplomatic relations with the previous owner also suffer greatly.	loot	0	1
occupation_decision_raze_without_occupy		0		0	wh2_main_sc_skv_skaven_occupation_decision_raze_without_occupy		0	1148	Raze||All buildings are destroyed and the settlement is torched.	wh2_main_skv_skaven_raze	100	0.2
occupation_decision_loot		0		0	wh2_main_sc_rogue_worldroot_rangers_occupation_decision_loot		0	1149770737	Loot & Occupy||You gain wealth from looting, but buildings in the settlement are damaged. All captives are enslaved, [[img:icon_public_order]][[/img]]{{tr:hp_campaign_public_order_term}} is greatly reduced, and your diplomatic relations with the previous owner also suffer greatly.	loot	0	1
occupation_decision_resettle		0		0	wh2_main_sc_skv_skaven_occupation_decision_resettle		0	1156	Resettle||With no regions currently under your control, you have the option to settle your army here.	colonise	0	1
occupation_decision_sack		0		0	wh2_main_sc_rogue_bernhoffs_brigands_occupation_decision_sack		0	11579669	Sack||You do not capture the settlement but instead steal wealth and damage buildings. All captives are enslaved, [[img:icon_public_order]][[/img]]{{tr:hp_campaign_public_order_term}} is reduced, and the previous owners will like you a lot less.	sack	0	1
occupation_decision_sack		0		0	wh2_main_sc_skv_skaven_occupation_decision_sack		0	1161	Sack||You do not capture the settlement but instead steal wealth and damage buildings. All captives are enslaved, [[img:icon_public_order]][[/img]]{{tr:hp_campaign_public_order_term}} is reduced, and the previous owners will like you a lot less.	sack	0	1
occupation_decision_raze_without_occupy		0		0	wh2_main_sc_bst_beastmen_occupation_decision_raze_without_occupy		0	1172	Loot & Raze||You do not capture the settlement but instead steal the wealth and torch the place.	wh_dlc03_bst_beastmen_raze_b	100	1
occupation_decision_do_nothing		0		0	wh2_main_sc_rogue_abominations_occupation_decision_do_nothing		0	1175920989	Do Nothing||Leave the settlement as it stands.	desolation	0	1
occupation_decision_treasure_hunt		0		0	wh2_main_sc_brt_bretonnia_occupation_decision_treasure_hunt		0	1176	Search Ruins||You will be presented with a puzzle to solve, rewarding you if successfully deciphered.	search_ruins	0	1
occupation_decision_sack		0		0	wh2_main_sc_rogue_scourge_of_aquitaine_occupation_decision_sack		0	1179690881	Sack||You do not capture the settlement but instead steal wealth and damage buildings. All captives are enslaved, [[img:icon_public_order]][[/img]]{{tr:hp_campaign_public_order_term}} is reduced, and the previous owners will like you a lot less.	sack	0	1
occupation_decision_treasure_hunt		0		0	wh2_main_sc_bst_beastmen_occupation_decision_treasure_hunt		0	1181	Search Ruins||You will be presented with a puzzle to solve, rewarding you if successfully deciphered.	search_ruins	0	1
occupation_decision_colonise		0		0	wh2_main_sc_rogue_hung_warband_occupation_decision_colonise		0	1181473512	Colonise||Settle your troops.	colonise	0	1
occupation_decision_do_nothing		0		0	wh2_main_sc_rogue_college_of_pyrotechnics_occupation_decision_do_nothing		0	1182397706	Do Nothing||Leave the settlement as it stands.	desolation	0	1
occupation_decision_treasure_hunt		0		0	wh2_main_sc_chs_chaos_occupation_decision_treasure_hunt		0	1185	Search Ruins||You will be presented with a puzzle to solve, rewarding you if successfully deciphered.	search_ruins	0	1
occupation_decision_colonise		0		0	wh2_main_sc_rogue_mangy_houndz_occupation_decision_colonise		0	1186387039	Colonise||Settle your troops.	colonise	0	1
occupation_decision_sack		0		0	wh2_main_sc_rogue_abominations_occupation_decision_sack		0	1186759489	Sack||You do not capture the settlement but instead steal wealth and damage buildings. All captives are enslaved, [[img:icon_public_order]][[/img]]{{tr:hp_campaign_public_order_term}} is reduced, and the previous owners will like you a lot less.	sack	0	1
occupation_decision_treasure_hunt		0		0	wh2_main_sc_def_dark_elves_occupation_decision_treasure_hunt		0	1193	Search Ruins||You will be presented with a puzzle to solve, rewarding you if successfully deciphered.	search_ruins	0	1
occupation_decision_raze_without_occupy		0		0	wh2_main_sc_rogue_abominations_occupation_decision_raze_without_occupy		0	1197909885	Raze||All buildings are destroyed and the settlement is torched.	raze	100	0.2
occupation_decision_treasure_hunt		0		0	wh2_main_sc_dwf_dwarfs_occupation_decision_treasure_hunt		0	1199	Search Ruins||You will be presented with a puzzle to solve, rewarding you if successfully deciphered.	search_ruins	0	1
occupation_decision_treasure_hunt		0		0	wh2_main_sc_emp_empire_occupation_decision_treasure_hunt		0	1201	Search Ruins||You will be presented with a puzzle to solve, rewarding you if successfully deciphered.	search_ruins	0	1
occupation_decision_treasure_hunt		0		0	wh2_main_sc_grn_greenskins_occupation_decision_treasure_hunt		0	1206	Search Ruins||You will be presented with a puzzle to solve, rewarding you if successfully deciphered.	search_ruins	0	1
occupation_decision_loot		0		0	wh2_main_sc_rogue_tor_elithis_occupation_decision_loot		0	1208400770	Loot & Occupy||You gain wealth from looting, but buildings in the settlement are damaged. All captives are enslaved, [[img:icon_public_order]][[/img]]{{tr:hp_campaign_public_order_term}} is greatly reduced, and your diplomatic relations with the previous owner also suffer greatly.	loot	0	1
occupation_decision_colonise		0		0	wh2_main_sc_rogue_celestial_storm_occupation_decision_colonise		0	1209597248	Colonise||Settle your troops.	colonise	0	1
occupation_decision_treasure_hunt		0		0	wh2_main_sc_grn_savage_orcs_occupation_decision_treasure_hunt		0	1212	Search Ruins||You will be presented with a puzzle to solve; you will be rewarded if you successfully decipher it.	search_ruins	0	1
occupation_decision_treasure_hunt		0		0	wh2_main_sc_hef_high_elves_occupation_decision_treasure_hunt		0	1214	Search Ruins||You will be presented with a puzzle to solve; you will be rewarded if you successfully decipher it.	search_ruins	0	1
occupation_decision_treasure_hunt		0		0	wh2_main_sc_ksl_kislev_occupation_decision_treasure_hunt		0	1223	Search Ruins||You will be presented with a puzzle to solve; you will be rewarded if you successfully decipher it.	search_ruins	0	1
occupation_decision_raze_without_occupy		0		0	wh2_main_sc_rogue_stuff_snatchers_occupation_decision_raze_without_occupy		0	1225481862	Raze||All buildings are destroyed and the settlement is torched.	raze	100	0.2
occupation_decision_sack		0		0	wh2_main_sc_rogue_boneclubbers_tribe_occupation_decision_sack		0	122551995	Sack||You do not capture the settlement but instead steal wealth and damage buildings. All captives are enslaved, [[img:icon_public_order]][[/img]]{{tr:hp_campaign_public_order_term}} is reduced, and the previous owners will like you a lot less.	sack	0	1
occupation_decision_colonise		0		0	wh2_main_sc_rogue_scourge_of_aquitaine_occupation_decision_colonise		0	1226602159	Colonise||Settle your troops.	colonise	0	1
occupation_decision_occupy		0		0	wh2_main_sc_rogue_scourge_of_aquitaine_occupation_decision_occupy		0	1231933158	Occupy||{{tr:occupation_decision_occupy}}	occupy	0	1
occupation_decision_treasure_hunt		0		0	wh2_main_sc_lzd_lizardmen_occupation_decision_treasure_hunt		0	1232	Search Ruins||You will be presented with a puzzle to solve; you will be rewarded if you successfully decipher it.	search_ruins	0	1
occupation_decision_treasure_hunt		0		0	wh2_main_sc_skv_skaven_occupation_decision_treasure_hunt		0	1237	Search Ruins||You will be presented with a puzzle to solve; you will be rewarded if you successfully decipher it.	search_ruins	0	1
occupation_decision_treasure_hunt		0		0	wh2_main_sc_teb_teb_occupation_decision_treasure_hunt		0	1239	Search Ruins||You will be presented with a puzzle to solve; you will be rewarded if you successfully decipher it.	search_ruins	0	1
occupation_decision_treasure_hunt		0		0	wh2_main_sc_vmp_vampire_counts_occupation_decision_treasure_hunt		0	1240	Search Ruins||You will be presented with a puzzle to solve; you will be rewarded if you successfully decipher it.	search_ruins	0	1
occupation_decision_loot		0		0	wh2_dlc09_rogue_pilgrims_of_myrmidia_occupation_decision_loot		0	1247959789	Loot & Occupy||You gain wealth from looting, but buildings in the settlement are damaged. All captives are enslaved, [[img:icon_public_order]][[/img]]{{tr:hp_campaign_public_order_term}} is greatly reduced, and your diplomatic relations with the previous owner also suffer greatly.	loot	0	1
occupation_decision_treasure_hunt		0		0	wh2_main_sc_wef_wood_elves_occupation_decision_treasure_hunt		0	1249	Search Ruins||You will be presented with a puzzle to solve; you will be rewarded if you successfully decipher it.	search_ruins	0	1
occupation_decision_raze_without_occupy	wh2_dlc11_bundle_infamy_razing_dummy	0		0	wh2_dlc11_sc_cst_vampire_coast_occupation_decision_raze_without_occupy		0	1256143616	Raze||All buildings are destroyed and the settlement is torched.	raze	100	0.2
occupation_decision_sack		0		0	wh2_dlc11_sc_cst_vampire_coast_occupation_decision_sack		0	1262847535	Sack||You do not capture the settlement but instead steal wealth and damage buildings. All captives are enslaved, [[img:icon_public_order]][[/img]]{{tr:hp_campaign_public_order_term}} is reduced, and the previous owners will like you a lot less.	sack	0	1
occupation_decision_resettle		0		0	wh2_main_sc_rogue_stuff_snatchers_occupation_decision_resettle		0	1269866319	Resettle||With no regions currently under your control, you have the option to settle your army here.	colonise	0	1
occupation_decision_loot		0		0	wh2_main_sc_rogue_doomseekers_occupation_decision_loot		0	1278515543	Loot & Occupy||You gain wealth from looting, but buildings in the settlement are damaged. All captives are enslaved, [[img:icon_public_order]][[/img]]{{tr:hp_campaign_public_order_term}} is greatly reduced, and your diplomatic relations with the previous owner also suffer greatly.	loot	0	1
occupation_decision_resettle		0		0	wh2_main_sc_rogue_pirates_of_trantio_occupation_decision_resettle		0	1283642277	Resettle||With no regions currently under your control, you have the option to settle your army here.	colonise	0	1
occupation_decision_loot		0		0	wh2_main_sc_rogue_troll_skullz_occupation_decision_loot		0	1284562911	Loot & Occupy||You gain wealth from looting, but buildings in the settlement are damaged. All captives are enslaved, [[img:icon_public_order]][[/img]]{{tr:hp_campaign_public_order_term}} is greatly reduced, and your diplomatic relations with the previous owner also suffer greatly.	loot	0	1
occupation_decision_raze_without_occupy	wh_dlc08_bundle_god_tzeentch	0		0	wh_occupation_decision_norsca		0	1292694896	Raze for the Eagle||You raze this region and erect a monument to the Great Eagle.\n\nAttaining allegiance to this God will reward you with the following:\n\n[[col:green]]Level 1 - [[img:icon_tech]][[/img]]Research rate: +20%\n\nLevel 2 - [[img:icon_magic]][[/img]]Winds of Magic starting amount: +20 (all forces)[[/col]]\n\n[[col:yellow]]Level 3 - [[img:icon_god_eagle]][[/img]]A mighty Lord of Change, Azrik the Maze Keeper, will be unlocked to fight for your faction[[/col]]	raze	-100	0
occupation_decision_raze_without_occupy		0		0	wh2_main_sc_rogue_vauls_expedition_occupation_decision_raze_without_occupy		0	129338677	Raze||All buildings are destroyed and the settlement is torched.	raze	100	0.2
occupation_decision_resettle		0		0	wh2_main_sc_rogue_troll_skullz_occupation_decision_resettle		0	1294427310	Resettle||With no regions currently under your control, you have the option to settle your army here.	colonise	0	1
occupation_decision_treasure_hunt		0		0	wh2_main_sc_rogue_celestial_storm_occupation_decision_treasure_hunt		0	130461954	Search Ruins||You will be presented with a puzzle to solve; you will be rewarded if you successfully decipher it.	search_ruins	0	1
occupation_decision_sack		0		0	wh2_dlc09_rogue_dwellers_of_zardok_occupation_decision_sack		0	130994842	Sack||You do not capture the settlement but instead steal wealth and damage buildings. All captives are enslaved, [[img:icon_public_order]][[/img]]{{tr:hp_campaign_public_order_term}} is reduced, and the previous owners will like you a lot less.	sack	0	1
occupation_decision_sack		0		0	wh2_main_sc_rogue_teef_snatchaz_occupation_decision_sack		0	1310207980	Sack||You do not capture the settlement but instead steal wealth and damage buildings. All captives are enslaved, [[img:icon_public_order]][[/img]]{{tr:hp_campaign_public_order_term}} is reduced, and the previous owners will like you a lot less.	sack	0	1
occupation_decision_occupy		0		0	wh2_main_sc_rogue_worldroot_rangers_occupation_decision_occupy		0	1336971323	Occupy||{{tr:occupation_decision_occupy}}	occupy	0	1
occupation_decision_treasure_hunt		0		0	wh2_main_sc_rogue_bernhoffs_brigands_occupation_decision_treasure_hunt		0	1339872098	Search Ruins||You will be presented with a puzzle to solve; you will be rewarded if you successfully decipher it.	search_ruins	0	1
occupation_decision_do_nothing		0		0	wh2_main_sc_rogue_bernhoffs_brigands_occupation_decision_do_nothing		0	1342765684	Do Nothing||Leave the settlement as it stands.	desolation	0	1
occupation_decision_resettle		0		0	wh2_main_sc_rogue_vashnaar_occupation_decision_resettle		0	1343564720	Resettle||With no regions currently under your control, you have the option to settle your army here.	colonise	0	1
occupation_decision_do_nothing		0		0	wh2_main_sc_rogue_celestial_storm_occupation_decision_do_nothing		0	1355265129	Do Nothing||Leave the settlement as it stands.	desolation	0	1
occupation_decision_raze_without_occupy	wh_dlc08_bundle_god_nurgle	0		0	wh_occupation_decision_norsca		0	1369123792	Raze for the Crow||You raze this region and erect a monument to the Great Crow.\n\nAttaining allegiance to this God will reward you with the following:\n\n[[col:green]]Level 1 - [[img:icon_casualty_replenishment]][[/img]]Casualty replenishment rate: +20% (all forces)\n\nLevel 2 - [[img:icon_wound]][[/img]]Wound recovery time: -4 (all characters)[[/col]]\n\n[[col:yellow]]Level 3 - [[img:icon_god_crow]][[/img]]A devastating plague will be unleashed across the world (your faction being immune)[[/col]]	raze	-100	0
occupation_decision_raze_without_occupy		0		0	wh2_main_sc_rogue_college_of_pyrotechnics_occupation_decision_raze_without_occupy		0	1372413533	Raze||All buildings are destroyed and the settlement is torched.	raze	100	0.2
occupation_decision_loot		0		0	wh2_main_sc_rogue_pirates_of_the_far_sea_occupation_decision_loot		0	1381451274	Loot & Occupy||You gain wealth from looting, but buildings in the settlement are damaged. All captives are enslaved, [[img:icon_public_order]][[/img]]{{tr:hp_campaign_public_order_term}} is greatly reduced, and your diplomatic relations with the previous owner also suffer greatly.	loot	0	1
occupation_decision_resettle		0		0	wh2_main_sc_rogue_heirs_of_mourkain_occupation_decision_resettle		0	138988815	Resettle||With no regions currently under your control, you have the option to settle your army here.	colonise	0	1
occupation_decision_do_nothing		0		0	wh2_dlc09_rogue_pilgrims_of_myrmidia_occupation_decision_do_nothing		0	1417668653	Do Nothing||Leave the settlement as it stands.	desolation	0	1
occupation_decision_raze_without_occupy		0		0	wh2_dlc09_rogue_pilgrims_of_myrmidia_occupation_decision_raze_without_occupy		0	1418174705	Raze||All buildings are destroyed and the settlement is torched.	raze	100	0.2
occupation_decision_raze_without_occupy		0		0	wh2_main_sc_rogue_boneclubbers_tribe_occupation_decision_raze_without_occupy		0	1422314686	Raze||All buildings are destroyed and the settlement is torched.	raze	100	0.2
occupation_decision_treasure_hunt		0		0	wh2_main_sc_rogue_gerhardts_mercenaries_occupation_decision_treasure_hunt		0	1423703978	Search Ruins||You will be presented with a puzzle to solve; you will be rewarded if you successfully decipher it.	search_ruins	0	1
occupation_decision_raze_without_occupy		0		0	wh2_main_sc_rogue_jerrods_errantry_occupation_decision_raze_without_occupy		0	1425726926	Raze||All buildings are destroyed and the settlement is torched.	raze	100	0.2
occupation_decision_do_nothing		0		0	wh2_main_sc_rogue_wrath_of_nature_occupation_decision_do_nothing		0	1435925179	Do Nothing||Leave the settlement as it stands.	desolation	0	1
occupation_decision_colonise		0		0	wh2_main_sc_rogue_jerrods_errantry_occupation_decision_colonise		0	1446313985	Colonise||Settle your troops.	colonise	0	1
occupation_decision_colonise		0		0	wh2_main_sc_rogue_wrath_of_nature_occupation_decision_colonise		0	1453062951	Colonise||Settle your troops.	colonise	0	1
occupation_decision_occupy		0		0	wh2_main_sc_rogue_wrath_of_nature_occupation_decision_occupy		0	1473405154	Occupy||{{tr:occupation_decision_occupy}}	occupy	0	1
occupation_decision_sack		0		0	wh2_main_sc_rogue_tor_elithis_occupation_decision_sack		0	1479882951	Sack||You do not capture the settlement but instead steal wealth and damage buildings. All captives are enslaved, [[img:icon_public_order]][[/img]]{{tr:hp_campaign_public_order_term}} is reduced, and the previous owners will like you a lot less.	sack	0	1
occupation_decision_treasure_hunt		0		0	wh2_main_sc_rogue_college_of_pyrotechnics_occupation_decision_treasure_hunt		0	1480477992	Search Ruins||You will be presented with a puzzle to solve; you will be rewarded if you successfully decipher it.	search_ruins	0	1
occupation_decision_do_nothing		0		0	wh2_main_sc_rogue_hung_warband_occupation_decision_do_nothing		0	1487524636	Do Nothing||Leave the settlement as it stands.	desolation	0	1
occupation_decision_raze_without_occupy		0		0	wh2_main_sc_rogue_tor_elithis_occupation_decision_raze_without_occupy		0	149279903	Raze||All buildings are destroyed and the settlement is torched.	raze	100	0.2
occupation_decision_treasure_hunt		0		0	wh2_main_sc_rogue_heirs_of_mourkain_occupation_decision_treasure_hunt		0	1495904824	Search Ruins||You will be presented with a puzzle to solve; you will be rewarded if you successfully decipher it.	search_ruins	0	1
occupation_decision_do_nothing		0		0	wh2_main_sc_rogue_black_spider_tribe_occupation_decision_do_nothing		0	1499350478	Do Nothing||Leave the settlement as it stands.	desolation	0	1
occupation_decision_raze_without_occupy		0		0	wh2_main_sc_rogue_hunters_of_kurnous_occupation_decision_raze_without_occupy		0	14994909	Raze||All buildings are destroyed and the settlement is torched.	raze	100	0.2
occupation_decision_sack		0		0	wh2_main_sc_rogue_morrsliebs_howlers_occupation_decision_sack		0	1507055186	Sack||You do not capture the settlement but instead steal wealth and damage buildings. All captives are enslaved, [[img:icon_public_order]][[/img]]{{tr:hp_campaign_public_order_term}} is reduced, and the previous owners will like you a lot less.	sack	0	1
occupation_decision_raze_without_occupy		0		0	wh2_main_sc_rogue_troll_skullz_occupation_decision_raze_without_occupy		0	1508112825	Raze||All buildings are destroyed and the settlement is torched.	raze	100	0.2
