ritual_payload_effect_bundles_tables	1
wh2_dlc11_vmp_ritual_bloodline_awaken_necrarch_bundle_03	wh2_dlc11_vmp_ritual_bloodline_awaken_necrarch_03	0
wh2_dlc11_vmp_ritual_bloodline_awaken_strigoi_bundle_01	wh2_dlc11_vmp_ritual_bloodline_awaken_strigoi_01	0
wh2_dlc11_vmp_ritual_bloodline_awaken_strigoi_bundle_02	wh2_dlc11_vmp_ritual_bloodline_awaken_strigoi_02	0
wh2_dlc11_vmp_ritual_bloodline_awaken_strigoi_bundle_03	wh2_dlc11_vmp_ritual_bloodline_awaken_strigoi_03	0
wh2_dlc11_vmp_ritual_bloodline_awaken_von_carstein_bundle_01	wh2_dlc11_vmp_ritual_bloodline_awaken_von_carstein_01	0
wh2_dlc11_vmp_ritual_bloodline_awaken_von_carstein_bundle_02	wh2_dlc11_vmp_ritual_bloodline_awaken_von_carstein_02	0
wh2_dlc11_vmp_ritual_bloodline_awaken_von_carstein_bundle_03	wh2_dlc11_vmp_ritual_bloodline_awaken_von_carstein_03	0
wh2_dlc12_ikit_workshop_doomflayer_part_0	wh2_dlc12_ikit_workshop_doomflayer_part_0	0
wh2_dlc12_ikit_workshop_doomflayer_part_1	wh2_dlc12_ikit_workshop_doomflayer_part_1	0
wh2_dlc12_ikit_workshop_doomflayer_part_2	wh2_dlc12_ikit_workshop_doomflayer_part_2	0
wh2_dlc12_ikit_workshop_doomflayer_part_3	wh2_dlc12_ikit_workshop_doomflayer_part_3	0
wh2_dlc12_ikit_workshop_doomflayer_part_4	wh2_dlc12_ikit_workshop_doomflayer_part_4	0
wh2_dlc12_ikit_workshop_doomflayer_part_5	wh2_dlc12_ikit_workshop_doomflayer_part_5	0
wh2_dlc12_ikit_workshop_doomflayer_part_6	wh2_dlc12_ikit_workshop_doomflayer_part_6	0
wh2_dlc12_ikit_workshop_doomflayer_part_7	wh2_dlc12_ikit_workshop_doomflayer_part_7	0
wh2_dlc12_ikit_workshop_doomflayer_part_8	wh2_dlc12_ikit_workshop_doomflayer_part_8	0
wh2_dlc12_ikit_workshop_doomflayer_part_9	wh2_dlc12_ikit_workshop_doomflayer_part_9	0
wh2_dlc12_ikit_workshop_doomwheel_part_0	wh2_dlc12_ikit_workshop_doomwheel_part_0	0
wh2_dlc12_ikit_workshop_doomwheel_part_1	wh2_dlc12_ikit_workshop_doomwheel_part_1	0
wh2_dlc12_ikit_workshop_doomwheel_part_2	wh2_dlc12_ikit_workshop_doomwheel_part_2	0
wh2_dlc12_ikit_workshop_doomwheel_part_3	wh2_dlc12_ikit_workshop_doomwheel_part_3	0
wh2_dlc12_ikit_workshop_doomwheel_part_4	wh2_dlc12_ikit_workshop_doomwheel_part_4	0
wh2_dlc12_ikit_workshop_doomwheel_part_5	wh2_dlc12_ikit_workshop_doomwheel_part_5	0
wh2_dlc12_ikit_workshop_doomwheel_part_6	wh2_dlc12_ikit_workshop_doomwheel_part_6	0
wh2_dlc12_ikit_workshop_doomwheel_part_7	wh2_dlc12_ikit_workshop_doomwheel_part_7	0
wh2_dlc12_ikit_workshop_doomwheel_part_8	wh2_dlc12_ikit_workshop_doomwheel_part_8	0
wh2_dlc12_ikit_workshop_doomwheel_part_9	wh2_dlc12_ikit_workshop_doomwheel_part_9	0
wh2_dlc12_ikit_workshop_gatling_part_0	wh2_dlc12_ikit_workshop_gatling_part_0	0
wh2_dlc12_ikit_workshop_gatling_part_1	wh2_dlc12_ikit_workshop_gatling_part_1	0
wh2_dlc12_ikit_workshop_gatling_part_2	wh2_dlc12_ikit_workshop_gatling_part_2	0
wh2_dlc12_ikit_workshop_jezail_part_0	wh2_dlc12_ikit_workshop_jezail_part_0	0
wh2_dlc12_ikit_workshop_jezail_part_1	wh2_dlc12_ikit_workshop_jezail_part_1	0
wh2_dlc12_ikit_workshop_jezail_part_2	wh2_dlc12_ikit_workshop_jezail_part_2	0
wh2_dlc12_ikit_workshop_nuke_part_0	wh2_dlc12_ikit_workshop_nuke_part_0	0
wh2_dlc12_ikit_workshop_nuke_part_1	wh2_dlc12_ikit_workshop_nuke_part_1	0
wh2_dlc12_ikit_workshop_nuke_part_2	wh2_dlc12_ikit_workshop_nuke_part_2	0
wh2_dlc12_ikit_workshop_nuke_part_3	wh2_dlc12_ikit_workshop_nuke_part_3	0
wh2_dlc12_ikit_workshop_nuke_part_4	wh2_dlc12_ikit_workshop_nuke_part_4	0
wh2_dlc12_ikit_workshop_nuke_part_5	wh2_dlc12_ikit_workshop_nuke_part_5	0
wh2_dlc12_ikit_workshop_warpfire_part_0	wh2_dlc12_ikit_workshop_warpfire_part_0	0
wh2_dlc12_ikit_workshop_warpfire_part_1	wh2_dlc12_ikit_workshop_warpfire_part_1	0
wh2_dlc12_ikit_workshop_warpfire_part_2	wh2_dlc12_ikit_workshop_warpfire_part_2	0
wh2_dlc12_lzd_tiktaqto_ritual_persistence	wh2_dlc12_lzd_tiktaqto_ritual_persistence	1
wh2_dlc12_tehenhauin_sacrifice_tier1_banner	wh2_dlc12_tehenhauin_sacrifice_tier1_banner	10
wh2_dlc12_tehenhauin_sacrifice_tier1_follower	wh2_dlc12_tehenhauin_sacrifice_tier1_follower	10
wh2_dlc12_tehenhauin_sacrifice_tier1_jungle_swarm	wh2_dlc12_tehenhauin_sacrifice_tier1_jungle_swarm	10
wh2_dlc12_tehenhauin_sacrifice_tier1_replenishment	wh2_dlc12_tehenhauin_sacrifice_tier1_replenishment	10
wh2_dlc12_tehenhauin_sacrifice_tier2_recruitment	wh2_dlc12_tehenhauin_sacrifice_tier2_recruitment	10
wh2_dlc12_tehenhauin_sacrifice_tier3_banner	wh2_dlc12_tehenhauin_sacrifice_tier3_banner	10
wh2_dlc12_tehenhauin_sacrifice_tier3_follower	wh2_dlc12_tehenhauin_sacrifice_tier3_follower	10
wh2_dlc12_tehenhauin_sacrifice_tier4_banner	wh2_dlc12_tehenhauin_sacrifice_tier4_banner	10
wh2_dlc12_tehenhauin_sacrifice_tier4_follower	wh2_dlc12_tehenhauin_sacrifice_tier5_follower	10
wh2_dlc12_tehenhauin_sacrifice_tier6_sotek	wh2_dlc12_tehenhauin_sacrifice_tier6_sotek	10
wh2_main_ritual_def_atharti	wh2_main_ritual_def_atharti	5
wh2_main_ritual_def_hekarti	wh2_main_ritual_def_hekarti	5
wh2_main_ritual_def_khaine	wh2_main_ritual_def_khaine	15
wh2_main_ritual_hef_asuryan	wh2_main_ritual_hef_asuryan	5
wh2_main_ritual_hef_hoeth	wh2_main_ritual_hef_hoeth	5
wh2_main_ritual_hef_isha	wh2_main_ritual_hef_isha	10
wh2_main_ritual_hef_vaul	wh2_main_ritual_hef_vaul	10
wh2_main_ritual_lzd_ferocity	wh2_main_ritual_lzd_ferocity	5
wh2_main_ritual_lzd_primeval_glory	wh2_main_ritual_lzd_primeval_glory	15
wh2_main_ritual_lzd_sotek	wh2_main_ritual_lzd_sotek	15
wh2_main_ritual_skv_ascendancy	wh2_main_ritual_skv_ascendancy	5
wh2_main_ritual_skv_thirteen_eshin	wh2_main_ritual_skv_thirteen_eshin	13
wh2_main_ritual_skv_thirteen_mors	wh2_main_ritual_skv_thirteen_mors	13
wh2_main_ritual_skv_thirteen_moulder	wh2_main_ritual_skv_thirteen_moulder	13
wh2_main_ritual_skv_thirteen_pestilens	wh2_main_ritual_skv_thirteen_pestilens	13
wh2_main_ritual_skv_thirteen_skyre	wh2_main_ritual_skv_thirteen_skyre	13
wh2_main_ritual_vortex_1_def_start	wh2_main_ritual_vortex_1_def_start	10
wh2_main_ritual_vortex_1_def	wh2_main_ritual_vortex_1_def	0
wh2_main_ritual_vortex_1_hef_start	wh2_main_ritual_vortex_1_hef_start	10
wh2_main_ritual_vortex_1_hef	wh2_main_ritual_vortex_1_hef	0
wh2_main_ritual_vortex_1_lzd_start	wh2_main_ritual_vortex_1_lzd_start	10
wh2_main_ritual_vortex_1_lzd	wh2_main_ritual_vortex_1_lzd	0
wh2_main_ritual_vortex_1_skv_start	wh2_main_ritual_vortex_1_skv_start	10
wh2_main_ritual_vortex_1_skv	wh2_main_ritual_vortex_1_skv	0
wh2_main_ritual_vortex_2_def_start	wh2_main_ritual_vortex_2_def_start	10
wh2_main_ritual_vortex_2_def	wh2_main_ritual_vortex_2_def	0
wh2_main_ritual_vortex_2_hef_start	wh2_main_ritual_vortex_2_hef_start	10
wh2_main_ritual_vortex_2_hef	wh2_main_ritual_vortex_2_hef	0
wh2_main_ritual_vortex_2_lzd_start	wh2_main_ritual_vortex_2_lzd_start	10
wh2_main_ritual_vortex_2_lzd	wh2_main_ritual_vortex_2_lzd	0
wh2_main_ritual_vortex_2_skv_start	wh2_main_ritual_vortex_2_skv_start	10
wh2_main_ritual_vortex_2_skv	wh2_main_ritual_vortex_2_skv	0
wh2_main_ritual_vortex_3_def_start	wh2_main_ritual_vortex_3_def_start	10
wh2_main_ritual_vortex_3_def	wh2_main_ritual_vortex_3_def	0
wh2_main_ritual_vortex_3_hef_start	wh2_main_ritual_vortex_3_hef_start	10
wh2_main_ritual_vortex_3_hef	wh2_main_ritual_vortex_3_hef	0
wh2_main_ritual_vortex_3_lzd_start	wh2_main_ritual_vortex_3_lzd_start	10
wh2_main_ritual_vortex_3_lzd	wh2_main_ritual_vortex_3_lzd	0
wh2_main_ritual_vortex_3_skv_start	wh2_main_ritual_vortex_3_skv_start	10
wh2_main_ritual_vortex_3_skv	wh2_main_ritual_vortex_3_skv	0
wh2_main_ritual_vortex_4_def_start	wh2_main_ritual_vortex_4_def_start	10
wh2_main_ritual_vortex_4_def	wh2_main_ritual_vortex_4_def	0
wh2_main_ritual_vortex_4_hef_start	wh2_main_ritual_vortex_4_hef_start	10
wh2_main_ritual_vortex_4_hef	wh2_main_ritual_vortex_4_hef	0
wh2_main_ritual_vortex_4_lzd_start	wh2_main_ritual_vortex_4_lzd_start	10
wh2_main_ritual_vortex_4_lzd	wh2_main_ritual_vortex_4_lzd	0
wh2_main_ritual_vortex_4_skv_start	wh2_main_ritual_vortex_4_skv_start	10
wh2_main_ritual_vortex_4_skv	wh2_main_ritual_vortex_4_skv	0
wh2_main_ritual_vortex_5_def_start	wh2_main_ritual_vortex_5_def_start	20
wh2_main_ritual_vortex_5_def	wh2_main_ritual_vortex_5_def	0
wh2_main_ritual_vortex_5_hef_start	wh2_main_ritual_vortex_5_hef_start	20
wh2_main_ritual_vortex_5_hef	wh2_main_ritual_vortex_5_hef	0
wh2_main_ritual_vortex_5_lzd_start	wh2_main_ritual_vortex_5_lzd_start	20
wh2_main_ritual_vortex_5_lzd	wh2_main_ritual_vortex_5_lzd	0
wh2_main_ritual_vortex_5_skv_start	wh2_main_ritual_vortex_5_skv_start	20
wh2_main_ritual_vortex_5_skv	wh2_main_ritual_vortex_5_skv	0
