building_level_armed_citizenry_junctions_tables	1
wh2_main_rogue_outpostnorsca_major_3	1002339967	wh_main_dwf_inf_hammerers
wh_main_emp_settlement_minor_3	1002412939	wh_main_emp_cha_captain_0
wh2_main_special_settlement_gaean_vale_lzd_4	1003045077	wh2_main_lzd_mon_kroxigors
wh2_main_special_settlement_lothern_lzd_3	1003048394	wh2_main_lzd_inf_skink_cohort_1
wh_main_nor_outpost_garrison_2	1003572519	wh_main_nor_cav_marauder_horsemen_0
wh2_dlc09_tmb_outpostnorsca_major_2	1003576431	wh2_dlc09_tmb_inf_nehekhara_warriors_0
wh2_main_special_settlement_the_awakening_tmb_4	1003588770	wh2_dlc09_tmb_mon_tomb_scorpion_0
wh2_main_special_settlement_skavenblight_3	1003643671	wh2_main_skv_inf_clanrats_1
wh2_main_special_settlement_khemri_lzd_5	1003899890	wh2_main_lzd_inf_skink_cohort_1
wh2_main_special_settlement_khemri_grn_1	1003906625	wh_main_grn_inf_goblin_spearmen
wh2_dlc09_tmb_outpostnorsca_minor_2_coast	1004033594	wh2_dlc09_tmb_cav_nehekhara_horsemen_0
wh2_dlc09_special_settlement_pyramid_of_nagash_brt_4	1004140763	wh_main_brt_cav_knights_of_the_realm
wh2_main_special_settlement_sartosa_grn_2	1004151649	wh_main_grn_inf_goblin_spearmen
wh2_main_special_settlement_hellpit_1	1004362203	wh2_main_skv_inf_night_runners_1
wh2_dlc09_special_settlement_pyramid_of_nagash_def_4	1004511506	wh2_main_def_inf_darkshards_1
wh2_main_rogue_settlement_major_1	1004595399	wh_main_emp_art_helstorm_rocket_battery
wh2_main_rogue_outpostnorsca_major_coast_2	100479792	wh_main_vmp_mon_crypt_horrors
wh2_dlc11_cst_outpostnorsca_major_3	1004879049	wh2_dlc11_cst_cha_gunnery_wight_0
wh2_dlc11_vampirecoast_settlement_major_coast_3	100520837	wh2_dlc11_cst_cha_vampire_fleet_captain_0
wh_main_brt_outpostnorsca_major_5_coast	1005429911	wh_dlc07_brt_inf_men_at_arms_1
wh2_main_rogue_outpostnorsca_major_coast_3	1005466470	wh_main_emp_cav_outriders_0
wh2_main_special_settlement_the_awakening_skv_3	1005881041	wh2_main_skv_mon_rat_ogres
wh2_main_special_fortress_gate_unicorn_untainted_1	1005915882	wh2_dlc09_tmb_inf_skeleton_archers_0
wh2_main_def_outpostnorsca_major_2	1005937045	wh2_main_def_inf_dreadspears_0
wh2_main_special_settlement_khemri_lzd_5	1006275954	wh2_main_lzd_mon_kroxigors
wh2_dlc09_special_settlement_pyramid_of_nagash_emp_2	1006306848	wh_main_emp_inf_swordsmen
wh2_main_special_settlement_gaean_vale_def_1	1006509900	wh2_main_def_inf_darkshards_0
wh2_dlc11_vampirecoast_defence_garrison_2	1006676925	wh2_dlc11_cst_inf_zombie_deckhands_mob_0
wh2_main_special_shrine_of_khaine_wef_1	1006805684	wh_dlc05_wef_inf_waywatchers_0
wh2_main_hef_outpostnorsca_major_4_coast	1007091710	wh2_main_hef_inf_lothern_sea_guard_1
wh2_main_special_settlement_colony_minor_other_3	1007176559	wh_main_grn_inf_orc_big_uns
wh2_main_special_settlement_black_crag_cst_2	1007235500	wh2_dlc11_cst_inf_zombie_deckhands_mob_1
wh2_main_special_settlement_colony_major_other_2	1007295288	wh2_dlc09_tmb_inf_skeleton_archers_0
wh2_main_special_settlement_gaean_vale_5	1007462272	wh2_main_hef_inf_white_lions_of_thrace_0
wh2_main_special_anlec_citadel_def	1007567244	wh2_main_def_inf_shades_2
wh2_main_rogue_settlement_minor_coast_2	1007597951	wh_dlc06_grn_inf_squig_herd_0
wh2_main_special_settlement_sartosa_skv_2	1007626299	wh2_main_skv_inf_night_runners_1
wh2_main_rogue_outpostnorsca_minor_coast_3	1007662668	wh_dlc06_grn_cav_squig_hoppers_0
wh2_main_rogue_outpostnorsca_major_3	1007686753	wh_main_brt_cav_pegasus_knights
wh2_dlc09_special_settlement_pyramid_of_nagash_brt_2	1007792486	wh_main_brt_inf_peasant_bowmen
wh2_dlc09_special_settlement_gaean_vale_tmb_2	100782395	wh2_dlc09_tmb_inf_skeleton_warriors_0
wh2_main_hef_outpostnorsca_major_4_coast	1007936537	wh2_main_hef_inf_white_lions_of_thrace_0
wh2_dlc09_special_settlement_hexoatl_tmb_3	1008289864	wh2_dlc09_tmb_inf_skeleton_archers_0
wh2_main_special_settlement_naggarond_cst_5	1008550796	wh2_dlc11_cst_inf_zombie_gunnery_mob_1
wh_main_special_settlement_couronne_3_brt	1008730448	wh_dlc07_brt_inf_men_at_arms_2
wh2_main_rogue_settlement_major_coast_2	1009056330	wh_main_chs_mon_chaos_warhounds_1
wh2_main_special_settlement_colony_major_other_2	1009105248	wh_main_emp_inf_spearmen_1
wh2_main_rogue_settlement_major_coast_2	1009205529	wh2_main_skv_inf_gutter_runner_slingers_1
wh2_main_special_settlement_hexoatl_def_5	1009427018	wh2_main_def_inf_darkshards_1
wh2_main_special_settlement_colony_minor_hef_3	1009457548	wh2_main_hef_inf_lothern_sea_guard_1
wh2_main_special_settlement_gaean_vale_cst_4	1009554569	wh2_dlc11_cst_inf_depth_guard_1
wh2_main_special_fortress_gate_eagle_cst_1	100968267	wh2_dlc11_cst_mon_rotting_prometheans_0
wh2_main_def_outpostnorsca_major_3	1010217149	wh2_main_def_inf_dreadspears_0
wh_main_special_settlement_couronne_5_brt	1010252462	wh_main_brt_cav_grail_knights
wh2_main_lzd_outpostnorsca_major_1	1010275129	wh2_main_lzd_inf_saurus_spearmen_0
wh2_main_rogue_settlement_minor_coast_1	1010846116	wh2_main_def_inf_black_ark_corsairs_0
wh2_main_skv_outpostnorsca_minor_1_coast	1010864447	wh2_main_skv_inf_clanrats_0
wh2_main_special_settlement_miragliano_cst_4	1011089468	wh2_dlc11_cst_inf_depth_guard_1
wh2_dlc11_special_settlement_galleons_graveyard_4	1011090399	wh2_dlc11_cst_inf_deck_gunners_0
wh2_main_special_settlement_the_awakening_dwf_4	1011433197	wh_main_dwf_inf_longbeards_1
wh2_main_special_settlement_pyramid_of_nagash_cst_1	1011504999	wh2_dlc11_cst_inf_zombie_gunnery_mob_0
wh2_main_special_settlement_athel_loren_lzd_3	1011573878	wh2_main_lzd_cha_saurus_scar_veteran_0
wh2_main_special_settlement_skavenblight_2	1011694906	wh2_main_skv_inf_plague_monks
wh2_main_special_settlement_eight_peaks_skv_1	1011885702	wh2_main_skv_inf_night_runners_1
wh2_dlc09_special_settlement_couronne_tmb_5	1012063311	wh2_dlc09_tmb_veh_khemrian_warsphinx_0
wh2_main_special_settlement_the_awakening_cst_1	1012107254	wh2_dlc11_cst_inf_depth_guard_0
wh2_main_rogue_outpostnorsca_minor_2	1012139361	wh_main_emp_inf_crossbowmen
wh2_main_special_settlement_gaean_vale_skv_5	1012201148	wh2_main_skv_inf_poison_wind_globadiers
wh_main_nor_garrison_1	1012248688	wh_main_nor_inf_chaos_marauders_0
wh2_main_rogue_settlement_minor_coast_3	101230545	wh_main_emp_cav_outriders_1
wh_main_grn_outpostnorsca_minor_2	1012452139	wh_main_grn_inf_goblin_spearmen
wh2_main_special_settlement_athel_loren_skv_5	1012677082	wh2_main_skv_inf_clanrats_1
wh2_main_special_fortress_gate_griffon_untainted_2	101269810	wh2_dlc09_tmb_inf_tomb_guard_0
wh2_dlc09_tmb_outpostnorsca_major_5_coast	1013153858	wh2_dlc09_tmb_mon_ushabti_0
wh2_main_special_settlement_hexoatl_other_lzd_2	1013278296	wh2_main_lzd_inf_saurus_warriors_1
wh2_main_special_fortress_gate_phoenix_untainted_2	1013493876	wh2_dlc09_tmb_mon_tomb_scorpion_0
wh2_main_rogue_settlement_major_2	1013495580	wh_dlc06_chs_cav_marauder_horsemasters_0
wh2_main_rogue_settlement_major_coast_2	101362610	wh_main_chs_inf_chaos_warriors_1
wh2_main_special_settlement_naggarond_skv_1	1013754176	wh2_main_skv_inf_clanrats_0
wh2_main_special_settlement_lahmia_skv_5	101376529	wh2_main_skv_art_plagueclaw_catapult
wh2_main_rogue_outpostnorsca_minor_2	1013767574	wh2_main_skv_mon_rat_ogres
wh2_main_special_settlement_athel_loren_rogue_1	1013830907	wh2_main_skv_mon_hell_pit_abomination
wh2_main_rogue_outpostnorsca_major_coast_2	101396542	wh_main_emp_inf_crossbowmen
wh2_main_rogue_outpostnorsca_major_2	1013968472	wh_main_grn_inf_savage_orc_big_uns
wh2_main_special_settlement_lahmia_def_3	1013995843	wh2_main_def_inf_darkshards_1
wh_main_grn_outpostnorsca_minor_2_skarsnik	1014102001	wh_main_grn_inf_goblin_spearmen
wh2_main_special_settlement_lahmia_lzd_2	1014103736	wh2_main_lzd_inf_saurus_warriors_1
wh2_main_special_fortress_gate_griffon_untainted_4	1014131258	wh2_dlc09_tmb_mon_tomb_scorpion_0
wh2_main_special_settlement_hellpit_other_5	1014208743	wh_main_emp_inf_greatswords
wh2_main_special_settlement_colony_major_hef_2	1014478196	wh2_main_hef_inf_archers_1
wh2_main_special_settlement_itza_skv_5	1014558953	wh2_main_skv_inf_poison_wind_globadiers
wh_main_grn_outpostnorsca_major_3_wurrzag	1014638985	wh_main_grn_inf_savage_orc_big_uns
wh2_main_special_settlement_khemri_def_2	1014643596	wh2_main_def_inf_dreadspears_0
wh2_main_lzd_outpostnorsca_major_3	1014689833	wh2_main_lzd_mon_kroxigors
wh2_main_special_settlement_colony_major_other_5	1014690150	wh2_main_skv_inf_plague_monks
wh2_dlc09_special_settlement_pyramid_of_nagash_vmp_5	101474396	wh_main_vmp_mon_vargheists
wh2_main_special_settlement_the_awakening_brt_1	1014770168	wh_main_brt_inf_spearmen_at_arms
wh2_main_special_fortress_gate_phoenix_untainted_5	1015042865	wh2_dlc09_tmb_mon_ushabti_0
wh2_main_special_settlement_colony_major_other_3	1015142411	wh_main_brt_inf_peasant_bowmen
wh2_main_special_settlement_khemri_emp_3	1015152184	wh_main_emp_inf_crossbowmen
wh2_main_rogue_outpostnorsca_major_2	101547163	wh_dlc05_wef_cav_glade_riders_1
wh2_main_rogue_settlement_major_coast_1	1015638026	wh_main_brt_cav_grail_knights
wh_dlc05_special_settlement_gaean_vale_4_wef	1015863669	wh_dlc05_wef_cha_waystalker_0
wh2_main_special_settlement_black_crag_cst_4	1015946937	wh2_dlc11_cst_inf_depth_guard_1
wh2_main_special_settlement_altdorf_dwf_1	1016138448	wh_main_dwf_inf_dwarf_warrior_0
wh2_main_special_settlement_sartosa_wef_2	1016271821	wh_dlc05_wef_inf_glade_guard_2
wh2_dlc09_special_settlement_pyramid_of_nagash_skv_1	1016280580	wh2_main_skv_inf_clanrats_0
wh2_main_special_settlement_itza_other_lzd_2	1016483833	wh2_main_lzd_mon_terradon_0
wh_main_emp_outpostnorsca_major_2_coast	101698979	wh_main_emp_inf_swordsmen
wh2_main_special_fortress_gate_phoenix_untainted_2	101709480	wh2_dlc09_tmb_inf_skeleton_archers_0
wh2_main_def_outpostnorsca_minor_1	1017098803	wh2_main_def_inf_darkshards_0
wh2_main_rogue_outpostnorsca_minor_2	1017117113	wh2_main_def_cav_cold_one_knights_1
wh2_main_rogue_settlement_major_1	101721523	wh_main_grn_inf_savage_orc_arrer_boyz
wh2_main_special_settlement_naggarond_lzd_3	1017339104	wh2_main_lzd_inf_skink_cohort_1
wh2_main_special_settlement_khemri_dwf_5	1017371688	wh_main_dwf_inf_longbeards_1
wh2_main_special_settlement_hellpit_other_5	1017395373	wh2_main_lzd_mon_kroxigors
wh2_main_special_settlement_the_awakening_grn_4	1017438805	wh_main_grn_inf_orc_big_uns
wh2_main_special_settlement_itza_other_lzd_2	1017486207	wh2_main_lzd_inf_skink_cohort_1
wh2_main_special_settlement_the_awakening_wef_3	1017521116	wh_dlc05_wef_cav_hawk_riders_0
wh_main_savage_outpostnorsca_major_3	101770544	wh_main_grn_inf_savage_orc_arrer_boyz
wh2_main_special_settlement_colony_minor_other_2	101771187	wh_main_grn_inf_goblin_spearmen
wh2_main_rogue_outpostnorsca_minor_3	1017831749	wh2_main_skv_mon_hell_pit_abomination
wh2_main_special_settlement_colony_major_other_5	1017880563	wh2_dlc09_tmb_inf_tomb_guard_0
wh2_main_special_settlement_hellpit_other_2	1017915613	wh2_main_hef_inf_archers_1
wh2_main_special_fortress_gate_eagle_untainted_5	1018263472	wh2_dlc09_tmb_mon_carrion_0
wh2_main_special_settlement_lothern_cst_1	1018283640	wh2_dlc11_cst_inf_zombie_deckhands_mob_0
wh_main_special_settlement_couronne_2_brt	1018421542	wh_main_brt_cav_knights_of_the_realm
wh2_main_rogue_outpostnorsca_major_coast_3	1018555413	wh2_main_def_cav_dark_riders_1
wh2_main_special_everqueen_court	101861920	wh2_main_hef_mon_sun_dragon
wh2_main_hef_outpostnorsca_major_3	1018681365	wh2_main_hef_inf_archers_1
wh2_main_special_settlement_sartosa_hef_4	1018745115	wh2_main_hef_cav_silver_helms_1
wh2_main_special_settlement_lahmia_brt_3	101881683	wh_main_brt_inf_peasant_bowmen
wh2_main_special_settlement_hexoatl_skv_1	1018994884	wh2_main_skv_inf_night_runners_1
wh2_dlc11_vampirecoast_settlement_minor_3	1019075065	wh2_dlc11_cst_inf_zombie_deckhands_mob_0
wh2_main_special_settlement_gaean_vale_vmp_3	101911283	wh_main_vmp_mon_fell_bats
wh2_main_lzd_outpostnorsca_major_2_coast	1019117648	wh2_main_lzd_inf_saurus_spearmen_1
wh2_main_rogue_outpostnorsca_major_coast_1	1019243765	wh2_main_def_art_reaper_bolt_thrower
wh2_main_special_settlement_athel_loren_skv_1	1019350404	wh2_main_skv_inf_clanrats_0
wh2_main_special_settlement_sartosa_dwf_4	1019465860	wh_main_dwf_inf_longbeards
wh2_main_special_settlement_hexoatl_hef_1	1019637605	wh2_main_hef_inf_archers_0
wh2_main_rogue_settlement_minor_1	1020018684	wh_main_grn_cav_savage_orc_boar_boy_big_uns
wh2_main_special_settlement_kislev_norsca_5	1020356817	wh_dlc08_nor_inf_marauder_berserkers_0
wh2_dlc09_special_settlement_pyramid_of_nagash_tmb_2	1020457478	wh2_dlc09_tmb_inf_skeleton_archers_0
wh2_dlc09_special_settlement_black_crag_tmb_2	1020467947	wh2_dlc09_tmb_inf_skeleton_warriors_0
wh2_main_hef_outpostnorsca_major_4_coast	102059045	wh2_main_hef_inf_lothern_sea_guard_1
wh_main_special_conclave_of_magic	1020844762	wh_main_emp_cha_wizard_fire_0
wh_main_vmp_outpostnorsca_major_1	1020858820	wh_main_vmp_inf_skeleton_warriors_0
wh2_main_special_settlement_couronne_dwf_3	1020956961	wh_main_dwf_cha_thane
wh2_dlc09_tmb_outpostnorsca_minor_1_coast	1021030028	wh2_dlc09_tmb_inf_skeleton_spearmen_0
wh2_main_rogue_outpostnorsca_major_coast_2	1021071524	wh_main_chs_cav_chaos_chariot
wh2_main_special_settlement_colony_minor_other_1	1021115560	wh2_dlc09_tmb_inf_skeleton_archers_0
wh2_main_special_fortress_gate_phoenix_cst_2	1021171602	wh2_dlc11_cst_inf_zombie_gunnery_mob_1
wh2_dlc09_special_settlement_kislev_tmb_3	1021268675	wh2_dlc09_tmb_inf_tomb_guard_0
wh2_main_lzd_settlement_major_3	1021505474	wh2_main_lzd_cha_saurus_scar_veteran_0
wh2_main_special_settlement_lahmia_cst_3	1021513789	wh2_dlc11_cst_inf_depth_guard_1
wh2_main_special_settlement_khemri_vmp_5	1021643160	wh_main_vmp_inf_grave_guard_0
wh2_main_special_settlement_athel_loren_brt_1	102177576	wh_main_brt_inf_peasant_bowmen
wh2_main_def_settlement_major_4_coast	1021796701	wh2_main_def_cha_death_hag_0
wh2_main_rogue_outpostnorsca_major_coast_2	1021796789	wh2_main_hef_inf_spearmen_0
wh_dlc05_special_settlement_itza_1_wef	102185782	wh_dlc05_wef_treeman
wh2_main_special_settlement_skavenblight_other_3	1021956672	wh2_main_hef_inf_spearmen_0
wh2_main_special_settlement_athel_loren_cst_4	1022079700	wh2_dlc11_cst_inf_depth_guard_1
wh_main_brt_outpostnorsca_major_4_coast	1022124345	wh_main_brt_inf_peasant_bowmen
wh_main_nor_outpost_major_human_2_coast	1022177126	wh_dlc08_nor_inf_marauder_champions_0
wh2_main_special_settlement_altdorf_cst_4	1022288969	wh2_dlc11_cst_inf_depth_guard_0
wh2_main_special_settlement_colony_minor_other_3	1022358747	wh_dlc05_wef_mon_treekin_0
wh2_dlc09_special_settlement_pyramid_of_nagash_norsca_1	1022480244	wh_main_nor_cav_marauder_horsemen_1
wh2_dlc09_special_settlement_pyramid_of_nagash_savage_2	1022653017	wh_main_grn_inf_savage_orcs
wh2_dlc09_special_settlement_pyramid_of_nagash_dwf_5	1022690310	wh_main_dwf_inf_quarrellers_0
wh2_main_special_settlement_colony_major_other_5	1022829537	wh_dlc07_brt_inf_foot_squires_0
wh2_main_special_settlement_gaean_vale_def_4	1022895494	wh2_main_def_inf_black_guard_0
wh2_main_special_settlement_the_awakening_dwf_4	1023033288	wh_main_dwf_inf_longbeards
wh_main_savage_outpostnorsca_minor_3	1023130065	wh_main_grn_inf_savage_orc_arrer_boyz
wh2_dlc11_special_settlement_galleons_graveyard_5	1023328336	wh2_dlc11_cst_inf_depth_guard_0
wh2_main_special_settlement_sartosa_vmp_3	1023590161	wh_main_vmp_mon_fell_bats
wh2_main_special_settlement_gaean_vale_cst_3	1023654804	wh2_dlc11_cst_inf_depth_guard_1
wh2_dlc09_special_settlement_naggarond_tmb_3	1023897983	wh2_dlc09_tmb_inf_tomb_guard_0
wh2_main_special_settlement_khemri_def_5	1023959494	wh2_main_def_inf_black_guard_0
wh2_main_special_settlement_karaz_a_karak_cst_1	1024016735	wh2_dlc11_cst_inf_zombie_gunnery_mob_0
wh2_main_special_settlement_khemri_brt_3	1024017872	wh_main_brt_inf_peasant_bowmen
wh2_main_special_settlement_skavenblight_other_4	102476352	wh_main_grn_inf_night_goblin_archers
wh2_main_special_settlement_colony_minor_other_2	1024790456	wh_main_grn_inf_goblin_archers
wh_main_dwf_outpostnorsca_major_5	1024821595	wh_main_dwf_inf_ironbreakers
wh2_main_special_fortress_gate_griffon_cst_3	1024823786	wh2_dlc11_cst_inf_depth_guard_1
wh2_main_savageorc_defence_norsca_1	1024869159	wh_main_grn_cav_savage_orc_boar_boyz
wh2_dlc11_vampirecoast_settlement_major_coast_4	1024983082	wh2_dlc11_cst_inf_depth_guard_0
wh2_main_special_settlement_lothern_skv_3	1025034972	wh2_main_skv_inf_clanrats_1
wh2_main_hef_outpostnorsca_major_4	1025308889	wh2_main_hef_cha_noble_0
wh2_dlc09_special_settlement_pyramid_of_nagash_tmb_4	1025365205	wh2_dlc09_tmb_inf_skeleton_archers_0
wh_main_special_settlement_eight_peaks_4_norsca	1025544130	wh_dlc08_nor_cha_skin_wolf_werekin_0
wh2_main_special_settlement_sartosa_skv_4	1025569112	wh2_main_skv_inf_death_runners_0
wh2_main_special_settlement_the_awakening_brt_4	1025698494	wh_main_brt_cha_paladin_0
wh2_main_special_settlement_colony_major_other_5	1025817884	wh2_main_lzd_cav_cold_ones_1
wh2_main_rogue_outpostnorsca_major_coast_1	1025982435	wh_main_vmp_mon_dire_wolves
wh2_main_rogue_settlement_minor_coast_1	1026028229	wh_main_emp_cav_outriders_1
wh2_main_rogue_settlement_major_2	1026093947	wh2_main_lzd_mon_bastiladon_0
wh2_main_rogue_settlement_major_coast_1	1026145226	wh_main_dwf_veh_gyrobomber
wh2_main_rogue_settlement_minor_coast_3	1026318995	wh_main_brt_cav_pegasus_knights
wh2_main_special_settlement_lothern_lzd_2	1026329706	wh2_main_lzd_inf_skink_cohort_0
wh_main_nor_outpost_major_human_2_coast	1026419004	wh_main_nor_inf_chaos_marauders_0
wh2_main_special_settlement_lahmia_dwf_5	1026595040	wh_main_dwf_inf_longbeards_1
wh2_main_special_settlement_the_awakening_dwf_3	1026718635	wh_main_dwf_inf_miners_0
wh2_main_special_settlement_hellpit_other_5	1026745827	wh2_main_def_inf_black_guard_0
wh2_main_special_settlement_the_awakening_cst_3	1026779063	wh2_dlc11_cst_inf_depth_guard_0
wh2_main_special_settlement_colony_minor_other_1	1026875409	wh_dlc07_brt_cav_knights_errant_0
wh2_main_hef_outpostnorsca_minor_1	102691372	wh2_main_hef_inf_archers_0
wh2_main_special_fortress_gate_eagle_untainted_4	1027026979	wh2_dlc09_tmb_art_screaming_skull_catapult_0
wh_main_grn_outpostnorsca_major_1_coast	1028172803	wh_main_grn_inf_goblin_spearmen
wh2_main_rogue_settlement_major_coast_3	1028243882	wh_main_chs_cav_chaos_knights_0
wh2_main_special_fortress_gate_griffon_untainted_3	1028453378	wh2_dlc09_tmb_inf_tomb_guard_1
wh2_main_rogue_outpostnorsca_minor_coast_3	102852413	wh_main_emp_art_helstorm_rocket_battery
wh2_main_special_settlement_skavenblight_2	1028565640	wh2_main_skv_inf_night_runners_1
wh2_main_rogue_settlement_minor_1	1029052568	wh_dlc05_wef_inf_dryads_0
wh2_main_rogue_settlement_minor_1	1029157117	wh_dlc06_grn_cav_squig_hoppers_0
wh2_main_special_settlement_athel_loren_brt_5	1029180620	wh_main_brt_inf_peasant_bowmen
wh2_dlc09_special_settlement_pyramid_of_nagash_skv_3	1029198349	wh2_main_skv_mon_rat_ogres
wh2_main_special_settlement_karaz_a_karak_cst_1	1029208398	wh2_dlc11_cst_inf_zombie_deckhands_mob_0
wh2_main_special_settlement_khemri_def_1	1029263002	wh2_main_def_inf_darkshards_0
wh2_main_rogue_settlement_minor_3	1029341214	wh2_main_hef_inf_spearmen_0
wh2_main_special_settlement_itza_cst_1	1029764965	wh2_dlc11_cst_inf_zombie_gunnery_mob_0
wh2_main_special_settlement_athel_loren_grn_4	1029961449	wh_main_grn_inf_night_goblin_archers
wh2_dlc09_special_settlement_karaz_a_karak_tmb_3	1030076315	wh2_dlc09_tmb_inf_skeleton_archers_0
wh2_main_rogue_outpostnorsca_major_1	1030097343	wh2_main_def_cav_dark_riders_1
wh_main_nor_outpost_minor_human_3_coast	1030327351	wh_dlc08_nor_inf_marauder_hunters_0
wh2_dlc09_tmb_settlement_minor_3	1030345893	wh2_dlc09_tmb_inf_nehekhara_warriors_0
wh2_main_special_settlement_hexoatl_def_2	1030371003	wh2_main_def_inf_bleakswords_0
wh2_dlc11_cst_outpostnorsca_major_1_coast	1030374923	wh2_dlc11_cst_inf_zombie_deckhands_mob_0
wh2_main_special_clar_karond_lairs_grn	103049473	wh_main_grn_mon_giant
wh2_main_def_outpostnorsca_minor_2	1030604747	wh2_main_def_inf_dreadspears_0
wh2_main_special_settlement_hexoatl_other_lzd_1	1030666059	wh2_main_lzd_inf_skink_cohort_0
wh2_main_special_settlement_athel_loren_skv_2	1030699405	wh2_main_skv_inf_night_runners_0
wh2_main_special_settlement_hellpit_other_4	1030886357	wh2_dlc09_tmb_mon_ushabti_0
wh2_main_special_fortress_gate_unicorn_untainted_2	1030898875	wh2_dlc09_tmb_inf_tomb_guard_0
wh2_main_special_settlement_gaean_vale_skv_1	1031024358	wh2_main_skv_inf_clanrats_0
wh2_main_special_settlement_khemri_dwf_1	1031073353	wh_main_dwf_inf_miners_0
wh2_main_special_settlement_the_awakening_hef_4	1031095891	wh2_main_hef_inf_lothern_sea_guard_1
wh2_main_special_settlement_colony_major_other_2	1031244688	wh2_main_def_inf_black_ark_corsairs_0
wh_main_special_settlement_couronne_2_brt	1031477727	wh_main_brt_cav_mounted_yeomen_0
wh2_main_rogue_settlement_minor_1	1031495899	wh_main_vmp_mon_crypt_horrors
wh2_main_rogue_settlement_major_coast_1	1031703545	wh_dlc05_wef_inf_dryads_0
wh2_main_rogue_outpostnorsca_minor_coast_3	1031966052	wh2_main_hef_inf_lothern_sea_guard_0
wh2_main_special_settlement_khemri_def_4	1032090839	wh2_main_def_inf_black_ark_corsairs_0
wh2_main_special_settlement_athel_loren_skv_3	1032095525	wh2_main_skv_inf_night_runners_0
wh2_dlc11_special_settlement_galleons_graveyard_5	1032215248	wh2_dlc11_cst_inf_depth_guard_0
wh2_main_rogue_outpostnorsca_major_1	1032665085	wh_main_chs_cav_chaos_knights_0
wh2_main_special_settlement_lothern_def_1	1032784932	wh2_main_def_inf_dreadspears_0
wh2_dlc11_vampirecoast_settlement_major_coast_1	1032869770	wh2_dlc11_cst_cav_deck_droppers_0
wh2_main_special_settlement_khemri_lzd_3	1033050873	wh2_main_lzd_inf_skink_cohort_1
wh2_main_special_settlement_naggarond_skv_3	1033150605	wh2_main_skv_inf_death_runners_0
wh2_main_special_fortress_gate_eagle_untainted_5	1033432152	wh2_dlc09_tmb_art_screaming_skull_catapult_0
wh2_dlc09_special_settlement_kislev_tmb_4	1033551863	wh2_dlc09_tmb_art_screaming_skull_catapult_0
wh2_main_rogue_settlement_minor_coast_3	1033564265	wh_main_vmp_mon_crypt_horrors
wh2_main_special_settlement_skavenblight_other_4	1033663709	wh2_main_hef_inf_white_lions_of_thrace_0
wh2_dlc09_tmb_outpostnorsca_major_4_coast	1033668749	wh2_dlc09_tmb_inf_nehekhara_warriors_0
wh2_main_special_salzenmund_laurelorn_hef_1	1033721783	wh2_main_hef_inf_white_lions_of_thrace_0
wh2_main_special_settlement_gaean_vale_skv_5	1034172528	wh2_main_skv_art_plagueclaw_catapult
wh2_main_hef_settlement_major_4	1034344808	wh2_main_hef_cha_noble_0
wh2_main_special_fortress_gate_phoenix_untainted_4	1034356441	wh2_dlc09_tmb_mon_carrion_0
wh2_main_special_settlement_hellpit_other_2	1034376013	wh_main_vmp_mon_fell_bats
wh_dlc05_special_settlement_lothern_4_wef	1034383596	wh_dlc05_wef_mon_great_eagle_0
