campaign_rogue_army_spawn_regions_tables	0
wh2_main_grand_rogue_spawn_norsca	16893897	wh_main_mountains_of_naglfari_naglfari_plain
wh2_main_vor_rogue_spawn_southlands_south	1691020865	wh2_main_vor_the_jungles_of_the_gods_caverns_of_sotek
wh2_main_grand_rogue_spawn_istmus	1696610606	wh2_main_isthmus_of_lustria_ziggurat_of_dawn
wh2_main_grand_rogue_spawn_badlands_west	1697073945	wh_main_southern_badlands_galbaraz
wh2_main_vor_rogue_spawn_naggaroth_south	1697912832	wh2_main_vor_iron_peaks_the_moon_shard
wh2_main_grand_rogue_spawn_naggaroth_north	17005486	wh2_main_the_road_of_skulls_spite_reach
wh2_main_grand_rogue_spawn_naggaroth_central	1713683883	wh2_main_obsidian_peaks_circle_of_destruction
wh2_main_grand_rogue_spawn_naggaroth_north	1715336037	wh2_main_the_chill_road_ghrond
wh2_main_grand_rogue_spawn_southlands_east	1715617099	wh2_main_devils_backbone_lahmia
wh2_main_grand_rogue_spawn_badlands_north	17161486	wh_main_blood_river_valley_barak_varr
wh2_main_vor_rogue_spawn_southlands_west	1723021333	wh2_main_vor_the_great_desert_pools_of_despair
wh2_main_grand_rogue_spawn_norsca	1724867578	wh_main_mountains_of_hel_winter_pyre
wh2_main_vor_rogue_spawn_ulthuan_east	1727183239	wh2_main_vor_chrace_elisia
wh2_main_grand_rogue_spawn_oldworld_central	1729670594	wh_main_middenland_middenheim
wh2_main_grand_rogue_spawn_badlands_north	1738258496	wh_main_the_silver_road_karaz_a_karak
wh2_main_grand_rogue_spawn_southlands_west	1740499192	wh2_main_atalan_mountains_martek
wh2_main_grand_rogue_spawn_southlands_east	1743342705	wh2_main_kingdom_of_beasts_serpent_coast
wh2_main_vor_rogue_spawn_southlands_south	1744314357	wh2_main_vor_heart_of_the_jungle_oreons_camp
wh2_main_grand_rogue_spawn_southlands_central	175065826	wh2_main_shifting_sands_bhagar
wh2_main_vor_rogue_spawn_southlands_west	175079452	wh2_main_vor_the_great_desert_bel_aliad
wh2_main_grand_rogue_spawn_oldworld_east	1753756483	wh_main_southern_oblast_fort_jakova
wh2_main_vor_rogue_spawn_southlands_east	1758256540	wh2_main_vor_shifting_sands_ka-sabar
wh2_main_vor_rogue_spawn_lustria_east	1762220122	wh2_main_vor_northern_great_jungle_chaqua
wh2_main_vor_rogue_spawn_naggaroth_south	1762409466	wh2_main_vor_the_black_coast_bleak_hold_fortress
wh2_main_vor_rogue_spawn_lustria_south	1765252147	wh2_main_vor_culchan_plains_kaiax
wh2_main_vor_rogue_spawn_istmus	1773294064	wh2_main_vor_forest_of_the_viper_mirror_pool_of_tepok
wh2_main_vor_rogue_spawn_southlands_east	1778659167	wh2_main_vor_ash_river_quatar
wh2_main_vor_rogue_spawn_southlands_east	1799984569	wh2_main_vor_shifting_sands_bhagar
wh2_main_vor_rogue_spawn_naggaroth_west	1800040209	wh2_main_vor_obsidian_peaks_ice_spire
wh2_main_grand_rogue_spawn_ulthuan_west	1800854421	wh2_main_eataine_lothern
wh2_main_grand_rogue_spawn_southlands_east	1810178964	wh2_main_kingdom_of_beasts_temple_of_skulls
wh2_main_grand_rogue_spawn_badlands_east	1812635537	wh_main_desolation_of_nagash_karak_azul
wh2_main_vor_rogue_spawn_istmus	1813380880	wh2_main_vor_jungle_of_pahualaxa_the_high_sentinel
wh2_main_grand_rogue_spawn_oldworld_east	1822972372	wh_main_eastern_sylvania_castle_drakenhof
wh2_main_vor_rogue_spawn_ulthuan_central	182761597	wh2_main_vor_avelorn_evershale
wh2_main_grand_rogue_spawn_oldworld_south	1833422814	wh_main_black_mountains_mighdal_vongalbarak
wh2_main_grand_rogue_spawn_oldworld_central	1834350203	wh_main_ostermark_mordheim
wh2_main_vor_rogue_spawn_lustria_east	1843313720	wh2_main_vor_river_qurveza_mouth_of_qurveza
wh2_main_grand_rogue_spawn_southlands_west	1849837452	wh2_main_great_desert_of_araby_el-kalabad
wh2_main_grand_rogue_spawn_norsca	1850553505	wh_main_helspire_mountains_graeling_moot
wh2_main_grand_rogue_spawn_naggaroth_central	1859092234	wh2_main_the_clawed_coast_hoteks_column
wh2_main_vor_rogue_spawn_southlands_south	1859167265	wh2_main_vor_the_capes_fortress_of_dawn
wh2_main_grand_rogue_spawn_oldworld_west	1860011737	wh_main_lyonesse_mousillon
wh2_main_grand_rogue_spawn_ulthuan_west	1868937310	wh2_main_eagle_gate
wh2_main_grand_rogue_spawn_southlands_east	1869182148	wh2_main_southlands_jungle_golden_tower_of_the_gods
wh2_main_vor_rogue_spawn_lustria_east	1870868237	wh2_main_vor_mosquito_swamps_xahutec
wh2_main_grand_rogue_spawn_oldworld_west	1873119205	wh_main_lyonesse_lyonesse
wh2_main_grand_rogue_spawn_naggaroth_north	1875200146	wh2_main_the_black_flood_temple_of_khaine
wh2_main_grand_rogue_spawn_ulthuan_central	1883925694	wh2_main_saphery_tower_of_hoeth
wh2_main_grand_rogue_spawn_oldworld_south	1886336280	wh_main_black_mountains_karak_angazhar
wh2_main_grand_rogue_spawn_naggaroth_central	1889297810	wh2_main_the_clawed_coast_the_twisted_glade
wh2_main_grand_rogue_spawn_ulthuan_west	1896292324	wh2_main_tiranoc_whitepeak
wh2_main_vor_rogue_spawn_naggaroth_north	1899223808	wh2_main_vor_iron_mountains_altar_of_ultimate_darkness
wh2_main_vor_rogue_spawn_istmus	1900105611	wh2_main_vor_coast_of_squalls_monument_of_the_sun
wh2_main_vor_rogue_spawn_lustria_south	1900291060	wh2_main_vor_culchan_plains_chupayotl
wh2_main_vor_rogue_spawn_istmus	190079353	wh2_main_vor_isthmus_of_lustria_monolith_of_fallen_gods
wh2_main_grand_rogue_spawn_lustria_east	1900995646	wh2_main_huahuan_desert_sentinels_of_xeti
wh2_main_grand_rogue_spawn_istmus	1912860246	wh2_main_isthmus_of_lustria_skeggi
wh2_main_grand_rogue_spawn_southlands_east	1927281408	wh2_main_kingdom_of_beasts_the_cursed_jungle
wh2_main_grand_rogue_spawn_southlands_east	1932434554	wh2_main_southlands_worlds_edge_mountains_karak_zorn
wh2_main_grand_rogue_spawn_lustria_east	1934925749	wh2_main_huahuan_desert_chamber_of_visions
wh2_main_grand_rogue_spawn_badlands_north	193631801	wh_main_death_pass_karak_drazh
wh2_main_grand_rogue_spawn_oldworld_south	1936499169	wh_main_estalia_magritta
wh2_main_grand_rogue_spawn_oldworld_south	1937598893	wh_main_the_vaults_karak_izor
wh2_main_grand_rogue_spawn_southlands_central	1939558315	wh2_main_ash_river_numas
wh2_main_vor_rogue_spawn_naggaroth_south	1940586615	wh2_main_vor_shadow_wood_clar_karond
wh2_main_vor_rogue_spawn_lustria_west	1941804987	wh2_main_vor_jungles_of_green_mist_wellsprings_of_eternity
wh2_main_grand_rogue_spawn_oldworld_central	1944449994	wh_main_averland_averheim
wh2_main_grand_rogue_spawn_oldworld_west	194849759	wh_main_northern_grey_mountains_blackstone_post
wh2_main_vor_rogue_spawn_southlands_south	1949041447	wh2_main_vor_the_lost_valleys_the_sentinel_of_time
wh2_main_grand_rogue_spawn_southlands_central	1951780607	wh2_main_shifting_sands_ka-sabar
wh2_main_grand_rogue_spawn_ulthuan_central	1952594434	wh2_main_eataine_tower_of_lysean
wh2_main_vor_rogue_spawn_naggaroth_north	1955125332	wh2_main_vor_aghol_wastelands_palace_of_princes
wh2_main_vor_rogue_spawn_southlands_south	1957124435	wh2_main_vor_shifting_mangrove_coastline_temple_avenue_of_gold
wh2_main_grand_rogue_spawn_oldworld_east	1964241587	wh_main_peak_pass_gnashraks_lair
wh2_main_vor_rogue_spawn_ulthuan_east	1965628101	wh2_main_vor_eataine_angerrial
wh2_main_vor_rogue_spawn_ulthuan_west	1969258435	wh2_main_vor_straits_of_lothern_tower_of_lysean
wh2_main_vor_rogue_spawn_naggaroth_west	1974470974	wh2_main_vor_ironfrost_glacier_ironfrost
wh2_main_grand_rogue_spawn_oldworld_east	1979011088	wh_main_troll_country_zoishenk
wh2_main_grand_rogue_spawn_oldworld_east	1981294744	wh_main_eastern_sylvania_eschen
wh2_main_grand_rogue_spawn_southlands_central	1985010361	wh2_main_shifting_sands_antoch
wh2_main_grand_rogue_spawn_southlands_east	1988884276	wh2_main_devils_backbone_lybaras
wh2_main_vor_rogue_spawn_ulthuan_east	1991684510	wh2_main_vor_albion_pack_ice_bay
wh2_main_grand_rogue_spawn_oldworld_west	2009903143	wh_main_northern_grey_mountains_grung_zint
wh2_main_vor_rogue_spawn_ulthuan_east	2011543186	wh2_main_vor_chrace_tor_gard
wh2_main_grand_rogue_spawn_oldworld_central	2016167336	wh_main_hochland_hergig
wh2_main_vor_rogue_spawn_naggaroth_north	2021333884	wh2_main_vor_the_chill_road_ghrond
wh2_main_vor_rogue_spawn_lustria_south	2021341484	wh2_main_vor_culchan_plains_the_hissing_god
wh2_main_grand_rogue_spawn_oldworld_south	2022940055	wh_main_southern_grey_mountains_grimhold
wh2_main_grand_rogue_spawn_ulthuan_west	2028494332	wh2_main_nagarythe_tor_dranil
wh2_main_vor_rogue_spawn_istmus	203267947	wh2_main_vor_jungle_of_pahualaxa_pahuax
wh2_main_vor_rogue_spawn_naggaroth_north	2032934915	wh2_main_vor_the_road_of_skulls_the_black_pillar
wh2_main_grand_rogue_spawn_ulthuan_west	2033357993	wh2_main_griffon_gate
