resource_costs_tables	2
id	treasury_cost	expenditure_type	income_type
wh2_dlc10_dwf_ritual_weapon_grim_resolve	0	RITUAL	RITUAL
wh2_dlc10_dwf_ritual_weapon_hammer_of_eight_peaks	0	RITUAL	RITUAL
wh2_dlc10_dwf_ritual_weapon_hammer_of_might	0	RITUAL	RITUAL
wh2_dlc10_dwf_ritual_weapon_hammer_of_parrying	0	RITUAL	RITUAL
wh2_dlc10_dwf_ritual_weapon_oathhammer	0	RITUAL	RITUAL
wh2_dlc10_dwf_ritual_weapon_pickaxe_of_breaking	0	RITUAL	RITUAL
wh2_dlc10_dwf_ritual_weapon_slayers_axe	0	RITUAL	RITUAL
wh2_dlc10_dwf_ritual_weapon_starbreaker	0	RITUAL	RITUAL
wh2_dlc10_dwf_ritual_weapon_trollslayer_axe	0	RITUAL	RITUAL
wh2_dlc10_dwf_scrap_common_magic_item	0	RITUAL	RITUAL
wh2_dlc10_dwf_scrap_legendary_magic_item	0	RITUAL	RITUAL
wh2_dlc10_dwf_scrap_rare_magic_item	0	RITUAL	RITUAL
wh2_dlc10_dwf_scrap_uncommon_magic_item	0	RITUAL	RITUAL
wh2_dlc10_ritual_hef_lileath	-2000	RITUAL	RITUAL
wh2_dlc10_ritual_hef_morai_heg	-2500	RITUAL	RITUAL
wh2_dlc11_admiral_tech_cost	0	TECHNOLOGY	TECHNOLOGY
wh2_dlc11_resource_cost_cst_captives	0	ACTIONS	BATTLE_KILLS
wh2_dlc11_ritual_cst_bountiful_treasure	0	RITUAL	RITUAL
wh2_dlc11_ritual_cst_eternal_service	-2000	RITUAL	RITUAL
wh2_dlc11_ritual_cst_queens_cannon	-1000	RITUAL	RITUAL
wh2_dlc11_ritual_cst_sea_mist	-3500	RITUAL	RITUAL
wh2_dlc11_vmp_ritual_bloodline_awaken	0	RITUAL	RITUAL
wh2_dlc11_vmp_ritual_bloodline_awaken_01	0	RITUAL	RITUAL
wh2_dlc11_vmp_ritual_bloodline_awaken_02	0	RITUAL	RITUAL
wh2_dlc11_vmp_ritual_bloodline_awaken_03	0	RITUAL	RITUAL
wh2_main_resource_cost_menace_below_1	0	FORCE_ABILITIES	OTHER
wh2_main_resource_cost_menace_below_2	0	FORCE_ABILITIES	OTHER
wh2_main_resource_cost_menace_below_3	0	FORCE_ABILITIES	OTHER
wh2_main_resource_cost_menace_below_4	0	FORCE_ABILITIES	OTHER
wh2_main_resource_cost_menace_below_5	0	FORCE_ABILITIES	OTHER
wh2_main_resource_cost_ritual_vortex_start	5000	RITUAL	RITUAL
wh2_main_resource_cost_skv_eat_captives_food	0	DISASTER	SUBJUGATION
wh2_main_resource_cost_skv_occupy_primary_slot_2	0	COLONISE	OTHER
wh2_main_resource_cost_skv_occupy_primary_slot_3	0	COLONISE	OTHER
wh2_main_resource_cost_skv_occupy_primary_slot_4	0	COLONISE	OTHER
wh2_main_resource_cost_skv_occupy_primary_slot_5	0	COLONISE	OTHER
wh2_main_ritual_hef_asuryan	-2000	RITUAL	RITUAL
wh2_main_ritual_hef_hoeth	-2000	RITUAL	RITUAL
wh2_main_ritual_hef_isha	-2000	RITUAL	RITUAL
wh2_main_ritual_hef_vaul	-1500	RITUAL	RITUAL
wh2_main_ritual_intervention_1	-2000	RITUAL	RITUAL
wh2_main_ritual_intervention_2	-5000	RITUAL	RITUAL
wh2_main_ritual_intervention_3	-10000	RITUAL	RITUAL
wh2_main_ritual_lzd_ferocity	-2000	RITUAL	RITUAL
wh2_main_ritual_lzd_primeval_glory	-12000	RITUAL	RITUAL
wh2_main_ritual_lzd_sotek	-3000	RITUAL	RITUAL
wh2_main_ritual_skv_ascendancy	-3000	RITUAL	RITUAL
wh2_main_ritual_skv_doooom	-800	RITUAL	RITUAL
wh2_main_ritual_skv_pestilence	-1000	RITUAL	RITUAL
wh2_main_ritual_skv_thirteen	-1313	RITUAL	RITUAL
wh2_main_ritual_vortex_1	0	RITUAL	RITUAL
wh2_main_ritual_vortex_2	0	RITUAL	RITUAL
wh2_main_ritual_vortex_3	0	RITUAL	RITUAL
wh2_main_ritual_vortex_4	0	RITUAL	RITUAL
wh2_main_ritual_vortex_5	0	RITUAL	RITUAL
