campaign_rogue_army_setups_tables	0
budget	difficulty_level	faction	group
0	0	wh2_dlc11_cst_rogue_freebooters_of_port_royale	wh2_dlc11_cst_rogue_freebooters_of_port_royale
0	1	wh2_dlc11_cst_rogue_freebooters_of_port_royale	wh2_dlc11_cst_rogue_freebooters_of_port_royale
0	2	wh2_dlc11_cst_rogue_freebooters_of_port_royale	wh2_dlc11_cst_rogue_freebooters_of_port_royale
0	3	wh2_dlc11_cst_rogue_freebooters_of_port_royale	wh2_dlc11_cst_rogue_freebooters_of_port_royale
0	4	wh2_dlc11_cst_rogue_freebooters_of_port_royale	wh2_dlc11_cst_rogue_freebooters_of_port_royale
0	0	wh2_dlc11_cst_rogue_grey_point_scuttlers	wh2_dlc11_cst_rogue_grey_point_scuttlers
0	1	wh2_dlc11_cst_rogue_grey_point_scuttlers	wh2_dlc11_cst_rogue_grey_point_scuttlers
0	2	wh2_dlc11_cst_rogue_grey_point_scuttlers	wh2_dlc11_cst_rogue_grey_point_scuttlers
0	3	wh2_dlc11_cst_rogue_grey_point_scuttlers	wh2_dlc11_cst_rogue_grey_point_scuttlers
0	4	wh2_dlc11_cst_rogue_grey_point_scuttlers	wh2_dlc11_cst_rogue_grey_point_scuttlers
0	0	wh2_dlc11_cst_rogue_terrors_of_the_dark_straights	wh2_dlc11_cst_rogue_terrors_of_the_dark_straights
0	1	wh2_dlc11_cst_rogue_terrors_of_the_dark_straights	wh2_dlc11_cst_rogue_terrors_of_the_dark_straights
0	2	wh2_dlc11_cst_rogue_terrors_of_the_dark_straights	wh2_dlc11_cst_rogue_terrors_of_the_dark_straights
0	3	wh2_dlc11_cst_rogue_terrors_of_the_dark_straights	wh2_dlc11_cst_rogue_terrors_of_the_dark_straights
0	4	wh2_dlc11_cst_rogue_terrors_of_the_dark_straights	wh2_dlc11_cst_rogue_terrors_of_the_dark_straights
0	0	wh2_dlc11_cst_rogue_the_churning_gulf_raiders	wh2_dlc11_cst_rogue_the_churning_gulf_raiders
0	1	wh2_dlc11_cst_rogue_the_churning_gulf_raiders	wh2_dlc11_cst_rogue_the_churning_gulf_raiders
0	2	wh2_dlc11_cst_rogue_the_churning_gulf_raiders	wh2_dlc11_cst_rogue_the_churning_gulf_raiders
0	3	wh2_dlc11_cst_rogue_the_churning_gulf_raiders	wh2_dlc11_cst_rogue_the_churning_gulf_raiders
0	4	wh2_dlc11_cst_rogue_the_churning_gulf_raiders	wh2_dlc11_cst_rogue_the_churning_gulf_raiders
0	0	wh2_dlc11_cst_rogue_tyrants_of_the_black_ocean	wh2_dlc11_cst_rogue_tyrants_of_the_black_ocean
0	1	wh2_dlc11_cst_rogue_tyrants_of_the_black_ocean	wh2_dlc11_cst_rogue_tyrants_of_the_black_ocean
0	2	wh2_dlc11_cst_rogue_tyrants_of_the_black_ocean	wh2_dlc11_cst_rogue_tyrants_of_the_black_ocean
0	3	wh2_dlc11_cst_rogue_tyrants_of_the_black_ocean	wh2_dlc11_cst_rogue_tyrants_of_the_black_ocean
0	4	wh2_dlc11_cst_rogue_tyrants_of_the_black_ocean	wh2_dlc11_cst_rogue_tyrants_of_the_black_ocean
0	0	wh2_dlc11_cst_shanty_dragon_spine_privateers	wh2_dlc11_cst_shanty_dragon_spine_privateers
0	1	wh2_dlc11_cst_shanty_dragon_spine_privateers	wh2_dlc11_cst_shanty_dragon_spine_privateers
0	2	wh2_dlc11_cst_shanty_dragon_spine_privateers	wh2_dlc11_cst_shanty_dragon_spine_privateers
0	3	wh2_dlc11_cst_shanty_dragon_spine_privateers	wh2_dlc11_cst_shanty_dragon_spine_privateers
0	4	wh2_dlc11_cst_shanty_dragon_spine_privateers	wh2_dlc11_cst_shanty_dragon_spine_privateers
0	0	wh2_dlc11_cst_shanty_middle_sea_brigands	wh2_dlc11_cst_shanty_middle_sea_brigands
0	1	wh2_dlc11_cst_shanty_middle_sea_brigands	wh2_dlc11_cst_shanty_middle_sea_brigands
0	2	wh2_dlc11_cst_shanty_middle_sea_brigands	wh2_dlc11_cst_shanty_middle_sea_brigands
0	3	wh2_dlc11_cst_shanty_middle_sea_brigands	wh2_dlc11_cst_shanty_middle_sea_brigands
0	4	wh2_dlc11_cst_shanty_middle_sea_brigands	wh2_dlc11_cst_shanty_middle_sea_brigands
0	0	wh2_dlc11_cst_shanty_shark_straight_seadogs	wh2_dlc11_cst_shanty_shark_straight_seadogs
0	1	wh2_dlc11_cst_shanty_shark_straight_seadogs	wh2_dlc11_cst_shanty_shark_straight_seadogs
0	2	wh2_dlc11_cst_shanty_shark_straight_seadogs	wh2_dlc11_cst_shanty_shark_straight_seadogs
0	3	wh2_dlc11_cst_shanty_shark_straight_seadogs	wh2_dlc11_cst_shanty_shark_straight_seadogs
0	4	wh2_dlc11_cst_shanty_shark_straight_seadogs	wh2_dlc11_cst_shanty_shark_straight_seadogs
2000	0	wh2_main_rogue_abominations	wh2_main_rogue_group_abominations
2000	1	wh2_main_rogue_abominations	wh2_main_rogue_group_abominations
2000	2	wh2_main_rogue_abominations	wh2_main_rogue_group_abominations
2000	3	wh2_main_rogue_abominations	wh2_main_rogue_group_abominations
2000	4	wh2_main_rogue_abominations	wh2_main_rogue_group_abominations
2000	0	wh2_main_rogue_beastcatchas	wh2_main_rogue_group_beastcatchas
2000	1	wh2_main_rogue_beastcatchas	wh2_main_rogue_group_beastcatchas
2000	2	wh2_main_rogue_beastcatchas	wh2_main_rogue_group_beastcatchas
2000	3	wh2_main_rogue_beastcatchas	wh2_main_rogue_group_beastcatchas
2000	4	wh2_main_rogue_beastcatchas	wh2_main_rogue_group_beastcatchas
2000	0	wh2_main_rogue_bernhoffs_brigands	wh2_main_rogue_group_bernhoffs_brigands
2000	1	wh2_main_rogue_bernhoffs_brigands	wh2_main_rogue_group_bernhoffs_brigands
2000	2	wh2_main_rogue_bernhoffs_brigands	wh2_main_rogue_group_bernhoffs_brigands
2000	3	wh2_main_rogue_bernhoffs_brigands	wh2_main_rogue_group_bernhoffs_brigands
2000	4	wh2_main_rogue_bernhoffs_brigands	wh2_main_rogue_group_bernhoffs_brigands
2000	0	wh2_main_rogue_black_spider_tribe	wh2_main_rogue_group_black_spider_tribe
2000	1	wh2_main_rogue_black_spider_tribe	wh2_main_rogue_group_black_spider_tribe
2000	2	wh2_main_rogue_black_spider_tribe	wh2_main_rogue_group_black_spider_tribe
2000	3	wh2_main_rogue_black_spider_tribe	wh2_main_rogue_group_black_spider_tribe
2000	4	wh2_main_rogue_black_spider_tribe	wh2_main_rogue_group_black_spider_tribe
2000	0	wh2_main_rogue_boneclubbers_tribe	wh2_main_rogue_group_boneclubbers_tribe
2000	1	wh2_main_rogue_boneclubbers_tribe	wh2_main_rogue_group_boneclubbers_tribe
2000	2	wh2_main_rogue_boneclubbers_tribe	wh2_main_rogue_group_boneclubbers_tribe
2000	3	wh2_main_rogue_boneclubbers_tribe	wh2_main_rogue_group_boneclubbers_tribe
2000	4	wh2_main_rogue_boneclubbers_tribe	wh2_main_rogue_group_boneclubbers_tribe
2000	0	wh2_main_rogue_celestial_storm	wh2_main_rogue_group_celestial_storm
2000	1	wh2_main_rogue_celestial_storm	wh2_main_rogue_group_celestial_storm
2000	2	wh2_main_rogue_celestial_storm	wh2_main_rogue_group_celestial_storm
2000	3	wh2_main_rogue_celestial_storm	wh2_main_rogue_group_celestial_storm
2000	4	wh2_main_rogue_celestial_storm	wh2_main_rogue_group_celestial_storm
2000	0	wh2_main_rogue_college_of_pyrotechnics	wh2_main_rogue_group_college_of_pyrotechnics
2000	1	wh2_main_rogue_college_of_pyrotechnics	wh2_main_rogue_group_college_of_pyrotechnics
2000	2	wh2_main_rogue_college_of_pyrotechnics	wh2_main_rogue_group_college_of_pyrotechnics
2000	3	wh2_main_rogue_college_of_pyrotechnics	wh2_main_rogue_group_college_of_pyrotechnics
2000	4	wh2_main_rogue_college_of_pyrotechnics	wh2_main_rogue_group_college_of_pyrotechnics
10000	0	wh2_main_rogue_def_chs_vashnaar	wh2_main_rogue_group_1
10000	1	wh2_main_rogue_def_chs_vashnaar	wh2_main_rogue_group_1
10000	2	wh2_main_rogue_def_chs_vashnaar	wh2_main_rogue_group_1
10000	3	wh2_main_rogue_def_chs_vashnaar	wh2_main_rogue_group_1
10000	4	wh2_main_rogue_def_chs_vashnaar	wh2_main_rogue_group_1
2000	0	wh2_main_rogue_def_mengils_manflayers	wh2_main_rogue_group_mengils_manflayers
2000	1	wh2_main_rogue_def_mengils_manflayers	wh2_main_rogue_group_mengils_manflayers
2000	2	wh2_main_rogue_def_mengils_manflayers	wh2_main_rogue_group_mengils_manflayers
2000	3	wh2_main_rogue_def_mengils_manflayers	wh2_main_rogue_group_mengils_manflayers
2000	4	wh2_main_rogue_def_mengils_manflayers	wh2_main_rogue_group_mengils_manflayers
2000	0	wh2_main_rogue_doomseekers	wh2_main_rogue_group_doomseekers
2000	1	wh2_main_rogue_doomseekers	wh2_main_rogue_group_doomseekers
2000	2	wh2_main_rogue_doomseekers	wh2_main_rogue_group_doomseekers
2000	3	wh2_main_rogue_doomseekers	wh2_main_rogue_group_doomseekers
2000	4	wh2_main_rogue_doomseekers	wh2_main_rogue_group_doomseekers
2000	0	wh2_main_rogue_gerhardts_mercenaries	wh2_main_rogue_group_gerhardts_mercenaries
2000	1	wh2_main_rogue_gerhardts_mercenaries	wh2_main_rogue_group_gerhardts_mercenaries
2000	2	wh2_main_rogue_gerhardts_mercenaries	wh2_main_rogue_group_gerhardts_mercenaries
2000	3	wh2_main_rogue_gerhardts_mercenaries	wh2_main_rogue_group_gerhardts_mercenaries
2000	4	wh2_main_rogue_gerhardts_mercenaries	wh2_main_rogue_group_gerhardts_mercenaries
2000	0	wh2_main_rogue_hef_tor_elithis	wh2_main_rogue_group_tor_elithis
2000	1	wh2_main_rogue_hef_tor_elithis	wh2_main_rogue_group_tor_elithis
2000	2	wh2_main_rogue_hef_tor_elithis	wh2_main_rogue_group_tor_elithis
2000	3	wh2_main_rogue_hef_tor_elithis	wh2_main_rogue_group_tor_elithis
2000	4	wh2_main_rogue_hef_tor_elithis	wh2_main_rogue_group_tor_elithis
2000	0	wh2_main_rogue_hung_warband	wh2_main_rogue_group_hung_warband
2000	1	wh2_main_rogue_hung_warband	wh2_main_rogue_group_hung_warband
2000	2	wh2_main_rogue_hung_warband	wh2_main_rogue_group_hung_warband
2000	3	wh2_main_rogue_hung_warband	wh2_main_rogue_group_hung_warband
2000	4	wh2_main_rogue_hung_warband	wh2_main_rogue_group_hung_warband
2000	0	wh2_main_rogue_jerrods_errantry	wh2_main_rogue_group_jerrods_errantry
2000	1	wh2_main_rogue_jerrods_errantry	wh2_main_rogue_group_jerrods_errantry
2000	2	wh2_main_rogue_jerrods_errantry	wh2_main_rogue_group_jerrods_errantry
2000	3	wh2_main_rogue_jerrods_errantry	wh2_main_rogue_group_jerrods_errantry
2000	4	wh2_main_rogue_jerrods_errantry	wh2_main_rogue_group_jerrods_errantry
2000	0	wh2_main_rogue_mangy_houndz	wh2_main_rogue_group_mangy_houndz
2000	1	wh2_main_rogue_mangy_houndz	wh2_main_rogue_group_mangy_houndz
2000	2	wh2_main_rogue_mangy_houndz	wh2_main_rogue_group_mangy_houndz
2000	3	wh2_main_rogue_mangy_houndz	wh2_main_rogue_group_mangy_houndz
2000	4	wh2_main_rogue_mangy_houndz	wh2_main_rogue_group_mangy_houndz
2000	0	wh2_main_rogue_morrsliebs_howlers	wh2_main_rogue_group_morrsliebs_howlers
2000	1	wh2_main_rogue_morrsliebs_howlers	wh2_main_rogue_group_morrsliebs_howlers
2000	2	wh2_main_rogue_morrsliebs_howlers	wh2_main_rogue_group_morrsliebs_howlers
2000	3	wh2_main_rogue_morrsliebs_howlers	wh2_main_rogue_group_morrsliebs_howlers
2000	4	wh2_main_rogue_morrsliebs_howlers	wh2_main_rogue_group_morrsliebs_howlers
2000	0	wh2_main_rogue_pirates_of_the_far_sea	wh2_main_rogue_group_pirates_of_the_far_sea
2000	1	wh2_main_rogue_pirates_of_the_far_sea	wh2_main_rogue_group_pirates_of_the_far_sea
2000	2	wh2_main_rogue_pirates_of_the_far_sea	wh2_main_rogue_group_pirates_of_the_far_sea
2000	3	wh2_main_rogue_pirates_of_the_far_sea	wh2_main_rogue_group_pirates_of_the_far_sea
2000	4	wh2_main_rogue_pirates_of_the_far_sea	wh2_main_rogue_group_pirates_of_the_far_sea
2000	0	wh2_main_rogue_pirates_of_the_southern_ocean	wh2_main_rogue_group_pirates_of_the_southern_ocean
2000	1	wh2_main_rogue_pirates_of_the_southern_ocean	wh2_main_rogue_group_pirates_of_the_southern_ocean
2000	2	wh2_main_rogue_pirates_of_the_southern_ocean	wh2_main_rogue_group_pirates_of_the_southern_ocean
2000	3	wh2_main_rogue_pirates_of_the_southern_ocean	wh2_main_rogue_group_pirates_of_the_southern_ocean
2000	4	wh2_main_rogue_pirates_of_the_southern_ocean	wh2_main_rogue_group_pirates_of_the_southern_ocean
2000	0	wh2_main_rogue_pirates_of_trantio	wh2_main_rogue_group_pirates_of_trantio
2000	1	wh2_main_rogue_pirates_of_trantio	wh2_main_rogue_group_pirates_of_trantio
2000	2	wh2_main_rogue_pirates_of_trantio	wh2_main_rogue_group_pirates_of_trantio
2000	3	wh2_main_rogue_pirates_of_trantio	wh2_main_rogue_group_pirates_of_trantio
2000	4	wh2_main_rogue_pirates_of_trantio	wh2_main_rogue_group_pirates_of_trantio
2000	0	wh2_main_rogue_scions_of_tesseninck	wh2_main_rogue_group_scions_of_tesseninck
2000	1	wh2_main_rogue_scions_of_tesseninck	wh2_main_rogue_group_scions_of_tesseninck
2000	2	wh2_main_rogue_scions_of_tesseninck	wh2_main_rogue_group_scions_of_tesseninck
2000	3	wh2_main_rogue_scions_of_tesseninck	wh2_main_rogue_group_scions_of_tesseninck
2000	4	wh2_main_rogue_scions_of_tesseninck	wh2_main_rogue_group_scions_of_tesseninck
2000	0	wh2_main_rogue_scourge_of_aquitaine	wh2_main_rogue_group_scourge_of_aquitaine
2000	1	wh2_main_rogue_scourge_of_aquitaine	wh2_main_rogue_group_scourge_of_aquitaine
2000	2	wh2_main_rogue_scourge_of_aquitaine	wh2_main_rogue_group_scourge_of_aquitaine
2000	3	wh2_main_rogue_scourge_of_aquitaine	wh2_main_rogue_group_scourge_of_aquitaine
2000	4	wh2_main_rogue_scourge_of_aquitaine	wh2_main_rogue_group_scourge_of_aquitaine
2000	0	wh2_main_rogue_stuff_snatchers	wh2_main_rogue_group_stuff_snatchers
2000	1	wh2_main_rogue_stuff_snatchers	wh2_main_rogue_group_stuff_snatchers
2000	2	wh2_main_rogue_stuff_snatchers	wh2_main_rogue_group_stuff_snatchers
2000	3	wh2_main_rogue_stuff_snatchers	wh2_main_rogue_group_stuff_snatchers
2000	4	wh2_main_rogue_stuff_snatchers	wh2_main_rogue_group_stuff_snatchers
2000	0	wh2_main_rogue_teef_snatchaz	wh2_main_rogue_group_teef_snatchaz
2000	1	wh2_main_rogue_teef_snatchaz	wh2_main_rogue_group_teef_snatchaz
2000	2	wh2_main_rogue_teef_snatchaz	wh2_main_rogue_group_teef_snatchaz
2000	3	wh2_main_rogue_teef_snatchaz	wh2_main_rogue_group_teef_snatchaz
2000	4	wh2_main_rogue_teef_snatchaz	wh2_main_rogue_group_teef_snatchaz
2000	0	wh2_main_rogue_the_wandering_dead	wh2_main_rogue_group_the_wandering_dead
2000	1	wh2_main_rogue_the_wandering_dead	wh2_main_rogue_group_the_wandering_dead
2000	2	wh2_main_rogue_the_wandering_dead	wh2_main_rogue_group_the_wandering_dead
2000	3	wh2_main_rogue_the_wandering_dead	wh2_main_rogue_group_the_wandering_dead
2000	4	wh2_main_rogue_the_wandering_dead	wh2_main_rogue_group_the_wandering_dead
1000	0	wh2_main_rogue_troll_skullz	wh2_main_rogue_group_troll_skullz
1000	1	wh2_main_rogue_troll_skullz	wh2_main_rogue_group_troll_skullz
1000	2	wh2_main_rogue_troll_skullz	wh2_main_rogue_group_troll_skullz
1000	3	wh2_main_rogue_troll_skullz	wh2_main_rogue_group_troll_skullz
1000	4	wh2_main_rogue_troll_skullz	wh2_main_rogue_group_troll_skullz
2000	0	wh2_main_rogue_vauls_expedition	wh2_main_rogue_group_vauls_expedition
2000	1	wh2_main_rogue_vauls_expedition	wh2_main_rogue_group_vauls_expedition
2000	2	wh2_main_rogue_vauls_expedition	wh2_main_rogue_group_vauls_expedition
2000	3	wh2_main_rogue_vauls_expedition	wh2_main_rogue_group_vauls_expedition
2000	4	wh2_main_rogue_vauls_expedition	wh2_main_rogue_group_vauls_expedition
2000	0	wh2_main_rogue_vmp_heirs_of_mourkain	wh2_main_rogue_group_heirs_of_mourkain
2000	1	wh2_main_rogue_vmp_heirs_of_mourkain	wh2_main_rogue_group_heirs_of_mourkain
2000	2	wh2_main_rogue_vmp_heirs_of_mourkain	wh2_main_rogue_group_heirs_of_mourkain
2000	3	wh2_main_rogue_vmp_heirs_of_mourkain	wh2_main_rogue_group_heirs_of_mourkain
2000	4	wh2_main_rogue_vmp_heirs_of_mourkain	wh2_main_rogue_group_heirs_of_mourkain
2000	0	wh2_main_rogue_wef_hunters_of_kurnous	wh2_main_rogue_group_hunters_of_kurnous
2000	1	wh2_main_rogue_wef_hunters_of_kurnous	wh2_main_rogue_group_hunters_of_kurnous
2000	2	wh2_main_rogue_wef_hunters_of_kurnous	wh2_main_rogue_group_hunters_of_kurnous
2000	3	wh2_main_rogue_wef_hunters_of_kurnous	wh2_main_rogue_group_hunters_of_kurnous
2000	4	wh2_main_rogue_wef_hunters_of_kurnous	wh2_main_rogue_group_hunters_of_kurnous
2000	0	wh2_main_rogue_worldroot_rangers	wh2_main_rogue_group_worldroot_rangers
2000	1	wh2_main_rogue_worldroot_rangers	wh2_main_rogue_group_worldroot_rangers
2000	2	wh2_main_rogue_worldroot_rangers	wh2_main_rogue_group_worldroot_rangers
2000	3	wh2_main_rogue_worldroot_rangers	wh2_main_rogue_group_worldroot_rangers
2000	4	wh2_main_rogue_worldroot_rangers	wh2_main_rogue_group_worldroot_rangers
2000	0	wh2_main_rogue_wrath_of_nature	wh2_main_rogue_group_wrath_of_nature
2000	1	wh2_main_rogue_wrath_of_nature	wh2_main_rogue_group_wrath_of_nature
2000	2	wh2_main_rogue_wrath_of_nature	wh2_main_rogue_group_wrath_of_nature
2000	3	wh2_main_rogue_wrath_of_nature	wh2_main_rogue_group_wrath_of_nature
2000	4	wh2_main_rogue_wrath_of_nature	wh2_main_rogue_group_wrath_of_nature
