battle_personalities_tables	7
key	man_animations_table	type	missile_type	variant	battle_entity	rider_attachment_point	battle_entity_stats	autonomous_rider_hero
wh2_dlc09_tmb_chariot_rider_1_king	hu1_tomb_wm_tomb_chariot01_sword_and_shield	autonomous_rider		wh2_dlc09_tmb_ch_tomb_king	wh2_dlc09_tmb_skeleton_infantry_hero_lord	ap_crewposition_1		false
wh2_dlc09_tmb_chariot_rider_1_necrotect	hu1_tomb_sword_and_whip	autonomous_rider		wh2_dlc09_tmb_necrotect	wh2_dlc09_tmb_skeleton_infantry_hero	ap_crewposition_1		false
wh2_dlc09_tmb_chariot_rider_1_prince	hu1_settra_wm_tomb_chariot01_2handed_halberd	autonomous_rider		wh2_dlc09_tmb_ch_tomb_prince_chariot	wh2_dlc09_tmb_skeleton_infantry_hero	ap_crewposition_1		false
wh2_dlc09_tmb_chariot_rider_1_settra	hu1_settra_wm_tomb_chariot01_2handed_halberd	autonomous_rider		wh2_dlc09_tmb_ch_settra	wh2_dlc09_tmb_skeleton_infantry_hero_lord	ap_crewposition_1		false
wh2_dlc09_tmb_necropolis_knights_ror	hu1_tomb_sn1_serpent_spear	autonomous_rider		wh2_dlc09_tmb_tomb_guard_spear_shield	wh2_dlc09_tmb_skeleton	ap_crewposition_0		false
wh2_dlc09_tmb_warsphinx_rider_0	hu1_tomb_wb_bigcat01_bow	autonomous_rider		wh2_dlc09_tmb_tomb_guard_bow	wh2_dlc09_tmb_warsphinx_rider_360	ap_crewposition_1	wh2_dlc09_tmb_chariot_bow	false
wh2_dlc09_tmb_warsphinx_rider_1	hu1_tomb_wb_bigcat01_bow	autonomous_rider		wh2_dlc09_tmb_tomb_guard_bow	wh2_dlc09_tmb_warsphinx_rider_360	ap_crewposition_2	wh2_dlc09_tmb_chariot_bow	false
wh2_dlc09_tmb_warsphinx_rider_2	hu1_tomb_wb_bigcat01_bow	autonomous_rider		wh2_dlc09_tmb_tomb_guard_bow	wh2_dlc09_tmb_warsphinx_rider_360	ap_crewposition_3	wh2_dlc09_tmb_chariot_bow	false
wh2_dlc09_tmb_warsphinx_rider_3	hu1_tomb_wb_bigcat01_bow	autonomous_rider		wh2_dlc09_tmb_tomb_guard_bow	wh2_dlc09_tmb_warsphinx_rider_360	ap_crewposition_4	wh2_dlc09_tmb_chariot_bow	false
wh2_dlc09_tmb_warsphinx_rider_settra	hu1_settra_2handed_halberd	autonomous_rider		wh2_dlc09_tmb_ch_settra	wh2_dlc09_tmb_skeleton_infantry_hero_lord	ap_crewposition_0		false
wh2_dlc09_tmb_warsphinx_rider_tomb_king	hu1_tomb_skeleton_sword_and_shield	autonomous_rider		wh2_dlc09_tmb_skeleton_sword_shield	wh2_dlc09_tmb_skeleton_infantry_hero_lord	ap_crewposition_0		false
wh2_dlc10_def_cha_crone_manticore_rider1	hu1b_elf_bc3_manticore_wb_dual_sword	autonomous_rider		wh2_dlc10_def_crone_hellebron	wh_main_cavalry_rider_standard_blood			true
wh2_dlc10_def_cha_supreme_sorceress_beasts_dragon_rider1	hu1b_elf_dr1_dragon_wb_staff_and_sword	autonomous_rider		wh2_main_def_sorceress_campaign_02	wh2_main_hef_rider_360_hero_blood			true
wh2_dlc10_def_cha_supreme_sorceress_beasts_manticore_rider1	hu1b_elf_bc3_manticore_wb_staff_and_sword	autonomous_rider		wh2_main_def_sorceress_campaign_02	wh_main_cavalry_rider_standard_blood			true
wh2_dlc10_def_cha_supreme_sorceress_dark_dragon_rider1	hu1b_elf_dr1_dragon_wb_staff_and_sword	autonomous_rider		wh2_main_def_sorceress_campaign_02	wh2_main_hef_rider_360_hero_blood			true
wh2_dlc10_def_cha_supreme_sorceress_dark_manticore_rider1	hu1b_elf_bc3_manticore_wb_staff_and_sword	autonomous_rider		wh2_main_def_sorceress_campaign_02	wh_main_cavalry_rider_standard_blood			true
wh2_dlc10_def_cha_supreme_sorceress_death_dragon_rider1	hu1b_elf_dr1_dragon_wb_staff_and_sword	autonomous_rider		wh2_main_def_sorceress_campaign_02	wh2_main_hef_rider_360_hero_blood			true
wh2_dlc10_def_cha_supreme_sorceress_death_manticore_rider1	hu1b_elf_bc3_manticore_wb_staff_and_sword	autonomous_rider		wh2_main_def_sorceress_campaign_02	wh_main_cavalry_rider_standard_blood			true
wh2_dlc10_def_cha_supreme_sorceress_fire_dragon_rider1	hu1b_elf_dr1_dragon_wb_staff_and_sword	autonomous_rider		wh2_main_def_sorceress_campaign_01	wh2_main_hef_rider_360_hero_blood			true
wh2_dlc10_def_cha_supreme_sorceress_fire_manticore_rider1	hu1b_elf_bc3_manticore_wb_staff_and_sword	autonomous_rider		wh2_main_def_sorceress_campaign_01	wh_main_cavalry_rider_standard_blood			true
wh2_dlc10_def_cha_supreme_sorceress_shadow_dragon_rider1	hu1b_elf_dr1_dragon_wb_staff_and_sword	autonomous_rider		wh2_main_def_sorceress_campaign_03	wh2_main_hef_rider_360_hero_blood			true
wh2_dlc10_def_cha_supreme_sorceress_shadow_manticore_rider1	hu1b_elf_bc3_manticore_wb_staff_and_sword	autonomous_rider		wh2_main_def_sorceress_campaign_03	wh_main_cavalry_rider_standard_blood			true
wh2_dlc10_def_veh_cauldron_of_blood_crone	hu1b_elf_dual_sword	autonomous_rider		wh2_dlc10_def_crone_hellebron	wh_main_cavalry_rider_standard_blood	ap_crewposition_0		true
wh2_dlc10_hef_alarielle_the_radiant_eagle_rider1	hu1b_elf_bi1_alarielle_wb_staff_and_sword	autonomous_rider		wh2_dlc10_hef_alarielle	wh2_main_hef_rider_360_alarielle_blood			false
wh2_dlc10_hef_cha_alith_anar_dragon_rider1	hu1d_elf_dr1_dragon_wb_sword_and_bow	autonomous_rider	wh2_dlc10_hef_alith_anar_arrow	wh2_main_PLACEHOLDER	wh_main_infantry_standard_large_blood			true
wh2_dlc10_hef_chariot_mage_heavens	hu1b_elf_wm_tiranoc_chariot01_staff_and_sword	autonomous_rider		wh2_main_hef_mage_rider	wh2_main_infantry_standard_wizard_blood_dismembers_high	ap_crewposition_1		true
wh2_dlc10_hef_chariot_mage_shadows	hu1b_elf_wm_tiranoc_chariot01_staff_and_sword	autonomous_rider		wh2_main_hef_mage_rider	wh2_main_infantry_standard_wizard_blood_dismembers_high	ap_crewposition_1		true
wh2_dlc11_cst_cha_aranessa_1	hu1b_cst_aranessa_cr1_promethean_wb_halberd	autonomous_rider		wh2_dlc11_cst_ch_aranessa_saltspite	wh_main_cavalry_rider_standard_blood			true
wh2_dlc11_cst_cha_gunnery_wight_1	hu1_cst_gunnery_cr1_promethean_wb_rifle	autonomous_rider		wh2_dlc11_cst_gunnery_wight	wh_main_cavalry_rider_standard_blood		wh2_dlc11_cst_cha_gunnery_wight_1	true
wh2_dlc11_cst_cha_luthor_harkon_1	hu1_cst_luthor_bi2_terrorgheist_wb_cutlass_and_pistol	autonomous_rider		wh2_dlc11_cst_cha_luthor_harkon	wh2_dlc11_infantry_luthor_harkon_hero_blood		wh2_dlc11_cst_cha_luthor_harkon_1	true
wh2_dlc11_cst_cha_vampire_fleet_admiral_1	hu1_cst_admiral_cr1_promethean_wb_halberd	autonomous_rider		wh2_dlc11_cst_ch_vampire_fleet_admiral	wh_main_cavalry_rider_standard_blood		wh2_cst_vampire_fleet_admiral_female_promethean	true
wh2_dlc11_cst_cha_vampire_fleet_admiral_death_1	hu1_cst_admiral_cr1_promethean_wb_halberd	autonomous_rider		wh2_dlc11_cst_ch_vampire_fleet_admiral	wh_main_cavalry_rider_standard_blood		wh2_cst_vampire_fleet_admiral_female_promethean	true
wh2_dlc11_cst_cha_vampire_fleet_admiral_deeps_1	hu1_cst_admiral_cr1_promethean_wb_halberd	autonomous_rider		wh2_dlc11_cst_ch_vampire_fleet_admiral	wh_main_cavalry_rider_standard_blood		wh2_cst_vampire_fleet_admiral_female_promethean	true
wh2_dlc11_cst_cha_vampire_fleet_admiral_female_1	hu1b_cst_admiral_cr1_promethean_wb_cutlass_and_pistol	autonomous_rider		wh2_dlc11_cst_ch_vampire_fleet_admiral_female	wh_main_cavalry_rider_standard_blood		wh2_cst_vampire_fleet_admiral_female_promethean	true
wh2_dlc11_cst_cha_vampire_fleet_admiral_female_death_1	hu1b_cst_admiral_cr1_promethean_wb_cutlass_and_pistol	autonomous_rider		wh2_dlc11_cst_ch_vampire_fleet_admiral_female	wh_main_cavalry_rider_standard_blood		wh2_cst_vampire_fleet_admiral_female_promethean	true
wh2_dlc11_cst_cha_vampire_fleet_admiral_female_deeps_1	hu1b_cst_admiral_cr1_promethean_wb_cutlass_and_pistol	autonomous_rider		wh2_dlc11_cst_ch_vampire_fleet_admiral_female	wh_main_cavalry_rider_standard_blood		wh2_cst_vampire_fleet_admiral_female_promethean	true
wh2_dlc11_cst_leviathan_cylostra_rider0	hc9_cst_cylostra_cr1_leviathan_wb_fan_and_staff	autonomous_rider		wh2_dlc11_cst_cylostra	wh_main_infantry_rider	ap_leviathan_rider_5		true
wh2_dlc11_cst_leviathan_noctilus_rider0	hu1_cst_noctilus_gi2_colossus_wb_2handed_axe	autonomous_rider		wh2_dlc11_cst_cha_count_noctilus_necrofex_rider	wh_main_infantry_rider	ap_rider_0		true
wh2_dlc11_cst_mon_deck_dropper_rider_0	hu1_cst_deck_ba1_wb_pistol_and_sword	autonomous_rider		wh2_dlc11_cst_deck_dropper_riders_pistol	wh2_dlc11_infantry_deck_dropper_zombie	ap_rider_position_00	wh2_dlc11_cst_deck_droppers_0	false
wh2_dlc11_cst_mon_deck_dropper_rider_1	hu1_cst_deck_ba1_wb_bomb	autonomous_rider		wh2_dlc11_cst_deck_dropper_riders_bomb	wh2_dlc11_infantry_deck_dropper_zombie	ap_rider_position_00	wh2_dlc11_cst_deck_droppers_2	false
wh2_dlc11_cst_mon_deck_dropper_rider_2	hu1_cst_deck_ba1_wb_rifle	autonomous_rider		wh2_dlc11_cst_deck_dropper_riders_rifle	wh2_dlc11_infantry_deck_dropper_zombie	ap_rider_position_00	wh2_dlc11_cst_deck_droppers_1	false
wh2_dlc11_cst_mon_rotting_leviathan_rider_0	hu1_cst_zombie_cr1_leviathon_wb_rifle	autonomous_rider		wh2_dlc11_cst_zombie_gunnery_rider_rifle	wh2_dlc11_infantry_zombie_blood	ap_leviathan_rider_0	wh2_dlc11_cst_mon_rotting_leviathan_rider	false
wh2_dlc11_cst_mon_rotting_leviathan_rider_1	hu1_cst_zombie_cr1_leviathon_wb_rifle	autonomous_rider		wh2_dlc11_cst_zombie_gunnery_rider_rifle	wh2_dlc11_infantry_zombie_blood	ap_leviathan_rider_1	wh2_dlc11_cst_mon_rotting_leviathan_rider	false
wh2_dlc11_cst_mon_rotting_leviathan_rider_2	hu1_cst_zombie_cr1_leviathon_wb_rifle	autonomous_rider		wh2_dlc11_cst_zombie_gunnery_rider_rifle	wh2_dlc11_infantry_zombie_blood	ap_leviathan_rider_2	wh2_dlc11_cst_mon_rotting_leviathan_rider	false
wh2_dlc11_cst_mon_rotting_leviathan_rider_3	hu1_cst_zombie_cr1_leviathon_wb_rifle	autonomous_rider		wh2_dlc11_cst_zombie_gunnery_rider_rifle	wh2_dlc11_infantry_zombie_blood	ap_leviathan_rider_3	wh2_dlc11_cst_mon_rotting_leviathan_rider	false
wh2_dlc11_cst_mon_rotting_leviathan_rider_4	hu1_cst_zombie_cr1_leviathon_wb_rifle	autonomous_rider		wh2_dlc11_cst_zombie_gunnery_rider_rifle	wh2_dlc11_infantry_zombie_blood	ap_leviathan_rider_4	wh2_dlc11_cst_mon_rotting_leviathan_rider	false
wh2_dlc11_cst_mon_rotting_promethean_rider_0	hu1_cst_zombie_cr1_promethean_wb_hand_cannon	autonomous_rider	wh2_cst_handcannon_bullet	wh2_dlc11_cst_zombie_gunnery_rider_hand_cannon	wh2_dlc11_infantry_zombie_blood	ap_promethean_rider_0	wh2_dlc11_cst_mon_rotting_promeathean_rider	true
wh2_dlc11_cst_mon_rotting_promethean_rider_1	hu1_cst_zombie_cr1_promethean_wb_hand_cannon1	autonomous_rider	wh2_cst_handcannon_bullet	wh2_dlc11_cst_zombie_gunnery_rider_hand_cannon	wh2_dlc11_infantry_zombie_blood	ap_promethean_rider_1	wh2_dlc11_cst_mon_rotting_promeathean_rider	true
wh2_dlc11_cst_necrofex_colossus_rider0	hu1_cst_zombie_gi2_colossus_wb_crew_3	autonomous_rider		wh2_dlc11_cst_zombie_gunnery_rider_rifle	wh2_dlc11_infantry_zombie_blood	ap_rider_0	wh2_dlc11_cst_mon_necrofex_colossus_rider	false
wh2_dlc11_cst_necrofex_colossus_rider1	hu1_cst_zombie_gi2_colossus_wb_crew_2	autonomous_rider		wh2_dlc11_cst_zombie_gunnery_rider_rifle	wh2_dlc11_infantry_zombie_blood	ap_rider_1	wh2_dlc11_cst_mon_necrofex_colossus_rider	false
wh2_dlc11_cst_necrofex_colossus_rider2	hu1_cst_zombie_gi2_colossus_wb_crew_1	autonomous_rider		wh2_dlc11_cst_zombie_gunnery_rider_rifle	wh2_dlc11_infantry_zombie_blood	ap_rider_2	wh2_dlc11_cst_mon_necrofex_colossus_rider	false
wh2_dlc11_cst_necrofex_colossus_rider3	hu1_cst_zombie_gi2_colossus_wb_crew_5	autonomous_rider		wh2_dlc11_cst_zombie_gunnery_rider_rifle	wh2_dlc11_infantry_zombie_blood	ap_rider_3	wh2_dlc11_cst_mon_necrofex_colossus_rider	false
wh2_dlc11_cst_necrofex_colossus_rider4	hu1_cst_zombie_gi2_colossus_wb_crew_4	autonomous_rider		wh2_dlc11_cst_zombie_gunnery_rider_rifle	wh2_dlc11_infantry_zombie_blood	ap_rider_4	wh2_dlc11_cst_mon_necrofex_colossus_rider	false
wh2_dlc11_def_black_dragon_lokhir	hu1d_elf_dr1_dragon_wb_sword_and_shield	autonomous_rider		wh2_dlc11_def_cha_lokhir	wh_main_infantry_standard_large_blood			true
wh2_dlc11_vmp_cha_bloodline_lahmian_lord_3	hu1b_elf_dr1_dragon_wb_sword_and_shield	autonomous_rider		wh2_dlc11_vmp_bloodline_lahmian_lord_campaign_01	wh_main_infantry_standard_blood_dismembers			true
wh2_dlc12_lzd_lord_kroak_0	hu9_dlc12_kroak	autonomous_rider		wh2_dlc12_lzd_lord_kroak	wh2_main_lzd_slann_mage	ap_platform_rider_0		true
wh2_dlc12_lzd_mon_ancient_stegadon_rider_0	hu7_skink_hq1_stegadon_wb_javelin	autonomous_rider		wh2_main_lzd_skink_crew	wh2_main_lzd_warbeast_rider_360_blood	ap_platform_rider_3	wh2_main_lzd_mon_skink_rider_primary_ammo	false
wh2_dlc12_lzd_mon_ancient_stegadon_rider_1	hu7_skink_hq1_stegadon_wb_javelin	autonomous_rider		wh2_main_lzd_skink_crew	wh2_main_lzd_warbeast_rider_360_blood	ap_platform_rider_4	wh2_main_lzd_mon_skink_rider_primary_ammo	false
wh2_dlc12_lzd_mon_ancient_stegadon_rider_2	hu7_skink_hq1_stegadon_wb_javelin	autonomous_rider		wh2_main_lzd_skink_crew	wh2_main_lzd_warbeast_rider_360_blood	ap_platform_rider_5	wh2_main_lzd_mon_skink_rider_primary_ammo	false
wh2_dlc12_lzd_mon_ancient_stegadon_rider_3	hu7_skink_hq1_stegadon_wb_javelin	autonomous_rider		wh2_main_lzd_skink_crew	wh2_main_lzd_warbeast_rider_360_blood	ap_platform_rider_6	wh2_main_lzd_mon_skink_rider_primary_ammo	false
wh2_dlc12_lzd_mon_ancient_stegadon_rider_tehenhauin_0	hu7_dlc12_skink_hq1_stegadon_wb_sword_and_plaque	autonomous_rider		wh2_dlc12_lzd_tehenhauin_01	wh2_main_lzd_warbeast_rider_360_hero_blood	ap_platform_rider_engine		true
wh2_dlc12_lzd_mon_stegadon_engine_rider_0	hu7_skink_hq1_stegadon_wb_javelin	autonomous_rider		wh2_main_lzd_skink_crew	wh2_main_lzd_warbeast_rider_360_blood	ap_platform_rider_7	wh2_main_lzd_mon_skink_rider_primary_ammo	false
wh2_dlc12_lzd_mon_stegadon_engine_rider_1	hu7_skink_hq1_stegadon_wb_javelin	autonomous_rider		wh2_main_lzd_skink_crew	wh2_main_lzd_warbeast_rider_360_blood	ap_platform_rider_8	wh2_main_lzd_mon_skink_rider_primary_ammo	false
wh2_dlc12_lzd_mon_stegadon_engine_rider_2	hu7_skink_hq1_stegadon_wb_javelin	autonomous_rider		wh2_main_lzd_skink_crew	wh2_main_lzd_warbeast_rider_360_blood	ap_platform_rider_engine	wh2_main_lzd_mon_skink_rider_primary_ammo	false
wh2_dlc12_lzd_mon_stegadon_rider_red_crested_skink_chief_0	hu7_dlc12_skink_chief_2h_greatweapon	autonomous_rider		wh2_dlc12_lzd_skink_chief_red_crested	wh2_main_lzd_warbeast_rider_360_hero_blood	ap_platform_rider_0		true
wh2_dlc12_skv_veh_doom_flayer_driver_0	hu17_dlc12_skaven_doomflayer_driver_01	autonomous_rider		wh2_main_skv_skyre_artillery_crew	wh_main_infantry_rider_very_large_blood	ap_riderpos_01		false
wh2_dlc12_skv_veh_doom_flayer_driver_0_ror	hu17_dlc12_skaven_doomflayer_driver_01	autonomous_rider		wh2_dlc12_skv_skyre_artillery_crew_ror	wh_main_infantry_rider_very_large_blood	ap_riderpos_01		false
wh2_dlc12_skv_veh_doom_flayer_driver_0_ror_tech_lab	hu17_dlc12_skaven_doomflayer_driver_01	autonomous_rider		wh2_main_skv_skyre_artillery_crew_ror_tech_lab	wh_main_infantry_rider_very_large_blood	ap_riderpos_01		false
wh2_dlc12_skv_veh_doom_flayer_ikit_claw_0	hu17_dlc12_wm_doomflayer01_ikit_halberd_and_claw_gun	autonomous_rider		wh2_dlc12_skv_ikit	wh2_dlc12_skv_rider_doom_flayer_ikit_blood	ap_riderpos_01		true
wh2_dlc12_skv_veh_doom_flayer_warlock_master_0	hu17_dlc12_wm_doomflayer01_warlock_gauntlets	autonomous_rider		wh2_dlc12_skv_warlock_master	wh_main_infantry_rider_very_large_blood	ap_riderpos_01		false
wh2_dlc12_skv_veh_doomwheel_crew_0_ror_tech_lab	hu17_skaven_doom_wheel_driver_02	autonomous_rider		wh2_main_skv_skyre_artillery_crew_ror_tech_lab	wh2_main_infantry_rider_very_large	ap_crewposition_1		false
wh2_dlc12_skv_veh_doomwheel_crew_ikit_0	hu17_skaven_doom_wheel_driver_02	autonomous_rider		wh2_dlc12_skv_ikit_doomwheel_engineer_crew	wh2_main_infantry_rider_very_large	ap_crewposition_1		false
wh2_dlc12_skv_veh_doomwheel_driver_0_ror_tech_lab	hu17_skaven_doom_wheel_driver_01	autonomous_rider		wh2_main_skv_skyre_artillery_crew_ror_tech_lab	wh2_main_infantry_rider_very_large	ap_crewposition_0		false
wh2_dlc12_skv_veh_doomwheel_ikit_claw_0	hu17_dlc12_wm_doomwheel01_ikit_halberd_and_claw_gun	autonomous_rider		wh2_dlc12_skv_ikit_doomwheel	wh2_dlc12_skv_rider_doomwheel_ikit	ap_crewposition_0		true
wh2_dlc12_skv_veh_doomwheel_warlock_master_0	hu17_skaven_doom_wheel_driver_01	autonomous_rider		wh2_dlc12_skv_warlock_master	wh_main_infantry_rider_very_large_blood	ap_crewposition_0		true
wh2_dlc12_skv_veh_doomwheel_warp_lightning_ikit_0	wm_doomwheel_warp_lightning01	autonomous_rider		dummy_variant	wh2_main_skv_vehicle_doomwheel_warp_lightning_gun	ap_weapon_front	wh2_main_skv_veh_doomwheel_warp_lightning_ikit	false
wh2_dlc12_skv_veh_doomwheel_warp_lightning_ikit_1	wm_doomwheel_warp_lightning01	autonomous_rider		dummy_variant	wh2_main_skv_vehicle_doomwheel_warp_lightning_gun	ap_weapon_left	wh2_main_skv_veh_doomwheel_warp_lightning_ikit	false
wh2_dlc12_skv_veh_doomwheel_warp_lightning_ikit_2	wm_doomwheel_warp_lightning01	autonomous_rider		dummy_variant	wh2_main_skv_vehicle_doomwheel_warp_lightning_gun	ap_weapon_right	wh2_main_skv_veh_doomwheel_warp_lightning_ikit	false
wh2_dlc12_skv_veh_doomwheel_warp_lightning_ror_0	wm_doomwheel_warp_lightning01	autonomous_rider		dummy_variant	wh2_main_skv_vehicle_doomwheel_warp_lightning_gun	ap_weapon_front	wh2_dlc12_skv_veh_doomwheel_warp_lightning_ror	false
wh2_dlc12_skv_veh_doomwheel_warp_lightning_ror_1	wm_doomwheel_warp_lightning01	autonomous_rider		dummy_variant	wh2_main_skv_vehicle_doomwheel_warp_lightning_gun	ap_weapon_left	wh2_dlc12_skv_veh_doomwheel_warp_lightning_ror	false
wh2_dlc12_skv_veh_doomwheel_warp_lightning_ror_2	wm_doomwheel_warp_lightning01	autonomous_rider		dummy_variant	wh2_main_skv_vehicle_doomwheel_warp_lightning_gun	ap_weapon_right	wh2_dlc12_skv_veh_doomwheel_warp_lightning_ror	false
wh2_main_def_cold_one_chariot_charioteer	hu1d_elf_wm_cold_one_chariot01_whip	autonomous_rider		wh2_main_def_cold_one_chariot_charioteer	wh_main_cavalry_rider_standard_blood	ap_crewposition_0		false
wh2_main_def_cold_one_chariot_malekith	hu1d_elf_wm_cold_one_chariot01_sword_and_shield	autonomous_rider		wh2_main_def_malekith	wh2_main_def_infantry_hero_blood_malekith_rider	ap_crewposition_0		true
wh2_main_def_cold_one_chariot_rider1	hu1d_elf_wm_cold_one_chariot01_crossbow_01	autonomous_rider		wh2_main_def_cold_one_chariot_rider	wh2_main_rider_standard_360_blood	ap_crewposition_1	wh2_main_def_cold_one_chariot_archer	false
wh2_main_def_cold_one_chariot_rider2	hu1d_elf_wm_cold_one_chariot01_crossbow_02	autonomous_rider		wh2_main_def_cold_one_chariot_rider	wh2_main_rider_standard_360_blood	ap_crewposition_2	wh2_main_def_cold_one_chariot_archer	false
wh2_main_def_seraphon_malekith	hu1d_elf_dr1_dragon_wb_malekith_sword_and_shield	autonomous_rider		wh2_main_def_malekith	wh_main_infantry_standard_large_blood			true
wh2_main_def_veh_cauldron_of_blood_death_hag	hu1b_elf_dual_sword	autonomous_rider		wh2_main_def_death_hag_chalice	wh_main_cavalry_rider_standard_blood	ap_crewposition_0		true
wh2_main_def_veh_cauldron_of_blood_rider_0	hu1b_elf_wm_blood_cauldron_dual_sword_01	autonomous_rider		wh2_main_def_witch_elf	wh_main_cavalry_rider_standard_blood	ap_crewposition_1		false
wh2_main_def_veh_cauldron_of_blood_rider_1	hu1b_elf_wm_blood_cauldron_dual_sword_02	autonomous_rider		wh2_main_def_witch_elf	wh_main_cavalry_rider_standard_blood	ap_crewposition_2		false
wh2_main_hef_alastar_dragon_rider1	hu1d_elf_dr1_dragon_wb_2handed_axe	autonomous_rider		wh2_main_hef_alastair_rider	wh_main_infantry_standard_large_blood			true
wh2_main_hef_alastar_eagle_rider1	hu1d_elf_bi1_eagle_wb_2handed_axe	autonomous_rider		wh2_main_hef_alastair_rider	wh_main_infantry_standard_large_blood			true
wh2_main_hef_chariot_mage_high	hu1b_elf_wm_tiranoc_chariot01_staff_and_sword	autonomous_rider		wh2_main_hef_mage_rider	wh2_main_infantry_standard_wizard_blood_dismembers_high	ap_crewposition_1		true
wh2_main_hef_chariot_mage_life	hu1b_elf_wm_tiranoc_chariot01_staff_and_sword	autonomous_rider		wh2_main_hef_mage_rider	wh2_main_infantry_standard_wizard_blood_dismembers_life	ap_crewposition_1		true
wh2_main_hef_chariot_mage_light	hu1b_elf_wm_tiranoc_chariot01_staff_and_sword	autonomous_rider		wh2_main_hef_mage_rider	wh2_main_infantry_standard_wizard_blood_dismembers_light	ap_crewposition_1		true
wh2_main_hef_chariot_noble	hu1d_elf_wm_tiranoc_chariot01_halberd	autonomous_rider		wh2_main_hef_noble	wh2_main_cavalry_rider_standard_hero	ap_crewposition_1		true
wh2_main_hef_ithilmar_chariot_charioteer	hu1d_elf_wm_tiranoc_chariot01_whip	autonomous_rider		wh2_main_hef_charioteer_spear	wh_main_cavalry_rider_standard_blood	ap_crewposition_0		false
