campaign_group_member_criteria_subcultures_tables	0
DLC11_diplomacy_Subcult_VFA_Female_TheTerrorsOfTheDarkStraits_&_OtherFactionTombKings	wh2_dlc09_sc_tmb_tomb_kings
DLC11_diplomacy_Subcult_VFA_Female_TheTerrorsOfTheDarkStraits_&_OtherFactionTombKings_&_Negative	wh2_dlc09_sc_tmb_tomb_kings
DLC11_diplomacy_Subcult_VFA_Female_TheTerrorsOfTheDarkStraits_&_OtherFactionTombKings_&_Positive	wh2_dlc09_sc_tmb_tomb_kings
DLC11_diplomacy_Subcult_VFA_Female_TheTerrorsOfTheDarkStraits_&_OtherFactionVamp	wh_main_sc_vmp_vampire_counts
DLC11_diplomacy_Subcult_VFA_Female_TheTerrorsOfTheDarkStraits_&_OtherFactionVamp_&_Negative	wh_main_sc_vmp_vampire_counts
DLC11_diplomacy_Subcult_VFA_Female_TheTerrorsOfTheDarkStraits_&_OtherFactionVamp_&_Positive	wh_main_sc_vmp_vampire_counts
DLC11_diplomacy_Subcult_VFA_Female_TheTerrorsOfTheDarkStraits_&_OtherFactionVampireCoast	wh2_dlc11_sc_cst_vampire_coast
DLC11_diplomacy_Subcult_VFA_Female_TheTerrorsOfTheDarkStraits_&_OtherFactionVampireCoast_&_Negative	wh2_dlc11_sc_cst_vampire_coast
DLC11_diplomacy_Subcult_VFA_Female_TheTerrorsOfTheDarkStraits_&_OtherFactionVampireCoast_&_Positive	wh2_dlc11_sc_cst_vampire_coast
DLC11_diplomacy_Subcult_VFA_Female_TheTerrorsOfTheDarkStraits_&_OtherFactionWoodElves	wh_dlc05_sc_wef_wood_elves
DLC11_diplomacy_Subcult_VFA_Female_TheTerrorsOfTheDarkStraits_&_OtherFactionWoodElves_&_Negative	wh_dlc05_sc_wef_wood_elves
DLC11_diplomacy_Subcult_VFA_Female_TheTerrorsOfTheDarkStraits_&_OtherFactionWoodElves_&_Positive	wh_dlc05_sc_wef_wood_elves
DLC11_diplomacy_Subcult_VampireCoast_&_OtherFactionBeastmen	wh_dlc03_sc_bst_beastmen
DLC11_diplomacy_Subcult_VampireCoast_&_OtherFactionBeastmen_&_Negative	wh_dlc03_sc_bst_beastmen
DLC11_diplomacy_Subcult_VampireCoast_&_OtherFactionBeastmen_&_Positive	wh_dlc03_sc_bst_beastmen
DLC11_diplomacy_Subcult_VampireCoast_&_OtherFactionBretonnia	wh_main_sc_brt_bretonnia
DLC11_diplomacy_Subcult_VampireCoast_&_OtherFactionBretonnia_&_Negative	wh_main_sc_brt_bretonnia
DLC11_diplomacy_Subcult_VampireCoast_&_OtherFactionBretonnia_&_Positive	wh_main_sc_brt_bretonnia
DLC11_diplomacy_Subcult_VampireCoast_&_OtherFactionChaos	wh_main_sc_chs_chaos
DLC11_diplomacy_Subcult_VampireCoast_&_OtherFactionChaos_&_Negative	wh_main_sc_chs_chaos
DLC11_diplomacy_Subcult_VampireCoast_&_OtherFactionChaos_&_Positive	wh_main_sc_chs_chaos
DLC11_diplomacy_Subcult_VampireCoast_&_OtherFactionDarkElves	wh2_main_sc_def_dark_elves
DLC11_diplomacy_Subcult_VampireCoast_&_OtherFactionDarkElves_&_Negative	wh2_main_sc_def_dark_elves
DLC11_diplomacy_Subcult_VampireCoast_&_OtherFactionDarkElves_&_Positive	wh2_main_sc_def_dark_elves
DLC11_diplomacy_Subcult_VampireCoast_&_OtherFactionDwarf	wh_main_sc_dwf_dwarfs
DLC11_diplomacy_Subcult_VampireCoast_&_OtherFactionDwarf_&_Negative	wh_main_sc_dwf_dwarfs
DLC11_diplomacy_Subcult_VampireCoast_&_OtherFactionDwarf_&_Positive	wh_main_sc_dwf_dwarfs
DLC11_diplomacy_Subcult_VampireCoast_&_OtherFactionEmpire	wh_main_sc_emp_empire
DLC11_diplomacy_Subcult_VampireCoast_&_OtherFactionEmpire_&_Negative	wh_main_sc_emp_empire
DLC11_diplomacy_Subcult_VampireCoast_&_OtherFactionEmpire_&_Positive	wh_main_sc_emp_empire
DLC11_diplomacy_Subcult_VampireCoast_&_OtherFactionGreenskin	wh_main_sc_grn_greenskins
DLC11_diplomacy_Subcult_VampireCoast_&_OtherFactionGreenskin_&_Negative	wh_main_sc_grn_greenskins
DLC11_diplomacy_Subcult_VampireCoast_&_OtherFactionGreenskin_&_Positive	wh_main_sc_grn_greenskins
DLC11_diplomacy_Subcult_VampireCoast_&_OtherFactionHighElves	wh2_main_sc_hef_high_elves
DLC11_diplomacy_Subcult_VampireCoast_&_OtherFactionHighElves_&_Negative	wh2_main_sc_hef_high_elves
DLC11_diplomacy_Subcult_VampireCoast_&_OtherFactionHighElves_&_Positive	wh2_main_sc_hef_high_elves
DLC11_diplomacy_Subcult_VampireCoast_&_OtherFactionLizardmen	wh2_main_sc_lzd_lizardmen
DLC11_diplomacy_Subcult_VampireCoast_&_OtherFactionLizardmen_&_Negative	wh2_main_sc_lzd_lizardmen
DLC11_diplomacy_Subcult_VampireCoast_&_OtherFactionLizardmen_&_Positive	wh2_main_sc_lzd_lizardmen
DLC11_diplomacy_Subcult_VampireCoast_&_OtherFactionSkaven	wh2_main_sc_skv_skaven
DLC11_diplomacy_Subcult_VampireCoast_&_OtherFactionSkaven_&_Negative	wh2_main_sc_skv_skaven
DLC11_diplomacy_Subcult_VampireCoast_&_OtherFactionSkaven_&_Positive	wh2_main_sc_skv_skaven
DLC11_diplomacy_Subcult_VampireCoast_&_OtherFactionTombKings	wh2_dlc09_sc_tmb_tomb_kings
DLC11_diplomacy_Subcult_VampireCoast_&_OtherFactionTombKings_&_Negative	wh2_dlc09_sc_tmb_tomb_kings
DLC11_diplomacy_Subcult_VampireCoast_&_OtherFactionTombKings_&_Positive	wh2_dlc09_sc_tmb_tomb_kings
DLC11_diplomacy_Subcult_VampireCoast_&_OtherFactionVamp	wh_main_sc_vmp_vampire_counts
DLC11_diplomacy_Subcult_VampireCoast_&_OtherFactionVamp_&_Negative	wh_main_sc_vmp_vampire_counts
DLC11_diplomacy_Subcult_VampireCoast_&_OtherFactionVamp_&_Positive	wh_main_sc_vmp_vampire_counts
DLC11_diplomacy_Subcult_VampireCoast_&_OtherFactionVampireCoast	wh2_dlc11_sc_cst_vampire_coast
DLC11_diplomacy_Subcult_VampireCoast_&_OtherFactionVampireCoast_&_Negative	wh2_dlc11_sc_cst_vampire_coast
DLC11_diplomacy_Subcult_VampireCoast_&_OtherFactionVampireCoast_&_Positive	wh2_dlc11_sc_cst_vampire_coast
DLC11_diplomacy_Subcult_VampireCoast_&_OtherFactionWoodElves	wh_dlc05_sc_wef_wood_elves
DLC11_diplomacy_Subcult_VampireCoast_&_OtherFactionWoodElves_&_Negative	wh_dlc05_sc_wef_wood_elves
DLC11_diplomacy_Subcult_VampireCoast_&_OtherFactionWoodElves_&_Positive	wh_dlc05_sc_wef_wood_elves
diplomacy_FactionGroup_DE_Dreadlord2_Faction_CultofExcess_&_OtherFactionBeastmen	wh_dlc03_sc_bst_beastmen
diplomacy_FactionGroup_DE_Dreadlord2_Faction_CultofExcess_&_OtherFactionBeastmen_&_Negative	wh_dlc03_sc_bst_beastmen
diplomacy_FactionGroup_DE_Dreadlord2_Faction_CultofExcess_&_OtherFactionBeastmen_&_Positive	wh_dlc03_sc_bst_beastmen
diplomacy_FactionGroup_DE_Dreadlord2_Faction_CultofExcess_&_OtherFactionBretonnia	wh_main_sc_brt_bretonnia
diplomacy_FactionGroup_DE_Dreadlord2_Faction_CultofExcess_&_OtherFactionBretonnia_&_Negative	wh_main_sc_brt_bretonnia
diplomacy_FactionGroup_DE_Dreadlord2_Faction_CultofExcess_&_OtherFactionBretonnia_&_Positive	wh_main_sc_brt_bretonnia
diplomacy_FactionGroup_DE_Dreadlord2_Faction_CultofExcess_&_OtherFactionChaos	wh_main_sc_chs_chaos
diplomacy_FactionGroup_DE_Dreadlord2_Faction_CultofExcess_&_OtherFactionChaos_&_Negative	wh_main_sc_chs_chaos
diplomacy_FactionGroup_DE_Dreadlord2_Faction_CultofExcess_&_OtherFactionChaos_&_Positive	wh_main_sc_chs_chaos
diplomacy_FactionGroup_DE_Dreadlord2_Faction_CultofExcess_&_OtherFactionDarkElves	wh2_main_sc_def_dark_elves
diplomacy_FactionGroup_DE_Dreadlord2_Faction_CultofExcess_&_OtherFactionDarkElves_&_Negative	wh2_main_sc_def_dark_elves
diplomacy_FactionGroup_DE_Dreadlord2_Faction_CultofExcess_&_OtherFactionDarkElves_&_Positive	wh2_main_sc_def_dark_elves
diplomacy_FactionGroup_DE_Dreadlord2_Faction_CultofExcess_&_OtherFactionDwarf	wh_main_sc_dwf_dwarfs
diplomacy_FactionGroup_DE_Dreadlord2_Faction_CultofExcess_&_OtherFactionDwarf_&_Negative	wh_main_sc_dwf_dwarfs
diplomacy_FactionGroup_DE_Dreadlord2_Faction_CultofExcess_&_OtherFactionDwarf_&_Positive	wh_main_sc_dwf_dwarfs
diplomacy_FactionGroup_DE_Dreadlord2_Faction_CultofExcess_&_OtherFactionEmpire	wh_main_sc_emp_empire
diplomacy_FactionGroup_DE_Dreadlord2_Faction_CultofExcess_&_OtherFactionEmpire_&_Negative	wh_main_sc_emp_empire
diplomacy_FactionGroup_DE_Dreadlord2_Faction_CultofExcess_&_OtherFactionEmpire_&_Positive	wh_main_sc_emp_empire
diplomacy_FactionGroup_DE_Dreadlord2_Faction_CultofExcess_&_OtherFactionGreenskin	wh_main_sc_grn_greenskins
diplomacy_FactionGroup_DE_Dreadlord2_Faction_CultofExcess_&_OtherFactionGreenskin_&_Negative	wh_main_sc_grn_greenskins
diplomacy_FactionGroup_DE_Dreadlord2_Faction_CultofExcess_&_OtherFactionGreenskin_&_Positive	wh_main_sc_grn_greenskins
diplomacy_FactionGroup_DE_Dreadlord2_Faction_CultofExcess_&_OtherFactionHighElves	wh2_main_sc_hef_high_elves
diplomacy_FactionGroup_DE_Dreadlord2_Faction_CultofExcess_&_OtherFactionHighElves_&_Negative	wh2_main_sc_hef_high_elves
diplomacy_FactionGroup_DE_Dreadlord2_Faction_CultofExcess_&_OtherFactionHighElves_&_Positive	wh2_main_sc_hef_high_elves
diplomacy_FactionGroup_DE_Dreadlord2_Faction_CultofExcess_&_OtherFactionLizardmen	wh2_main_sc_lzd_lizardmen
diplomacy_FactionGroup_DE_Dreadlord2_Faction_CultofExcess_&_OtherFactionLizardmen_&_Negative	wh2_main_sc_lzd_lizardmen
diplomacy_FactionGroup_DE_Dreadlord2_Faction_CultofExcess_&_OtherFactionLizardmen_&_Positive	wh2_main_sc_lzd_lizardmen
diplomacy_FactionGroup_DE_Dreadlord2_Faction_CultofExcess_&_OtherFactionSkaven	wh2_main_sc_skv_skaven
diplomacy_FactionGroup_DE_Dreadlord2_Faction_CultofExcess_&_OtherFactionSkaven_&_Negative	wh2_main_sc_skv_skaven
diplomacy_FactionGroup_DE_Dreadlord2_Faction_CultofExcess_&_OtherFactionSkaven_&_Positive	wh2_main_sc_skv_skaven
diplomacy_FactionGroup_DE_Dreadlord2_Faction_CultofExcess_&_OtherFactionTombKings	wh2_dlc09_sc_tmb_tomb_kings
diplomacy_FactionGroup_DE_Dreadlord2_Faction_CultofExcess_&_OtherFactionTombKings_&_Negative	wh2_dlc09_sc_tmb_tomb_kings
diplomacy_FactionGroup_DE_Dreadlord2_Faction_CultofExcess_&_OtherFactionTombKings_&_Positive	wh2_dlc09_sc_tmb_tomb_kings
diplomacy_FactionGroup_DE_Dreadlord2_Faction_CultofExcess_&_OtherFactionVamp	wh_main_sc_vmp_vampire_counts
diplomacy_FactionGroup_DE_Dreadlord2_Faction_CultofExcess_&_OtherFactionVamp_&_Negative	wh_main_sc_vmp_vampire_counts
diplomacy_FactionGroup_DE_Dreadlord2_Faction_CultofExcess_&_OtherFactionVamp_&_Positive	wh_main_sc_vmp_vampire_counts
diplomacy_FactionGroup_DE_Dreadlord2_Faction_CultofExcess_&_OtherFactionWoodElves	wh_dlc05_sc_wef_wood_elves
diplomacy_FactionGroup_DE_Dreadlord2_Faction_CultofExcess_&_OtherFactionWoodElves_&_Negative	wh_dlc05_sc_wef_wood_elves
diplomacy_FactionGroup_DE_Dreadlord2_Faction_CultofExcess_&_OtherFactionWoodElves_&_Positive	wh_dlc05_sc_wef_wood_elves
diplomacy_FactionGroup_DE_Dreadlord2_Faction_TheSunkenLandCorsairs_&_OtherFactionBeastmen	wh_dlc03_sc_bst_beastmen
diplomacy_FactionGroup_DE_Dreadlord2_Faction_TheSunkenLandCorsairs_&_OtherFactionBeastmen_&_Negative	wh_dlc03_sc_bst_beastmen
diplomacy_FactionGroup_DE_Dreadlord2_Faction_TheSunkenLandCorsairs_&_OtherFactionBeastmen_&_Positive	wh_dlc03_sc_bst_beastmen
diplomacy_FactionGroup_DE_Dreadlord2_Faction_TheSunkenLandCorsairs_&_OtherFactionBretonnia	wh_main_sc_brt_bretonnia
diplomacy_FactionGroup_DE_Dreadlord2_Faction_TheSunkenLandCorsairs_&_OtherFactionBretonnia_&_Negative	wh_main_sc_brt_bretonnia
diplomacy_FactionGroup_DE_Dreadlord2_Faction_TheSunkenLandCorsairs_&_OtherFactionBretonnia_&_Positive	wh_main_sc_brt_bretonnia
diplomacy_FactionGroup_DE_Dreadlord2_Faction_TheSunkenLandCorsairs_&_OtherFactionChaos	wh_main_sc_chs_chaos
diplomacy_FactionGroup_DE_Dreadlord2_Faction_TheSunkenLandCorsairs_&_OtherFactionChaos_&_Negative	wh_main_sc_chs_chaos
diplomacy_FactionGroup_DE_Dreadlord2_Faction_TheSunkenLandCorsairs_&_OtherFactionChaos_&_Positive	wh_main_sc_chs_chaos
diplomacy_FactionGroup_DE_Dreadlord2_Faction_TheSunkenLandCorsairs_&_OtherFactionDarkElves	wh2_main_sc_def_dark_elves
diplomacy_FactionGroup_DE_Dreadlord2_Faction_TheSunkenLandCorsairs_&_OtherFactionDarkElves_&_Negative	wh2_main_sc_def_dark_elves
diplomacy_FactionGroup_DE_Dreadlord2_Faction_TheSunkenLandCorsairs_&_OtherFactionDarkElves_&_Positive	wh2_main_sc_def_dark_elves
diplomacy_FactionGroup_DE_Dreadlord2_Faction_TheSunkenLandCorsairs_&_OtherFactionDwarf	wh_main_sc_dwf_dwarfs
diplomacy_FactionGroup_DE_Dreadlord2_Faction_TheSunkenLandCorsairs_&_OtherFactionDwarf_&_Negative	wh_main_sc_dwf_dwarfs
diplomacy_FactionGroup_DE_Dreadlord2_Faction_TheSunkenLandCorsairs_&_OtherFactionDwarf_&_Positive	wh_main_sc_dwf_dwarfs
diplomacy_FactionGroup_DE_Dreadlord2_Faction_TheSunkenLandCorsairs_&_OtherFactionEmpire	wh_main_sc_emp_empire
diplomacy_FactionGroup_DE_Dreadlord2_Faction_TheSunkenLandCorsairs_&_OtherFactionEmpire_&_Negative	wh_main_sc_emp_empire
diplomacy_FactionGroup_DE_Dreadlord2_Faction_TheSunkenLandCorsairs_&_OtherFactionEmpire_&_Positive	wh_main_sc_emp_empire
diplomacy_FactionGroup_DE_Dreadlord2_Faction_TheSunkenLandCorsairs_&_OtherFactionGreenskin	wh_main_sc_grn_greenskins
diplomacy_FactionGroup_DE_Dreadlord2_Faction_TheSunkenLandCorsairs_&_OtherFactionGreenskin_&_Negative	wh_main_sc_grn_greenskins
diplomacy_FactionGroup_DE_Dreadlord2_Faction_TheSunkenLandCorsairs_&_OtherFactionGreenskin_&_Positive	wh_main_sc_grn_greenskins
diplomacy_FactionGroup_DE_Dreadlord2_Faction_TheSunkenLandCorsairs_&_OtherFactionHighElves	wh2_main_sc_hef_high_elves
diplomacy_FactionGroup_DE_Dreadlord2_Faction_TheSunkenLandCorsairs_&_OtherFactionHighElves_&_Negative	wh2_main_sc_hef_high_elves
diplomacy_FactionGroup_DE_Dreadlord2_Faction_TheSunkenLandCorsairs_&_OtherFactionHighElves_&_Positive	wh2_main_sc_hef_high_elves
diplomacy_FactionGroup_DE_Dreadlord2_Faction_TheSunkenLandCorsairs_&_OtherFactionLizardmen	wh2_main_sc_lzd_lizardmen
diplomacy_FactionGroup_DE_Dreadlord2_Faction_TheSunkenLandCorsairs_&_OtherFactionLizardmen_&_Negative	wh2_main_sc_lzd_lizardmen
diplomacy_FactionGroup_DE_Dreadlord2_Faction_TheSunkenLandCorsairs_&_OtherFactionLizardmen_&_Positive	wh2_main_sc_lzd_lizardmen
diplomacy_FactionGroup_DE_Dreadlord2_Faction_TheSunkenLandCorsairs_&_OtherFactionSkaven	wh2_main_sc_skv_skaven
diplomacy_FactionGroup_DE_Dreadlord2_Faction_TheSunkenLandCorsairs_&_OtherFactionSkaven_&_Negative	wh2_main_sc_skv_skaven
diplomacy_FactionGroup_DE_Dreadlord2_Faction_TheSunkenLandCorsairs_&_OtherFactionSkaven_&_Positive	wh2_main_sc_skv_skaven
diplomacy_FactionGroup_DE_Dreadlord2_Faction_TheSunkenLandCorsairs_&_OtherFactionTombKings	wh2_dlc09_sc_tmb_tomb_kings
diplomacy_FactionGroup_DE_Dreadlord2_Faction_TheSunkenLandCorsairs_&_OtherFactionTombKings_&_Negative	wh2_dlc09_sc_tmb_tomb_kings
diplomacy_FactionGroup_DE_Dreadlord2_Faction_TheSunkenLandCorsairs_&_OtherFactionTombKings_&_Positive	wh2_dlc09_sc_tmb_tomb_kings
diplomacy_FactionGroup_DE_Dreadlord2_Faction_TheSunkenLandCorsairs_&_OtherFactionVamp	wh_main_sc_vmp_vampire_counts
diplomacy_FactionGroup_DE_Dreadlord2_Faction_TheSunkenLandCorsairs_&_OtherFactionVamp_&_Negative	wh_main_sc_vmp_vampire_counts
diplomacy_FactionGroup_DE_Dreadlord2_Faction_TheSunkenLandCorsairs_&_OtherFactionVamp_&_Positive	wh_main_sc_vmp_vampire_counts
diplomacy_FactionGroup_DE_Dreadlord2_Faction_TheSunkenLandCorsairs_&_OtherFactionWoodElves	wh_dlc05_sc_wef_wood_elves
diplomacy_FactionGroup_DE_Dreadlord2_Faction_TheSunkenLandCorsairs_&_OtherFactionWoodElves_&_Negative	wh_dlc05_sc_wef_wood_elves
diplomacy_FactionGroup_DE_Dreadlord2_Faction_TheSunkenLandCorsairs_&_OtherFactionWoodElves_&_Positive	wh_dlc05_sc_wef_wood_elves
diplomacy_FactionGroup_DE_Dreadlord2_Faction_TheTyrantsOfTheBlackOcean_&_OtherFactionBeastmen	wh_dlc03_sc_bst_beastmen
diplomacy_FactionGroup_DE_Dreadlord2_Faction_TheTyrantsOfTheBlackOcean_&_OtherFactionBeastmen_&_Negative	wh_dlc03_sc_bst_beastmen
diplomacy_FactionGroup_DE_Dreadlord2_Faction_TheTyrantsOfTheBlackOcean_&_OtherFactionBeastmen_&_Positive	wh_dlc03_sc_bst_beastmen
diplomacy_FactionGroup_DE_Dreadlord2_Faction_TheTyrantsOfTheBlackOcean_&_OtherFactionBretonnia	wh_main_sc_brt_bretonnia
diplomacy_FactionGroup_DE_Dreadlord2_Faction_TheTyrantsOfTheBlackOcean_&_OtherFactionBretonnia_&_Negative	wh_main_sc_brt_bretonnia
diplomacy_FactionGroup_DE_Dreadlord2_Faction_TheTyrantsOfTheBlackOcean_&_OtherFactionBretonnia_&_Positive	wh_main_sc_brt_bretonnia
diplomacy_FactionGroup_DE_Dreadlord2_Faction_TheTyrantsOfTheBlackOcean_&_OtherFactionChaos	wh_main_sc_chs_chaos
diplomacy_FactionGroup_DE_Dreadlord2_Faction_TheTyrantsOfTheBlackOcean_&_OtherFactionChaos_&_Negative	wh_main_sc_chs_chaos
diplomacy_FactionGroup_DE_Dreadlord2_Faction_TheTyrantsOfTheBlackOcean_&_OtherFactionChaos_&_Positive	wh_main_sc_chs_chaos
diplomacy_FactionGroup_DE_Dreadlord2_Faction_TheTyrantsOfTheBlackOcean_&_OtherFactionDarkElves	wh2_main_sc_def_dark_elves
diplomacy_FactionGroup_DE_Dreadlord2_Faction_TheTyrantsOfTheBlackOcean_&_OtherFactionDarkElves_&_Negative	wh2_main_sc_def_dark_elves
diplomacy_FactionGroup_DE_Dreadlord2_Faction_TheTyrantsOfTheBlackOcean_&_OtherFactionDarkElves_&_Positive	wh2_main_sc_def_dark_elves
diplomacy_FactionGroup_DE_Dreadlord2_Faction_TheTyrantsOfTheBlackOcean_&_OtherFactionDwarf	wh_main_sc_dwf_dwarfs
diplomacy_FactionGroup_DE_Dreadlord2_Faction_TheTyrantsOfTheBlackOcean_&_OtherFactionDwarf_&_Negative	wh_main_sc_dwf_dwarfs
diplomacy_FactionGroup_DE_Dreadlord2_Faction_TheTyrantsOfTheBlackOcean_&_OtherFactionDwarf_&_Positive	wh_main_sc_dwf_dwarfs
diplomacy_FactionGroup_DE_Dreadlord2_Faction_TheTyrantsOfTheBlackOcean_&_OtherFactionEmpire	wh_main_sc_emp_empire
diplomacy_FactionGroup_DE_Dreadlord2_Faction_TheTyrantsOfTheBlackOcean_&_OtherFactionEmpire_&_Negative	wh_main_sc_emp_empire
diplomacy_FactionGroup_DE_Dreadlord2_Faction_TheTyrantsOfTheBlackOcean_&_OtherFactionEmpire_&_Positive	wh_main_sc_emp_empire
diplomacy_FactionGroup_DE_Dreadlord2_Faction_TheTyrantsOfTheBlackOcean_&_OtherFactionGreenskin	wh_main_sc_grn_greenskins
diplomacy_FactionGroup_DE_Dreadlord2_Faction_TheTyrantsOfTheBlackOcean_&_OtherFactionGreenskin_&_Negative	wh_main_sc_grn_greenskins
diplomacy_FactionGroup_DE_Dreadlord2_Faction_TheTyrantsOfTheBlackOcean_&_OtherFactionGreenskin_&_Positive	wh_main_sc_grn_greenskins
diplomacy_FactionGroup_DE_Dreadlord2_Faction_TheTyrantsOfTheBlackOcean_&_OtherFactionHighElves	wh2_main_sc_hef_high_elves
diplomacy_FactionGroup_DE_Dreadlord2_Faction_TheTyrantsOfTheBlackOcean_&_OtherFactionHighElves_&_Negative	wh2_main_sc_hef_high_elves
diplomacy_FactionGroup_DE_Dreadlord2_Faction_TheTyrantsOfTheBlackOcean_&_OtherFactionHighElves_&_Positive	wh2_main_sc_hef_high_elves
diplomacy_FactionGroup_DE_Dreadlord2_Faction_TheTyrantsOfTheBlackOcean_&_OtherFactionLizardmen	wh2_main_sc_lzd_lizardmen
diplomacy_FactionGroup_DE_Dreadlord2_Faction_TheTyrantsOfTheBlackOcean_&_OtherFactionLizardmen_&_Negative	wh2_main_sc_lzd_lizardmen
diplomacy_FactionGroup_DE_Dreadlord2_Faction_TheTyrantsOfTheBlackOcean_&_OtherFactionLizardmen_&_Positive	wh2_main_sc_lzd_lizardmen
diplomacy_FactionGroup_DE_Dreadlord2_Faction_TheTyrantsOfTheBlackOcean_&_OtherFactionSkaven	wh2_main_sc_skv_skaven
diplomacy_FactionGroup_DE_Dreadlord2_Faction_TheTyrantsOfTheBlackOcean_&_OtherFactionSkaven_&_Negative	wh2_main_sc_skv_skaven
diplomacy_FactionGroup_DE_Dreadlord2_Faction_TheTyrantsOfTheBlackOcean_&_OtherFactionSkaven_&_Positive	wh2_main_sc_skv_skaven
diplomacy_FactionGroup_DE_Dreadlord2_Faction_TheTyrantsOfTheBlackOcean_&_OtherFactionTombKings	wh2_dlc09_sc_tmb_tomb_kings
