cai_construction_system_synergies_tables	1
existing_building_chain_key	existing_building_level_inclusive_end	existing_building_level_inclusive_start	potential_buiding_chain_key	potential_building_level_inclusive_end	potential_building_level_inclusive_start	synergy_level_key	synergy_policy_key	existing_building_instance	existing_building_super_chain	potential_building_instance	potential_building_super_chain	synergy_scope_key
wh2_dlc09_special_settlement_hexoatl_tmb	wh2_dlc09_special_settlement_hexoatl_tmb_5	wh2_dlc09_special_settlement_hexoatl_tmb_5	wh2_dlc09_tmb_income	wh2_dlc09_tmb_income_3	wh2_dlc09_tmb_income_1	cai_cs_negative_level_medium	cai_cs_synergy_policy_default		wh2_main_sch_special_settlement_hexoatl		wh2_dlc09_sch_tmb_income	CAI_SYNERGY_SCOPE_PROVINCEWIDE
wh2_dlc09_special_settlement_itza_tmb	wh2_dlc09_special_settlement_itza_tmb_5	wh2_dlc09_special_settlement_itza_tmb_5	wh2_dlc09_tmb_growth	wh2_dlc09_tmb_growth_3	wh2_dlc09_tmb_growth_1	cai_cs_negative_level_high	cai_cs_synergy_policy_default		wh2_main_sch_special_settlement_itza		wh2_dlc09_sch_tmb_growth	CAI_SYNERGY_SCOPE_PROVINCEWIDE
wh2_dlc09_special_settlement_itza_tmb	wh2_dlc09_special_settlement_itza_tmb_5	wh2_dlc09_special_settlement_itza_tmb_5	wh2_dlc09_tmb_income	wh2_dlc09_tmb_income_3	wh2_dlc09_tmb_income_1	cai_cs_negative_level_medium	cai_cs_synergy_policy_default		wh2_main_sch_special_settlement_itza		wh2_dlc09_sch_tmb_income	CAI_SYNERGY_SCOPE_PROVINCEWIDE
wh2_dlc09_special_settlement_karaz_a_karak_tmb	wh2_dlc09_special_settlement_karaz_a_karak_tmb_5	wh2_dlc09_special_settlement_karaz_a_karak_tmb_5	wh2_dlc09_tmb_growth	wh2_dlc09_tmb_growth_3	wh2_dlc09_tmb_growth_1	cai_cs_negative_level_high	cai_cs_synergy_policy_default		wh_main_sch_special_settlement_karaz_a_karak		wh2_dlc09_sch_tmb_growth	CAI_SYNERGY_SCOPE_PROVINCEWIDE
wh2_dlc09_special_settlement_karaz_a_karak_tmb	wh2_dlc09_special_settlement_karaz_a_karak_tmb_5	wh2_dlc09_special_settlement_karaz_a_karak_tmb_5	wh2_dlc09_tmb_income	wh2_dlc09_tmb_income_3	wh2_dlc09_tmb_income_1	cai_cs_negative_level_medium	cai_cs_synergy_policy_default		wh_main_sch_special_settlement_karaz_a_karak		wh2_dlc09_sch_tmb_income	CAI_SYNERGY_SCOPE_PROVINCEWIDE
wh2_dlc09_special_settlement_khemri_tmb	wh2_dlc09_special_settlement_khemri_tmb_5	wh2_dlc09_special_settlement_khemri_tmb_5	wh2_dlc09_tmb_growth	wh2_dlc09_tmb_growth_3	wh2_dlc09_tmb_growth_1	cai_cs_negative_level_high	cai_cs_synergy_policy_default		wh2_main_sch_special_settlement_khemri		wh2_dlc09_sch_tmb_growth	CAI_SYNERGY_SCOPE_PROVINCEWIDE
wh2_dlc09_special_settlement_khemri_tmb	wh2_dlc09_special_settlement_khemri_tmb_5	wh2_dlc09_special_settlement_khemri_tmb_5	wh2_dlc09_tmb_income	wh2_dlc09_tmb_income_3	wh2_dlc09_tmb_income_1	cai_cs_negative_level_medium	cai_cs_synergy_policy_default		wh2_main_sch_special_settlement_khemri		wh2_dlc09_sch_tmb_income	CAI_SYNERGY_SCOPE_PROVINCEWIDE
wh2_dlc09_special_settlement_kislev_tmb	wh2_dlc09_special_settlement_kislev_tmb_5	wh2_dlc09_special_settlement_kislev_tmb_5	wh2_dlc09_tmb_growth	wh2_dlc09_tmb_growth_3	wh2_dlc09_tmb_growth_1	cai_cs_negative_level_high	cai_cs_synergy_policy_default		wh_main_sch_special_settlement_kislev		wh2_dlc09_sch_tmb_growth	CAI_SYNERGY_SCOPE_PROVINCEWIDE
wh2_dlc09_special_settlement_kislev_tmb	wh2_dlc09_special_settlement_kislev_tmb_5	wh2_dlc09_special_settlement_kislev_tmb_5	wh2_dlc09_tmb_income	wh2_dlc09_tmb_income_3	wh2_dlc09_tmb_income_1	cai_cs_negative_level_medium	cai_cs_synergy_policy_default		wh_main_sch_special_settlement_kislev		wh2_dlc09_sch_tmb_income	CAI_SYNERGY_SCOPE_PROVINCEWIDE
wh2_dlc09_special_settlement_lahmia_tmb	wh2_dlc09_special_settlement_lahmia_tmb_5	wh2_dlc09_special_settlement_lahmia_tmb_5	wh2_dlc09_tmb_growth	wh2_dlc09_tmb_growth_3	wh2_dlc09_tmb_growth_1	cai_cs_negative_level_high	cai_cs_synergy_policy_default		wh2_main_sch_special_settlement_lahmia		wh2_dlc09_sch_tmb_growth	CAI_SYNERGY_SCOPE_PROVINCEWIDE
wh2_dlc09_special_settlement_lahmia_tmb	wh2_dlc09_special_settlement_lahmia_tmb_5	wh2_dlc09_special_settlement_lahmia_tmb_5	wh2_dlc09_tmb_income	wh2_dlc09_tmb_income_3	wh2_dlc09_tmb_income_1	cai_cs_negative_level_medium	cai_cs_synergy_policy_default		wh2_main_sch_special_settlement_lahmia		wh2_dlc09_sch_tmb_income	CAI_SYNERGY_SCOPE_PROVINCEWIDE
wh2_dlc09_special_settlement_lothern_tmb	wh2_dlc09_special_settlement_lothern_tmb_5	wh2_dlc09_special_settlement_lothern_tmb_5	wh2_dlc09_tmb_growth	wh2_dlc09_tmb_growth_3	wh2_dlc09_tmb_growth_1	cai_cs_negative_level_high	cai_cs_synergy_policy_default		wh2_main_sch_special_settlement_lothern		wh2_dlc09_sch_tmb_growth	CAI_SYNERGY_SCOPE_PROVINCEWIDE
wh2_dlc09_special_settlement_lothern_tmb	wh2_dlc09_special_settlement_lothern_tmb_5	wh2_dlc09_special_settlement_lothern_tmb_5	wh2_dlc09_tmb_income	wh2_dlc09_tmb_income_3	wh2_dlc09_tmb_income_1	cai_cs_negative_level_medium	cai_cs_synergy_policy_default		wh2_main_sch_special_settlement_lothern		wh2_dlc09_sch_tmb_income	CAI_SYNERGY_SCOPE_PROVINCEWIDE
wh2_dlc09_special_settlement_miragliano_tmb	wh2_dlc09_special_settlement_miragliano_tmb_5	wh2_dlc09_special_settlement_miragliano_tmb_5	wh2_dlc09_tmb_growth	wh2_dlc09_tmb_growth_3	wh2_dlc09_tmb_growth_1	cai_cs_negative_level_high	cai_cs_synergy_policy_default		wh_main_sch_special_settlement_miragliano		wh2_dlc09_sch_tmb_growth	CAI_SYNERGY_SCOPE_PROVINCEWIDE
wh2_dlc09_special_settlement_miragliano_tmb	wh2_dlc09_special_settlement_miragliano_tmb_5	wh2_dlc09_special_settlement_miragliano_tmb_5	wh2_dlc09_tmb_income	wh2_dlc09_tmb_income_3	wh2_dlc09_tmb_income_1	cai_cs_negative_level_medium	cai_cs_synergy_policy_default		wh_main_sch_special_settlement_miragliano		wh2_dlc09_sch_tmb_income	CAI_SYNERGY_SCOPE_PROVINCEWIDE
wh2_dlc09_special_settlement_naggarond_tmb	wh2_dlc09_special_settlement_naggarond_tmb_5	wh2_dlc09_special_settlement_naggarond_tmb_5	wh2_dlc09_tmb_growth	wh2_dlc09_tmb_growth_3	wh2_dlc09_tmb_growth_1	cai_cs_negative_level_high	cai_cs_synergy_policy_default		wh2_main_sch_special_settlement_naggarond		wh2_dlc09_sch_tmb_growth	CAI_SYNERGY_SCOPE_PROVINCEWIDE
wh2_dlc09_special_settlement_naggarond_tmb	wh2_dlc09_special_settlement_naggarond_tmb_5	wh2_dlc09_special_settlement_naggarond_tmb_5	wh2_dlc09_tmb_income	wh2_dlc09_tmb_income_3	wh2_dlc09_tmb_income_1	cai_cs_negative_level_medium	cai_cs_synergy_policy_default		wh2_main_sch_special_settlement_naggarond		wh2_dlc09_sch_tmb_income	CAI_SYNERGY_SCOPE_PROVINCEWIDE
wh2_dlc09_special_settlement_pyramid_of_nagash_tmb	wh2_dlc09_special_settlement_pyramid_of_nagash_tmb_5	wh2_dlc09_special_settlement_pyramid_of_nagash_tmb_5	wh2_dlc09_tmb_growth	wh2_dlc09_tmb_growth_3	wh2_dlc09_tmb_growth_1	cai_cs_negative_level_high	cai_cs_synergy_policy_default		wh2_main_sch_special_settlement_pyramid_of_nagash		wh2_dlc09_sch_tmb_growth	CAI_SYNERGY_SCOPE_PROVINCEWIDE
wh2_dlc09_special_settlement_pyramid_of_nagash_tmb	wh2_dlc09_special_settlement_pyramid_of_nagash_tmb_5	wh2_dlc09_special_settlement_pyramid_of_nagash_tmb_5	wh2_dlc09_tmb_income	wh2_dlc09_tmb_income_3	wh2_dlc09_tmb_income_1	cai_cs_negative_level_medium	cai_cs_synergy_policy_default		wh2_main_sch_special_settlement_pyramid_of_nagash		wh2_dlc09_sch_tmb_income	CAI_SYNERGY_SCOPE_PROVINCEWIDE
wh2_dlc09_tmb_settlement_major_coast	wh2_dlc09_tmb_settlement_major_coast_5	wh2_dlc09_tmb_settlement_major_coast_5	wh2_dlc09_tmb_growth	wh2_dlc09_tmb_growth_3	wh2_dlc09_tmb_growth_1	cai_cs_negative_level_high	cai_cs_synergy_policy_default		wh_main_sch_settlement_major_coast		wh2_dlc09_sch_tmb_growth	CAI_SYNERGY_SCOPE_PROVINCEWIDE
wh2_dlc09_tmb_settlement_major_coast	wh2_dlc09_tmb_settlement_major_coast_5	wh2_dlc09_tmb_settlement_major_coast_5	wh2_dlc09_tmb_income	wh2_dlc09_tmb_income_3	wh2_dlc09_tmb_income_1	cai_cs_negative_level_medium	cai_cs_synergy_policy_default		wh_main_sch_settlement_major_coast		wh2_dlc09_sch_tmb_income	CAI_SYNERGY_SCOPE_PROVINCEWIDE
wh2_dlc09_tmb_settlement_major	wh2_dlc09_tmb_settlement_major_5	wh2_dlc09_tmb_settlement_major_5	wh2_dlc09_tmb_growth	wh2_dlc09_tmb_growth_3	wh2_dlc09_tmb_growth_1	cai_cs_negative_level_high	cai_cs_synergy_policy_default		wh_main_sch_settlement_major		wh2_dlc09_sch_tmb_growth	CAI_SYNERGY_SCOPE_PROVINCEWIDE
wh2_dlc09_tmb_settlement_major	wh2_dlc09_tmb_settlement_major_5	wh2_dlc09_tmb_settlement_major_5	wh2_dlc09_tmb_income	wh2_dlc09_tmb_income_3	wh2_dlc09_tmb_income_1	cai_cs_negative_level_medium	cai_cs_synergy_policy_default		wh_main_sch_settlement_major		wh2_dlc09_sch_tmb_income	CAI_SYNERGY_SCOPE_PROVINCEWIDE
wh2_dlc11_special_settlement_galleons_graveyard	wh2_dlc11_special_settlement_galleons_graveyard_5	wh2_dlc11_special_settlement_galleons_graveyard_1	wh2_dlc11_vampirecoast_infrastructure_growth	wh2_dlc11_vampirecoast_infrastructure_growth_3	wh2_dlc11_vampirecoast_infrastructure_growth_1	cai_cs_negative_level_medium	cai_cs_synergy_policy_default		wh2_dlc11_sch_special_settlement_galleons_graveyard		wh2_main_sch_infrastructure1_farm	CAI_SYNERGY_SCOPE_REGIONWIDE
wh2_dlc11_vampirecoast_settlement_major_coast	wh2_dlc11_vampirecoast_settlement_major_coast_5	wh2_dlc11_vampirecoast_settlement_major_coast_1	wh2_dlc11_vampirecoast_infrastructure_growth	wh2_dlc11_vampirecoast_infrastructure_growth_3	wh2_dlc11_vampirecoast_infrastructure_growth_1	cai_cs_negative_level_medium	cai_cs_synergy_policy_default		wh_main_sch_settlement_major_coast		wh2_main_sch_infrastructure1_farm	CAI_SYNERGY_SCOPE_REGIONWIDE
wh2_dlc11_vampirecoast_settlement_major	wh2_dlc11_vampirecoast_settlement_major_5	wh2_dlc11_vampirecoast_settlement_major_1	wh2_dlc11_vampirecoast_infrastructure_growth	wh2_dlc11_vampirecoast_infrastructure_growth_3	wh2_dlc11_vampirecoast_infrastructure_growth_1	cai_cs_negative_level_medium	cai_cs_synergy_policy_default		wh_main_sch_settlement_major		wh2_main_sch_infrastructure1_farm	CAI_SYNERGY_SCOPE_REGIONWIDE
wh2_dlc11_vampirecoast_settlement_minor_coast	wh2_dlc11_vampirecoast_settlement_minor_coast_3	wh2_dlc11_vampirecoast_settlement_minor_coast_1	wh2_dlc11_vampirecoast_infrastructure_corruption	wh2_dlc11_vampirecoast_infrastructure_corruption_3	wh2_dlc11_vampirecoast_infrastructure_corruption_1	cai_cs_negative_level_medium	cai_cs_synergy_policy_default		wh_main_sch_settlement_minor_coast		wh2_main_sch_infrastructure4_energy	CAI_SYNERGY_SCOPE_REGIONWIDE
wh2_dlc11_vampirecoast_settlement_minor_coast	wh2_dlc11_vampirecoast_settlement_minor_coast_3	wh2_dlc11_vampirecoast_settlement_minor_coast_1	wh2_dlc11_vampirecoast_infrastructure_public_order	wh2_dlc11_vampirecoast_infrastructure_public_order_3	wh2_dlc11_vampirecoast_infrastructure_public_order_1	cai_cs_negative_level_medium	cai_cs_synergy_policy_default		wh_main_sch_settlement_minor_coast		wh2_main_sch_infrastructure3_order	CAI_SYNERGY_SCOPE_REGIONWIDE
wh2_dlc11_vampirecoast_settlement_minor_coast	wh2_dlc11_vampirecoast_settlement_minor_coast_3	wh2_dlc11_vampirecoast_settlement_minor_coast_1	wh2_dlc11_vampirecoast_military_barracks	wh2_dlc11_vampirecoast_military_barracks_4	wh2_dlc11_vampirecoast_military_barracks_1	cai_cs_negative_level_medium	cai_cs_synergy_policy_default		wh_main_sch_settlement_minor_coast		wh2_main_sch_military1_barracks	CAI_SYNERGY_SCOPE_REGIONWIDE
wh2_dlc11_vampirecoast_settlement_minor_coast	wh2_dlc11_vampirecoast_settlement_minor_coast_3	wh2_dlc11_vampirecoast_settlement_minor_coast_1	wh2_dlc11_vampirecoast_military_flying	wh2_dlc11_vampirecoast_military_flying_4	wh2_dlc11_vampirecoast_military_flying_1	cai_cs_negative_level_medium	cai_cs_synergy_policy_default		wh_main_sch_settlement_minor_coast		wh2_main_sch_military3_warmachines	CAI_SYNERGY_SCOPE_REGIONWIDE
wh2_dlc11_vampirecoast_settlement_minor_coast	wh2_dlc11_vampirecoast_settlement_minor_coast_3	wh2_dlc11_vampirecoast_settlement_minor_coast_1	wh2_dlc11_vampirecoast_support_artillery	wh2_dlc11_vampirecoast_support_artillery_3	wh2_dlc11_vampirecoast_support_artillery_1	cai_cs_negative_level_low	cai_cs_synergy_policy_default		wh_main_sch_settlement_minor_coast		wh2_main_sch_support1_smith	CAI_SYNERGY_SCOPE_REGIONWIDE
wh2_dlc11_vampirecoast_settlement_minor_coast	wh2_dlc11_vampirecoast_settlement_minor_coast_3	wh2_dlc11_vampirecoast_settlement_minor_coast_1	wh2_dlc11_vampirecoast_support_monsters	wh2_dlc11_vampirecoast_support_monsters_3	wh2_dlc11_vampirecoast_support_monsters_1	cai_cs_negative_level_low	cai_cs_synergy_policy_default		wh_main_sch_settlement_minor_coast		wh2_main_sch_support2_worship	CAI_SYNERGY_SCOPE_REGIONWIDE
wh2_dlc11_vampirecoast_settlement_minor	wh2_dlc11_vampirecoast_settlement_minor_3	wh2_dlc11_vampirecoast_settlement_minor_1	wh2_dlc11_vampirecoast_infrastructure_corruption	wh2_dlc11_vampirecoast_infrastructure_corruption_3	wh2_dlc11_vampirecoast_infrastructure_corruption_1	cai_cs_negative_level_medium	cai_cs_synergy_policy_default		wh_main_sch_settlement_minor		wh2_main_sch_infrastructure4_energy	CAI_SYNERGY_SCOPE_REGIONWIDE
wh2_dlc11_vampirecoast_settlement_minor	wh2_dlc11_vampirecoast_settlement_minor_3	wh2_dlc11_vampirecoast_settlement_minor_1	wh2_dlc11_vampirecoast_infrastructure_public_order	wh2_dlc11_vampirecoast_infrastructure_public_order_3	wh2_dlc11_vampirecoast_infrastructure_public_order_1	cai_cs_negative_level_medium	cai_cs_synergy_policy_default		wh_main_sch_settlement_minor		wh2_main_sch_infrastructure3_order	CAI_SYNERGY_SCOPE_REGIONWIDE
wh2_dlc11_vampirecoast_settlement_minor	wh2_dlc11_vampirecoast_settlement_minor_3	wh2_dlc11_vampirecoast_settlement_minor_1	wh2_dlc11_vampirecoast_military_barracks	wh2_dlc11_vampirecoast_military_barracks_4	wh2_dlc11_vampirecoast_military_barracks_1	cai_cs_negative_level_medium	cai_cs_synergy_policy_default		wh_main_sch_settlement_minor		wh2_main_sch_military1_barracks	CAI_SYNERGY_SCOPE_REGIONWIDE
wh2_dlc11_vampirecoast_settlement_minor	wh2_dlc11_vampirecoast_settlement_minor_3	wh2_dlc11_vampirecoast_settlement_minor_1	wh2_dlc11_vampirecoast_military_flying	wh2_dlc11_vampirecoast_military_flying_4	wh2_dlc11_vampirecoast_military_flying_1	cai_cs_negative_level_medium	cai_cs_synergy_policy_default		wh_main_sch_settlement_minor		wh2_main_sch_military3_warmachines	CAI_SYNERGY_SCOPE_REGIONWIDE
wh2_dlc11_vampirecoast_settlement_minor	wh2_dlc11_vampirecoast_settlement_minor_3	wh2_dlc11_vampirecoast_settlement_minor_1	wh2_dlc11_vampirecoast_support_artillery	wh2_dlc11_vampirecoast_support_artillery_3	wh2_dlc11_vampirecoast_support_artillery_1	cai_cs_negative_level_low	cai_cs_synergy_policy_default		wh_main_sch_settlement_minor		wh2_main_sch_support1_smith	CAI_SYNERGY_SCOPE_REGIONWIDE
wh2_dlc11_vampirecoast_settlement_minor	wh2_dlc11_vampirecoast_settlement_minor_3	wh2_dlc11_vampirecoast_settlement_minor_1	wh2_dlc11_vampirecoast_support_monsters	wh2_dlc11_vampirecoast_support_monsters_3	wh2_dlc11_vampirecoast_support_monsters_1	cai_cs_negative_level_low	cai_cs_synergy_policy_default		wh_main_sch_settlement_minor		wh2_main_sch_support2_worship	CAI_SYNERGY_SCOPE_REGIONWIDE
wh2_main_def_settlement_major_coast	wh2_main_def_settlement_major_5_coast	wh2_main_def_settlement_major_1_coast	wh2_main_def_barracks	wh2_main_def_barracks_3	wh2_main_def_barracks_1	cai_cs_negative_level_low	cai_cs_synergy_policy_default		wh_main_sch_settlement_major_coast		wh2_main_sch_military1_barracks	CAI_SYNERGY_SCOPE_REGIONWIDE
wh2_main_def_settlement_major_coast	wh2_main_def_settlement_major_5_coast	wh2_main_def_settlement_major_1_coast	wh2_main_def_exiles	wh2_main_def_exiles_2	wh2_main_def_exiles_1	cai_cs_negative_level_medium	cai_cs_synergy_policy_default		wh_main_sch_settlement_major_coast		wh2_main_sch_military3_warmachines	CAI_SYNERGY_SCOPE_REGIONWIDE
wh2_main_def_settlement_major_coast	wh2_main_def_settlement_major_5_coast	wh2_main_def_settlement_major_1_coast	wh2_main_def_farm	wh2_main_def_farm_3	wh2_main_def_farm_1	cai_cs_negative_level_low	cai_cs_synergy_policy_default		wh_main_sch_settlement_major_coast		wh2_main_sch_infrastructure1_farm	CAI_SYNERGY_SCOPE_REGIONWIDE
wh2_main_def_settlement_major_coast	wh2_main_def_settlement_major_5_coast	wh2_main_def_settlement_major_1_coast	wh2_main_def_industry	wh2_main_def_industry_3	wh2_main_def_industry_1	cai_cs_synergy_level_medium	cai_cs_synergy_policy_default		wh_main_sch_settlement_major_coast		wh2_main_sch_infrastructure2_industry	CAI_SYNERGY_SCOPE_REGIONWIDE
wh2_main_def_settlement_major_coast	wh2_main_def_settlement_major_5_coast	wh2_main_def_settlement_major_1_coast	wh2_main_def_riders	wh2_main_def_riders_2	wh2_main_def_riders_1	cai_cs_negative_level_medium	cai_cs_synergy_policy_default		wh_main_sch_settlement_major_coast		wh2_main_sch_military2_stables	CAI_SYNERGY_SCOPE_REGIONWIDE
wh2_main_def_settlement_major_coast	wh2_main_def_settlement_major_5_coast	wh2_main_def_settlement_major_5_coast	wh2_main_def_farm	wh2_main_def_farm_3	wh2_main_def_farm_1	cai_cs_negative_level_high	cai_cs_synergy_policy_default		wh_main_sch_settlement_major_coast		wh2_main_sch_infrastructure1_farm	CAI_SYNERGY_SCOPE_PROVINCEWIDE
wh2_main_def_settlement_major	wh2_main_def_settlement_major_5	wh2_main_def_settlement_major_1	wh2_main_def_barracks	wh2_main_def_barracks_3	wh2_main_def_barracks_1	cai_cs_negative_level_low	cai_cs_synergy_policy_default		wh_main_sch_settlement_major		wh2_main_sch_military1_barracks	CAI_SYNERGY_SCOPE_REGIONWIDE
wh2_main_def_settlement_major	wh2_main_def_settlement_major_5	wh2_main_def_settlement_major_1	wh2_main_def_exiles	wh2_main_def_exiles_2	wh2_main_def_exiles_1	cai_cs_negative_level_medium	cai_cs_synergy_policy_default		wh_main_sch_settlement_major		wh2_main_sch_military3_warmachines	CAI_SYNERGY_SCOPE_REGIONWIDE
wh2_main_def_settlement_major	wh2_main_def_settlement_major_5	wh2_main_def_settlement_major_1	wh2_main_def_farm	wh2_main_def_farm_3	wh2_main_def_farm_1	cai_cs_negative_level_low	cai_cs_synergy_policy_default		wh_main_sch_settlement_major		wh2_main_sch_infrastructure1_farm	CAI_SYNERGY_SCOPE_REGIONWIDE
