battlefield_siege_vehicles_tables	18
hit_points	key	model	battle_entity	gun_type	docking_clearance	engine	image_path	recruitment_cap	uses_8m_wall	uses_15m_wall	cost	category_image_path	special_edition_mask	ignition_threshold	attack_damage	selection_priority	sort_order	autoresolver_effectiveness	audio_type
10200	skv_siege_tower_15m	skv_siege_tower_15m	siege_tower		3.2		UI/Battle UI/siege_vehicle_icons/siege_tower_medium.png	-1	false	true	0	UI/Battle UI/siege_vehicle_icons/tower_cat.png	0	2000	0	2	10	1	wh2_siege_tower_skaven
17000	tmb_battering_ram	tmb_batteringram	battering_ram		2		UI/Battle UI/siege_vehicle_icons/battering_ram_medium.png	-1	true	true	0	UI/Battle UI/siege_vehicle_icons/battering_ram_cat.png	0	3000	1000	1	3	0.5	
500	tmb_batteringram	tmb_batteringram	battering_ram		2		UI/Battle UI/siege_vehicle_icons/siege_tower.png	-1	false	false	0	PLACEHOLDER	0	100	0	1	0	0	
10200	tmb_siege_tower_15m	tmb_siege_tower_15m	siege_tower		3.2		UI/Battle UI/siege_vehicle_icons/siege_tower_medium.png	-1	false	true	0	UI/Battle UI/siege_vehicle_icons/tower_cat.png	0	2000	0	2	10	1	wh_war_machine_wood_large
17000	vmp_battering_ram	vmp_batteringram	battering_ram		2		UI/Battle UI/siege_vehicle_icons/battering_ram_medium.png	-1	true	true	0	UI/Battle UI/siege_vehicle_icons/battering_ram_cat.png	0	3000	1000	1	5	0.5	wh_war_machine_vampire_large
500	vmp_batteringram	vmp_batteringram	battering_ram		2		UI/Battle UI/siege_vehicle_icons/siege_tower.png	-1	false	false	0	PLACEHOLDER	0	100	0	1	0	0.5	wh_war_machine_vampire_large
10200	vmp_siege_tower_15m	vmp_siege_tower_15m	siege_tower		3.2		UI/Battle UI/siege_vehicle_icons/siege_tower_medium.png	-1	false	true	0	UI/Battle UI/siege_vehicle_icons/tower_cat.png	0	2000	0	2	12	1	wh_war_machine_vampire_large
17000	wef_battering_ram	wef_batteringram	battering_ram		2		UI/Battle UI/siege_vehicle_icons/battering_ram_medium.png	-1	true	true	0	UI/Battle UI/siege_vehicle_icons/battering_ram_cat.png	0	3000	1000	1	0	0.5	wh_war_machine_wef_large
500	wef_batteringram	wef_batteringram	battering_ram		2		UI/Battle UI/siege_vehicle_icons/siege_tower.png	-1	false	false	0	PLACEHOLDER	0	100	0	1	0	0.5	wh_war_machine_wef_large
10200	wef_siege_tower_15m	wef_siege_tower_15m	siege_tower		3.2		UI/Battle UI/siege_vehicle_icons/siege_tower_medium.png	-1	false	true	0	UI/Battle UI/siege_vehicle_icons/tower_cat.png	0	2000	0	2	6	1	wh_war_machine_wef_large
