faction_political_parties_junctions_tables	0
wh_main_brt_bretonnia	wh_dlc07_political_party_bretonnia_ruler
wh_dlc08_nor_norsca	wh_dlc08_political_party_norsca_council
wh_dlc08_nor_norsca	wh_dlc08_political_party_norsca_ruler
wh_dlc08_nor_wintertooth	wh_dlc08_political_party_norsca_throgg
wh_dlc08_nor_wintertooth	wh_dlc08_political_party_norsca_throgg_council
wh_main_chs_chaos	wh_main_political_party_chaos_council
wh_main_chs_chaos	wh_main_political_party_chaos_ruler
wh_main_chs_chaos_separatists	wh_main_political_party_chaos_separatist_council
wh_main_chs_chaos_separatists	wh_main_political_party_chaos_separatist_ruler
wh_main_dwf_dwarfs	wh_main_political_party_dwarf_council
wh_main_dwf_dwarfs	wh_main_political_party_dwarf_ruler
wh_main_dwf_karak_kadrin	wh_main_political_party_dwarf_ungrim
wh_main_emp_empire	wh_main_political_party_empire_council
wh_main_emp_empire	wh_main_political_party_empire_ruler
wh_main_emp_empire_separatists	wh_main_political_party_empire_separatist_council
wh_main_emp_empire_separatists	wh_main_political_party_empire_separatist_ruler
wh_main_grn_greenskins	wh_main_political_party_greenskins_council
wh_main_grn_greenskins	wh_main_political_party_greenskins_ruler
wh_main_vmp_vampire_counts	wh_main_political_party_vampire_council
wh2_dlc11_vmp_the_barrow_legion	wh_main_political_party_vampire_heinrich
wh_main_vmp_vampire_counts	wh_main_political_party_vampire_ruler
wh_main_vmp_schwartzhafen	wh_pro02_political_party_vlad_council
wh_main_vmp_schwartzhafen	wh_pro02_political_party_vlad_ruler
