dilemmas_tables	5
generate	key	localised_description	localised_title	ui_image	prioritized	event_category	sound_popup_override	sound_click_override
false	wh2_dlc08_confederate_wh_main_nor_baersonling	The leader of the Baersonling tribe has been defeated; a once powerful warlord now reduced to obscurity beneath your might. For as you stand tall in victory he kneels at your side, hands in chains, his followers stood amongst yours, brought to a halt in anticipation of your next utterance. His men now see him as weak and unfit to lead any longer, this is a chance for you to take control of this faction's forces and land, as well as its followers' dubious loyalty.\n\nThough, while the allure of land may appear to make this choice a simple one, do not let the challenges that a larger empire creates escape you - perhaps simply killing this man and letting whatever is left of his faction fade into memory may be a more fitting end...	Warlord Defeated	army_morale_up	true	Event		
false	wh2_dlc08_confederate_wh_main_nor_bjornling	The leader of the Bjornling tribe has been defeated; a once powerful warlord now reduced to obscurity beneath your might. For as you stand tall in victory he kneels at your side, hands in chains, his followers stood amongst yours, brought to a halt in anticipation of your next utterance. His men now see him as weak and unfit to lead any longer, this is a chance for you to take control of this faction's forces and land, as well as its followers' dubious loyalty.\n\nThough, while the allure of land may appear to make this choice a simple one, do not let the challenges that a larger empire creates escape you - perhaps simply killing this man and letting whatever is left of his faction fade into memory may be a more fitting end...	Warlord Defeated	army_morale_up	true	Event		
false	wh2_dlc08_confederate_wh_main_nor_graeling	The leader of the Graeling tribe has been defeated; a once powerful warlord now reduced to obscurity beneath your might. For as you stand tall in victory he kneels at your side, hands in chains, his followers stood amongst yours, brought to a halt in anticipation of your next utterance. His men now see him as weak and unfit to lead any longer, this is a chance for you to take control of this faction's forces and land, as well as its followers' dubious loyalty.\n\nThough, while the allure of land may appear to make this choice a simple one, do not let the challenges that a larger empire creates escape you - perhaps simply killing this man and letting whatever is left of his faction fade into memory may be a more fitting end...	Warlord Defeated	army_morale_up	true	Event		
false	wh2_dlc08_confederate_wh_main_nor_sarl	The leader of the Sarl tribe has been defeated; a once powerful warlord now reduced to obscurity beneath your might. For as you stand tall in victory he kneels at your side, hands in chains, his followers stood amongst yours, brought to a halt in anticipation of your next utterance. His men now see him as weak and unfit to lead any longer, this is a chance for you to take control of this faction's forces and land, as well as its followers' dubious loyalty.\n\nThough, while the allure of land may appear to make this choice a simple one, do not let the challenges that a larger empire creates escape you - perhaps simply killing this man and letting whatever is left of his faction fade into memory may be a more fitting end...	Warlord Defeated	army_morale_up	true	Event		
false	wh2_dlc08_confederate_wh_main_nor_skaeling	The leader of the Skaeling tribe has been defeated; a once powerful warlord now reduced to obscurity beneath your might. For as you stand tall in victory he kneels at your side, hands in chains, his followers stood amongst yours, brought to a halt in anticipation of your next utterance. His men now see him as weak and unfit to lead any longer, this is a chance for you to take control of this faction's forces and land, as well as its followers' dubious loyalty.\n\nThough, while the allure of land may appear to make this choice a simple one, do not let the challenges that a larger empire creates escape you - perhaps simply killing this man and letting whatever is left of his faction fade into memory may be a more fitting end...	Warlord Defeated	army_morale_up	true	Event		
false	wh2_dlc08_confederate_wh_main_nor_varg	The leader of the Varg tribe has been defeated; a once powerful warlord now reduced to obscurity beneath your might. For as you stand tall in victory he kneels at your side, hands in chains, his followers stood amongst yours, brought to a halt in anticipation of your next utterance. His men now see him as weak and unfit to lead any longer, this is a chance for you to take control of this faction's forces and land, as well as its followers' dubious loyalty.\n\nThough, while the allure of land may appear to make this choice a simple one, do not let the challenges that a larger empire creates escape you - perhaps simply killing this man and letting whatever is left of his faction fade into memory may be a more fitting end...	Warlord Defeated	army_morale_up	true	Event		
true	wh2_dlc09_agent_choice	A Tomb Prince, Necrotect and Liche Priest enter your throne room and offer themselves in your service...	A Choice of Servants	celebration	true	Event		
false	wh2_dlc09_great_vortex_skv_tretch_lucky_skullhelm_stage_3	Tretch’s luck holds once again. On the third day of pillaging the surrounding countryside his Gutter Runners apprehend the assassins whose attempt he foiled. One is slain while resisting capture, but the other is tackled, trussed like a turkey, and dumped before the Warlord.\n\nHow should the interrogation proceed?	Lucky Skullhelm	generic	false	Quest		
false	wh2_dlc09_great_vortex_tmb_arkhan_the_tomb_blade_of_arkhan_stage_2	There is little left of this city's past splendour. Its crumbling edifices and dilapidated porticos are host to naught now but the desert winds. The agent scours the ruins, and eventually locates the entrance to a grand tomb, with Alcadizaar's name barely legible over the grand architrave. In front of the tomb lie the bodies of Lizardmen, entangled with mouldering remains. The blood and ichor is still wet: this skirmish was recent. Perhaps the battle still rages within? Should the agent enter the tomb and risk becoming a combatant? Or remain circumspect and tarry without for a sign?	The Tomb Blade of Arkhan	generic	false	Quest		
false	wh2_dlc09_great_vortex_tmb_settra_the_crown_of_nehekhara_stage_3	The raid was a success. A barbarian chief, draped in ancient gold and gem-studded trinkets, is dragged before Settra. He is larger by far than the average human and wears a growling mask of surliness, but Settra revels in the terror that lurks behind his eyes. The creature's soul is forfeit, of course; Phakth demands eternal justice, and Settra his due. What will be the manner of this insect's passing?	The Crown of Nehekhara	generic	false	Quest		
false	wh2_dlc09_skv_tretch_lucky_skullhelm_stage_3	Tretch’s luck holds once again. On the third day of pillaging the surrounding countryside his Gutter Runners apprehend the assassins whose attempt he foiled. One is slain while resisting capture, but the other is tackled, trussed like a turkey, and dumped before the Warlord.\n\nHow should the interrogation proceed?	Lucky Skullhelm	generic	false	Quest		
false	wh2_dlc09_tmb_arkhan_the_tomb_blade_of_arkhan_stage_2	There is little left of this city's past splendour. Its crumbling edifices and dilapidated porticos are host to naught now but the desert winds. The agent scours the ruins, and eventually locates the entrance to a grand tomb, with Alcadizaar's name barely legible over the grand architrave. In front of the tomb lie the bodies of Lizardmen, entangled with mouldering remains. The blood and ichor is still wet: this skirmish was recent. Perhaps the battle still rages within? Should the agent enter the tomb and risk becoming a combatant? Or remain circumspect and tarry without for a sign?	The Tomb Blade of Arkhan	generic	false	Quest		
true	wh2_dlc09_tmb_dilemma_almighty_monuments	A new monument will show the gods that their veneration is still our foremost concern. They, in turn, will strengthen our hands in this time of endless war. But to whom among our pantheon should it be dedicated?	Mighty Monuments	civilisation_up	false	Event	UI_CAM_EVENT_Dilemma	
true	wh2_dlc09_tmb_dilemma_crumbling_buildings	In cities as old as the deserts it is the natural order that even the finest buildings eventually crumble and fall. One of our largest temples has started to collapse and we fear that it will soon topple, bringing down calamity. Should we reinforce it?	Entropy Increases	generic	false	Event	UI_CAM_EVENT_Dilemma	
true	wh2_dlc09_tmb_dilemma_drying_rivers	The main tributary used for trade and transport of materials from one holy site to another is slowly drying out. The water level has now dropped to a dangerous level - what should be done, if anything, to prevent it from drying out completely?	Drying Rivers	faction	false	Event	UI_CAM_EVENT_Dilemma	
true	wh2_dlc09_tmb_dilemma_eternal_servitude	The Liche Priests of the Mortuary Cult have left their necropoli in search of servants to aid them in their holy work; the incantations of preservation must be maintained and furthered. However, not everyone is a suitable candidate for such work. Who can we spare?	Eternal Servitude	messenger	false	Event	UI_CAM_EVENT_Dilemma	
true	wh2_dlc09_tmb_dilemma_glorious_structures	The cities of Nehekhara are without compare in their scale and grandeur. However, time ravages stone just the same as flesh and now our buildings are badly in need of restoration. Upon which of them should we focus our endeavours?	Splendid Structures	civilisation_up	false	Event	UI_CAM_EVENT_Dilemma	
true	wh2_dlc09_tmb_dilemma_liche_priest	Liche Priests should live only to serve their king's undying will. Betrayal should be anathema to their order, yet one among their number has betrayed us by conspiring with a rival Tomb King. How should we proceed?	Judas Priest	politics	false	Event	UI_CAM_EVENT_Dilemma	
true	wh2_dlc09_tmb_dilemma_lost_tombs	During the excavation of one of our Lord's tombs, a disaster occurred; the more we dug, the more sand poured into the breach, trapping our unfortunate workers inside and re-sealing the chamber. Is the loss of a few wretched labourers sufficient reason to dig elsewhere? Or should we persevere here and redouble our efforts?	Lost Tomb, Hidden Knowledge	faction	false	Event	UI_CAM_EVENT_Dilemma	
true	wh2_dlc09_tmb_dilemma_scaly_sacrifice	Whilst traversing the jungles on the edge of the world, with a view to bringing them within our sphere of influence, our forces have encountered a village of tribal Lizardmen. Naturally, they cower and beg for their meagre lives. Should we sacrifice them to empower our future?	Scaly Sacrifice	messenger	false	Event	UI_CAM_EVENT_Dilemma	
true	wh2_dlc09_tmb_dilemma_sinking_pyramid	Despite the best efforts of our chief Necrotect, one of our tombs has started to sink back into the sand once more, before giving up its illustrious, arcane secrets; if we do not act quickly to shore up its entrance, we risk losing everything we have thus far gained.	Abandon Sphinx!	civilisation_down	false	Event	UI_CAM_EVENT_Dilemma	
true	wh2_dlc09_tmb_dilemma_soulless_sphinx	One of our Liche Priests has dared approach with concerns that one of the Necrosphinxes is no longer under the control of our warriors' souls but instead is in thrall to Usekph, the destructive god buried beneath the sands. Dare we destroy it and risk his unending wrath?	Soulless Sphinx	politics	false	Event	UI_CAM_EVENT_Dilemma	
true	wh2_dlc09_tmb_dilemma_stray_mortals	Men, whose flesh still crowds their bones, with hearts that continue to beat, have been found wandering the land. Throwing themselves upon our mercy, they beg for their lives and the freedom to return to their faraway homes. What should we do?	Stray Slaves	messenger	false	Event	UI_CAM_EVENT_Dilemma	
true	wh2_dlc09_tmb_dilemma_the_banisher	We have made a great discovery! During the course of our excavations, remains of the army that once served Alcadizaar the Conqueror, the last and maybe the greatest of all the Priest Kings of Nehekhara, have been unearthed. It would take but a little magic to raise them to our service, should we do so or give them a ritual burial in the classical Nehekharan style?	On the Conqueror's Eternal Service	army_morale_up	false	Event	UI_CAM_EVENT_Dilemma	
false	wh2_dlc09_tmb_settra_the_crown_of_nehekhara_stage_3	The raid was a success. A barbarian chief, draped in ancient gold and gem-studded trinkets, is dragged before Settra. He is larger by far than the average human and wears a growling mask of surliness, but Settra revels in the terror that lurks behind his eyes. The creature's soul is forfeit, of course; Phakth demands eternal justice, and Settra his due. What will be the manner of this insect's passing?	The Crown of Nehekhara	generic	false	Quest		
false	wh2_dlc10_monster_hunt_10_stage_2	Dargoth is in the aftermath of some attack. The towers still burn even amongst the snow and ice, and the bodies of the recently-mauled litter the ground. The survivors look upon the Norse with suspicion and hostility. It is clear your force does not come to offer aid. You speak out, asking if this was the work of the immortal War Hydra. You get only silence in response...	Monster Hunt: The Beast of Raema	faction	true	Quest		
false	wh2_dlc10_nor_monster_hunt_10_dilemma_reward	The legendary monster has been slain! The tribesmen flock to catch a glimpse of the fallen beast, bearing witness to your glorious achievement. The bounty must now be ceremoniously offered up to a Norscan God of your choosing.\n\nTo which God do you offer this sacrifice?	A Monstrous Offering	celebration	true	Quest		
false	wh2_dlc10_nor_monster_hunt_11_dilemma_reward	The legendary monster has been slain! The tribesmen flock to catch a glimpse of the fallen beast, bearing witness to your glorious achievement. The bounty must now be ceremoniously offered up to a Norscan God of your choosing.\n\nTo which God do you offer this sacrifice?	A Monstrous Offering	celebration	true	Quest		
false	wh2_dlc10_nor_monster_hunt_8_dilemma_reward	The legendary monster has been slain! The tribesmen flock to catch a glimpse of the fallen beast, bearing witness to your glorious achievement. The bounty must now be ceremoniously offered up to a Norscan God of your choosing.\n\nTo which God do you offer this sacrifice?	A Monstrous Offering	celebration	true	Quest		
false	wh2_dlc10_nor_monster_hunt_9_dilemma_reward	The legendary monster has been slain! The tribesmen flock to catch a glimpse of the fallen beast, bearing witness to your glorious achievement. The bounty must now be ceremoniously offered up to a Norscan God of your choosing.\n\nTo which God do you offer this sacrifice?	A Monstrous Offering	celebration	true	Quest		
false	wh2_dlc10_qb_nor_monster_hunt_8_stage_2	This scheming Druchii trader has been surprisingly forthcoming thus far, but as you suspect, it is not long before he proposes a bargain. He is willing to hand over the extinguished Phoenix pinion, stating that it will prove useful on the hunt to come, and provide the location of the volcano in which the Mother of the Flame is reborn into this world.\n\nHowever, there is a cost; he has need of a favour regarding an unrelated matter. He wishes to divert you from your hunt - only temporarily - to kill one of his enemies. He claims he has bad credit with the assassins of his own race, so requires the murderous skills of your men. Once the death is certified he will hand over the pinion and the information you need to continue the hunt.	Monster Hunt: Mother of the Flame	messenger	true	Quest		
false	wh2_dlc10_sword_of_khaine_lv1	You wield the power of Khaine's might. The sword strikes terror in all your enemies. On the battlefield you reap a mighty toll as foes fall before the blade with ease. Yet, nightmares torment your soul, and a sickness leeches into your lands... \n\nPerhaps it is wiser to relinquish such power? You will be weaker... feebler... but is it not a price worth paying to becalm your dreams?	The Sword Hungers	sword_of_khaine	true	Quest		
false	wh2_dlc10_sword_of_khaine_lv2	Is the sword now controlling your decisions? Your power is absolute - a force to match the gods themselves - but your moods are permanently dark, your allies lose confidence, and your followers surely plot regicide. You reign over hollow lands and a desperate folk who now despise their sovereign!\n\nWill you give up this power to rule the world?	The Sword Festers	sword_of_khaine	true	Quest		
false	wh2_dlc10_sword_of_khaine_lv3	Through battle, the sword grows ever stronger, while at home your lands fester and become more corrupted with the passing of time. You must choose whether to continue down this darkest of paths…	The Sword Hungers	sword_of_khaine	true	Quest		
false	wh2_dlc10_sword_of_khaine_pick_or_not	The Sword of Khaine will always be drawn to the powerful. You have defeated its most recent owner, and even as their body cools, the sword calls to you – the power of a god bound within the blade waiting to be unleashed!	The Sword Calls to You	sword_of_khaine	true	Quest		
false	wh2_dlc11_cst_cylostra_the_bordeleaux_flabellum_stage_4	A self-obsessed singer needs a doting audience, and Cylostra is well aware that it is the Bretonnians who appreciate her talents the most. After all, it was a Bretonnian king who once favoured her above all other court singers, frequently inviting the diva to give private performances and serenade eminent guests at important stately banquets.\n\nOn the other hand, Cylostra is technically still well overdue for a high-profile performance before the High Elves of Ulthuan. Many years ago, when the Lamprey succumbed to a storm in the Eastern Straits of the Great Ocean, before Cylostra’s transformation, she was on an important diplomatic voyage to sing before the Phoenix King. A treaty of great import was reliant on his pleasure in her performance, for the Elves believe good art – music in particular – to be as valuable as gems and gold. It was an important engagement, so surely the High Elves will still be waiting for her?!\n\nTo find an audience, Cylostra could head east from the islands of Northern Yvresse towards Bretonnia, retracing the fateful voyage which led to her transforming into the eternally-vengeful spirit she has become. Alternatively, she could head towards the southern end of the Shifting Isles, where the High Elves' Old World shipping lanes are located, following them directly into the great Elven port of Lothern and, hopefully, to the Phoenix King himself...	The Bordeleaux Flabellum	generic	false	Quest		
true	wh2_dlc11_cst_dilemma_ancient_treasure	Although most entrepreneurial, our endeavours 'ave presented something of a dilemma. A large, jewel-adorned statue of sandstone has... found its way into our possession. It's far too large to take away 'ole, but its adornments would make quite the prize! It's also covered in glyphs indicating woe might befall any who mistreat it, but that's probably just flannel so less tenacious pirates leave it alone. Should we ignore the markings an' loot its jewels or be wary?	Ancient Treasure 	politics	false	Event	UI_CAM_EVENT_Dilemma	
true	wh2_dlc11_cst_dilemma_camp_fortune	Ahoy there! We've come across an enemy encampment devoid of life an' littered with corpses. Half-devoured bodies are scattered about the clearing. The fallen dead were elite riflemen - surely one among 'em will be of use to us? Or perhaps we should seek out the creature that caused this massacre?	Fleshy Fortune	faction	false	Event	UI_CAM_EVENT_Dilemma	
true	wh2_dlc11_cst_dilemma_great_golden_idol	Apparently, a great Lizardmen temple 'as been unearthed. Though most of it is dilapidated, a single statue stands at the centre of what was likely a ceremonial garden - it must be worth a fortune, but removing it will certainly cause the temple to collapse, which will surely draw somebody's ire. Should we take the idol an' ignore the consequences or be cautious not to attract too much attention - an' their cold, unforgiving bloodlust, our way?	Great Golden Idol 	politics	false	Event	UI_CAM_EVENT_Dilemma	
true	wh2_dlc11_cst_dilemma_great_naval_battle	A major naval battle has ended, leavin' hundreds dead on each side. Death is no barrier to continued service, as well you know - those who fell in battle would make fine new recruits. If we make haste and 'ead off at full sail, the perished could be reanimated before they're lost to the ocean. We must decide if this boon is worth the toll it would take on our crew - should we make haste or ignore the battle?	A Great Engagement	celebration	false	Event	UI_CAM_EVENT_Dilemma	
true	wh2_dlc11_cst_dilemma_grim_tidings	The tides seem uneasy an' force us off course. Could this be a warning from Manann? This would not be the first time he has guided us out of danger - should we continue our course or take heed?	Grim Tidings 	generic	false	Event	UI_CAM_EVENT_Dilemma	
true	wh2_dlc11_cst_dilemma_ocean_of_opportunities	'Conversations' with several captured admirals 'ave brought information to light regarding several potential targets. We'll only 'ave time to strike one, however, so must choose wisely. Which convoy should we attack?	An Ocean of Opportunities 	messenger	false	Event	UI_CAM_EVENT_Dilemma	
true	wh2_dlc11_cst_dilemma_pirate_haven	A rival band o'pirates 'ave requested access to some of our coves an' are willing for pay for it. Should we allow 'em to shelter in our territory or kill 'em and 'liberate' the loot they're currently carrying?	Pirate Haven 	diplomacy	false	Event	UI_CAM_EVENT_Dilemma	
true	wh2_dlc11_cst_dilemma_plan_of_action	The night sky bleeds purple! The Wind of Shyish is strong, instilling the crew with new found vigour an' strength. Now is the time for action - for conquest - an' for using this magical boon to our advantage. Should we control the seas or turn our attention to new lands? 	A Plan of Action	generic	false	Event	UI_CAM_EVENT_Dilemma	
true	wh2_dlc11_cst_dilemma_rotten_wood	The harsh weather has caused severe damage to our timber reserves, makin' it difficult to repair any combat-damaged ships at sea. We must now choose where to focus our remaining resources - should our ships suffer or our settlements?	Rotten Timber Reserves	generic	false	Event	UI_CAM_EVENT_Dilemma	
true	wh2_dlc11_cst_dilemma_salvage_supplies	Our cargo hold has sprung a leak! Some of the booty has already been damaged an' our weapons an' armour are now at risk too! There is only so much space above deck, 'owever, so which supplies should we try to save whilst the ship is bein' repaired.	Salvage Supplies 	army_morale_down	false	Event	UI_CAM_EVENT_Dilemma	
true	wh2_dlc11_cst_dilemma_shipping_ledger	We've acquired a ledger covering much of the recently-raided area, filled with useful information 'bout shippin' routes an' cargo inventories. Two targets appear particularly valuable, yet strangely they're undefended. There is only time to pursue one of 'em though - which should we target?	Shipping Ledger 	messenger	false	Event	UI_CAM_EVENT_Dilemma	
true	wh2_dlc11_cst_dilemma_shyish_wanes	Those purple Winds of Magic are strangely absent 'round these parts, makin' the bindings that tie our troops to this world an' our will tenuous at best! Should we wait for the winds to blow more favourably for us or press on regardless?	Shyish Wanes 	generic	false	Event	UI_CAM_EVENT_Dilemma	
true	wh2_dlc11_cst_dilemma_supplies_adrift	The sight of wrecked ships is nothing new for a seasoned pirate, but this particular one 'eralds a welcome surprise! Packed to the keel with brand new weapons, armour an' gunpowder, this ship's cargo hold is several times the size of our own. However, some supplies will 'ave to be left behind. What should we loot from the ship?	Supplies Adrift 	army_morale_up	false	Event	UI_CAM_EVENT_Dilemma	
false	wh2_dlc11_dilemma_neo_encounter_at_sea_1_a	The remains of a large sea beast are spotted floating in some nearby backwaters. The unidentified creature has been inexplicably ripped to pieces by an explosive force, its belly torn open and exposed. This mysterious find could prove bountiful, for who knows what devoured treasures might reside within its guts? An unidentified ship has also been spotted nearby – rival scavengers. Whoever they are, you are not one to share salvage with anyone!	Beast from the Deeps 	wh2_sea_encounters_2	false	Event	UI_CAM_EVENT_Dilemma	
false	wh2_dlc11_dilemma_neo_encounter_at_sea_1_b	Your ocean scouts bring news that the bloated corpse of a massive sea monster has floated to the surface in some nearby straits. Although its carcass swells dangerously with noxious gases, you know that the belly of such a gargantuan monster can potentially yield numerous valuable treasures. A salvage mission may be a risky endeavour, however, as it is likely that other salvagers have also caught wind of the opportunity.	Monster of the Sea 	wh2_sea_encounters_1	false	Event	UI_CAM_EVENT_Dilemma	
false	wh2_dlc11_dilemma_neo_encounter_at_sea_1_c	With a gush of putrid water, the bloated corpse of an ancient sea leviathan surfaces close by. You consider sending your crew to investigate what secrets the cadaver of the sea beast will bestow, but such an expedition is not without risk. When alive, these creatures are known to host parasites the size of wolves and even colonies of needle-toothed aquatic man-things. Even so, there may be valuables to be found within its stinking gut.	A Leviathan Surfaces 	wh2_sea_encounters_2	false	Event	UI_CAM_EVENT_Dilemma	
false	wh2_dlc11_dilemma_neo_encounter_at_sea_2_a	A convoy of trading ships carrying myriad precious goods across a nearby sea trade route have been brought low by the angry Sea-God, Stromfels, much to the chagrin of wealthy merchants and investors back at their homeports. Knowing that such a wreckage could be a highly profitable salvage opportunity, you sail towards the area but unsurprisingly, others have also caught wind of it. You could continue your approach, but this might end in a confrontation at sea…	The Lost Convoy 	wh2_sea_encounters_1	false	Event	UI_CAM_EVENT_Dilemma	
false	wh2_dlc11_dilemma_neo_encounter_at_sea_2_b	The seabed is littered with the barnacle-clad hulls of ships that once set out to tame the oceans. Recently, rumours started circulating that one particularly notable wreckage had been spotted – a partially sunken ship that was rumoured to have been sailing back to Marienburg with a hold full of mysterious trinkets looted from across the Old World before suffering Stromfels’ ire. You know its location, but there’s always the chance that others have caught wind of these rumours too…	Treasure Down Below	wh2_sea_encounters_2	false	Event	UI_CAM_EVENT_Dilemma	
false	wh2_dlc11_dilemma_neo_encounter_at_sea_2_c	From the crow's nest come shouts that broken masts can be seen piercing the ocean's surface. The lookout has spotted a sunken ship lying in the waters amongst some distant shoals. Located far from an inhabited shoreline or any known sailing routes, it has the markings of a pirate galleon. A mysterious sunken pirate ship in this location cannot be here without good reason, and perhaps that reason involves treasure!	Sunken Booty	wh2_sea_encounters_1	false	Event	UI_CAM_EVENT_Dilemma	
false	wh2_dlc11_dilemma_neo_encounter_at_sea_3_a	You receive word of a wooden carcass of a ship that has been discovered strewn across a small, mysterious island. You are told that beyond the beach, gold and other trinkets can be found in abundance, surrounded by the long-dead crewmen who starved whilst waiting to be rescued. Some of your own crew whisper of curses which may be worth heeding, but such things rarely deter you when looted wealth and riches are involved…	The Cursed Islet	wh2_sea_encounters_2	false	Event	UI_CAM_EVENT_Dilemma	
false	wh2_dlc11_dilemma_neo_encounter_at_sea_3_b	While on an ocean crossing, an island inexplicably rises out of the sea before you. As your fleet approaches, the crew hear an eerie but ensnaring song that carries over the turbulent surf; a tune that promises much, with lyrics singing of everything from the untold riches of Greasus Goldtooth to some of Nagash's secrets of Undeath. The verses foretell the attainment of great power and wealth - all you must do is order your vessel closer to shore… It is what the Syreens want…	The Island Song	wh2_sea_encounters_1	false	Event	UI_CAM_EVENT_Dilemma	
false	wh2_dlc11_dilemma_neo_encounter_at_sea_3_c	As you make your way across the sea, the ocean mists suddenly part to reveal an island which, by all accounts, is unchartered even by the Great Mapwright himself. High spars of rock jut from sea, like spikes in a trap that has ensnared some prey. Indeed, a wrecked ship lies impaled on the small island's coastline; its crew seem to have moved into the interior along with any valuables that may have been onboard.	The Risen Isle	wh2_sea_encounters_2	false	Event	UI_CAM_EVENT_Dilemma	
