campaign_group_member_criteria_climates_tables	0
climate_ocean	wh2_climate_hef_highelvesrebels_ocean
climate_savannah	wh2_climate_hef_highelvesrebels_savannah
climate_temperate	wh2_climate_hef_highelvesrebels_temperate
climate_wasteland	wh2_climate_hef_highelvesrebels_wasteland
climate_chaotic	wh2_climate_hef_loremasters_chaotic
climate_desert	wh2_climate_hef_loremasters_desert
climate_frozen	wh2_climate_hef_loremasters_frozen
climate_island	wh2_climate_hef_loremasters_island
climate_jungle	wh2_climate_hef_loremasters_jungle
climate_magicforest	wh2_climate_hef_loremasters_magicforest
climate_mountain	wh2_climate_hef_loremasters_mountain
climate_ocean	wh2_climate_hef_loremasters_ocean
climate_savannah	wh2_climate_hef_loremasters_savannah
climate_temperate	wh2_climate_hef_loremasters_temperate
climate_wasteland	wh2_climate_hef_loremasters_wasteland
climate_chaotic	wh2_climate_hef_nagarythe_chaotic
climate_desert	wh2_climate_hef_nagarythe_desert
climate_frozen	wh2_climate_hef_nagarythe_frozen
climate_island	wh2_climate_hef_nagarythe_island
climate_jungle	wh2_climate_hef_nagarythe_jungle
climate_magicforest	wh2_climate_hef_nagarythe_magicforest
climate_mountain	wh2_climate_hef_nagarythe_mountain
climate_ocean	wh2_climate_hef_nagarythe_ocean
climate_savannah	wh2_climate_hef_nagarythe_savannah
climate_temperate	wh2_climate_hef_nagarythe_temperate
climate_wasteland	wh2_climate_hef_nagarythe_wasteland
climate_chaotic	wh2_climate_hef_saphery_chaotic
climate_desert	wh2_climate_hef_saphery_desert
climate_frozen	wh2_climate_hef_saphery_frozen
climate_island	wh2_climate_hef_saphery_island
climate_jungle	wh2_climate_hef_saphery_jungle
climate_magicforest	wh2_climate_hef_saphery_magicforest
climate_mountain	wh2_climate_hef_saphery_mountain
climate_ocean	wh2_climate_hef_saphery_ocean
climate_savannah	wh2_climate_hef_saphery_savannah
climate_temperate	wh2_climate_hef_saphery_temperate
climate_wasteland	wh2_climate_hef_saphery_wasteland
climate_chaotic	wh2_climate_hef_tiranoc_chaotic
climate_desert	wh2_climate_hef_tiranoc_desert
climate_frozen	wh2_climate_hef_tiranoc_frozen
climate_island	wh2_climate_hef_tiranoc_island
climate_jungle	wh2_climate_hef_tiranoc_jungle
climate_magicforest	wh2_climate_hef_tiranoc_magicforest
climate_mountain	wh2_climate_hef_tiranoc_mountain
climate_ocean	wh2_climate_hef_tiranoc_ocean
climate_savannah	wh2_climate_hef_tiranoc_savannah
climate_temperate	wh2_climate_hef_tiranoc_temperate
climate_wasteland	wh2_climate_hef_tiranoc_wasteland
climate_chaotic	wh2_climate_hef_torelasor_chaotic
climate_desert	wh2_climate_hef_torelasor_desert
climate_frozen	wh2_climate_hef_torelasor_frozen
climate_island	wh2_climate_hef_torelasor_island
climate_jungle	wh2_climate_hef_torelasor_jungle
climate_magicforest	wh2_climate_hef_torelasor_magicforest
climate_mountain	wh2_climate_hef_torelasor_mountain
climate_ocean	wh2_climate_hef_torelasor_ocean
climate_savannah	wh2_climate_hef_torelasor_savannah
climate_temperate	wh2_climate_hef_torelasor_temperate
climate_wasteland	wh2_climate_hef_torelasor_wasteland
climate_chaotic	wh2_climate_hef_yvresse_chaotic
climate_desert	wh2_climate_hef_yvresse_desert
climate_frozen	wh2_climate_hef_yvresse_frozen
climate_island	wh2_climate_hef_yvresse_island
climate_jungle	wh2_climate_hef_yvresse_jungle
climate_magicforest	wh2_climate_hef_yvresse_magicforest
climate_mountain	wh2_climate_hef_yvresse_mountain
climate_ocean	wh2_climate_hef_yvresse_ocean
climate_savannah	wh2_climate_hef_yvresse_savannah
climate_temperate	wh2_climate_hef_yvresse_temperate
climate_wasteland	wh2_climate_hef_yvresse_wasteland
climate_chaotic	wh2_climate_lzd_regular_chaotic
climate_desert	wh2_climate_lzd_regular_desert
climate_frozen	wh2_climate_lzd_regular_frozen
climate_island	wh2_climate_lzd_regular_island
climate_jungle	wh2_climate_lzd_regular_jungle
climate_magicforest	wh2_climate_lzd_regular_magicforest
climate_mountain	wh2_climate_lzd_regular_mountain
climate_ocean	wh2_climate_lzd_regular_ocean
climate_savannah	wh2_climate_lzd_regular_savannah
climate_temperate	wh2_climate_lzd_regular_temperate
climate_wasteland	wh2_climate_lzd_regular_wasteland
climate_chaotic	wh2_climate_nor_regular_chaotic
climate_desert	wh2_climate_nor_regular_desert
climate_frozen	wh2_climate_nor_regular_frozen
climate_island	wh2_climate_nor_regular_island
climate_jungle	wh2_climate_nor_regular_jungle
climate_magicforest	wh2_climate_nor_regular_magicforest
climate_mountain	wh2_climate_nor_regular_mountain
climate_ocean	wh2_climate_nor_regular_ocean
climate_savannah	wh2_climate_nor_regular_savannah
climate_temperate	wh2_climate_nor_regular_temperate
climate_wasteland	wh2_climate_nor_regular_wasteland
climate_chaotic	wh2_climate_skv_regular_chaotic
climate_desert	wh2_climate_skv_regular_desert
climate_frozen	wh2_climate_skv_regular_frozen
climate_island	wh2_climate_skv_regular_island
climate_jungle	wh2_climate_skv_regular_jungle
climate_magicforest	wh2_climate_skv_regular_magicforest
climate_mountain	wh2_climate_skv_regular_mountain
climate_ocean	wh2_climate_skv_regular_ocean
climate_savannah	wh2_climate_skv_regular_savannah
climate_temperate	wh2_climate_skv_regular_temperate
climate_wasteland	wh2_climate_skv_regular_wasteland
climate_chaotic	wh2_climate_skv_rictus_chaotic
climate_desert	wh2_climate_skv_rictus_desert
climate_frozen	wh2_climate_skv_rictus_frozen
climate_island	wh2_climate_skv_rictus_island
climate_jungle	wh2_climate_skv_rictus_jungle
climate_magicforest	wh2_climate_skv_rictus_magicforest
climate_mountain	wh2_climate_skv_rictus_mountain
climate_ocean	wh2_climate_skv_rictus_ocean
climate_savannah	wh2_climate_skv_rictus_savannah
climate_temperate	wh2_climate_skv_rictus_temperate
climate_wasteland	wh2_climate_skv_rictus_wasteland
climate_chaotic	wh2_climate_tmb_khalida_chaotic
climate_desert	wh2_climate_tmb_khalida_desert
climate_frozen	wh2_climate_tmb_khalida_frozen
climate_island	wh2_climate_tmb_khalida_island
climate_jungle	wh2_climate_tmb_khalida_jungle
climate_magicforest	wh2_climate_tmb_khalida_magicforest
climate_mountain	wh2_climate_tmb_khalida_mountain
climate_ocean	wh2_climate_tmb_khalida_ocean
climate_savannah	wh2_climate_tmb_khalida_savannah
climate_temperate	wh2_climate_tmb_khalida_temperate
climate_wasteland	wh2_climate_tmb_khalida_wasteland
climate_chaotic	wh2_climate_tmb_khatep_chaotic
climate_desert	wh2_climate_tmb_khatep_desert
climate_frozen	wh2_climate_tmb_khatep_frozen
climate_island	wh2_climate_tmb_khatep_island
climate_jungle	wh2_climate_tmb_khatep_jungle
climate_magicforest	wh2_climate_tmb_khatep_magicforest
climate_mountain	wh2_climate_tmb_khatep_mountain
climate_ocean	wh2_climate_tmb_khatep_ocean
climate_savannah	wh2_climate_tmb_khatep_savannah
climate_temperate	wh2_climate_tmb_khatep_temperate
climate_wasteland	wh2_climate_tmb_khatep_wasteland
climate_chaotic	wh2_climate_tmb_regular_chaotic
climate_desert	wh2_climate_tmb_regular_desert
climate_frozen	wh2_climate_tmb_regular_frozen
climate_island	wh2_climate_tmb_regular_island
climate_jungle	wh2_climate_tmb_regular_jungle
climate_magicforest	wh2_climate_tmb_regular_magicforest
climate_mountain	wh2_climate_tmb_regular_mountain
climate_ocean	wh2_climate_tmb_regular_ocean
climate_savannah	wh2_climate_tmb_regular_savannah
climate_temperate	wh2_climate_tmb_regular_temperate
climate_wasteland	wh2_climate_tmb_regular_wasteland
climate_chaotic	wh2_climate_vmp_regular_chaotic
climate_desert	wh2_climate_vmp_regular_desert
climate_frozen	wh2_climate_vmp_regular_frozen
climate_island	wh2_climate_vmp_regular_island
climate_jungle	wh2_climate_vmp_regular_jungle
climate_magicforest	wh2_climate_vmp_regular_magicforest
climate_mountain	wh2_climate_vmp_regular_mountain
climate_ocean	wh2_climate_vmp_regular_ocean
climate_savannah	wh2_climate_vmp_regular_savannah
climate_temperate	wh2_climate_vmp_regular_temperate
climate_wasteland	wh2_climate_vmp_regular_wasteland
climate_chaotic	wh2_dlc11_climate_def_lokhir_chaotic
climate_desert	wh2_dlc11_climate_def_lokhir_desert
climate_frozen	wh2_dlc11_climate_def_lokhir_frozen
climate_island	wh2_dlc11_climate_def_lokhir_island
climate_jungle	wh2_dlc11_climate_def_lokhir_jungle
climate_magicforest	wh2_dlc11_climate_def_lokhir_magicforest
climate_mountain	wh2_dlc11_climate_def_lokhir_mountain
climate_ocean	wh2_dlc11_climate_def_lokhir_ocean
climate_savannah	wh2_dlc11_climate_def_lokhir_savannah
climate_temperate	wh2_dlc11_climate_def_lokhir_temperate
climate_wasteland	wh2_dlc11_climate_def_lokhir_wasteland
climate_chaotic	wh2_dlc11_climate_vmp_kemmler_chaotic
climate_desert	wh2_dlc11_climate_vmp_kemmler_desert
climate_frozen	wh2_dlc11_climate_vmp_kemmler_frozen
climate_island	wh2_dlc11_climate_vmp_kemmler_island
climate_jungle	wh2_dlc11_climate_vmp_kemmler_jungle
climate_magicforest	wh2_dlc11_climate_vmp_kemmler_magicforest
climate_mountain	wh2_dlc11_climate_vmp_kemmler_mountain
climate_ocean	wh2_dlc11_climate_vmp_kemmler_ocean
climate_savannah	wh2_dlc11_climate_vmp_kemmler_savannah
climate_temperate	wh2_dlc11_climate_vmp_kemmler_temperate
climate_wasteland	wh2_dlc11_climate_vmp_kemmler_wasteland
