unit_variants_colours_tables	2
faction	primary_colour_b	primary_colour_g	primary_colour_r	secondary_colour_b	secondary_colour_g	secondary_colour_r	soldier_type	tertiary_colour_b	tertiary_colour_g	tertiary_colour_r	key	unit_variant
wh_main_brt_parravon	132	41	36	15	15	145	soldier	0	0	0	10407	wh_main_brt_cha_paladin_0
wh_main_brt_parravon	250	250	250	205	101	42	soldier	0	0	0	10412	wh_main_brt_cha_paladin_0
wh_main_brt_parravon	30	30	30	241	241	241	soldier	0	0	0	10420	wh_main_brt_cha_paladin_0
wh_main_brt_parravon	236	236	245	11	11	139	soldier	0	0	0	10429	wh_main_brt_cha_paladin_0
wh_main_brt_parravon	25	25	180	14	14	25	soldier	0	0	0	10430	wh_main_brt_cha_paladin_0
wh_main_brt_parravon	18	18	37	64	178	214	soldier	0	0	0	10437	wh_main_brt_cha_paladin_0
wh_main_brt_parravon	16	16	132	135	42	37	soldier	0	0	0	10439	wh_main_brt_cha_paladin_0
wh_main_brt_parravon	239	239	241	75	126	220	soldier	0	0	0	10448	wh_main_brt_cha_paladin_0
wh_main_brt_parravon	45	193	244	22	26	142	soldier	0	0	0	10456	wh_main_brt_cha_paladin_0
wh_main_brt_parravon	12	14	134	238	238	246	soldier	0	0	0	10460	wh_main_brt_cha_paladin_0
wh_main_brt_parravon	239	239	239	36	36	36	soldier	0	0	0	10464	wh_main_brt_cha_paladin_0
wh_main_brt_parravon	18	16	137	136	43	38	soldier	0	0	0	10472	wh_main_brt_cha_paladin_3
wh_main_brt_parravon	136	64	29	243	243	243	soldier	0	0	0	10477	wh_main_brt_cha_paladin_3
wh_main_brt_artois	250	250	250	205	101	42	soldier	0	0	0	1048	wh_main_brt_cav_knights_of_the_realm
wh_main_brt_parravon	83	201	238	19	19	19	soldier	0	0	0	10481	wh_main_brt_cha_paladin_3
wh_main_brt_parravon	95	35	35	77	171	214	soldier	0	0	0	10487	wh_main_brt_cha_paladin_3
wh_main_brt_parravon	23	29	34	18	20	145	soldier	0	0	0	10488	wh_main_brt_cha_paladin_3
wh_main_brt_parravon	132	41	36	15	15	145	soldier	0	0	0	10498	wh_main_brt_cha_paladin_3
wh_main_brt_parravon	250	250	250	205	101	42	soldier	0	0	0	10501	wh_main_brt_cha_paladin_3
wh_main_brt_parravon	30	30	30	241	241	241	soldier	0	0	0	10507	wh_main_brt_cha_paladin_3
wh_main_brt_parravon	236	236	245	11	11	139	soldier	0	0	0	10517	wh_main_brt_cha_paladin_3
wh_main_brt_parravon	25	25	180	14	14	25	soldier	0	0	0	10526	wh_main_brt_cha_paladin_3
wh_main_brt_parravon	18	18	37	64	178	214	soldier	0	0	0	10532	wh_main_brt_cha_paladin_3
wh2_dlc11_cst_pirates_of_sartosa	182	212	220	0	0	102	soldier	0	0	0	1053518770	wh2_dlc11_cst_inf_sartosa_militia_0
wh_main_brt_parravon	16	16	132	135	42	37	soldier	0	0	0	10538	wh_main_brt_cha_paladin_3
wh_main_brt_parravon	239	239	241	75	126	220	soldier	0	0	0	10542	wh_main_brt_cha_paladin_3
wh_main_brt_parravon	45	193	244	22	26	142	soldier	0	0	0	10552	wh_main_brt_cha_paladin_3
wh_main_brt_parravon	12	14	134	238	238	246	soldier	0	0	0	10560	wh_main_brt_cha_paladin_3
wh_main_brt_parravon	239	239	239	36	36	36	soldier	0	0	0	10564	wh_main_brt_cha_paladin_3
wh_main_brt_artois	30	30	30	241	241	241	soldier	0	0	0	1057	wh_main_brt_cav_knights_of_the_realm
wh_main_brt_parravon	18	16	137	136	43	38	soldier	0	0	0	10573	wh_main_brt_cha_paladin_4
wh_main_brt_parravon	136	64	29	243	243	243	soldier	0	0	0	10577	wh_main_brt_cha_paladin_4
wh_main_brt_parravon	83	201	238	19	19	19	soldier	0	0	0	10585	wh_main_brt_cha_paladin_4
wh_main_brt_parravon	95	35	35	77	171	214	soldier	0	0	0	10591	wh_main_brt_cha_paladin_4
wh_main_brt_bretonnia	83	201	238	19	19	19	soldier	0	0	0	106	wh_main_brt_cav_knights_of_the_realm
wh_main_brt_parravon	23	29	34	18	20	145	soldier	0	0	0	10601	wh_main_brt_cha_paladin_4
wh_main_brt_parravon	132	41	36	15	15	145	soldier	0	0	0	10604	wh_main_brt_cha_paladin_4
wh_main_brt_artois	236	236	245	11	11	139	soldier	0	0	0	1061	wh_main_brt_cav_knights_of_the_realm
wh_main_brt_parravon	250	250	250	205	101	42	soldier	0	0	0	10612	wh_main_brt_cha_paladin_4
wh_main_brt_parravon	30	30	30	241	241	241	soldier	0	0	0	10614	wh_main_brt_cha_paladin_4
wh_main_brt_parravon	236	236	245	11	11	139	soldier	0	0	0	10619	wh_main_brt_cha_paladin_4
wh_main_brt_parravon	25	25	180	14	14	25	soldier	0	0	0	10628	wh_main_brt_cha_paladin_4
wh_main_brt_parravon	18	18	37	64	178	214	soldier	0	0	0	10630	wh_main_brt_cha_paladin_4
wh_main_brt_parravon	16	16	132	135	42	37	soldier	0	0	0	10640	wh_main_brt_cha_paladin_4
wh_main_brt_parravon	239	239	241	75	126	220	soldier	0	0	0	10643	wh_main_brt_cha_paladin_4
wh_main_brt_parravon	45	193	244	22	26	142	soldier	0	0	0	10646	wh_main_brt_cha_paladin_4
wh_main_brt_parravon	12	14	134	238	238	246	soldier	0	0	0	10647	wh_main_brt_cha_paladin_4
wh_main_brt_parravon	239	239	239	36	36	36	soldier	0	0	0	10657	wh_main_brt_cha_paladin_4
wh_main_brt_artois	25	25	180	14	14	25	soldier	0	0	0	1067	wh_main_brt_cav_knights_of_the_realm
wh_main_brt_artois	18	18	37	64	178	214	soldier	0	0	0	1075	wh_main_brt_cav_knights_of_the_realm
wh2_main_hef_avelorn	0	0	0	44	39	197	soldier	0	0	0	1077932926	wh2_dlc10_hef_inf_the_scions_of_mathlann_ror_0
wh_main_brt_bretonnia	95	35	35	77	171	214	soldier	0	0	0	108	wh_main_brt_cav_knights_of_the_realm
wh2_dlc11_cst_pirates_of_sartosa	122	119	119	0	0	85	soldier	0	0	0	1083407883	wh2_dlc11_cst_inf_sartosa_militia_0
wh_main_brt_artois	16	16	132	135	42	37	soldier	0	0	0	1084	wh_main_brt_cav_knights_of_the_realm
wh_main_brt_carcassonne	240	210	210	210	240	240	soldier	240	210	210	1090031897	wh_pro04_brt_cav_questing_knights_ror_0
wh_main_brt_artois	239	239	241	75	126	220	soldier	0	0	0	1094	wh_main_brt_cav_knights_of_the_realm
wh_main_brt_artois	45	193	244	22	26	142	soldier	0	0	0	1097	wh_main_brt_cav_knights_of_the_realm
wh_main_brt_artois	12	14	134	238	238	246	soldier	0	0	0	1101	wh_main_brt_cav_knights_of_the_realm
wh_main_brt_artois	239	239	239	36	36	36	soldier	0	0	0	1104	wh_main_brt_cav_knights_of_the_realm
wh2_dlc09_tmb_exiles_of_nehek	58	229	165	77	77	77	soldier	0	0	0	1107539993	wh2_dlc09_tmb_inf_tomb_guard_ror
wh_main_brt_artois	18	16	137	136	43	38	soldier	0	0	0	1110	wh_main_brt_cav_pegasus_knights
wh_main_brt_artois	136	64	29	243	243	243	soldier	0	0	0	1116	wh_main_brt_cav_pegasus_knights
wh_main_brt_bretonnia	23	29	34	18	20	145	soldier	0	0	0	112	wh_main_brt_cav_knights_of_the_realm
wh_main_brt_artois	83	201	238	19	19	19	soldier	0	0	0	1125	wh_main_brt_cav_pegasus_knights
wh_main_brt_artois	95	35	35	77	171	214	soldier	0	0	0	1134	wh_main_brt_cav_pegasus_knights
wh_main_brt_artois	23	29	34	18	20	145	soldier	0	0	0	1137	wh_main_brt_cav_pegasus_knights
wh_main_brt_artois	132	41	36	15	15	145	soldier	0	0	0	1145	wh_main_brt_cav_pegasus_knights
wh2_main_lzd_last_defenders	82	33	70	0	0	0	soldier	0	0	0	1151979799	wh2_main_lzd_inf_skink_skirmishers_blessed_0
wh_main_brt_artois	250	250	250	205	101	42	soldier	0	0	0	1153	wh_main_brt_cav_pegasus_knights
wh_main_brt_artois	30	30	30	241	241	241	soldier	0	0	0	1155	wh_main_brt_cav_pegasus_knights
wh2_dlc11_cst_rogue_grey_point_scuttlers	255	255	255	0	0	0	soldier	0	0	0	1156992531	wh2_dlc11_cst_cha_mourngul_haunter
wh_main_brt_artois	236	236	245	11	11	139	soldier	0	0	0	1162	wh_main_brt_cav_pegasus_knights
wh_main_brt_artois	25	25	180	14	14	25	soldier	0	0	0	1166	wh_main_brt_cav_pegasus_knights
wh_main_brt_bretonnia	210	240	240	240	210	210	soldier	210	240	240	1170730705	wh_pro04_brt_cav_questing_knights_ror_0
wh_main_brt_artois	18	18	37	64	178	214	soldier	0	0	0	1175	wh_main_brt_cav_pegasus_knights
wh2_main_def_dark_elves	170	185	110	0	0	0	soldier	0	0	0	1175953842	wh2_dlc10_def_cav_knights_of_the_ebon_claw_ror_0
wh_main_brt_bretonnia	0	0	0	20	20	110	soldier	0	0	0	1179727448	wh_pro04_brt_cav_knights_of_the_realm_ror_0
wh2_dlc11_cst_rogue_tyrants_of_the_black_ocean	255	255	255	0	0	0	soldier	0	0	0	1184950592	wh2_dlc11_cst_cha_mourngul_haunter
wh_main_brt_artois	16	16	132	135	42	37	soldier	0	0	0	1185	wh_main_brt_cav_pegasus_knights
wh_main_brt_artois	239	239	241	75	126	220	soldier	0	0	0	1189	wh_main_brt_cav_pegasus_knights
wh2_main_lzd_last_defenders	108	145	160	0	0	0	soldier	0	0	0	1193204606	wh2_main_lzd_mon_kroxigors_blessed
wh_main_brt_artois	45	193	244	22	26	142	soldier	0	0	0	1194	wh_main_brt_cav_pegasus_knights
wh_main_brt_bretonnia	83	201	238	19	19	19	soldier	0	0	0	12	wh_main_brt_cav_grail_knights
wh_main_brt_bretonnia	132	41	36	15	15	145	soldier	0	0	0	120	wh_main_brt_cav_knights_of_the_realm
wh_main_brt_artois	12	14	134	238	238	246	soldier	0	0	0	1201	wh_main_brt_cav_pegasus_knights
wh2_main_def_naggarond	170	185	110	0	0	0	soldier	0	0	0	1203920163	wh2_dlc10_def_cav_knights_of_the_ebon_claw_ror_0
wh_main_chs_chaos	0	255	170	0	100	160	soldier	0	0	0	1207534136	wh_pro04_chs_inf_forsaken_ror_0
wh_main_brt_artois	239	239	239	36	36	36	soldier	0	0	0	1211	wh_main_brt_cav_pegasus_knights
wh_main_brt_artois	18	16	137	136	43	38	soldier	0	0	0	1219	wh_main_brt_cha_lord_0
wh2_main_lzd_hexoatl	108	145	160	0	0	0	soldier	0	0	0	1221592126	wh2_main_lzd_mon_kroxigors_blessed
wh2_dlc09_tmb_followers_of_nagash	79	241	255	255	80	71	soldier	0	0	0	1223056524	wh2_dlc09_tmb_mon_sepulchral_stalkers_ror
wh_main_brt_artois	136	64	29	243	243	243	soldier	0	0	0	1227	wh_main_brt_cha_lord_0
wh_main_brt_artois	83	201	238	19	19	19	soldier	0	0	0	1232	wh_main_brt_cha_lord_0
wh_main_brt_artois	95	35	35	77	171	214	soldier	0	0	0	1234	wh_main_brt_cha_lord_0
wh_main_brt_artois	23	29	34	18	20	145	soldier	0	0	0	1235	wh_main_brt_cha_lord_0
wh2_dlc11_cst_pirates_of_sartosa	122	119	119	0	0	85	soldier	0	0	0	1236755768	wh2_dlc11_cst_inf_sartosa_free_company_0
wh_main_brt_artois	132	41	36	15	15	145	soldier	0	0	0	1240	wh_main_brt_cha_lord_0
wh2_dlc09_tmb_tomb_kings	58	229	165	77	77	77	soldier	0	0	0	1244684695	wh2_dlc09_tmb_inf_tomb_guard_ror
wh_main_brt_carcassonne	210	240	240	240	210	210	soldier	210	240	240	1247652431	wh_pro04_brt_cav_questing_knights_ror_0
wh2_dlc11_cst_pirates_of_sartosa	182	212	220	162	147	96	soldier	0	0	0	1248324	wh2_dlc11_cst_inf_sartosa_free_company_0
wh_main_brt_artois	250	250	250	205	101	42	soldier	0	0	0	1249	wh_main_brt_cha_lord_0
wh_main_brt_artois	30	30	30	241	241	241	soldier	0	0	0	1257	wh_main_brt_cha_lord_0
wh_main_brt_artois	236	236	245	11	11	139	soldier	0	0	0	1264	wh_main_brt_cha_lord_0
wh2_dlc09_tmb_followers_of_nagash	186	71	79	109	77	162	soldier	0	0	0	1266069456	wh2_dlc09_tmb_mon_ushabti_ror
wh_main_brt_artois	25	25	180	14	14	25	soldier	0	0	0	1269	wh_main_brt_cha_lord_0
wh_main_brt_bretonnia	250	250	250	205	101	42	soldier	0	0	0	127	wh_main_brt_cav_knights_of_the_realm
wh_main_brt_artois	18	18	37	64	178	214	soldier	0	0	0	1274	wh_main_brt_cha_lord_0
wh_main_brt_artois	16	16	132	135	42	37	soldier	0	0	0	1283	wh_main_brt_cha_lord_0
wh2_dlc11_cst_pirates_of_sartosa	162	147	96	182	212	220	soldier	0	0	0	1283120495	wh2_dlc11_cst_inf_sartosa_free_company_0
wh_main_brt_artois	239	239	241	75	126	220	soldier	0	0	0	1289	wh_main_brt_cha_lord_0
wh_main_brt_artois	45	193	244	22	26	142	soldier	0	0	0	1296	wh_main_brt_cha_lord_0
wh_main_brt_artois	12	14	134	238	238	246	soldier	0	0	0	1301	wh_main_brt_cha_lord_0
wh_main_brt_artois	239	239	239	36	36	36	soldier	0	0	0	1307	wh_main_brt_cha_lord_0
wh_main_brt_artois	18	16	137	136	43	38	soldier	0	0	0	1311	wh_main_brt_cha_lord_2
wh_main_brt_artois	136	64	29	243	243	243	soldier	0	0	0	1318	wh_main_brt_cha_lord_2
wh_main_brt_artois	83	201	238	19	19	19	soldier	0	0	0	1319	wh_main_brt_cha_lord_2
wh_main_brt_artois	95	35	35	77	171	214	soldier	0	0	0	1320	wh_main_brt_cha_lord_2
wh2_main_def_naggarond	94	59	68	0	0	0	soldier	0	0	0	1323196534	wh2_dlc10_def_inf_the_bolt_fiends_ror_0
wh2_main_lzd_last_defenders	77	184	228	0	0	0	soldier	0	0	0	1324382811	wh2_main_lzd_cav_horned_ones_blessed_0
wh_main_brt_artois	23	29	34	18	20	145	soldier	0	0	0	1330	wh_main_brt_cha_lord_2
wh2_dlc11_cst_pirates_of_sartosa	182	212	220	162	147	96	soldier	0	0	0	1332292317	wh2_dlc11_cst_inf_sartosa_militia_0
wh2_main_lzd_hexoatl	50	50	50	0	0	0	soldier	0	0	0	1334923303	wh2_main_lzd_inf_saurus_spearmen_blessed_1
wh_main_brt_artois	132	41	36	15	15	145	soldier	0	0	0	1335	wh_main_brt_cha_lord_2
wh_main_brt_artois	250	250	250	205	101	42	soldier	0	0	0	1337	wh_main_brt_cha_lord_2
wh_main_brt_bretonnia	30	30	30	241	241	241	soldier	0	0	0	134	wh_main_brt_cav_knights_of_the_realm
wh_main_brt_artois	30	30	30	241	241	241	soldier	0	0	0	1340	wh_main_brt_cha_lord_2
wh2_main_hef_nagarythe	220	164	358	0	0	0	soldier	0	0	0	1341084458	wh2_dlc10_hef_cav_the_heralds_of_the_wind_ror_0
wh_main_brt_carcassonne	0	255	255	20	40	200	soldier	255	255	255	1343293245	wh_pro04_brt_inf_foot_squires_ror_0
wh_main_brt_artois	236	236	245	11	11	139	soldier	0	0	0	1346	wh_main_brt_cha_lord_2
wh_main_brt_artois	25	25	180	14	14	25	soldier	0	0	0	1354	wh_main_brt_cha_lord_2
wh_main_brt_artois	18	18	37	64	178	214	soldier	0	0	0	1362	wh_main_brt_cha_lord_2
wh_main_brt_artois	16	16	132	135	42	37	soldier	0	0	0	1363	wh_main_brt_cha_lord_2
wh_main_brt_artois	239	239	241	75	126	220	soldier	0	0	0	1365	wh_main_brt_cha_lord_2
wh_main_brt_bretonnia	0	255	255	20	40	200	soldier	255	255	255	136601614	wh_pro04_brt_inf_foot_squires_ror_0
wh_main_brt_artois	45	193	244	22	26	142	soldier	0	0	0	1369	wh_main_brt_cha_lord_2
wh_main_brt_artois	12	14	134	238	238	246	soldier	0	0	0	1374	wh_main_brt_cha_lord_2
wh2_dlc09_tmb_exiles_of_nehek	79	241	255	255	80	71	soldier	0	0	0	1375346020	wh2_dlc09_tmb_mon_sepulchral_stalkers_ror
wh2_main_hef_avelorn	53	50	220	38	137	208	soldier	0	0	0	1378775186	wh2_dlc10_hef_cav_the_fireborn_ror_0
wh_main_brt_bretonnia	236	236	245	11	11	139	soldier	0	0	0	138	wh_main_brt_cav_knights_of_the_realm
wh2_main_hef_order_of_loremasters	0	0	0	44	39	197	soldier	0	0	0	1381602007	wh2_dlc10_hef_inf_the_scions_of_mathlann_ror_0
wh_main_brt_artois	239	239	239	36	36	36	soldier	0	0	0	1384	wh_main_brt_cha_lord_2
wh_main_brt_artois	18	16	137	136	43	38	soldier	0	0	0	1389	wh_main_brt_cha_lord_3
wh_main_brt_artois	136	64	29	243	243	243	soldier	0	0	0	1393	wh_main_brt_cha_lord_3
wh2_main_lzd_hexoatl	96	37	27	0	0	0	soldier	0	0	0	1393599833	wh2_main_lzd_cav_cold_one_spearriders_blessed_0
wh2_dlc11_cst_pirates_of_sartosa	162	147	96	182	212	220	soldier	0	0	0	1393807235	wh2_dlc11_cst_inf_sartosa_militia_0
wh_main_brt_artois	83	201	238	19	19	19	soldier	0	0	0	1394	wh_main_brt_cha_lord_3
wh_main_brt_artois	95	35	35	77	171	214	soldier	0	0	0	1403	wh_main_brt_cha_lord_3
wh_main_brt_artois	23	29	34	18	20	145	soldier	0	0	0	1406	wh_main_brt_cha_lord_3
wh_main_brt_artois	132	41	36	15	15	145	soldier	0	0	0	1407	wh_main_brt_cha_lord_3
wh_main_brt_artois	250	250	250	205	101	42	soldier	0	0	0	1409	wh_main_brt_cha_lord_3
