campaign_rogue_army_leaders_tables	2
faction	agent_subtype	is_male	name	surname	clan_name	other_name	artset	can_naturally_spawn
wh2_main_rogue_pirates_of_the_southern_ocean	emp_lord	true	2147357030	2147356796			wh_main_art_set_emp_general_01	false
wh2_main_rogue_pirates_of_trantio	emp_lord	true	2147357011	2147356888			wh_main_art_set_emp_general_04	true
wh2_main_rogue_scions_of_tesseninck	emp_lord	true	2147355314	2147354914			wh_main_art_set_emp_general_01	false
wh2_main_rogue_scourge_of_aquitaine	vmp_lord	true	512184405				wh_main_art_set_vmp_lord_01	true
wh2_main_rogue_stuff_snatchers	dlc06_grn_night_goblin_warboss	true	2147344831				wh_dlc06_art_set_grn_night_goblin_warboss_01	true
wh2_main_rogue_teef_snatchaz	dlc06_grn_night_goblin_warboss	true	2147355630				wh_dlc06_art_set_grn_night_goblin_warboss_01	false
wh2_main_rogue_the_wandering_dead	vmp_master_necromancer	true	2147357583				wh_main_art_set_vmp_master_necromancer_01	false
wh2_main_rogue_troll_skullz	grn_orc_warboss	true	1249683509				wh_main_art_set_grn_orc_warboss_02	true
wh2_main_rogue_vauls_expedition	wh2_main_hef_prince	true	2147359934				wh2_main_art_set_hef_prince_01	false
wh2_main_rogue_vmp_heirs_of_mourkain	dlc04_vmp_strigoi_ghoul_king	true	1880091843	1064541212			wh_dlc04_art_set_vmp_strigoi_ghoul_king_01	true
wh2_main_rogue_wef_hunters_of_kurnous	dlc05_wef_glade_lord	true	2147352833				wh_dlc05_art_set_wef_glade_lord_01	true
wh2_main_rogue_worldroot_rangers	dlc05_wef_ancient_treeman	true	2147359095				wh_dlc05_art_set_wef_ancient_treeman	false
wh2_main_rogue_wrath_of_nature	dlc05_wef_ancient_treeman	true	2147352825				wh_dlc05_art_set_wef_ancient_treeman	true
