audio_group_sound_assignments_tables	1
entity_type	group_sound	situation	ability
wh2_def_elf_female_default	wh2_grp_vocalisation_darkelves_female_taunt	moving_taunt	
wh2_def_elf_female_default	wh2_grp_vocalisation_darkelves_female_unit_response	response	
wh2_def_elf_female_default	wh2_grp_vocalisation_darkelves_female_unit_selection_witch	selection	
wh2_def_elf_female_default	wh2_grp_vocalisation_darkelves_female_taunt	taunt	
wh2_def_elf_female_default	wh2_grp_vocalisation_darkelves_female_taunting	taunting	
wh2_def_elf_male_default	wh2_grp_vocalisation_darkelves_male_charge	charge	
wh2_def_elf_male_default	wh2_grp_vocalisation_darkelves_male_melee	cheering	
wh2_def_elf_male_default	wh2_grp_vocalisation_darkelves_male_collision	collision	
wh2_def_elf_male_default	wh2_grp_vocalisation_generic_male_encouragement	encouragement	
wh2_def_elf_male_default	wh2_grp_vocalisation_darkelves_male_melee	fighting	
wh2_def_elf_male_default	wh2_grp_vocalisation_darkelves_male_pain	injured	
wh2_def_elf_male_default	wh2_grp_vocalisation_darkelves_male_taunt	moving_taunt	
wh2_def_elf_male_default	wh2_grp_vocalisation_darkelves_male_unit_response	response	
wh2_def_elf_male_default	wh2_grp_vocalisation_darkelves_male_unit_selection	selection	
wh2_def_elf_male_default	wh2_grp_vocalisation_darkelves_male_taunt	taunt	
wh2_def_elf_male_default	wh2_grp_vocalisation_darkelves_male_taunting	taunting	
wh2_dlc10_def_doomfire_warlocks	wh2_grp_vocalisation_darkelves_male_charge	charge	
wh2_dlc10_def_doomfire_warlocks	wh2_grp_vocalisation_darkelves_male_taunting	cheering	
wh2_dlc10_def_doomfire_warlocks	wh2_grp_vocalisation_darkelves_male_collision	collision	
wh2_dlc10_def_doomfire_warlocks	wh2_grp_vocalisation_generic_male_encouragement	encouragement	
wh2_dlc10_def_doomfire_warlocks	wh2_grp_vocalisation_darkelves_male_melee	fighting	
wh2_dlc10_def_doomfire_warlocks	wh2_grp_vocalisation_darkelves_male_pain	injured	
wh2_dlc10_def_doomfire_warlocks	wh2_grp_vocalisation_darkelves_male_taunt	moving_taunt	
wh2_dlc10_def_doomfire_warlocks	wh2_grp_vocalisation_darkelves_male_unit_response	response	
wh2_dlc10_def_doomfire_warlocks	wh2_grp_vocalisation_darkelves_male_unit_selection	selection	
wh2_dlc10_def_doomfire_warlocks	wh2_grp_vocalisation_darkelves_male_taunt	taunt	
wh2_dlc10_def_doomfire_warlocks	wh2_grp_vocalisation_darkelves_male_taunting	taunting	
wh2_dlc10_def_elf_female_sisters_of_slaughter	wh2_grp_vocalisation_darkelves_female_charge	charge	
wh2_dlc10_def_elf_female_sisters_of_slaughter	wh2_grp_vocalisation_darkelves_female_taunting	cheering	
wh2_dlc10_def_elf_female_sisters_of_slaughter	wh2_grp_vocalisation_darkelves_female_collision	collision	
wh2_dlc10_def_elf_female_sisters_of_slaughter	wh2_grp_vocalisation_darkelves_female_encouragement	encouragement	
wh2_dlc10_def_elf_female_sisters_of_slaughter	wh2_grp_vocalisation_darkelves_female_melee	fighting	
wh2_dlc10_def_elf_female_sisters_of_slaughter	wh2_grp_vocalisation_darkelves_female_pain	injured	
wh2_dlc10_def_elf_female_sisters_of_slaughter	wh2_grp_vocalisation_darkelves_female_taunt	moving_taunt	
wh2_dlc10_def_elf_female_sisters_of_slaughter	wh2_grp_vocalisation_darkelves_female_unit_response	response	
wh2_dlc10_def_elf_female_sisters_of_slaughter	wh2_grp_vocalisation_darkelves_female_unit_selection_sisters	selection	
wh2_dlc10_def_elf_female_sisters_of_slaughter	wh2_grp_vocalisation_darkelves_female_taunt	taunt	
wh2_dlc10_def_elf_female_sisters_of_slaughter	wh2_grp_vocalisation_darkelves_female_sisters_taunting	taunting	
wh2_dlc11_cst_animated_hulk_actor1	wh2_grp_vocalisation_cst_animated_hulk_charge	charge	
wh2_dlc11_cst_animated_hulk_actor1	wh2_grp_vocalisation_cst_animated_hulk_melee	fighting	
wh2_dlc11_cst_animated_hulk_actor1	wh2_grp_vocalisation_cst_animated_hulk_pain	injured	
wh2_dlc11_cst_animated_hulk_actor1	wh2_grp_vocalisation_cst_animated_hulk_taunt	moving_taunt	
wh2_dlc11_cst_animated_hulk_actor1	wh2_grp_vocalisation_cst_animated_hulk_unit_response	response	
wh2_dlc11_cst_animated_hulk_actor1	wh2_grp_vocalisation_cst_animated_hulk_unit_selection	selection	
wh2_dlc11_cst_animated_hulk_actor1	wh2_grp_vocalisation_cst_animated_hulk_taunt	taunt	
wh2_dlc11_cst_animated_hulk_actor1	wh2_grp_vocalisation_cst_animated_hulk_taunting	taunting	
wh2_dlc11_cst_animated_hulk_actor2	wh2_grp_vocalisation_cst_animated_hulk_charge	charge	
wh2_dlc11_cst_animated_hulk_actor2	wh2_grp_vocalisation_cst_animated_hulk_melee	fighting	
wh2_dlc11_cst_animated_hulk_actor2	wh2_grp_vocalisation_cst_animated_hulk_pain	injured	
wh2_dlc11_cst_animated_hulk_actor2	wh2_grp_vocalisation_cst_animated_hulk_taunt	moving_taunt	
wh2_dlc11_cst_animated_hulk_actor2	wh2_grp_vocalisation_cst_animated_hulk_unit_response	response	
wh2_dlc11_cst_animated_hulk_actor2	wh2_grp_vocalisation_cst_animated_hulk_unit_selection	selection	
wh2_dlc11_cst_animated_hulk_actor2	wh2_grp_vocalisation_cst_animated_hulk_taunt	taunt	
wh2_dlc11_cst_animated_hulk_actor2	wh2_grp_vocalisation_cst_animated_hulk_taunting	taunting	
wh2_dlc11_cst_animated_hulk_actor3	wh2_grp_vocalisation_cst_animated_hulk_charge	charge	
wh2_dlc11_cst_animated_hulk_actor3	wh2_grp_vocalisation_cst_animated_hulk_melee	fighting	
wh2_dlc11_cst_animated_hulk_actor3	wh2_grp_vocalisation_cst_animated_hulk_pain	injured	
wh2_dlc11_cst_animated_hulk_actor3	wh2_grp_vocalisation_cst_animated_hulk_taunt	moving_taunt	
wh2_dlc11_cst_animated_hulk_actor3	wh2_grp_vocalisation_cst_animated_hulk_unit_response	response	
wh2_dlc11_cst_animated_hulk_actor3	wh2_grp_vocalisation_cst_animated_hulk_unit_selection	selection	
wh2_dlc11_cst_animated_hulk_actor3	wh2_grp_vocalisation_cst_animated_hulk_taunt	taunt	
wh2_dlc11_cst_animated_hulk_actor3	wh2_grp_vocalisation_cst_animated_hulk_taunting	taunting	
wh2_dlc11_cst_animated_hulk	wh2_grp_vocalisation_cst_animated_hulk_charge	charge	
wh2_dlc11_cst_animated_hulk	wh2_grp_vocalisation_cst_animated_hulk_melee	fighting	
wh2_dlc11_cst_animated_hulk	wh2_grp_vocalisation_cst_animated_hulk_pain	injured	
wh2_dlc11_cst_animated_hulk	wh2_grp_vocalisation_cst_animated_hulk_taunt	moving_taunt	
wh2_dlc11_cst_animated_hulk	wh2_grp_vocalisation_cst_animated_hulk_unit_response	response	
wh2_dlc11_cst_animated_hulk	wh2_grp_vocalisation_cst_animated_hulk_unit_selection	selection	
wh2_dlc11_cst_animated_hulk	wh2_grp_vocalisation_cst_animated_hulk_taunt	taunt	
wh2_dlc11_cst_animated_hulk	wh2_grp_vocalisation_cst_animated_hulk_taunting	taunting	
wh2_dlc11_cst_damned_knight	wh2_grp_vocalisation_damned_knight_charge	charge	
wh2_dlc11_cst_damned_knight	wh2_grp_vocalisation_damned_knight_taunting	cheering	
wh2_dlc11_cst_damned_knight	wh2_grp_vocalisation_damned_knight_collision	collision	
wh2_dlc11_cst_damned_knight	wh2_grp_vocalisation_damned_knight_encouragement	encouragement	
wh2_dlc11_cst_damned_knight	wh2_grp_vocalisation_damned_knight_melee	fighting	
wh2_dlc11_cst_damned_knight	wh2_grp_vocalisation_damned_knight_pain	injured	
wh2_dlc11_cst_damned_knight	wh2_grp_vocalisation_damned_knight_unit_response	response	
wh2_dlc11_cst_damned_knight	wh2_grp_vocalisation_damned_knight_unit_selection	selection	
wh2_dlc11_cst_damned_knight	wh2_grp_vocalisation_damned_knight_taunting	taunting	
wh2_dlc11_cst_deck_dropper_bat	wh2_grp_vocalisation_deck_dropper_bat_charge	charge	
wh2_dlc11_cst_deck_dropper_bat	wh_grp_vocalisation_deck_dropper_bat_unit_response	response	
wh2_dlc11_cst_deck_dropper_bat	wh_grp_vocalisation_deck_dropper_bat_unit_response	selection	
wh2_dlc11_cst_deck_gunner_crew	wh2_grp_vocalisation_cst_zombie_mob_charge	charge	
wh2_dlc11_cst_deck_gunner_crew	wh2_grp_vocalisation_cst_zombie_mob_taunting	cheering	
wh2_dlc11_cst_deck_gunner_crew	wh2_grp_vocalisation_cst_zombie_mob_collision	collision	
wh2_dlc11_cst_deck_gunner_crew	wh2_grp_vocalisation_cst_zombie_mob_idle	encouragement	
wh2_dlc11_cst_deck_gunner_crew	wh2_grp_vocalisation_cst_zombie_mob_melee	fighting	
wh2_dlc11_cst_deck_gunner_crew	wh2_grp_vocalisation_cst_zombie_mob_idle	idle	
wh2_dlc11_cst_deck_gunner_crew	wh2_grp_vocalisation_cst_zombie_mob_pain	injured	
wh2_dlc11_cst_deck_gunner_crew	wh2_grp_vocalisation_cst_zombie_mob_idle	moving	
wh2_dlc11_cst_deck_gunner_crew	wh2_grp_vocalisation_cst_zombie_mob_taunt	moving_taunt	
wh2_dlc11_cst_deck_gunner_crew	wh2_grp_vocalisation_cst_zombie_mob_unit_response	response	
wh2_dlc11_cst_deck_gunner_crew	wh2_grp_vocalisation_cst_zombie_mob_unit_selection	selection	
wh2_dlc11_cst_deck_gunner_crew	wh2_grp_vocalisation_cst_zombie_mob_taunt	taunt	
wh2_dlc11_cst_deck_gunner_crew	wh2_grp_vocalisation_cst_zombie_mob_taunting	taunting	
wh2_dlc11_cst_depth_guard	wh2_grp_vocalisation_cst_depth_guard_charge	charge	
wh2_dlc11_cst_depth_guard	wh2_grp_vocalisation_cst_depth_guard_taunting	cheering	
wh2_dlc11_cst_depth_guard	wh2_grp_vocalisation_cst_depth_guard_collision	collision	
wh2_dlc11_cst_depth_guard	wh2_grp_vocalisation_cst_depth_guard_encouragement	encouragement	
wh2_dlc11_cst_depth_guard	wh2_grp_vocalisation_cst_depth_guard_melee	fighting	
wh2_dlc11_cst_depth_guard	wh2_grp_vocalisation_cst_depth_guard_pain	injured	
wh2_dlc11_cst_depth_guard	wh2_grp_vocalisation_cst_depth_guard_unit_response	response	
wh2_dlc11_cst_depth_guard	wh2_grp_vocalisation_cst_depth_guard_unit_selection	selection	
wh2_dlc11_cst_depth_guard	wh2_grp_vocalisation_cst_depth_guard_taunting	taunting	
wh2_dlc11_cst_mournguls	wh2_grp_vocalisation_mourngul_charge	charge	
wh2_dlc11_cst_mournguls	wh2_grp_vocalisation_mourngul_unit_selection	selection	
wh2_dlc11_cst_rotting_prometheans	wh2_grp_vocalisation_rotting_prometheans_charge	charge	
wh2_dlc11_cst_rotting_prometheans	wh2_grp_vocalisation_rotting_prometheans_unit_response	response	
wh2_dlc11_cst_rotting_prometheans	wh2_grp_vocalisation_rotting_prometheans_unit_selection	selection	
wh2_dlc11_cst_syreens	wh2_grp_vocalisation_syreen_charge	charge	
wh2_dlc11_cst_syreens	wh2_grp_vocalisation_syreens_idle	cheer	
wh2_dlc11_cst_syreens	wh2_grp_vocalisation_syreens_melee	encouragement	
wh2_dlc11_cst_syreens	wh2_grp_vocalisation_syreens_melee	fighting	
wh2_dlc11_cst_syreens	wh2_grp_vocalisation_syreens_idle	idle	
wh2_dlc11_cst_syreens	wh2_grp_vocalisation_syreen_pain	injured	
wh2_dlc11_cst_syreens	wh2_grp_vocalisation_syreens_idle	moving	
wh2_dlc11_cst_syreens	wh2_grp_vocalisation_syreens_unit_selection	selection	
wh2_dlc11_cst_zombie_mob	wh2_grp_vocalisation_cst_zombie_mob_charge	charge	
wh2_dlc11_cst_zombie_mob	wh2_grp_vocalisation_cst_zombie_mob_taunting	cheering	
wh2_dlc11_cst_zombie_mob	wh2_grp_vocalisation_cst_zombie_mob_collision	collision	
wh2_dlc11_cst_zombie_mob	wh2_grp_vocalisation_cst_zombie_mob_idle	encouragement	
wh2_dlc11_cst_zombie_mob	wh2_grp_vocalisation_cst_zombie_mob_melee	fighting	
wh2_dlc11_cst_zombie_mob	wh2_grp_vocalisation_cst_zombie_mob_idle	idle	
wh2_dlc11_cst_zombie_mob	wh2_grp_vocalisation_cst_zombie_mob_idle	idle_shoot	
wh2_dlc11_cst_zombie_mob	wh2_grp_vocalisation_cst_zombie_mob_pain	injured	
wh2_dlc11_cst_zombie_mob	wh2_grp_vocalisation_cst_zombie_mob_idle	moving	
wh2_dlc11_cst_zombie_mob	wh2_grp_vocalisation_cst_zombie_mob_taunt	moving_taunt	
wh2_dlc11_cst_zombie_mob	wh2_grp_vocalisation_cst_zombie_mob_unit_response	response	
wh2_dlc11_cst_zombie_mob	wh2_grp_vocalisation_cst_zombie_resurrecting	resurrecting	
wh2_dlc11_cst_zombie_mob	wh2_grp_vocalisation_cst_zombie_mob_unit_selection	selection	
wh2_dlc11_cst_zombie_mob	wh2_grp_vocalisation_cst_zombie_mob_taunt	taunt	
wh2_dlc11_cst_zombie_mob	wh2_grp_vocalisation_cst_zombie_mob_taunting	taunting	
wh2_dlc12_ripperdactyl	wh2_dlc12_grp_vocalisation_ripperdactyl_charge	charge	
wh2_dlc12_ripperdactyl	wh2_grp_vocalisation_ripperdactyl_idle	idle	
wh2_dlc12_ripperdactyl	wh2_grp_vocalisation_ripperdactyl_idle	moving	
wh2_dlc12_ripperdactyl	wh2_dlc12_grp_vocalisation_ripperdactyl_unit_response	response	
wh2_dlc12_ripperdactyl	wh2_dlc12_grp_vocalisation_ripperdactyl_unit_response	selection	
wh2_dlc12_salamander	wh2_grp_vocalisation_salamander_charge	charge	
wh2_dlc12_salamander	wh2_grp_vocalisation_salamander_unit_selection	response	
wh2_dlc12_salamander	wh2_grp_vocalisation_salamander_unit_selection	selection	
wh2_dlc12_skaven_jezzails	wh2_dlc12_grp_vocalisation_skaven_charge	charge	
wh2_dlc12_skaven_jezzails	wh2_dlc12_grp_vocalisation_skaven_encouragement	cheering	
wh2_dlc12_skaven_jezzails	wh2_dlc12_grp_vocalisation_skaven_collision	collision	
wh2_dlc12_skaven_jezzails	wh2_dlc12_grp_vocalisation_skaven_encouragement	encouragement	
wh2_dlc12_skaven_jezzails	wh2_dlc12_grp_vocalisation_skaven_melee	fighting	
wh2_dlc12_skaven_jezzails	wh2_dlc12_grp_vocalisation_skaven_idle	idle	
wh2_dlc12_skaven_jezzails	wh2_dlc12_grp_vocalisation_skaven_pain	injured	
wh2_dlc12_skaven_jezzails	wh2_dlc12_grp_vocalisation_skaven_idle	moving	
wh2_dlc12_skaven_jezzails	wh2_dlc12_grp_vocalisation_skaven_moving_taunt	moving_taunt	
wh2_dlc12_skaven_jezzails	wh2_dlc12_grp_vocalisation_skaven_unit_response	response	
wh2_dlc12_skaven_jezzails	wh2_dlc12_grp_vocalisation_skaven_unit_selection	selection	
wh2_dlc12_skaven_jezzails	wh2_dlc12_grp_vocalisation_skaven_taunting	taunting	
wh2_dlc12_skaven_stormvermin_ror	wh2_dlc12_grp_vocalisation_skaven_charge	charge	
wh2_dlc12_skaven_stormvermin_ror	wh2_dlc12_grp_vocalisation_skaven_encouragement	cheering	
wh2_dlc12_skaven_stormvermin_ror	wh2_dlc12_grp_vocalisation_skaven_collision	collision	
wh2_dlc12_skaven_stormvermin_ror	wh2_dlc12_grp_vocalisation_skaven_encouragement	encouragement	
wh2_dlc12_skaven_stormvermin_ror	wh2_dlc12_grp_vocalisation_skaven_melee	fighting	
wh2_dlc12_skaven_stormvermin_ror	wh2_dlc12_grp_vocalisation_skaven_idle_subtle	idle	
wh2_dlc12_skaven_stormvermin_ror	wh2_dlc12_grp_vocalisation_skaven_idle	idle_combat_ready	
wh2_dlc12_skaven_stormvermin_ror	wh2_dlc12_grp_vocalisation_skaven_pain	injured	
wh2_dlc12_skaven_stormvermin_ror	wh2_dlc12_grp_vocalisation_skaven_idle	moving	
wh2_dwarf_warriors_dragonfire	wh_grp_vocalisation_dwarf_charge	charge	
wh2_dwarf_warriors_dragonfire	wh_grp_vocalisation_dwarf_taunting	cheering	
wh2_dwarf_warriors_dragonfire	wh_grp_vocalisation_dwarf_collision	collision	
wh2_dwarf_warriors_dragonfire	wh_grp_vocalisation_dwarf_encouragement	encouragement	
wh2_dwarf_warriors_dragonfire	wh_grp_vocalisation_dwarf_melee	fighting	
wh2_dwarf_warriors_dragonfire	wh_grp_vocalisation_dwarf_idle	idle	
wh2_dwarf_warriors_dragonfire	wh_grp_vocalisation_dwarf_pain	injured	
wh2_dwarf_warriors_dragonfire	wh_grp_vocalisation_dwarf_taunt	moving_taunt	
wh2_dwarf_warriors_dragonfire	wh_grp_vocalisation_dwarf_unit_response	response	
wh2_dwarf_warriors_dragonfire	wh_grp_vocalisation_dwarf_unit_selection	selection	
wh2_dwarf_warriors_dragonfire	wh_grp_vocalisation_dwarf_taunt	taunt	
wh2_dwarf_warriors_dragonfire	wh_grp_vocalisation_dwarf_taunting	taunting	
wh2_hef_elf_female_default	wh2_grp_vocalisation_highelves_female_charge	charge	
wh2_hef_elf_female_default	wh2_grp_vocalisation_highelves_female_taunting	cheering	
wh2_hef_elf_female_default	wh_grp_vocalisation_human_female_collision	collision	
wh2_hef_elf_female_default	wh_grp_vocalisation_human_female_encouragement	encouragement	
wh2_hef_elf_female_default	wh_grp_vocalisation_human_female_melee	fighting	
wh2_hef_elf_female_default	wh_grp_vocalisation_human_female_pain	injured	
wh2_hef_elf_female_default	wh2_grp_vocalisation_highelves_female_unit_response	response	
wh2_hef_elf_female_default	wh2_grp_vocalisation_highelves_female_unit_selection	selection	
wh2_hef_elf_female_default	wh2_grp_vocalisation_highelves_female_taunt	taunt	
wh2_hef_elf_female_default	wh2_grp_vocalisation_highelves_female_taunting	taunting	
wh2_hef_elf_male_default	wh2_grp_vocalisation_highelves_male_charge	charge	
wh2_hef_elf_male_default	wh2_grp_vocalisation_highelves_male_taunting	cheering	
wh2_hef_elf_male_default	wh2_grp_vocalisation_highelves_male_collision	collision	
wh2_hef_elf_male_default	wh2_grp_vocalisation_generic_male_encouragement	encouragement	
wh2_hef_elf_male_default	wh2_grp_vocalisation_highelves_male_melee	fighting	
wh2_hef_elf_male_default	wh2_grp_vocalisation_highelves_male_pain	injured	
wh2_hef_elf_male_default	wh2_grp_vocalisation_highelves_male_unit_response	response	
wh2_hef_elf_male_default	wh2_grp_vocalisation_highelves_male_unit_selection	selection	
wh2_hef_elf_male_default	wh2_grp_vocalisation_highelves_male_taunt	taunt	
wh2_hef_elf_male_default	wh2_grp_vocalisation_highelves_male_taunting	taunting	
wh2_horse_segmented_flaming_lances	wh2_grp_vocalisation_horse_charge	charge	
wh2_horse_segmented_flaming_lances	wh2_grp_vocalisation_horse_collision	collision	
wh2_horse_segmented_flaming_lances	wh2_grp_vocalisation_horse_melee	encouragement	
wh2_horse_segmented_flaming_lances	wh2_grp_vocalisation_horse_pain	injured	
wh2_kroxigor	wh2_grp_vocalisation_kroxigor_charge	charge	
wh2_kroxigor	wh2_grp_vocalisation_kroxigor_collision	collision	
wh2_kroxigor	wh2_grp_vocalisation_kroxigor_melee	fighting	
wh2_rat_ogre	wh2_grp_dlc12_vocalisation_rat_ogre_charge	charge	
wh2_rat_ogre	wh2_grp_dlc12_vocalisation_rat_ogre_collision	collision	
wh2_rat_ogre	wh2_grp_dlc12_vocalisation_rat_ogre_melee	fighting	
wh2_rat_ogre	wh2_grp_vocalisation_rat_ogre_unit_response	response	
wh2_rat_ogre	wh2_grp_vocalisation_rat_ogre_unit_selection	selection	
wh2_saurus	wh2_grp_new_vocalisation_saurus_charge	charge	
wh2_saurus	wh2_grp_new_vocalisation_saurus_encouragement	cheering	
wh2_saurus	wh2_grp_new_vocalisation_saurus_collision	collision	
wh2_saurus	wh2_grp_new_vocalisation_saurus_encouragement	encouragement	
wh2_saurus	wh2_grp_new_vocalisation_saurus_melee	fighting	
wh2_saurus	wh2_grp_new_vocalisation_saurus_idle	idle	
wh2_saurus	wh2_grp_new_vocalisation_saurus_pain	injured	
wh2_saurus	wh2_grp_new_vocalisation_saurus_idle	moving	
wh2_saurus	wh2_grp_new_vocalisation_saurus_unit_response	response	
wh2_saurus	wh2_grp_new_vocalisation_saurus_unit_selection	selection	
wh2_saurus	wh2_grp_new_vocalisation_saurus_taunting	taunting	
wh2_skaven_LH	wh2_grp_vocalisation_skaven_melee	cheering	
wh2_skaven_LH	wh2_grp_vocalisation_skaven_melee	encouragement	
wh2_skaven_LH	wh2_grp_vocalisation_skaven_melee	fighting	
wh2_skaven_LH	wh2_grp_vocalisation_skaven_Idle	idle	
wh2_skaven_LH	wh2_grp_vocalisation_skaven_pain	injured	
wh2_skaven_LH	wh2_grp_vocalisation_skaven_Idle	moving	
wh2_skaven_LH	wh2_grp_vocalisation_skaven_unit_response	response	
wh2_skaven_LH	wh2_grp_vocalisation_skaven_unit_response	selection	
wh2_skaven_LH	wh2_grp_vocalisation_skaven_taunting	taunting	
wh2_skaven_globadiers	wh2_dlc12_grp_vocalisation_skaven_charge	charge	
wh2_skaven_globadiers	wh2_dlc12_grp_vocalisation_skaven_encouragement	cheering	
wh2_skaven_globadiers	wh2_dlc12_grp_vocalisation_skaven_collision	collision	
wh2_skaven_globadiers	wh2_dlc12_grp_vocalisation_skaven_encouragement	encouragement	
wh2_skaven_globadiers	wh2_dlc12_grp_vocalisation_skaven_melee	fighting	
wh2_skaven_globadiers	wh2_dlc12_grp_vocalisation_skaven_idle	idle	
wh2_skaven_globadiers	wh2_dlc12_grp_vocalisation_skaven_idle_subtle	idle_shoot	
wh2_skaven_globadiers	wh2_dlc12_grp_vocalisation_skaven_pain	injured	
wh2_skaven_globadiers	wh2_dlc12_grp_vocalisation_skaven_idle	moving	
wh2_skaven_globadiers	wh2_dlc12_grp_vocalisation_skaven_moving_taunt	moving_taunt	
wh2_skaven_globadiers	wh2_dlc12_grp_vocalisation_skaven_unit_response	response	
wh2_skaven_globadiers	wh2_dlc12_grp_vocalisation_skaven_unit_response	selection	
wh2_skaven_globadiers	wh2_dlc12_grp_vocalisation_skaven_taunting	taunting	
wh2_skaven_plague_censer_bearers	wh2_dlc12_grp_vocalisation_skaven_charge	charge	
wh2_skaven_plague_censer_bearers	wh2_dlc12_grp_vocalisation_skaven_encouragement	cheering	
wh2_skaven_plague_censer_bearers	wh2_dlc12_grp_vocalisation_skaven_collision	collision	
wh2_skaven_plague_censer_bearers	wh2_dlc12_grp_vocalisation_skaven_encouragement	encouragement	
wh2_skaven_plague_censer_bearers	wh2_dlc12_grp_vocalisation_skaven_melee	fighting	
wh2_skaven_plague_censer_bearers	wh2_dlc12_grp_vocalisation_skaven_pain	injured	
wh2_skaven_plague_censer_bearers	wh2_dlc12_grp_vocalisation_skaven_idle	moving	
wh2_skaven_plague_censer_bearers	wh2_dlc12_grp_vocalisation_skaven_moving_taunt	moving_taunt	
wh2_skaven_plague_censer_bearers	wh2_dlc12_grp_vocalisation_skaven_unit_response	response	
wh2_skaven_plague_censer_bearers	wh2_dlc12_grp_vocalisation_skaven_unit_response	selection	
wh2_skaven_plague_censer_bearers	wh2_dlc12_grp_vocalisation_skaven_taunting	taunting	
wh2_skaven_plague_monks	wh2_dlc12_grp_vocalisation_skaven_charge	charge	
wh2_skaven_plague_monks	wh2_dlc12_grp_vocalisation_skaven_encouragement	cheering	
wh2_skaven_plague_monks	wh2_dlc12_grp_vocalisation_skaven_collision	collision	
wh2_skaven_plague_monks	wh2_dlc12_grp_vocalisation_skaven_encouragement	encouragement	
wh2_skaven_plague_monks	wh2_dlc12_grp_vocalisation_skaven_melee	fighting	
wh2_skaven_plague_monks	wh2_dlc12_grp_vocalisation_skaven_idle	idle	
wh2_skaven_plague_monks	wh2_dlc12_grp_vocalisation_skaven_pain	injured	
wh2_skaven_plague_monks	wh2_dlc12_grp_vocalisation_skaven_idle	moving	
wh2_skaven_plague_monks	wh2_dlc12_grp_vocalisation_skaven_moving_taunt	moving_taunt	
wh2_skaven_plague_monks	wh2_dlc12_grp_vocalisation_skaven_unit_response	response	
wh2_skaven_plague_monks	wh2_dlc12_grp_vocalisation_skaven_unit_response	selection	
wh2_skaven_plague_monks	wh2_dlc12_grp_vocalisation_skaven_taunting	taunting	
wh2_skaven_ratling_gun_team	wh2_dlc12_grp_vocalisation_skaven_charge	charge	
wh2_skaven_ratling_gun_team	wh2_dlc12_grp_vocalisation_skaven_encouragement	cheering	
wh2_skaven_ratling_gun_team	wh2_dlc12_grp_vocalisation_skaven_collision	collision	
wh2_skaven_ratling_gun_team	wh2_dlc12_grp_vocalisation_skaven_encouragement	encouragement	
wh2_skaven_ratling_gun_team	wh2_dlc12_grp_vocalisation_skaven_melee	fighting	
wh2_skaven_ratling_gun_team	wh2_dlc12_grp_vocalisation_skaven_idle	idle	
wh2_skaven_ratling_gun_team	wh2_dlc12_grp_vocalisation_skaven_idle	idle_shoot	
wh2_skaven_ratling_gun_team	wh2_dlc12_grp_vocalisation_skaven_pain	injured	
wh2_skaven_ratling_gun_team	wh2_dlc12_grp_vocalisation_skaven_idle	moving	
wh2_skaven_ratling_gun_team	wh2_dlc12_grp_vocalisation_skaven_moving_taunt	moving_taunt	
wh2_skaven_ratling_gun_team	wh2_dlc12_grp_vocalisation_skaven_unit_response	response	
wh2_skaven_ratling_gun_team	wh2_dlc12_grp_vocalisation_skaven_unit_selection	selection	
wh2_skaven_ratling_gun_team	wh2_dlc12_grp_vocalisation_skaven_taunting	taunting	
