campaign_videos_tables	0
campaign_locked	culture	sort	still_path	video_name
false	wh2_main_hef_high_elves	0	ui/movies/hef_intro.png	warhammer2/hef/hef_intro
true	wh2_main_hef_high_elves	1	ui/movies/hef_ritual_1.png	warhammer2/hef/hef_ritual_1
true	wh2_main_hef_high_elves	2	ui/movies/hef_ritual_2.png	warhammer2/hef/hef_ritual_2
true	wh2_main_hef_high_elves	3	ui/movies/hef_ritual_3.png	warhammer2/hef/hef_ritual_3
true	wh2_main_hef_high_elves	4	ui/movies/hef_ritual_4.png	warhammer2/hef/hef_ritual_4
true	wh2_main_hef_high_elves	6	ui/movies/hef_ritual_5.png	warhammer2/hef/hef_ritual_5
true	wh2_main_hef_high_elves	7	ui/movies/hef_win.png	warhammer2/hef/hef_win
true	wh2_main_lzd_lizardmen	13	ui/movies/lzd_horned_rat.png	warhammer2/lzd/lzd_horned_rat
false	wh2_main_lzd_lizardmen	8	ui/movies/lzd_intro.png	warhammer2/lzd/lzd_intro
true	wh2_main_lzd_lizardmen	9	ui/movies/lzd_ritual_1.png	warhammer2/lzd/lzd_ritual_1
true	wh2_main_lzd_lizardmen	10	ui/movies/lzd_ritual_2.png	warhammer2/lzd/lzd_ritual_2
true	wh2_main_lzd_lizardmen	11	ui/movies/lzd_ritual_3.png	warhammer2/lzd/lzd_ritual_3
true	wh2_main_lzd_lizardmen	12	ui/movies/lzd_ritual_4.png	warhammer2/lzd/lzd_ritual_4
true	wh2_main_lzd_lizardmen	14	ui/movies/lzd_ritual_5.png	warhammer2/lzd/lzd_ritual_5
true	wh2_main_lzd_lizardmen	15	ui/movies/lzd_win.png	warhammer2/lzd/lzd_win
true	wh2_main_skv_skaven	29	ui/movies/skv_horned_rat.png	warhammer2/skv/skv_horned_rat
false	wh2_main_skv_skaven	24	ui/movies/skv_intro.png	warhammer2/skv/skv_intro
true	wh2_main_skv_skaven	25	ui/movies/skv_ritual_1.png	warhammer2/skv/skv_ritual_1
true	wh2_main_skv_skaven	26	ui/movies/skv_ritual_2.png	warhammer2/skv/skv_ritual_2
true	wh2_main_skv_skaven	27	ui/movies/skv_ritual_3.png	warhammer2/skv/skv_ritual_3
true	wh2_main_skv_skaven	28	ui/movies/skv_ritual_4.png	warhammer2/skv/skv_ritual_4
true	wh2_main_skv_skaven	30	ui/movies/skv_ritual_5.png	warhammer2/skv/skv_ritual_5
true	wh2_main_skv_skaven	31	ui/movies/skv_win.png	warhammer2/skv/skv_win
true	*	99	ui/movies/skv_comet.png	warhammer2/skv_comet
true	wh2_dlc09_tmb_tomb_kings	47	ui/movies/battle_arkhan.png	warhammer2/tmb/battle_arkhan
true	wh2_dlc09_tmb_tomb_kings	45	ui/movies/battle_khalida.png	warhammer2/tmb/battle_khalida
true	wh2_dlc09_tmb_tomb_kings	46	ui/movies/battle_khatep.png	warhammer2/tmb/battle_khatep
true	wh2_dlc09_tmb_tomb_kings	44	ui/movies/battle_settra.png	warhammer2/tmb/battle_settra
true	wh2_dlc09_tmb_tomb_kings	36	ui/movies/book_1.png	warhammer2/tmb/book_1
true	wh2_dlc09_tmb_tomb_kings	37	ui/movies/book_1_arkhan.png	warhammer2/tmb/book_1_arkhan
true	wh2_dlc09_tmb_tomb_kings	38	ui/movies/book_2.png	warhammer2/tmb/book_2
true	wh2_dlc09_tmb_tomb_kings	39	ui/movies/book_2_arkhan.png	warhammer2/tmb/book_2_arkhan
true	wh2_dlc09_tmb_tomb_kings	40	ui/movies/book_3.png	warhammer2/tmb/book_3
true	wh2_dlc09_tmb_tomb_kings	41	ui/movies/book_3_arkhan.png	warhammer2/tmb/book_3_arkhan
true	wh2_dlc09_tmb_tomb_kings	42	ui/movies/book_4.png	warhammer2/tmb/book_4
true	wh2_dlc09_tmb_tomb_kings	43	ui/movies/book_4_arkhan.png	warhammer2/tmb/book_4_arkhan
false	wh2_dlc09_tmb_tomb_kings	35	ui/movies/intro_arkhan.png	warhammer2/tmb/intro_arkhan
false	wh2_dlc09_tmb_tomb_kings	33	ui/movies/intro_khalida.png	warhammer2/tmb/intro_khalida
false	wh2_dlc09_tmb_tomb_kings	34	ui/movies/intro_khatep.png	warhammer2/tmb/intro_khatep
false	wh2_dlc09_tmb_tomb_kings	32	ui/movies/intro_settra.png	warhammer2/tmb/intro_settra
true	wh2_dlc09_tmb_tomb_kings	51	ui/movies/win_arkhan.png	warhammer2/tmb/win_arkhan
true	wh2_dlc09_tmb_tomb_kings	49	ui/movies/win_khalida.png	warhammer2/tmb/win_khalida
true	wh2_dlc09_tmb_tomb_kings	50	ui/movies/win_khatep.png	warhammer2/tmb/win_khatep
true	wh2_dlc09_tmb_tomb_kings	48	ui/movies/win_settra.png	warhammer2/tmb/win_settra
