cultures_subcultures_tables	2
subculture	culture	index	audio_state_override	audio_rtpc_override
wh2_main_rogue_teef_snatchaz	wh2_main_rogue	1018454244	Greenskins	
wh2_main_rogue_the_wandering_dead	wh2_main_rogue	262553704	Vampire_Counts	
wh2_main_rogue_tor_elithis	wh2_main_rogue	1787406583	High_Elves	
wh2_main_rogue_troll_skullz	wh2_main_rogue	1324878929	Greenskins	
wh2_main_rogue_vashnaar	wh2_main_rogue	939841996	Dark_Elves	
wh2_main_rogue_vauls_expedition	wh2_main_rogue	437768142	High_Elves	
wh2_main_rogue_worldroot_rangers	wh2_main_rogue	309109572	Wood_Elves	
wh2_main_rogue_wrath_of_nature	wh2_main_rogue	1253285273	Wood_Elves	
wh2_main_sc_def_dark_elves	wh2_main_def_dark_elves	1851343782		
wh2_main_sc_hef_high_elves	wh2_main_hef_high_elves	1851343764		
wh2_main_sc_lzd_lizardmen	wh2_main_lzd_lizardmen	1851343747		
wh2_main_sc_skv_skaven	wh2_main_skv_skaven	1851343750		
wh_dlc03_sc_bst_beastmen	wh_dlc03_bst_beastmen	1851343759		
wh_dlc05_sc_wef_wood_elves	wh_dlc05_wef_wood_elves	1851343774		
wh_main_sc_brt_bretonnia	wh_main_brt_bretonnia	1851343786		
wh_main_sc_chs_chaos	wh_main_chs_chaos	1851343731		
wh_main_sc_dwf_dwarfs	wh_main_dwf_dwarfs	1851343740		
wh_main_sc_emp_empire	wh_main_emp_empire	1851343725		
wh_main_sc_grn_greenskins	wh_main_grn_greenskins	1851343715		
wh_main_sc_grn_savage_orcs	wh_main_grn_greenskins	1851343842		
wh_main_sc_ksl_kislev	wh_main_emp_empire	1851343837		
wh_main_sc_nor_norsca	wh_main_chs_chaos	1851343827	Norsca	
wh_main_sc_teb_teb	wh_main_emp_empire	1851343830		
wh_main_sc_vmp_vampire_counts	wh_main_vmp_vampire_counts	1851343795		
