custom_loading_screen_components_tables	0
custom_quote	wh2_main_lzd_hexoatl_12	
background	wh2_main_lzd_hexoatl_gc	UI\loading_ui\load_images\campaign_9.png
custom_quote	wh2_main_lzd_hexoatl_gc	
background	wh2_main_lzd_last_defenders_01	UI\loading_ui\load_images\campaign_9.png
custom_quote	wh2_main_lzd_last_defenders_01	
background	wh2_main_lzd_last_defenders_gc	UI\loading_ui\load_images\campaign_9.png
custom_quote	wh2_main_lzd_last_defenders_gc	
background	wh2_main_skv_clan_mors_01	UI\loading_ui\load_images\campaign_12.png
custom_quote	wh2_main_skv_clan_mors_01	
background	wh2_main_skv_clan_mors_10	UI\loading_ui\load_images\campaign_12.png
custom_quote	wh2_main_skv_clan_mors_10	
background	wh2_main_skv_clan_mors_11	UI\loading_ui\load_images\campaign_12.png
custom_quote	wh2_main_skv_clan_mors_11	
background	wh2_main_skv_clan_mors_12	UI\loading_ui\load_images\campaign_12.png
custom_quote	wh2_main_skv_clan_mors_12	
background	wh2_main_skv_clan_mors_gc	UI\loading_ui\load_images\campaign_12.png
custom_quote	wh2_main_skv_clan_mors_gc	
background	wh2_main_skv_clan_pestilens_01	UI\loading_ui\load_images\campaign_12.png
custom_quote	wh2_main_skv_clan_pestilens_01	
background	wh2_main_skv_clan_pestilens_gc	UI\loading_ui\load_images\campaign_12.png
custom_quote	wh2_main_skv_clan_pestilens_gc	
background	wh_dlc03_bst_beastmen_khazrak	ui/loading_ui/load_images/campaign_6.png
custom_quote	wh_dlc03_bst_beastmen_khazrak	
background	wh_dlc03_bst_beastmen_malagor	ui/loading_ui/load_images/campaign_6.png
custom_quote	wh_dlc03_bst_beastmen_malagor	
background	wh_dlc03_bst_beastmen_morghur	ui/loading_ui/load_images/campaign_6.png
custom_quote	wh_dlc03_bst_beastmen_morghur	
background	wh_dlc04_emp_empire_volkmar	ui/loading_ui/load_images/campaign_3.png
custom_quote	wh_dlc04_emp_empire_volkmar	
background	wh_dlc04_vmp_vampire_counts_helman	ui/loading_ui/load_images/campaign_2.png
custom_quote	wh_dlc04_vmp_vampire_counts_helman	
background	wh_dlc05_wef_argwylon_durthu	ui/loading_ui/load_images/campaign_7.png
custom_quote	wh_dlc05_wef_argwylon_durthu	
background	wh_dlc05_wef_wood_elves_orion	ui/loading_ui/load_images/campaign_7.png
custom_quote	wh_dlc05_wef_wood_elves_orion	
background	wh_dlc06_dwf_karak_izor_belegar	ui/loading_ui/load_images/campaign_1.png
custom_quote	wh_dlc06_dwf_karak_izor_belegar	
background	wh_dlc06_grn_crooked_moon_skarsnik	ui/loading_ui/load_images/campaign_4.png
custom_quote	wh_dlc06_grn_crooked_moon_skarsnik	
background	wh_dlc06_grn_orcs_of_the_bloody_hand_wurrzag	ui/loading_ui/load_images/campaign_4.png
custom_quote	wh_dlc06_grn_orcs_of_the_bloody_hand_wurrzag	
background	wh_dlc07_brt_bordeleaux_alberic	ui/loading_ui/load_images/campaign_8.png
custom_quote	wh_dlc07_brt_bordeleaux_alberic	
background	wh_dlc07_brt_bretonnia_louen	ui/loading_ui/load_images/campaign_8.png
custom_quote	wh_dlc07_brt_bretonnia_louen	
background	wh_dlc07_brt_carcassonne_fay	ui/loading_ui/load_images/campaign_8.png
custom_quote	wh_dlc07_brt_carcassonne_fay	
background	wh_dlc08_nor_norsca_gc	UI\loading_ui\load_images\campaign_16.png
custom_quote	wh_dlc08_nor_norsca_gc	
background	wh_dlc08_nor_wintertooth_gc	UI\loading_ui\load_images\campaign_16.png
custom_quote	wh_dlc08_nor_wintertooth_gc	
background	wh_main_chs_chaos_archaon	ui/loading_ui/load_images/campaign_5.png
custom_quote	wh_main_chs_chaos_archaon	
background	wh_main_chs_chaos_kholek	ui/loading_ui/load_images/campaign_5.png
custom_quote	wh_main_chs_chaos_kholek	
background	wh_main_chs_chaos_sigvald	ui/loading_ui/load_images/campaign_5.png
custom_quote	wh_main_chs_chaos_sigvald	
background	wh_main_dwf_dwarfs_grombrindal	ui/loading_ui/load_images/campaign_1.png
custom_quote	wh_main_dwf_dwarfs_grombrindal	
background	wh_main_dwf_dwarfs_thorgrim	ui/loading_ui/load_images/campaign_1.png
custom_quote	wh_main_dwf_dwarfs_thorgrim	
background	wh_main_dwf_dwarfs_ungrim	ui/loading_ui/load_images/campaign_1.png
custom_quote	wh_main_dwf_dwarfs_ungrim	
background	wh_main_emp_empire_balthasar	ui/loading_ui/load_images/campaign_3.png
custom_quote	wh_main_emp_empire_balthasar	
background	wh_main_emp_empire_karl_franz	ui/loading_ui/load_images/campaign_3.png
custom_quote	wh_main_emp_empire_karl_franz	
background	wh_main_grn_greenskins_azhag	ui/loading_ui/load_images/campaign_4.png
custom_quote	wh_main_grn_greenskins_azhag	
background	wh_main_grn_greenskins_grimgor	ui/loading_ui/load_images/campaign_4.png
custom_quote	wh_main_grn_greenskins_grimgor	
background	wh_main_vmp_vampire_counts_heinrich	ui/loading_ui/load_images/campaign_2.png
custom_quote	wh_main_vmp_vampire_counts_heinrich	
background	wh_main_vmp_vampire_counts_mannfred	ui/loading_ui/load_images/campaign_2.png
custom_quote	wh_main_vmp_vampire_counts_mannfred	
background	wh_pro02_vmp_schwartzhafen_isabella	ui/loading_ui/load_images/campaign_2.png
custom_quote	wh_pro02_vmp_schwartzhafen_isabella	
background	wh_pro02_vmp_schwartzhafen_vlad	ui/loading_ui/load_images/campaign_2.png
custom_quote	wh_pro02_vmp_schwartzhafen_vlad	
