campaign_mount_animation_set_overrides_tables	2
character_animation_set	mount_unit	rider_animation_set	vfx_filter_override
cam_hu1_empire_staff_and_sword	wh_dlc04_vmp_cha_helman_ghorst_1	cam_hu1_empire_wm_corpsecart01_staff_and_sword	0
cam_hu1_empire_staff_and_sword	wh_dlc04_vmp_cha_master_necromancer_1	cam_hu1_empire_wm_corpsecart01_staff_and_sword	0
cam_hu1_empire_staff_and_sword	wh_dlc04_vmp_cha_master_necromancer_2	cam_hu1_empire_wm_corpsecart01_staff_and_sword	0
cam_hu1_empire_staff_and_sword	wh_dlc04_vmp_cha_master_necromancer_3	cam_hu1_empire_wm_corpsecart01_staff_and_sword	0
cam_hu1_empire_staff_and_sword	wh_dlc04_vmp_cha_necromancer_1	cam_hu1_empire_wm_corpsecart01_staff_and_sword	0
cam_hu1_empire_staff_and_sword	wh_dlc04_vmp_cha_necromancer_2	cam_hu1_empire_wm_corpsecart01_staff_and_sword	0
cam_hu1_empire_staff_and_sword	wh_dlc04_vmp_cha_necromancer_3	cam_hu1_empire_wm_corpsecart01_staff_and_sword	0
cam_hu1_empire_staff_and_sword	wh_dlc05_emp_cha_wizard_life_1	cam_hu1_empire_hr1_warhorse_staff_and_sword	0
cam_hu1_empire_staff_and_sword	wh_dlc05_emp_cha_wizard_life_2	cam_hu1_empire_hr1_warhorse_staff_and_sword	0
cam_hu1_empire_staff_and_sword	wh_dlc05_emp_cha_wizard_life_3	cam_hu1_empire_hr1_warhorse_staff_and_sword	0
cam_hu1_empire_staff_and_sword	wh_dlc05_emp_cha_wizard_shadows_1	cam_hu1_empire_hr1_warhorse_staff_and_sword	0
cam_hu1_empire_staff_and_sword	wh_dlc05_emp_cha_wizard_shadows_2	cam_hu1_empire_hr1_warhorse_staff_and_sword	0
cam_hu1_empire_staff_and_sword	wh_dlc05_emp_cha_wizard_shadows_3	cam_hu1_empire_hr1_warhorse_staff_and_sword	0
cam_hu1_empire_staff_and_sword	wh_dlc08_nor_cha_shaman_sorcerer_death_1	cam_hu1_empire_hr1_warhorse_staff_and_sword	0
cam_hu1_empire_staff_and_sword	wh_dlc08_nor_cha_shaman_sorcerer_death_2	cam_hero_hu1_chaos_wm_chaos_chariot_staff_and_sword	0
cam_hu1_empire_staff_and_sword	wh_dlc08_nor_cha_shaman_sorcerer_fire_1	cam_hu1_empire_hr1_warhorse_staff_and_sword	0
cam_hu1_empire_staff_and_sword	wh_dlc08_nor_cha_shaman_sorcerer_fire_2	cam_hero_hu1_chaos_wm_chaos_chariot_staff_and_sword	0
cam_hu1_empire_staff_and_sword	wh_dlc08_nor_cha_shaman_sorcerer_metal_1	cam_hu1_empire_hr1_warhorse_staff_and_sword	0
cam_hu1_empire_staff_and_sword	wh_dlc08_nor_cha_shaman_sorcerer_metal_2	cam_hero_hu1_chaos_wm_chaos_chariot_staff_and_sword	0
cam_hu1_empire_staff_and_sword	wh_main_emp_cha_balthasar_gelt_1	cam_hu1_empire_hr1_warhorse_staff_and_sword	0
cam_hu1_empire_staff_and_sword	wh_main_emp_cha_balthasar_gelt_2	cam_hu1_empire_hr1_warhorse_staff_and_sword	0
cam_hu1_empire_staff_and_sword	wh_main_emp_cha_balthasar_gelt_3	cam_hu1_empire_hr1_warhorse_staff_and_sword	0
cam_hu1_empire_staff_and_sword	wh_main_emp_cha_wizard_fire_1	cam_hu1_empire_hr1_warhorse_staff_and_sword	0
cam_hu1_empire_staff_and_sword	wh_main_emp_cha_wizard_fire_2	cam_hu1_empire_hr1_warhorse_staff_and_sword	0
cam_hu1_empire_staff_and_sword	wh_main_emp_cha_wizard_fire_3	cam_hu1_empire_hr1_warhorse_staff_and_sword	0
cam_hu1_empire_staff_and_sword	wh_main_emp_cha_wizard_heavens_1	cam_hu1_empire_hr1_warhorse_staff_and_sword	0
cam_hu1_empire_staff_and_sword	wh_main_emp_cha_wizard_heavens_2	cam_hu1_empire_hr1_warhorse_staff_and_sword	0
cam_hu1_empire_staff_and_sword	wh_main_emp_cha_wizard_heavens_4	cam_hu1_empire_hr1_warhorse_staff_and_sword	0
cam_hu1_empire_staff_and_sword	wh_main_emp_cha_wizard_light_1	cam_hu1_empire_hr1_warhorse_staff_and_sword	0
cam_hu1_empire_staff_and_sword	wh_main_emp_cha_wizard_light_2	cam_hu1_empire_hr1_warhorse_staff_and_sword	0
cam_hu1_empire_staff_and_sword	wh_main_emp_cha_wizard_light_4	cam_hu1_empire_hr1_warhorse_staff_and_sword	0
cam_hu1_empire_staff_and_sword	wh_main_ksl_cha_wizard_1	cam_hu1_empire_hr1_warhorse_staff_and_sword	0
cam_hu1_empire_staff_and_sword	wh_main_teb_cha_wizard_1	cam_hu1_empire_hr1_warhorse_staff_and_sword	0
cam_hu1_empire_staff_and_sword	wh_main_vmp_cha_mannfred_von_carstein_2	cam_hu1_empire_hr1_warhorse_sword	0
cam_hu1_empire_staff_and_sword	wh_main_vmp_cha_mannfred_von_carstein_3	cam_hu1_empire_dr1_dragon_wb_sword_and_shield	0
cam_hu1_empire_staff_and_sword	wh_main_vmp_cha_mannfred_von_carstein_4	cam_hu1_empire_hr1_warhorse_sword	0
cam_hu1_empire_staff_and_sword	wh_main_vmp_cha_master_necromancer_4	cam_hu1_empire_hr1_warhorse_staff_and_sword	0
cam_hu1_empire_staff_and_sword	wh_main_vmp_cha_master_necromancer_5	cam_hu1_empire_hr1_warhorse_staff_and_sword	0
cam_hu1_empire_staff_and_sword	wh_main_vmp_cha_necromancer_5	cam_hu1_empire_hr1_warhorse_staff_and_sword	0
cam_hu1_empire_sword_and_shield	wh2_dlc09_tmb_cha_tomb_king_1	cam_lord_hu1_tomb_hr1_tomb_steed_sword_and_shield	0
cam_hu1_empire_sword_and_shield	wh2_dlc09_tmb_cha_tomb_king_2	cam_hu1_tomb_sword_and_shield_chariot	0
cam_hu1_empire_sword_and_shield	wh2_dlc09_tmb_cha_tomb_king_3	cam_hu1_tomb_sword_and_shield_chariot	0
cam_hu1_empire_sword_and_shield	wh2_dlc11_cst_cha_damned_paladin_1	cam_hu1_empire_hr1_warhorse_lance_sword_shield	0
cam_hu1_empire_sword_and_shield	wh2_dlc11_vmp_cha_bloodline_von_carstein_lord_1	cam_hu1_empire_hr1_warhorse_lance_sword_shield	0
cam_hu1_empire_sword_and_shield	wh2_dlc11_vmp_cha_bloodline_von_carstein_lord_2	cam_hu1_empire_hr1_warhorse_lance_sword_shield	0
cam_hu1_empire_sword_and_shield	wh2_dlc11_vmp_cha_bloodline_von_carstein_lord_3	cam_hu1_empire_dr1_dragon_wb_sword_and_shield	0
cam_hu1_empire_sword_and_shield	wh_dlc03_emp_cha_boris_todbringer_1	cam_hu1_empire_hr1_warhorse_lance_sword_shield	0
cam_hu1_empire_sword_and_shield	wh_dlc03_emp_cha_boris_todbringer_2	cam_hu1_empire_hr1_warhorse_lance_sword_shield	0
cam_hu1_empire_sword_and_shield	wh_dlc03_emp_cha_boris_todbringer_3	cam_hu1_empire_bc2_griffon_wb_lance_sword_shield	0
cam_hu1_empire_sword_and_shield	wh_dlc05_vmp_cha_red_duke_1	cam_hu1_empire_hr1_warhorse_lance_sword_shield	0
cam_hu1_empire_sword_and_shield	wh_dlc05_vmp_cha_red_duke_2	cam_hu1_empire_hr1_warhorse_lance_sword_shield	0
cam_hu1_empire_sword_and_shield	wh_dlc05_vmp_cha_red_duke_3	cam_hu1_empire_dr1_dragon_wb_sword_and_shield	0
cam_hu1_empire_sword_and_shield	wh_dlc07_brt_cha_alberic_bordeleaux_1	cam_hu1_bretonnian_bc2b_hippogryph_wb_lance_sword_shield	0
cam_hu1_empire_sword_and_shield	wh_dlc07_brt_cha_alberic_bordeleaux_2	cam_hu1_bretonnian_hr1_pegasus_lancer	0
cam_hu1_empire_sword_and_shield	wh_dlc07_brt_cha_alberic_bordeleaux_3	cam_hu1_empire_hr1_warhorse_lance_sword_shield	0
cam_hu1_empire_sword_and_shield	wh_dlc07_brt_cha_green_knight_0	cam_hu1_empire_hr1_warhorse_lance_sword_shield	0
cam_hu1_empire_sword_and_shield	wh_main_brt_cha_lord_2	cam_hu1_bretonnian_bc2b_hippogryph_wb_lance_sword_shield	0
cam_hu1_empire_sword_and_shield	wh_main_brt_cha_lord_3	cam_hu1_bretonnian_hr1_pegasus_lancer	0
cam_hu1_empire_sword_and_shield	wh_main_brt_cha_lord_4	cam_hu1_empire_hr1_warhorse_lance_sword_shield	0
cam_hu1_empire_sword_and_shield	wh_main_brt_cha_paladin_3	cam_hu1_bretonnian_hr1_pegasus_lancer	0
cam_hu1_empire_sword_and_shield	wh_main_brt_cha_paladin_4	cam_hu1_empire_hr1_warhorse_lance_sword_shield	0
cam_hu1_empire_sword_and_shield	wh_main_emp_cha_captain_1	cam_hu1_empire_hr1_warhorse_lance_sword_shield	0
cam_hu1_empire_sword_and_shield	wh_main_emp_cha_captain_2	cam_hu1_empire_hr1_warhorse_lance_sword_shield	0
cam_hu1_empire_sword_and_shield	wh_main_emp_cha_captain_3	cam_hu1_empire_hr1_warhorse_lance_sword_shield	0
cam_hu1_empire_sword_and_shield	wh_main_emp_cha_general_1	cam_hu1_empire_hr1_warhorse_lance_sword_shield	0
cam_hu1_empire_sword_and_shield	wh_main_emp_cha_general_2	cam_hu1_empire_hr1_warhorse_lance_sword_shield	0
cam_hu1_empire_sword_and_shield	wh_main_emp_cha_general_3	cam_hu1_empire_bc2_griffon_wb_lance_sword_shield	0
cam_hu1_empire_sword_and_shield	wh_main_emp_cha_general_4	cam_hu1_empire_hr1_warhorse_lance_sword_shield	0
cam_hu1_empire_sword_and_shield	wh_main_ksl_cha_captain_1	cam_hu1_empire_hr1_warhorse_lance_sword_shield	0
cam_hu1_empire_sword_and_shield	wh_main_ksl_cha_captain_2	cam_hu1_empire_hr1_warhorse_lance_sword_shield	0
cam_hu1_empire_sword_and_shield	wh_main_ksl_cha_general_1	cam_hu1_empire_hr1_warhorse_lance_sword_shield	0
cam_hu1_empire_sword_and_shield	wh_main_ksl_cha_general_2	cam_hu1_empire_hr1_warhorse_lance_sword_shield	0
cam_hu1_empire_sword_and_shield	wh_main_teb_cha_captain_1	cam_hu1_empire_hr1_warhorse_lance_sword_shield	0
cam_hu1_empire_sword_and_shield	wh_main_teb_cha_captain_2	cam_hu1_empire_hr1_warhorse_lance_sword_shield	0
cam_hu1_empire_sword_and_shield	wh_main_teb_cha_general_1	cam_hu1_empire_hr1_warhorse_lance_sword_shield	0
cam_hu1_empire_sword_and_shield	wh_main_teb_cha_general_2	cam_hu1_empire_hr1_warhorse_lance_sword_shield	0
cam_hu1_empire_sword_and_shield	wh_main_vmp_cha_vampire_lord_2	cam_hu1_empire_hr1_warhorse_lance_sword_shield	0
cam_hu1_empire_sword_and_shield	wh_main_vmp_cha_vampire_lord_3	cam_hu1_empire_dr1_dragon_wb_sword_and_shield	0
cam_hu1_empire_sword_and_shield	wh_main_vmp_cha_vampire_lord_5	cam_hu1_empire_hr1_warhorse_lance_sword_shield	0
cam_hu1_empire_sword_and_shield	wh_main_vmp_cha_wight_king_1	cam_hu1_empire_hr1_warhorse_lance_sword_shield	0
cam_hu1_empire_sword_and_shield	wh_main_vmp_cha_wight_king_2	cam_hu1_empire_hr1_warhorse_lance_sword_shield	0
cam_hu1_leoncoeur_sword_and_shield	wh_main_brt_cha_king_louen_leoncoeur_1	cam_hu1_leoncoeur_bc2b_hippogryph_wb_sword_shield	0
cam_hu1_leoncoeur_sword_and_shield	wh_main_brt_cha_king_louen_leoncoeur_2	cam_hu1_leoncoeur_hr1_warhorse_lance_sword_shield	0
cam_hu1_leoncoeur_sword_and_shield	wh_main_brt_cha_king_louen_leoncoeur_3	cam_hu1_leoncoeur_hr1_warhorse_lance_sword_shield	0
cam_hu1_leoncoeur_sword_and_shield	wh_main_brt_cha_king_louen_leoncoeur_4	cam_hu1_leoncoeur_bc2b_hippogryph_wb_sword_shield	0
cam_hu1_pr8_amethyst_staff_and_sword	wh2_pro07_emp_cha_wizard_death_1	cam_hu1_pr8_hr1_warhorse_amethyst_staff_and_sword	0
cam_hu1_pr8_amethyst_staff_and_sword	wh2_pro07_emp_cha_wizard_death_2	cam_hu1_pr8_hr1_warhorse_amethyst_staff_and_sword	0
cam_hu1_pr8_amethyst_staff_and_sword	wh2_pro07_emp_cha_wizard_death_3	cam_hu1_pr8_hr1_pegasus_amethyst_staff_and_sword	0
cam_hu1_volkmar_staff_and_hammer	wh_dlc04_emp_cha_volkmar_the_grim_1	cam_hu1_empire_war_altar_staff_and_sword	0
cam_hu1_volkmar_staff_and_hammer	wh_dlc04_emp_cha_volkmar_the_grim_2	cam_hu1_empire_hr1_warhorse_staff_and_sword	0
cam_hu1_volkmar_staff_and_hammer	wh_dlc04_emp_cha_volkmar_the_grim_3	cam_hu1_empire_hr1_warhorse_staff_and_sword	0
cam_hu1b_bretonnian_staff_and_sword	wh_dlc07_brt_cha_damsel_beasts_1	cam_hu1b_bretonnian_hr1_warhorse_staff_and_sword	0
cam_hu1b_bretonnian_staff_and_sword	wh_dlc07_brt_cha_damsel_beasts_2	cam_hu1b_bretonnian_hr1_warhorse_staff_and_sword	0
cam_hu1b_bretonnian_staff_and_sword	wh_dlc07_brt_cha_damsel_beasts_3	cam_hu1b_bretonnian_hr1_warhorse_staff_and_sword	0
cam_hu1b_bretonnian_staff_and_sword	wh_dlc07_brt_cha_damsel_life_1	cam_hu1b_bretonnian_hr1_warhorse_staff_and_sword	0
cam_hu1b_bretonnian_staff_and_sword	wh_dlc07_brt_cha_damsel_life_2	cam_hu1b_bretonnian_hr1_warhorse_staff_and_sword	0
cam_hu1b_bretonnian_staff_and_sword	wh_dlc07_brt_cha_damsel_life_3	cam_hu1b_bretonnian_hr1_warhorse_staff_and_sword	0
cam_hu1b_bretonnian_staff_and_sword	wh_dlc07_brt_cha_prophetess_1	cam_hu1b_bretonnian_hr1_warhorse_staff_and_sword	0
cam_hu1b_bretonnian_staff_and_sword	wh_dlc07_brt_cha_prophetess_2	cam_hu1b_bretonnian_hr1_warhorse_staff_and_sword	0
cam_hu1b_bretonnian_staff_and_sword	wh_dlc07_brt_cha_prophetess_3	cam_hu1b_bretonnian_hr1_warhorse_staff_and_sword	0
cam_hu1b_bretonnian_staff_and_sword	wh_dlc07_brt_cha_prophetess_beasts_1	cam_hu1b_bretonnian_hr1_warhorse_staff_and_sword	0
cam_hu1b_bretonnian_staff_and_sword	wh_dlc07_brt_cha_prophetess_beasts_2	cam_hu1b_bretonnian_hr1_warhorse_staff_and_sword	0
cam_hu1b_bretonnian_staff_and_sword	wh_dlc07_brt_cha_prophetess_beasts_3	cam_hu1b_bretonnian_hr1_warhorse_staff_and_sword	0
cam_hu1b_bretonnian_staff_and_sword	wh_dlc07_brt_cha_prophetess_heavens_1	cam_hu1b_bretonnian_hr1_warhorse_staff_and_sword	0
cam_hu1b_bretonnian_staff_and_sword	wh_dlc07_brt_cha_prophetess_heavens_2	cam_hu1b_bretonnian_hr1_warhorse_staff_and_sword	0
cam_hu1b_bretonnian_staff_and_sword	wh_dlc07_brt_cha_prophetess_heavens_3	cam_hu1b_bretonnian_hr1_warhorse_staff_and_sword	0
cam_hu1b_bretonnian_staff_and_sword	wh_main_brt_cha_damsel_1	cam_hu1b_bretonnian_hr1_warhorse_staff_and_sword	0
cam_hu1b_bretonnian_staff_and_sword	wh_main_brt_cha_damsel_2	cam_hu1b_bretonnian_hr1_warhorse_staff_and_sword	0
cam_hu1b_bretonnian_staff_and_sword	wh_main_brt_cha_damsel_3	cam_hu1b_bretonnian_hr1_warhorse_staff_and_sword	0
cam_hu1b_elf_spellsinger	wh_dlc05_wef_cha_spellsinger_beasts_1	cam_hu1b_elf_spellsinger_hr1_warhorse	0
cam_hu1b_elf_spellsinger	wh_dlc05_wef_cha_spellsinger_beasts_2	cam_hu1b_elf_spellsinger_bi1_eagle	0
cam_hu1b_elf_spellsinger	wh_dlc05_wef_cha_spellsinger_beasts_3	cam_hu1b_elf_spellsinger_hr1_warhorse	0
cam_hu1b_elf_spellsinger	wh_dlc05_wef_cha_spellsinger_life_1	cam_hu1b_elf_spellsinger_hr1_warhorse	0
cam_hu1b_elf_spellsinger	wh_dlc05_wef_cha_spellsinger_life_2	cam_hu1b_elf_spellsinger_bi1_eagle	0
cam_hu1b_elf_spellsinger	wh_dlc05_wef_cha_spellsinger_life_3	cam_hu1b_elf_spellsinger_hr1_warhorse	0
cam_hu1b_elf_spellsinger	wh_dlc05_wef_cha_spellsinger_shadows_1	cam_hu1b_elf_spellsinger_hr1_warhorse	0
cam_hu1b_elf_spellsinger	wh_dlc05_wef_cha_spellsinger_shadows_2	cam_hu1b_elf_spellsinger_bi1_eagle	0
cam_hu1b_elf_spellsinger	wh_dlc05_wef_cha_spellsinger_shadows_3	cam_hu1b_elf_spellsinger_hr1_warhorse	0
cam_hu1b_elf_spellsinger	wh_dlc07_brt_cha_fay_enchantress_1	cam_hu1b_elf_spellsinger_hr1_warhorse	0
cam_hu1b_elf_sword_and_bow	wh_dlc05_wef_cha_female_glade_lord_1	cam_hu1b_elf_sword_and_bow_hr1_warhorse_sword_and_bow	0
cam_hu1b_elf_sword_and_bow	wh_dlc05_wef_cha_female_glade_lord_2	cam_hu1b_elf_sword_and_bow_bi1_eagle_sword_and_bow	0
cam_hu1b_elf_sword_and_bow	wh_dlc05_wef_cha_female_glade_lord_2_qb	cam_hu1b_elf_sword_and_bow_bi1_eagle_sword_and_bow	0
cam_hu1b_elf_sword_and_bow	wh_dlc05_wef_cha_female_glade_lord_3	cam_hu1b_elf_sword_and_bow_dr1_dragon_sword_and_bow	0
cam_hu1b_vampire_sword	wh2_dlc11_vmp_cha_bloodline_lahmian_lord_1	cam_hu1b_vampire_hr1_warhorse_sword	0
cam_hu1b_vampire_sword	wh2_dlc11_vmp_cha_bloodline_lahmian_lord_2	cam_hu1b_vampire_hr1_pegasus_sword	0
cam_hu1b_vampire_sword	wh2_dlc11_vmp_cha_bloodline_lahmian_lord_3	cam_lord_hu1b_elf_dr1_dragon_wb_staff_and_sword	0
cam_hu1b_vampire_sword	wh_dlc05_vmp_cha_vampire_shadows_1	cam_hu1b_vampire_hr1_warhorse_sword	0
cam_hu1b_vampire_sword	wh_dlc05_vmp_cha_vampire_shadows_2	cam_hu1b_vampire_hr1_pegasus_sword	0
cam_hu1b_vampire_sword	wh_main_vmp_cha_vampire_1	cam_hu1b_vampire_hr1_warhorse_sword	0
cam_hu1b_vampire_sword	wh_main_vmp_cha_vampire_2	cam_hu1b_vampire_hr1_pegasus_sword	0
cam_hu1b_vampire_sword	wh_pro02_vmp_cha_isabella_von_carstein_2	cam_hu1b_vampire_hr1_pegasus_sword	0
cam_hu1b_vampire_sword	wh_pro02_vmp_cha_isabella_von_carstein_4	cam_hu1b_vampire_hr1_warhorse_sword	0
cam_hu1c_chaos_axe_and_shield	wh_dlc08_nor_cha_wulfrik_1	cam_hu1c_chaos_hr1_warhorse_axe_and_shield	0
cam_hu1c_chaos_axe_and_shield	wh_dlc08_nor_cha_wulfrik_2	cam_lord_hu1c_chaos_wm_chaos_chariot_axe_and_shield	0
cam_hu1c_chaos_axe_and_shield	wh_dlc08_nor_cha_wulfrik_3	cam_hu1c_chaos_hq3_mammoth_sword_and_shield	0
cam_hu1c_chaos_axe_and_shield	wh_main_chs_cha_exalted_hero_12	cam_hu1c_chaos_hr1_warhorse_axe_and_shield	0
cam_hu1c_chaos_axe_and_shield	wh_main_chs_cha_exalted_hero_13	cam_hu1c_chaos_hr1_warhorse_axe_and_shield	0
cam_hu1c_chaos_axe_and_shield	wh_main_nor_cha_marauder_chieftan_1	cam_hu1c_chaos_hr1_warhorse_axe_and_shield	0
cam_hu1c_chaos_axe_and_shield	wh_main_nor_cha_marauder_chieftan_2	cam_lord_hu1c_chaos_wm_chaos_chariot_axe_and_shield	0
cam_hu1c_chaos_axe_and_shield	wh_main_nor_cha_marauder_chieftan_3	cam_hu1c_chaos_hq3_mammoth_sword_and_shield	0
cam_hu1c_chaos_dr1_chaos_dragon_wb_sword_and_shield	wh_dlc08_nor_cha_kihar_0	cam_hu1c_chaos_dr1_chaos_dragon_wb_sword_and_shield	0
cam_hu1c_chaos_staff_and_sword	wh_dlc01_chs_cha_chaos_sorcerer_lord_death_10	cam_hu1c_chaos_dr1_chaos_dragon_wb_sword_and_shield	0
cam_hu1c_chaos_staff_and_sword	wh_dlc01_chs_cha_chaos_sorcerer_lord_death_12	cam_hu1c_chaos_hr1_warhorse_staff_and_sword	0
cam_hu1c_chaos_staff_and_sword	wh_dlc01_chs_cha_chaos_sorcerer_lord_death_13	cam_hu1c_chaos_hr1_warhorse_staff_and_sword	0
