audio_vo_actor_groups_tables	3
name	vo_actor_1	vo_actor_2	vo_actor_3	vo_actor_4	vo_actor_5	vo_actor_6	vo_actor_7	vo_actor_8	vo_actor_9	vo_actor_10	vo_actor_11	vo_actor_12	vo_actor_13	vo_actor_14	vo_actor_15	cooldown_overlap
wh2_dlc09_vo_actor_Tomb_Kings_Tomb_Skeleton_Unit	wh2_dlc09_vo_actor_Tomb_Kings_Tomb_Skeleton_Units1	wh2_dlc09_vo_actor_Tomb_Kings_Tomb_Skeleton_Units2	wh2_dlc09_vo_actor_Tomb_Kings_Tomb_Skeleton_Units3	wh2_dlc09_vo_actor_Tomb_Kings_Tomb_Skeleton_Units4	wh2_dlc09_vo_actor_Tomb_Kings_Tomb_Skeleton_Units5	wh2_dlc09_vo_actor_Tomb_Kings_Tomb_Skeleton_Units6	wh2_dlc09_vo_actor_Tomb_Kings_Tomb_Skeleton_Units7	wh2_dlc09_vo_actor_Tomb_Kings_Tomb_Skeleton_Units8								0
wh2_dlc10_vo_actor_Dark_Elves_Crone_Hellebron	wh2_dlc10_vo_actor_Dark_Elves_Crone_Hellebron															0
wh2_dlc10_vo_actor_Dark_Elves_Supreme_Sorceress	wh2_dlc10_vo_actor_Dark_Elves_Supreme_Sorceress															0
wh2_dlc10_vo_actor_High_Elves_Alith_Anar	wh2_dlc10_vo_actor_High_Elves_Alith_Anar															0
wh2_dlc10_vo_actor_High_Elves_Arielle_the_Radiant	wh2_dlc10_vo_actor_High_Elves_Arielle_the_Radiant															0
wh2_dlc10_vo_actor_High_Elves_Handmaiden_of_the_Everqueen	wh2_dlc10_vo_actor_High_Elves_Handmaiden_of_the_Everqueen1	wh2_dlc10_vo_actor_High_Elves_Handmaiden_of_the_Everqueen2														0
wh2_dlc10_vo_actor_High_Elves_Shadow_Walker	wh2_dlc10_vo_actor_High_Elves_Shadow_Walker															0
wh2_dlc10_vo_actor_High_Elves_Sisters_of_Averlorn	wh2_dlc10_vo_actor_High_Elves_Sisters_of_Averlorn1	wh2_dlc10_vo_actor_High_Elves_Sisters_of_Averlorn2														0
wh2_dlc11_vo_actor_Dark_Elves_Lokhir_Fellheart	wh2_dlc11_vo_actor_Dark_Elves_Lokhir_Fellheart															0
wh2_dlc11_vo_actor_Generic_Human	wh2_dlc11_vo_actor_Generic_Human1	wh2_dlc11_vo_actor_Generic_Human2														0
wh2_dlc11_vo_actor_VampireCoast_Aranessa_Saltspite	wh2_dlc11_vo_actor_VampireCoast_Aranessa_Saltspite															0
wh2_dlc11_vo_actor_VampireCoast_Count_Noctuilus	wh2_dlc11_vo_actor_VampireCoast_Count_Noctuilus															0
wh2_dlc11_vo_actor_VampireCoast_Cylostra_Direfin	wh2_dlc11_vo_actor_VampireCoast_Cylostra_Direfin															1
wh2_dlc11_vo_actor_VampireCoast_Damned_Knight	wh2_dlc11_vo_actor_VampireCoast_Damned_Knight1	wh2_dlc11_vo_actor_VampireCoast_Damned_Knight2	wh2_dlc11_vo_actor_VampireCoast_Damned_Knight3	wh2_dlc11_vo_actor_VampireCoast_Damned_Knight4												1
wh2_dlc11_vo_actor_VampireCoast_Damned_Paladin	wh2_dlc11_vo_actor_VampireCoast_Damned_Paladin2	wh2_dlc11_vo_actor_VampireCoast_Damned_Paladin1														1
wh2_dlc11_vo_actor_VampireCoast_Depth_Guard	wh2_dlc11_vo_actor_VampireCoast_Depth_Guard1	wh2_dlc11_vo_actor_VampireCoast_Depth_Guard2	wh2_dlc11_vo_actor_VampireCoast_Depth_Guard3													0
wh2_dlc11_vo_actor_VampireCoast_Fleet_Admiral_Female	wh2_dlc11_vo_actor_VampireCoast_Fleet_Admiral_Female1	wh2_dlc11_vo_actor_VampireCoast_Fleet_Admiral_Female2														0
wh2_dlc11_vo_actor_VampireCoast_Fleet_Admiral_Male	wh2_dlc11_vo_actor_VampireCoast_Fleet_Admiral_Male1	wh2_dlc11_vo_actor_VampireCoast_Fleet_Admiral_Male2														0
wh2_dlc11_vo_actor_VampireCoast_Fleet_Captain	wh2_dlc11_vo_actor_VampireCoast_Fleet_Captain1	wh2_dlc11_vo_actor_VampireCoast_Fleet_Captain2														0
wh2_dlc11_vo_actor_VampireCoast_Gunnery_Wight	wh2_dlc11_vo_actor_VampireCoast_Gunnery_Wight1	wh2_dlc11_vo_actor_VampireCoast_Gunnery_Wight2														0
wh2_dlc11_vo_actor_VampireCoast_Luthor_Harkon	wh2_dlc11_vo_actor_VampireCoast_Luthor_Harkon															0
wh2_dlc11_vo_actor_VampireCoast_Mourngul_Haunter	wh2_dlc11_vo_actor_VampireCoast_Mourngul_Haunter															0
wh2_dlc11_vo_actor_VampireCoast_Zombie_Mob	wh2_dlc11_vo_actor_VampireCoast_Zombie_Mob1	wh2_dlc11_vo_actor_VampireCoast_Zombie_Mob2	wh2_dlc11_vo_actor_VampireCoast_Zombie_Mob3	wh2_dlc11_vo_actor_VampireCoast_Zombie_Mob4												0
wh2_main_vo_actor_Dark_Elves_Death_Hag	wh2_main_vo_actor_Dark_Elves_Death_Hag1	wh2_main_vo_actor_Dark_Elves_Death_Hag2														0
wh2_main_vo_actor_Dark_Elves_Dreadlord	wh2_main_vo_actor_Dark_Elves_Dreadlord1	wh2_main_vo_actor_Dark_Elves_Dreadlord2														0
wh2_main_vo_actor_Dark_Elves_DreadlordFemale	wh2_main_vo_actor_Dark_Elves_DreadlordFemale1	wh2_main_vo_actor_Dark_Elves_DreadlordFemale2														0
wh2_main_vo_actor_Dark_Elves_Infantry	wh2_main_vo_actor_Dark_Elves_Inf1	wh2_main_vo_actor_Dark_Elves_Inf2	wh2_main_vo_actor_Dark_Elves_Inf3	wh2_main_vo_actor_Dark_Elves_Inf4												0
wh2_main_vo_actor_Dark_Elves_Malekith	wh2_main_vo_actor_Dark_Elves_Malekith															0
wh2_main_vo_actor_Dark_Elves_Morathi	wh2_main_vo_actor_Dark_Elves_Morathi															0
wh2_main_vo_actor_Dark_Elves_Mounted	wh2_main_vo_actor_Dark_Elves_Mtd1	wh2_main_vo_actor_Dark_Elves_Mtd2	wh2_main_vo_actor_Dark_Elves_Mtd3	wh2_main_vo_actor_Dark_Elves_Mtd4												0
wh2_main_vo_actor_Dark_Elves_Sisters_of_Slaughter	wh2_main_vo_actor_Dark_Elves_Sisters_of_Slaughter1	wh2_main_vo_actor_Dark_Elves_Sisters_of_Slaughter2	wh2_main_vo_actor_Dark_Elves_Sisters_of_Slaughter3													0
wh2_main_vo_actor_Dark_Elves_Sorceress	wh2_main_vo_actor_Dark_Elves_Sorceress1	wh2_main_vo_actor_Dark_Elves_Sorceress2														0
wh2_main_vo_actor_Dark_Elves_Witch_Elves_Inf	wh2_main_vo_actor_Dark_Elves_Witch_Elves_Inf1	wh2_main_vo_actor_Dark_Elves_Witch_Elves_Inf2	wh2_main_vo_actor_Dark_Elves_Witch_Elves_Inf3													0
wh2_main_vo_actor_High_Elves_Infantry	wh2_main_vo_actor_High_Elves_Inf1	wh2_main_vo_actor_High_Elves_Inf2	wh2_main_vo_actor_High_Elves_Inf3	wh2_main_vo_actor_High_Elves_Inf4												0
wh2_main_vo_actor_High_Elves_Loremasters_of_Hoeth	wh2_main_vo_actor_High_Elves_Loremasters_of_Hoeth1	wh2_main_vo_actor_High_Elves_Loremasters_of_Hoeth2														0
wh2_main_vo_actor_High_Elves_Mage	wh2_main_vo_actor_High_Elves_Mage1	wh2_main_vo_actor_High_Elves_Mage2														0
wh2_main_vo_actor_High_Elves_Mounted	wh2_main_vo_actor_High_Elves_Mtd1	wh2_main_vo_actor_High_Elves_Mtd2	wh2_main_vo_actor_High_Elves_Mtd3	wh2_main_vo_actor_High_Elves_Mtd4												0
wh2_main_vo_actor_High_Elves_Noble	wh2_main_vo_actor_High_Elves_Noble1	wh2_main_vo_actor_High_Elves_Noble2														0
wh2_main_vo_actor_High_Elves_Prince	wh2_main_vo_actor_High_Elves_Prince1	wh2_main_vo_actor_High_Elves_Prince2														0
wh2_main_vo_actor_High_Elves_Princess	wh2_main_vo_actor_High_Elves_Princess1	wh2_main_vo_actor_High_Elves_Princess2														0
wh2_main_vo_actor_High_Elves_Teclis	wh2_main_vo_actor_High_Elves_Teclis															0
wh2_main_vo_actor_High_Elves_Tyrion	wh2_main_vo_actor_High_Elves_Tyrion															0
wh2_main_vo_actor_Lizardmen_Chamelion_Skink_Chief	wh2_main_vo_actor_Lizardmen_Chamelion_Skink_Chief1	wh2_main_vo_actor_Lizardmen_Chamelion_Skink_Chief2														0
wh2_main_vo_actor_Lizardmen_Kroq_Gar_Saurus	wh2_main_vo_actor_Lizardmen_Kroq_Gar_Saurus															0
wh2_main_vo_actor_Lizardmen_Lord_Mazdamundi	wh2_main_vo_actor_Lizardmen_Lord_Mazdamundi															0
wh2_main_vo_actor_Lizardmen_Saurus_Old_Blood_Lord	wh2_main_vo_actor_Lizardmen_Saurus_Old_Blood_Lord1	wh2_main_vo_actor_Lizardmen_Saurus_Old_Blood_Lord2														0
wh2_main_vo_actor_Lizardmen_Saurus_Scar_Veteran	wh2_main_vo_actor_Lizardmen_Saurus_Scar_Veteran1	wh2_main_vo_actor_Lizardmen_Saurus_Scar_Veteran2														0
wh2_main_vo_actor_Lizardmen_Saurus_Unit	wh2_main_vo_actor_Lizardmen_Saurus_Unit1	wh2_main_vo_actor_Lizardmen_Saurus_Unit2	wh2_main_vo_actor_Lizardmen_Saurus_Unit3	wh2_main_vo_actor_Lizardmen_Saurus_Unit4	wh2_main_vo_actor_Lizardmen_Saurus_Unit5	wh2_main_vo_actor_Lizardmen_Saurus_Unit6										0
wh2_main_vo_actor_Lizardmen_Skink_Priest	wh2_main_vo_actor_Lizardmen_Skink_Priest1	wh2_main_vo_actor_Lizardmen_Skink_Priest2														0
wh2_main_vo_actor_Lizardmen_Skink_Unit	wh2_main_vo_actor_Lizardmen_Skink_Unit1	wh2_main_vo_actor_Lizardmen_Skink_Unit2	wh2_main_vo_actor_Lizardmen_Skink_Unit3	wh2_main_vo_actor_Lizardmen_Skink_Unit4	wh2_main_vo_actor_Lizardmen_Skink_Unit5	wh2_main_vo_actor_Lizardmen_Skink_Unit6										0
wh2_main_vo_actor_Lizardmen_Slann_Mage_Priest	wh2_main_vo_actor_Lizardmen_Slann_Mage_Priest1	wh2_main_vo_actor_Lizardmen_Slann_Mage_Priest2														0
wh2_main_vo_actor_Skaven_Assassin	wh2_main_vo_actor_Skaven_Assassin1	wh2_main_vo_actor_Skaven_Assassin2														0
wh2_main_vo_actor_Skaven_Grey_Seer	wh2_main_vo_actor_Skaven_Grey_Seer1	wh2_main_vo_actor_Skaven_Grey_Seer2														0
wh2_main_vo_actor_Skaven_Lord_Skrolk	wh2_main_vo_actor_Skaven_Lord_Skrolk															0
wh2_main_vo_actor_Skaven_Plague_Monk	wh2_main_vo_actor_Skaven_Plague_Monk1	wh2_main_vo_actor_Skaven_Plague_Monk2	wh2_main_vo_actor_Skaven_Plague_Monk3													0
wh2_main_vo_actor_Skaven_Plague_Priest	wh2_main_vo_actor_Skaven_Plague_Priest1	wh2_main_vo_actor_Skaven_Plague_Priest2														0
wh2_main_vo_actor_Skaven_Queek_Headtaker	wh2_main_vo_actor_Skaven_Queek_Headtaker															0
wh2_main_vo_actor_Skaven_Unit	wh2_main_vo_actor_Skaven_Unit1	wh2_main_vo_actor_Skaven_Unit2	wh2_main_vo_actor_Skaven_Unit3	wh2_main_vo_actor_Skaven_Unit4	wh2_main_vo_actor_Skaven_Unit5											0
wh2_main_vo_actor_Skaven_Warlock_Engineer	wh2_main_vo_actor_Skaven_Warlock_Engineer1	wh2_main_vo_actor_Skaven_Warlock_Engineer2														0
wh2_main_vo_actor_Skaven_Warlord	wh2_main_vo_actor_Skaven_Warlord1	wh2_main_vo_actor_Skaven_Warlord2														0
wh_dlc01_vo_actor_Chaos_ArchaonTheEverchosen	wh_dlc01_vo_actor_Chaos_ArchaonTheEverchosen															0
wh_dlc01_vo_actor_Chaos_KholekSuneater	wh_dlc01_vo_actor_Chaos_KholekSuneater															0
wh_dlc01_vo_actor_Chaos_SigvaldTheMagnificent	wh_dlc01_vo_actor_Chaos_SigvaldTheMagnificent															0
wh_dlc01_vo_actor_Chaos_SorcererLord	wh_dlc01_vo_actor_Chaos_SorcererLord2	wh_dlc01_vo_actor_Chaos_SorcererLord1														0
wh_dlc02_vo_actor_Vampire_BloodKnight	wh_dlc02_vo_actor_Vampire_BloodKnight1	wh_dlc02_vo_actor_Vampire_BloodKnight2	wh_dlc02_vo_actor_Vampire_BloodKnight3													0
wh_dlc03_vo_actor_Beastlord	wh_dlc03_vo_actor_Beastmen_Beastlord1	wh_dlc03_vo_actor_Beastmen_Beastlord2														0
wh_dlc03_vo_actor_Beastmen_Bray_Shaman	wh_dlc03_vo_actor_Beastmen_Bray_Shaman2	wh_dlc03_vo_actor_Beastmen_Bray_Shaman1														0
wh_dlc03_vo_actor_Beastmen_Gor	wh_dlc03_vo_actor_Beastmen_Gor1	wh_dlc03_vo_actor_Beastmen_Gor2	wh_dlc03_vo_actor_Beastmen_Gor3	wh_dlc03_vo_actor_Beastmen_Gor4	wh_dlc03_vo_actor_Beastmen_Gor5	wh_dlc03_vo_actor_Beastmen_Gor6	wh_dlc03_vo_actor_Beastmen_Gor7	wh_dlc03_vo_actor_Beastmen_Gor8	wh_dlc03_vo_actor_Beastmen_Gor9							0
wh_dlc03_vo_actor_Beastmen_Gorebull	wh_dlc03_vo_actor_Beastmen_Gorebull1	wh_dlc03_vo_actor_Beastmen_Gorebull2														0
wh_dlc03_vo_actor_Beastmen_Khazrak_One_Eye	wh_dlc03_vo_actor_Beastmen_Khazrak_One_Eye															0
wh_dlc03_vo_actor_Beastmen_Malagor_the_Dark_Omen	wh_dlc03_vo_actor_Beastmen_Malagor_the_Dark_Omen															0
wh_dlc03_vo_actor_Beastmen_Ungor	wh_dlc03_vo_actor_Beastmen_Ungor1	wh_dlc03_vo_actor_Beastmen_Ungor2	wh_dlc03_vo_actor_Beastmen_Ungor3	wh_dlc03_vo_actor_Beastmen_Ungor4	wh_dlc03_vo_actor_Beastmen_Ungor5											0
wh_dlc03_vo_actor_Bretonnian_Damsel	wh_main_vo_actor_Bretonnian_Damsel1	wh_main_vo_actor_Bretonnian_Damsel2														0
wh_dlc03_vo_actor_Empire_Boris_Todbringer	wh_dlc03_vo_actor_Empire_Boris_Todbringer															0
wh_dlc04_vo_actor_Empire_Arch_Lector	wh_dlc04_vo_actor_Empire_Arch_Lector1	wh_dlc04_vo_actor_Empire_Arch_Lector2														0
wh_dlc04_vo_actor_Empire_Inf	wh_dlc04_vo_actor_Empire_Inf1	wh_dlc04_vo_actor_Empire_Inf2	wh_dlc04_vo_actor_Empire_Inf3	wh_dlc04_vo_actor_Empire_Inf4												0
wh_dlc04_vo_actor_Empire_Volkmar_The_Grim	wh_dlc04_vo_actor_Empire_Volkmar_The_Grim															0
wh_dlc04_vo_actor_Vampire_dlc04_Helman_Ghorst	wh_dlc04_vo_actor_Vampire_Helman_Ghorst															0
wh_dlc04_vo_actor_Vampire_dlc04_Strigoi_Ghoul_King	wh_dlc04_vo_actor_Vampire_Strigoi_Ghoul_King1	wh_dlc04_vo_actor_Vampire_Strigoi_Ghoul_King2														0
wh_dlc04_vo_actor_Vampire_dlc04_Vlad_Von_Carstein	wh_dlc04_vo_actor_Vampire_Vlad_Von_Carstein															0
wh_dlc05_vo_actor_Beastmen_Morghur	wh_dlc05_vo_actor_Beastmen_Morghur															0
wh_dlc05_vo_actor_Empire_GreyWizard	wh_dlc05_vo_actor_Empire_GreyWizard															0
wh_dlc05_vo_actor_Empire_JadeWizard	wh_dlc05_vo_actor_Empire_JadeWizard															0
wh_dlc05_vo_actor_Wood_Elves_Branchwraith	wh_dlc05_vo_actor_Wood_Elves_Branchwraith															0
wh_dlc05_vo_actor_Wood_Elves_Durthu	wh_dlc05_vo_actor_Wood_Elves_Durthu															0
wh_dlc05_vo_actor_Wood_Elves_Female_Glade_Lord	wh_dlc05_vo_actor_Wood_Elves_Female_Glade_Lord1	wh_dlc05_vo_actor_Wood_Elves_Female_Glade_Lord2														0
wh_dlc05_vo_actor_Wood_Elves_Female_Units	wh_dlc05_vo_actor_Wood_Elves_Female_Unit1	wh_dlc05_vo_actor_Wood_Elves_Female_Unit2														0
wh_dlc05_vo_actor_Wood_Elves_Male_Glade_Lord	wh_dlc05_vo_actor_Wood_Elves_Glade_Lord1	wh_dlc05_vo_actor_Wood_Elves_Glade_Lord2														0
wh_dlc05_vo_actor_Wood_Elves_Male_Infantry	wh_dlc05_vo_actor_Wood_Elves_Male_Inf1	wh_dlc05_vo_actor_Wood_Elves_Male_Inf2	wh_dlc05_vo_actor_Wood_Elves_Male_Inf3	wh_dlc05_vo_actor_Wood_Elves_Male_Inf4												0
wh_dlc05_vo_actor_Wood_Elves_Male_Mounted	wh_dlc05_vo_actor_Wood_Elves_Male_Mtd1	wh_dlc05_vo_actor_Wood_Elves_Male_Mtd2														0
wh_dlc05_vo_actor_Wood_Elves_Orion	wh_dlc05_vo_actor_Wood_Elves_Orion															0
wh_dlc05_vo_actor_Wood_Elves_Spellsinger	wh_dlc05_vo_actor_Wood_Elves_Spellsinger1	wh_dlc05_vo_actor_Wood_Elves_Spellsinger2														0
wh_dlc05_vo_actor_Wood_Elves_Tree_Ancient	wh_dlc05_vo_actor_Wood_Elves_Tree_Ancient1	wh_dlc05_vo_actor_Wood_Elves_Tree_Ancient2														0
wh_dlc05_vo_actor_Wood_Elves_Wardancer	wh_dlc05_vo_actor_Wood_Elves_Wardancer1	wh_dlc05_vo_actor_Wood_Elves_Wardancer2														0
wh_dlc05_vo_actor_Wood_Elves_Waystalker	wh_dlc05_vo_actor_Wood_Elves_Waystalker1	wh_dlc05_vo_actor_Wood_Elves_Waystalker2														0
wh_dlc05_vo_actor_Wood_Elves_Wildrider	wh_dlc05_vo_actor_Wood_Elves_Wildrider1	wh_dlc05_vo_actor_Wood_Elves_Wildrider2														0
wh_dlc05_vo_actor_brt_cha_armand_aquitaine	wh_main_vo_actor_Bretonnian_Lord1															0
wh_dlc05_vo_actor_dwf_cha_darthon_ironbeard	wh_main_vo_actor_Dwarf_Lord1															0
wh_dlc05_vo_actor_grn_cha_snorko_one_finger	wh_main_vo_actor_Orc_Warboss2															0
wh_dlc05_vo_actor_vmp_cha_red_duke	wh_main_vo_actor_Vampire_Lord1															0
wh_dlc06_vo_actor_Dwarf_Belegar_Ironhammer	wh_dlc06_vo_actor_Dwarf_Belegar_Ironhammer															0
wh_dlc06_vo_actor_Dwarf_MasterEngineer1Ghost	wh_dlc06_vo_actor_Dwarf_MasterEngineer1Ghost															0
wh_dlc06_vo_actor_Dwarf_RuneSmith2Ghost	wh_dlc06_vo_actor_Dwarf_RuneSmith2Ghost															0
wh_dlc06_vo_actor_Dwarf_Rune_Lord	wh_dlc06_vo_actor_Dwarf_Rune_Lord1	wh_dlc06_vo_actor_Dwarf_Rune_Lord2														0
wh_dlc06_vo_actor_Dwarf_Thane1Ghost	wh_dlc06_vo_actor_Dwarf_Thane1Ghost															0
wh_dlc06_vo_actor_Goblin_Night_Goblin_Warboss	wh_dlc06_vo_actor_Goblin_Night_Goblin_Warboss1	wh_dlc06_vo_actor_Goblin_Night_Goblin_Warboss2														0
wh_dlc06_vo_actor_Goblin_Skarsnik	wh_dlc06_vo_actor_Goblin_Skarsnik															0
wh_dlc06_vo_actor_Orc_Wurrzag	wh_dlc06_vo_actor_Orc_Wurrzag															0
wh_dlc07_vo_actor_Bretonnian_Alberic	wh_main_vo_actor_Bretonnian_Lord2															0
wh_dlc07_vo_actor_Bretonnian_Fay_Enchantress	wh_dlc07_vo_actor_Bretonnian_Fay_Enchantress															0
wh_dlc07_vo_actor_Bretonnian_Green_Knight	wh_dlc07_vo_actor_Bretonnian_Green_Knight															0
wh_dlc07_vo_actor_Bretonnian_Prophetess	wh_dlc07_vo_actor_Bretonnian_Prophetess1	wh_dlc07_vo_actor_Bretonnian_Prophetess2														0
wh_dlc08_vo_actor_Norsca_Fimir_Balefiend	wh_dlc08_vo_actor_Norsca_Fimir_Balefiend1	wh_dlc08_vo_actor_Norsca_Fimir_Balefiend2														0
wh_dlc08_vo_actor_Norsca_Marauder_Chieftan	wh_dlc08_vo_actor_Norsca_Marauder_Chieftan1	wh_dlc08_vo_actor_Norsca_Marauder_Chieftan2														0
wh_dlc08_vo_actor_Norsca_Shaman_Sorcerer	wh_dlc08_vo_actor_Norsca_Shaman_Sorcerer1	wh_dlc08_vo_actor_Norsca_Shaman_Sorcerer2														0
wh_dlc08_vo_actor_Norsca_Skin_Wolf_Werekin	wh_dlc08_vo_actor_Norsca_Skin_Wolf_Werekin															0
wh_dlc08_vo_actor_Norsca_Throgg	wh_dlc08_vo_actor_Norsca_Throgg															0
wh_dlc08_vo_actor_Norsca_Wulfrik	wh_dlc08_vo_actor_Norsca_Wulfrik															0
wh_main_vo_actor_Bretonnian_Infantry	wh_main_vo_actor_Bretonnian_Inf1	wh_main_vo_actor_Bretonnian_Inf2	wh_main_vo_actor_Bretonnian_Inf3	wh_main_vo_actor_Bretonnian_Inf4	wh_main_vo_actor_Bretonnian_Inf5											0
wh_main_vo_actor_Bretonnian_King_Louen	wh_main_vo_actor_Bretonnian_King_Louen															0
wh_main_vo_actor_Bretonnian_Knight	wh_main_vo_actor_Bretonnian_Knight1	wh_main_vo_actor_Bretonnian_Knight2	wh_main_vo_actor_Bretonnian_Knight3	wh_main_vo_actor_Bretonnian_Knight4												0
wh_main_vo_actor_Bretonnian_Lord	wh_main_vo_actor_Bretonnian_Lord1	wh_main_vo_actor_Bretonnian_Lord2														0
wh_main_vo_actor_Bretonnian_Mounted	wh_main_vo_actor_Bretonnian_Mtd1	wh_main_vo_actor_Bretonnian_Mtd2	wh_main_vo_actor_Bretonnian_Mtd3	wh_main_vo_actor_Bretonnian_Mtd4	wh_main_vo_actor_Bretonnian_Mtd5											0
wh_main_vo_actor_Bretonnian_Paladin	wh_main_vo_actor_Bretonnian_Paladin1	wh_main_vo_actor_Bretonnian_Paladin2														0
wh_main_vo_actor_Chaos_ExhaltedHero	wh_main_vo_actor_Chaos_ExhaltedHero1	wh_main_vo_actor_Chaos_ExhaltedHero2														0
wh_main_vo_actor_Chaos_Hellcannon	wh_main_vo_actor_Chaos_Hellcannon															0
wh_main_vo_actor_Chaos_Infantry	wh_main_vo_actor_Chaos_Inf1	wh_main_vo_actor_Chaos_Inf2	wh_main_vo_actor_Chaos_Inf4	wh_main_vo_actor_Chaos_Inf5	wh_main_vo_actor_Chaos_Inf7	wh_main_vo_actor_Chaos_Inf8	wh_main_vo_actor_Chaos_Inf9	wh_main_vo_actor_Chaos_Inf10								0
wh_main_vo_actor_Chaos_Lord	wh_main_vo_actor_Chaos_Lord2	wh_main_vo_actor_Chaos_Lord1														0
wh_main_vo_actor_Chaos_LordOfChange	wh_main_vo_actor_Chaos_LordOfChange															0
wh_main_vo_actor_Chaos_Marauder	wh_main_vo_actor_Chaos_Marauder1	wh_main_vo_actor_Chaos_Marauder2	wh_main_vo_actor_Chaos_Marauder3	wh_main_vo_actor_Chaos_Marauder4	wh_main_vo_actor_Chaos_Marauder5	wh_main_vo_actor_Chaos_Marauder6	wh_main_vo_actor_Chaos_Marauder7									0
wh_main_vo_actor_Chaos_MarauderChieftain	wh_main_vo_actor_Chaos_MarauderChieftain															0
wh_main_vo_actor_Chaos_Marauder_Javelin	wh_main_vo_actor_Chaos_Marauder1_Javelin	wh_main_vo_actor_Chaos_Marauder2_Javelin	wh_main_vo_actor_Chaos_Marauder3_Javelin	wh_main_vo_actor_Chaos_Marauder4_Javelin	wh_main_vo_actor_Chaos_Marauder5_Javelin	wh_main_vo_actor_Chaos_Marauder6_Javelin	wh_main_vo_actor_Chaos_Marauder7_Javelin									0
wh_main_vo_actor_Chaos_Sorcerer	wh_main_vo_actor_Chaos_Sorcerer1	wh_main_vo_actor_Chaos_Sorcerer2														0
wh_main_vo_actor_Dwarf_Infantry	wh_main_vo_actor_Dwarf_Inf1	wh_main_vo_actor_Dwarf_Inf2	wh_main_vo_actor_Dwarf_Inf3	wh_main_vo_actor_Dwarf_Inf4	wh_main_vo_actor_Dwarf_Inf5	wh_main_vo_actor_Dwarf_Inf6	wh_main_vo_actor_Dwarf_Inf7	wh_main_vo_actor_Dwarf_Inf8								0
wh_main_vo_actor_Dwarf_Lord	wh_main_vo_actor_Dwarf_Lord1	wh_main_vo_actor_Dwarf_Lord2														0
wh_main_vo_actor_Dwarf_MasterEngineer	wh_main_vo_actor_Dwarf_MasterEngineer1	wh_main_vo_actor_Dwarf_MasterEngineer2														0
wh_main_vo_actor_Dwarf_RuneSmith	wh_main_vo_actor_Dwarf_RuneSmith2	wh_main_vo_actor_Dwarf_RuneSmith1														0
wh_main_vo_actor_Dwarf_Thane	wh_main_vo_actor_Dwarf_Thane2	wh_main_vo_actor_Dwarf_Thane1														0
wh_main_vo_actor_Dwarf_ThorGrimGrudgebearer	wh_main_vo_actor_Dwarf_ThorGrimGrudgebearer															0
wh_main_vo_actor_Dwarf_UngrimIronfist	wh_main_vo_actor_Dwarf_UngrimIronfist															0
wh_main_vo_actor_Dwarf_Unique	wh_main_vo_actor_DwfUnq1	wh_main_vo_actor_DwfUnq2	wh_main_vo_actor_DwfUnq3	wh_main_vo_actor_DwfUnq4												0
wh_main_vo_actor_Empire_BalthasarGelt	wh_main_vo_actor_Empire_BalthasarGelt															0
wh_main_vo_actor_Empire_BrightWizard	wh_main_vo_actor_Empire_BrightWizard2	wh_main_vo_actor_Empire_BrightWizard1														0
wh_main_vo_actor_Empire_Captain	wh_main_vo_actor_Empire_Captain2	wh_main_vo_actor_Empire_Captain1														0
wh_main_vo_actor_Empire_CelestialWizard	wh_main_vo_actor_Empire_CelestialWizard1	wh_main_vo_actor_Empire_CelestialWizard2														0
