ritual_payloads_tables	1
wh2_dlc09_ritual_crafting_tmb_nehekhara_warriors	false
wh2_dlc09_ritual_crafting_tmb_talisman_amulet_of_pha_stah	false
wh2_dlc09_ritual_crafting_tmb_talisman_collar_of_shakkara	false
wh2_dlc09_ritual_crafting_tmb_talisman_dawnstone	false
wh2_dlc09_ritual_crafting_tmb_talisman_golden_ankhra	false
wh2_dlc09_ritual_crafting_tmb_talisman_golden_eye_of_rah_nutt	false
wh2_dlc09_ritual_crafting_tmb_talisman_obsidian_lodestone	false
wh2_dlc09_ritual_crafting_tmb_weapon_blade_of_antarhak	false
wh2_dlc09_ritual_crafting_tmb_weapon_blade_of_mourning_fire	false
wh2_dlc09_ritual_crafting_tmb_weapon_blade_of_setep	false
wh2_dlc09_ritual_crafting_tmb_weapon_crook_and_flail_of_radiance	false
wh2_dlc09_ritual_crafting_tmb_weapon_destroyer_of_eternities	false
wh2_dlc09_ritual_crafting_tmb_weapon_double_crescent_of_neru	false
wh2_dlc09_ritual_crafting_tmb_weapon_enchanted_lapis_mace	false
wh2_dlc09_ritual_crafting_tmb_weapon_fang_of_quaph	false
wh2_dlc09_ritual_crafting_tmb_weapon_golden_dagger	false
wh2_dlc09_ritual_crafting_tmb_weapon_inscribed_khopesh	false
wh2_dlc09_ritual_crafting_tmb_weapon_spear_of_pakth	false
wh2_dlc09_ritual_skv_thirteen_rictus	false
wh2_dlc09_ritual_tmb_geheb	false
wh2_dlc09_ritual_tmb_khsar	false
wh2_dlc09_ritual_tmb_ptra	false
wh2_dlc09_ritual_tmb_tahoth	false
wh2_dlc10_dwf_ritual_armour_alriks_armour	false
wh2_dlc10_dwf_ritual_armour_chainmail_of_speed	false
wh2_dlc10_dwf_ritual_armour_forgeproven_gromril_armour	false
wh2_dlc10_dwf_ritual_armour_guardians_plate	false
wh2_dlc10_dwf_ritual_armour_heavy_gromril_armour	false
wh2_dlc10_dwf_ritual_armour_helm_of_courage	false
wh2_dlc10_dwf_ritual_armour_helm_of_resistance	false
wh2_dlc10_dwf_ritual_armour_helm_of_sanctuary	false
wh2_dlc10_dwf_ritual_armour_mail_of_concealment	false
wh2_dlc10_dwf_ritual_armour_shield_of_preservation	false
wh2_dlc10_dwf_ritual_armour_shield_of_warding	false
wh2_dlc10_dwf_ritual_armour_starmetal_plate	false
wh2_dlc10_dwf_ritual_armour_wailing_mail	false
wh2_dlc10_dwf_ritual_banner_fdb	false
wh2_dlc10_dwf_ritual_banner_legendary_1	false
wh2_dlc10_dwf_ritual_enchanted_item_belt_of_fortitude	false
wh2_dlc10_dwf_ritual_enchanted_item_belt_of_survival	false
wh2_dlc10_dwf_ritual_enchanted_item_boots_of_swiftness	false
wh2_dlc10_dwf_ritual_enchanted_item_bracers_of_evasion	false
wh2_dlc10_dwf_ritual_enchanted_item_bracers_of_preservation	false
wh2_dlc10_dwf_ritual_enchanted_item_crown_of_courage	false
wh2_dlc10_dwf_ritual_enchanted_item_drinking_horn	false
wh2_dlc10_dwf_ritual_enchanted_item_everlasting_pint	false
wh2_dlc10_dwf_ritual_enchanted_item_gauntlets_of_urgency	false
wh2_dlc10_dwf_ritual_enchanted_item_horn_of_the_ancestors	false
wh2_dlc10_dwf_ritual_enchanted_item_rangers_brooch	false
wh2_dlc10_dwf_ritual_enchanted_item_sceptre_of_stone	false
wh2_dlc10_dwf_ritual_enchanted_item_spotters_spyglass	false
wh2_dlc10_dwf_ritual_talisman_amulet_of_stone	false
wh2_dlc10_dwf_ritual_talisman_amulet_of_wrath	false
wh2_dlc10_dwf_ritual_talisman_cloak_of_spellbreaking	false
wh2_dlc10_dwf_ritual_talisman_forgemasters_ring	false
wh2_dlc10_dwf_ritual_talisman_miners_charm	false
wh2_dlc10_dwf_ritual_talisman_ratcleaver_amulet	false
wh2_dlc10_dwf_ritual_talisman_ring_of_ancestral_wisdom	false
wh2_dlc10_dwf_ritual_talisman_ring_of_grimnir	false
wh2_dlc10_dwf_ritual_talisman_ring_of_protection	false
wh2_dlc10_dwf_ritual_talisman_ring_of_spite	false
wh2_dlc10_dwf_ritual_talisman_talisman_of_luck	false
wh2_dlc10_dwf_ritual_talisman_the_ankor_chain	false
wh2_dlc10_dwf_ritual_talisman_wardstone	false
wh2_dlc10_dwf_ritual_weapon_axe_of_frostfall	false
wh2_dlc10_dwf_ritual_weapon_axe_of_fury	false
wh2_dlc10_dwf_ritual_weapon_black_axe_of_cleaving	false
wh2_dlc10_dwf_ritual_weapon_elfbane	false
wh2_dlc10_dwf_ritual_weapon_grim_resolve	false
wh2_dlc10_dwf_ritual_weapon_hammer_of_eight_peaks	false
wh2_dlc10_dwf_ritual_weapon_hammer_of_might	false
wh2_dlc10_dwf_ritual_weapon_hammer_of_parrying	false
wh2_dlc10_dwf_ritual_weapon_oathhammer	false
wh2_dlc10_dwf_ritual_weapon_pickaxe_of_breaking	false
wh2_dlc10_dwf_ritual_weapon_slayers_axe	false
wh2_dlc10_dwf_ritual_weapon_starbreaker	false
wh2_dlc10_dwf_ritual_weapon_trollslayer_axe	false
wh2_dlc10_ritual_def_drakira	false
wh2_dlc10_ritual_hef_lileath	false
wh2_dlc10_ritual_hef_morai_heg	false
wh2_dlc11_ritual_cst_bountiful_treasure	false
wh2_dlc11_ritual_cst_eternal_service	false
wh2_dlc11_ritual_cst_queens_cannon	false
wh2_dlc11_ritual_cst_sea_mist	false
wh2_dlc11_ritual_def_anath_raema	false
wh2_dlc11_vmp_ritual_bloodline_awaken_blood_dragon_01	false
wh2_dlc11_vmp_ritual_bloodline_awaken_blood_dragon_02	false
wh2_dlc11_vmp_ritual_bloodline_awaken_blood_dragon_03	false
wh2_dlc11_vmp_ritual_bloodline_awaken_lahmian_01	false
wh2_dlc11_vmp_ritual_bloodline_awaken_lahmian_02	false
wh2_dlc11_vmp_ritual_bloodline_awaken_lahmian_03	false
wh2_dlc11_vmp_ritual_bloodline_awaken_necrarch_01	false
wh2_dlc11_vmp_ritual_bloodline_awaken_necrarch_02	false
wh2_dlc11_vmp_ritual_bloodline_awaken_necrarch_03	false
wh2_dlc11_vmp_ritual_bloodline_awaken_strigoi_01	false
wh2_dlc11_vmp_ritual_bloodline_awaken_strigoi_02	false
wh2_dlc11_vmp_ritual_bloodline_awaken_strigoi_03	false
wh2_dlc11_vmp_ritual_bloodline_awaken_von_carstein_01	false
wh2_dlc11_vmp_ritual_bloodline_awaken_von_carstein_02	false
wh2_dlc11_vmp_ritual_bloodline_awaken_von_carstein_03	false
wh2_dlc12_ikit_nuke_rite	false
wh2_dlc12_ikit_workshop_doomflayer_part_0	false
wh2_dlc12_ikit_workshop_doomflayer_part_1	false
wh2_dlc12_ikit_workshop_doomflayer_part_2	false
wh2_dlc12_ikit_workshop_doomflayer_part_3	false
wh2_dlc12_ikit_workshop_doomflayer_part_4	false
wh2_dlc12_ikit_workshop_doomflayer_part_5	false
wh2_dlc12_ikit_workshop_doomflayer_part_6	false
wh2_dlc12_ikit_workshop_doomflayer_part_7	false
wh2_dlc12_ikit_workshop_doomflayer_part_8	false
wh2_dlc12_ikit_workshop_doomflayer_part_9	false
wh2_dlc12_ikit_workshop_doomflayer_ror_unit_0	false
wh2_dlc12_ikit_workshop_doomwheel_part_0	false
wh2_dlc12_ikit_workshop_doomwheel_part_1	false
wh2_dlc12_ikit_workshop_doomwheel_part_2	false
wh2_dlc12_ikit_workshop_doomwheel_part_3	false
wh2_dlc12_ikit_workshop_doomwheel_part_4	false
wh2_dlc12_ikit_workshop_doomwheel_part_5	false
wh2_dlc12_ikit_workshop_doomwheel_part_6	false
wh2_dlc12_ikit_workshop_doomwheel_part_7	false
wh2_dlc12_ikit_workshop_doomwheel_part_8	false
wh2_dlc12_ikit_workshop_doomwheel_part_9	false
wh2_dlc12_ikit_workshop_doomwheel_ror_unit_0	false
wh2_dlc12_ikit_workshop_gatling_part_0	false
wh2_dlc12_ikit_workshop_gatling_part_1	false
wh2_dlc12_ikit_workshop_gatling_part_2	false
wh2_dlc12_ikit_workshop_gatling_ror_unit_0	false
wh2_dlc12_ikit_workshop_jezail_part_0	false
wh2_dlc12_ikit_workshop_jezail_part_1	false
wh2_dlc12_ikit_workshop_jezail_part_2	false
wh2_dlc12_ikit_workshop_jezail_ror_unit_0	false
wh2_dlc12_ikit_workshop_nuke_part_0	false
wh2_dlc12_ikit_workshop_nuke_part_1	false
wh2_dlc12_ikit_workshop_nuke_part_2	false
wh2_dlc12_ikit_workshop_nuke_part_3	false
wh2_dlc12_ikit_workshop_nuke_part_4	false
wh2_dlc12_ikit_workshop_nuke_part_5	false
wh2_dlc12_ikit_workshop_warpfire_part_0	false
wh2_dlc12_ikit_workshop_warpfire_part_1	false
wh2_dlc12_ikit_workshop_warpfire_part_2	false
wh2_dlc12_ikit_workshop_warpfire_ror_unit_0	false
wh2_dlc12_lzd_tiktaqto_ritual_persistence	false
wh2_dlc12_tehenhauin_sacrifice_tier1_banner	false
wh2_dlc12_tehenhauin_sacrifice_tier1_follower	false
wh2_dlc12_tehenhauin_sacrifice_tier1_jungle_swarm	false
wh2_dlc12_tehenhauin_sacrifice_tier1_replenishment	false
wh2_dlc12_tehenhauin_sacrifice_tier1_ror_cohort_of_sotek	false
wh2_dlc12_tehenhauin_sacrifice_tier1_ror_legion_of_chaqua	false
wh2_dlc12_tehenhauin_sacrifice_tier2_banner	false
wh2_dlc12_tehenhauin_sacrifice_tier2_follower	false
wh2_dlc12_tehenhauin_sacrifice_tier2_recruitment	false
wh2_dlc12_tehenhauin_sacrifice_tier2_ror_colossadon_hunters	false
wh2_dlc12_tehenhauin_sacrifice_tier2_ror_pok_hopak_cohort	false
wh2_dlc12_tehenhauin_sacrifice_tier3_banner	false
wh2_dlc12_tehenhauin_sacrifice_tier3_follower	false
wh2_dlc12_tehenhauin_sacrifice_tier3_ror_pahuax_sentinels	false
wh2_dlc12_tehenhauin_sacrifice_tier3_ror_the_umbral_tide	false
wh2_dlc12_tehenhauin_sacrifice_tier4_banner	false
wh2_dlc12_tehenhauin_sacrifice_tier4_ror_star_chamber_guardians	false
wh2_dlc12_tehenhauin_sacrifice_tier4_ror_the_thunderous_one	false
wh2_dlc12_tehenhauin_sacrifice_tier5_follower	false
wh2_dlc12_tehenhauin_sacrifice_tier5_legendary_red_crested_skink_lord	false
wh2_dlc12_tehenhauin_sacrifice_tier6_sotek	false
wh2_main_ritual_def_atharti	false
wh2_main_ritual_def_hekarti	false
wh2_main_ritual_def_khaine	false
wh2_main_ritual_def_mathlann	false
wh2_main_ritual_hef_asuryan	false
wh2_main_ritual_hef_hoeth	false
wh2_main_ritual_hef_isha	false
wh2_main_ritual_hef_vaul	false
wh2_main_ritual_intervention_1_def	false
wh2_main_ritual_intervention_1_hef	false
wh2_main_ritual_intervention_1_lzd	false
wh2_main_ritual_intervention_1_skv	false
wh2_main_ritual_intervention_2_def	false
wh2_main_ritual_intervention_2_hef	false
wh2_main_ritual_intervention_2_lzd	false
wh2_main_ritual_intervention_2_skv	false
wh2_main_ritual_intervention_3_def	false
wh2_main_ritual_intervention_3_hef	false
wh2_main_ritual_intervention_3_lzd	false
wh2_main_ritual_intervention_3_skv	false
wh2_main_ritual_lzd_awakening	false
wh2_main_ritual_lzd_ferocity	false
wh2_main_ritual_lzd_primeval_glory	false
wh2_main_ritual_lzd_sotek	false
wh2_main_ritual_skv_ascendancy	false
wh2_main_ritual_skv_doooom	false
wh2_main_ritual_skv_pestilence	false
wh2_main_ritual_skv_thirteen_eshin	false
wh2_main_ritual_skv_thirteen_mors	false
wh2_main_ritual_skv_thirteen_moulder	false
wh2_main_ritual_skv_thirteen_pestilens	false
wh2_main_ritual_skv_thirteen_skyre	false
wh2_main_ritual_vortex_1_def	false
wh2_main_ritual_vortex_1_def_start	true
wh2_main_ritual_vortex_1_hef	false
wh2_main_ritual_vortex_1_hef_start	true
wh2_main_ritual_vortex_1_lzd	false
wh2_main_ritual_vortex_1_lzd_start	true
wh2_main_ritual_vortex_1_skv	false
wh2_main_ritual_vortex_1_skv_start	true
wh2_main_ritual_vortex_2_def	false
wh2_main_ritual_vortex_2_def_start	true
wh2_main_ritual_vortex_2_hef	false
wh2_main_ritual_vortex_2_hef_start	true
wh2_main_ritual_vortex_2_lzd	false
wh2_main_ritual_vortex_2_lzd_start	true
wh2_main_ritual_vortex_2_skv	false
wh2_main_ritual_vortex_2_skv_start	true
wh2_main_ritual_vortex_3_def	false
wh2_main_ritual_vortex_3_def_start	true
wh2_main_ritual_vortex_3_hef	false
wh2_main_ritual_vortex_3_hef_start	true
wh2_main_ritual_vortex_3_lzd	false
wh2_main_ritual_vortex_3_lzd_start	true
wh2_main_ritual_vortex_3_skv	false
wh2_main_ritual_vortex_3_skv_start	true
wh2_main_ritual_vortex_4_def	false
wh2_main_ritual_vortex_4_def_start	true
wh2_main_ritual_vortex_4_hef	false
wh2_main_ritual_vortex_4_hef_start	true
wh2_main_ritual_vortex_4_lzd	false
wh2_main_ritual_vortex_4_lzd_start	true
wh2_main_ritual_vortex_4_skv	false
wh2_main_ritual_vortex_4_skv_start	true
wh2_main_ritual_vortex_5_def	false
wh2_main_ritual_vortex_5_def_start	true
wh2_main_ritual_vortex_5_hef	false
wh2_main_ritual_vortex_5_hef_start	true
wh2_main_ritual_vortex_5_lzd	false
wh2_main_ritual_vortex_5_lzd_start	true
wh2_main_ritual_vortex_5_skv	false
wh2_main_ritual_vortex_5_skv_start	true
