technology_node_links_tables	2
child_key	initial_descent_tiers	parent_key	parent_link_position	child_link_position	parent_link_position_offset	child_link_position_offset
tech_def_3_2_0	0	tech_def_3_0_0	2	4	0	0
tech_def_3_3_0	0	tech_def_3_0_0	2	4	0	0
tech_def_3_1_1	0	tech_def_3_1_0	2	4	0	0
tech_def_3_1_2	0	tech_def_3_1_0	2	4	0	0
tech_def_3_1_3	0	tech_def_3_1_0	2	4	0	0
tech_def_3_2_1	0	tech_def_3_2_0	2	4	0	0
tech_def_3_2_2	0	tech_def_3_2_0	2	4	0	0
tech_def_3_2_3	0	tech_def_3_2_0	2	4	0	0
tech_def_3_3_1	0	tech_def_3_3_0	2	4	0	0
tech_def_3_3_2	0	tech_def_3_3_0	2	4	0	0
tech_def_3_3_2_slaanesh	0	tech_def_3_3_0	2	4	0	0
tech_def_3_3_3	0	tech_def_3_3_0	2	4	0	0
tech_dlc03_bst_actions_2	0	tech_dlc03_bst_actions_1	2	4	0	0
tech_dlc03_bst_actions_4	0	tech_dlc03_bst_actions_1	3	4	0.5	0
tech_dlc03_bst_actions_3	0	tech_dlc03_bst_actions_2	2	4	0	0
tech_dlc03_bst_actions_5	0	tech_dlc03_bst_actions_4	2	4	0	0
tech_dlc03_bst_income_2	0	tech_dlc03_bst_income_1	2	4	0	0
tech_dlc03_bst_income_4	0	tech_dlc03_bst_income_1	3	4	0.5	0
tech_dlc03_bst_income_3	0	tech_dlc03_bst_income_2	2	4	0	0
tech_dlc03_bst_income_6	0	tech_dlc03_bst_income_3	2	4	0	0
tech_dlc03_bst_income_5	0	tech_dlc03_bst_income_4	2	4	0	0
tech_dlc03_bst_leadership_2	0	tech_dlc03_bst_leadership_1	2	4	0	0
tech_dlc03_bst_leadership_4	0	tech_dlc03_bst_leadership_1	3	4	0.5	0
tech_dlc03_bst_leadership_3	0	tech_dlc03_bst_leadership_2	2	4	0	0
tech_dlc03_bst_leadership_6	0	tech_dlc03_bst_leadership_3	2	4	0	0
tech_dlc03_bst_leadership_5	0	tech_dlc03_bst_leadership_4	2	4	0	0
tech_dlc03_bst_research_2	0	tech_dlc03_bst_research_1	3	1	0	0
tech_dlc03_bst_research_3	0	tech_dlc03_bst_research_2	3	1	0	0
tech_dlc03_bst_research_4	0	tech_dlc03_bst_research_3	3	1	0	0
tech_dlc03_bst_research_5	0	tech_dlc03_bst_research_4	3	1	0	0
tech_dlc03_bst_stats_2	0	tech_dlc03_bst_stats_1	2	4	0	0
tech_dlc03_bst_stats_4	0	tech_dlc03_bst_stats_1	3	4	0.5	0
tech_dlc03_bst_stats_3	0	tech_dlc03_bst_stats_2	2	4	0	0
tech_dlc03_bst_stats_5	0	tech_dlc03_bst_stats_4	2	4	0	0
tech_dlc07_brt_chivalry_greenskins_2	0	tech_dlc07_brt_chivalry_greenskins_1	3	1	0	0
tech_dlc07_brt_chivalry_norsca_2	0	tech_dlc07_brt_chivalry_norsca_1	3	1	0	0
tech_dlc07_brt_chivalry_chaos_1	0	tech_dlc07_brt_chivalry_norsca_2	3	1	0	0
tech_dlc07_brt_economy_farm_2	0	tech_dlc07_brt_economy_farm_1	2	4	0	0
tech_dlc07_brt_economy_farm_3	0	tech_dlc07_brt_economy_farm_1	3	1	0	0
tech_dlc07_brt_economy_farm_4	0	tech_dlc07_brt_economy_farm_2	3	1	0	0
tech_dlc07_brt_economy_farm_hay	0	tech_dlc07_brt_economy_farm_2	2	4	0	0
tech_dlc07_brt_economy_farm_hoods	0	tech_dlc07_brt_economy_farm_farriers	2	4	0	0
tech_dlc07_brt_economy_industry_mines	0	tech_dlc07_brt_economy_farm_farriers	3	1	0	0
tech_dlc07_brt_economy_farm_farriers	0	tech_dlc07_brt_economy_farm_hay	3	1	0	0
tech_dlc07_brt_economy_industry_2	0	tech_dlc07_brt_economy_industry_1	2	4	0	0
tech_dlc07_brt_economy_industry_3	0	tech_dlc07_brt_economy_industry_1	3	1	0	0
tech_dlc07_brt_economy_industry_4	0	tech_dlc07_brt_economy_industry_2	3	1	0	0
tech_dlc07_brt_economy_industry_pottery	0	tech_dlc07_brt_economy_industry_mines	3	1	0	0
tech_dlc07_brt_economy_industry_steel	0	tech_dlc07_brt_economy_industry_mines	2	4	0	0
tech_dlc07_brt_economy_industry_1	0	tech_dlc07_brt_economy_industry_start	2	4	0	0
tech_dlc07_brt_economy_industry_mines	0	tech_dlc07_brt_economy_industry_start	1	4	0.5	0
tech_dlc07_brt_economy_industry_swords	0	tech_dlc07_brt_economy_industry_steel	3	1	0	0
tech_dlc07_brt_economy_industry_tournaments	0	tech_dlc07_brt_economy_industry_swords	3	1	0	0
tech_dlc07_brt_economy_other_2	0	tech_dlc07_brt_economy_other_1	2	4	0	0
tech_dlc07_brt_economy_other_3	0	tech_dlc07_brt_economy_other_1	1	3	0	0
tech_dlc07_brt_economy_other_4	0	tech_dlc07_brt_economy_other_2	1	3	0	0
tech_dlc07_brt_economy_other_carpenters	0	tech_dlc07_brt_economy_other_2	2	4	0	0
tech_dlc07_brt_economy_other_draft	0	tech_dlc07_brt_economy_other_2	2	4	0	0
tech_dlc07_brt_economy_other_fanaticism	0	tech_dlc07_brt_economy_other_4	2	4	0	0
tech_dlc07_brt_economy_other_fletchers	0	tech_dlc07_brt_economy_other_carpenters	2	4	0	0
tech_dlc07_brt_economy_other_spears	0	tech_dlc07_brt_economy_other_carpenters	2	4	0	0
tech_dlc07_brt_economy_other_tithes	0	tech_dlc07_brt_economy_other_fanaticism	2	4	0	0
tech_dlc07_brt_economy_other_siege	0	tech_dlc07_brt_economy_other_fletchers	3	1	0	0
tech_dlc07_brt_economy_farm_1	0	tech_dlc07_brt_economy_start	3	4	0	0
tech_dlc07_brt_economy_industry_start	0	tech_dlc07_brt_economy_start	3	1	0	0
tech_dlc07_brt_economy_other_1	0	tech_dlc07_brt_economy_start	1	4	0	0
tech_dlc07_brt_economy_trade_1	0	tech_dlc07_brt_economy_start	2	4	0	0
tech_dlc07_brt_economy_trade_2	0	tech_dlc07_brt_economy_trade_1	2	4	0	0
tech_dlc07_brt_heraldry_parravon	0	tech_dlc07_brt_heraldry_artois	3	1	0	0
tech_dlc07_brt_heraldry_bordeleaux_carc	0	tech_dlc07_brt_heraldry_bastonne	3	1	0	0
tech_dlc07_brt_heraldry_carcassonne_bord	0	tech_dlc07_brt_heraldry_bastonne	3	1	0	0
tech_dlc07_brt_heraldry_carcassonne_bret	0	tech_dlc07_brt_heraldry_bastonne	3	1	0	0
tech_dlc07_brt_heraldry_unification	0	tech_dlc07_brt_heraldry_bordeleaux_bret	3	4	0	0
tech_dlc07_brt_heraldry_unification	0	tech_dlc07_brt_heraldry_bordeleaux_carc	3	1	0	0
tech_dlc07_brt_heraldry_unification	0	tech_dlc07_brt_heraldry_bretonnia_bord	3	4	0	0
tech_dlc07_brt_heraldry_unification	0	tech_dlc07_brt_heraldry_bretonnia_carc	3	4	0	0
tech_dlc07_brt_heraldry_unification	0	tech_dlc07_brt_heraldry_carcassonne_bord	3	1	0	0
tech_dlc07_brt_heraldry_unification	0	tech_dlc07_brt_heraldry_carcassonne_bret	3	1	0	0
tech_dlc07_brt_heraldry_bastonne	0	tech_dlc07_brt_heraldry_lyonesse	3	1	0	0
tech_dlc07_brt_heraldry_bordeleaux_bret	0	tech_dlc07_brt_heraldry_parravon	3	1	0	0
tech_dlc07_brt_heraldry_bretonnia_bord	0	tech_dlc07_brt_heraldry_parravon	3	1	0	0
tech_dlc07_brt_heraldry_bretonnia_carc	0	tech_dlc07_brt_heraldry_parravon	3	1	0	0
dlc05_tech_wef_0_0_0	0	tech_dlc07_brt_heraldry_start	0	0	0	0
tech_dlc07_brt_chivalry_beastmen_1	0	tech_dlc07_brt_heraldry_start	2	3	0	0
tech_dlc07_brt_chivalry_dark_elves	0	tech_dlc07_brt_heraldry_start	2	3	0	0
tech_dlc07_brt_chivalry_greenskins_1	0	tech_dlc07_brt_heraldry_start	2	1	0	0
tech_dlc07_brt_chivalry_norsca_1	0	tech_dlc07_brt_heraldry_start	2	1	0	0
tech_dlc07_brt_chivalry_skaven	0	tech_dlc07_brt_heraldry_start	2	3	0	0
tech_dlc07_brt_chivalry_tomb_kings	0	tech_dlc07_brt_heraldry_start	2	1	0	0
tech_dlc07_brt_chivalry_vampires_1	0	tech_dlc07_brt_heraldry_start	1	3	0	0
tech_dlc07_brt_chivalry_wood_elves_1	0	tech_dlc07_brt_heraldry_start	2	3	0	0
tech_dlc07_brt_heraldry_artois	0	tech_dlc07_brt_heraldry_start	3	1	0	0
tech_dlc07_brt_heraldry_lyonesse	0	tech_dlc07_brt_heraldry_start	2	1	0	0
tech_dlc11_brt_chivalry_vampire_coast_1	0	tech_dlc07_brt_heraldry_start	2	3	0	0
tech_dlc07_brt_heraldry_errantry	0	tech_dlc07_brt_heraldry_unification	2	4	0	0
tech_dlc07_brt_heraldry_oversea	0	tech_dlc07_brt_heraldry_unification	2	3	0	0
tech_dlc09_tmb_campaign_bonus_1_1	0	tech_dlc09_tmb_dynasty_1	3	4	0	0
tech_dlc09_tmb_campaign_bonus_1_2	0	tech_dlc09_tmb_dynasty_1	3	4	0	0
tech_dlc09_tmb_campaign_bonus_1_3	0	tech_dlc09_tmb_dynasty_1	3	4	0	0
tech_dlc09_tmb_faction_target_1	0	tech_dlc09_tmb_dynasty_1	3	1	0	0
tech_dlc09_tmb_liche_priest_1	0	tech_dlc09_tmb_dynasty_1	1	4	0	0
tech_dlc09_tmb_necrotect_1	0	tech_dlc09_tmb_dynasty_1	1	4	0	0
tech_dlc09_tmb_tomb_king_1	0	tech_dlc09_tmb_dynasty_1	1	3	0	0
tech_dlc09_tmb_tomb_prince_1	0	tech_dlc09_tmb_dynasty_1	1	4	0	0
tech_dlc09_tmb_campaign_bonus_2_1	0	tech_dlc09_tmb_dynasty_2	3	4	0	0
tech_dlc09_tmb_campaign_bonus_2_2	0	tech_dlc09_tmb_dynasty_2	3	4	0	0
tech_dlc09_tmb_campaign_bonus_2_3	0	tech_dlc09_tmb_dynasty_2	3	4	0	0
tech_dlc09_tmb_faction_target_2	0	tech_dlc09_tmb_dynasty_2	3	1	0	0
tech_dlc09_tmb_liche_priest_2	0	tech_dlc09_tmb_dynasty_2	1	4	0	0
tech_dlc09_tmb_necrotect_2	0	tech_dlc09_tmb_dynasty_2	1	4	0	0
tech_dlc09_tmb_tomb_king_2	0	tech_dlc09_tmb_dynasty_2	1	3	0	0
tech_dlc09_tmb_tomb_prince_2	0	tech_dlc09_tmb_dynasty_2	1	4	0	0
tech_dlc09_tmb_campaign_bonus_3_1	0	tech_dlc09_tmb_dynasty_3	3	4	0	0
tech_dlc09_tmb_campaign_bonus_3_2	0	tech_dlc09_tmb_dynasty_3	3	4	0	0
tech_dlc09_tmb_campaign_bonus_3_3	0	tech_dlc09_tmb_dynasty_3	3	4	0	0
tech_dlc09_tmb_faction_target_3	0	tech_dlc09_tmb_dynasty_3	3	1	0	0
tech_dlc09_tmb_liche_priest_3	0	tech_dlc09_tmb_dynasty_3	1	4	0	0
tech_dlc09_tmb_necrotect_3	0	tech_dlc09_tmb_dynasty_3	1	4	0	0
tech_dlc09_tmb_tomb_king_3	0	tech_dlc09_tmb_dynasty_3	1	3	0	0
tech_dlc09_tmb_tomb_prince_3	0	tech_dlc09_tmb_dynasty_3	1	4	0	0
tech_dlc09_tmb_campaign_bonus_4_1	0	tech_dlc09_tmb_dynasty_4	3	4	0	0
tech_dlc09_tmb_campaign_bonus_4_2	0	tech_dlc09_tmb_dynasty_4	3	4	0	0
tech_dlc09_tmb_campaign_bonus_4_3	0	tech_dlc09_tmb_dynasty_4	3	4	0	0
tech_dlc09_tmb_faction_target_4	0	tech_dlc09_tmb_dynasty_4	3	1	0	0
tech_dlc09_tmb_liche_priest_4	0	tech_dlc09_tmb_dynasty_4	1	4	0	0
tech_dlc09_tmb_necrotect_4	0	tech_dlc09_tmb_dynasty_4	1	4	0	0
tech_dlc09_tmb_tomb_king_4	0	tech_dlc09_tmb_dynasty_4	1	3	0	0
tech_dlc09_tmb_tomb_prince_4	0	tech_dlc09_tmb_dynasty_4	1	4	0	0
tech_dlc09_tmb_campaign_bonus_5_1	0	tech_dlc09_tmb_dynasty_5	3	4	0	0
tech_dlc09_tmb_campaign_bonus_5_2	0	tech_dlc09_tmb_dynasty_5	3	4	0	0
tech_dlc09_tmb_campaign_bonus_5_3	0	tech_dlc09_tmb_dynasty_5	3	4	0	0
tech_dlc09_tmb_faction_target_5	0	tech_dlc09_tmb_dynasty_5	3	1	0	0
tech_dlc09_tmb_liche_priest_5	0	tech_dlc09_tmb_dynasty_5	1	4	0	0
tech_dlc09_tmb_necrotect_5	0	tech_dlc09_tmb_dynasty_5	1	4	0	0
tech_dlc09_tmb_tomb_king_5	0	tech_dlc09_tmb_dynasty_5	1	3	0	0
tech_dlc09_tmb_tomb_prince_5	0	tech_dlc09_tmb_dynasty_5	1	4	0	0
tech_dlc09_tmb_campaign_bonus_6_1	0	tech_dlc09_tmb_dynasty_6	3	4	0	0
tech_dlc09_tmb_campaign_bonus_6_2	0	tech_dlc09_tmb_dynasty_6	3	4	0	0
tech_dlc09_tmb_campaign_bonus_6_3	0	tech_dlc09_tmb_dynasty_6	3	4	0	0
tech_dlc09_tmb_faction_target_6	0	tech_dlc09_tmb_dynasty_6	3	1	0	0
tech_dlc09_tmb_liche_priest_6	0	tech_dlc09_tmb_dynasty_6	1	4	0	0
tech_dlc09_tmb_necrotect_6	0	tech_dlc09_tmb_dynasty_6	1	4	0	0
tech_dlc09_tmb_tomb_king_6	0	tech_dlc09_tmb_dynasty_6	1	3	0	0
tech_dlc09_tmb_tomb_prince_6	0	tech_dlc09_tmb_dynasty_6	1	4	0	0
tech_dlc09_tmb_legions_of_legend	0	tech_dlc09_tmb_extra_army_1	2	4	0	0
tech_dlc09_tmb_legions_of_legend	0	tech_dlc09_tmb_extra_army_2	2	4	0	0
tech_dlc09_tmb_legions_of_legend	0	tech_dlc09_tmb_extra_army_3	2	4	0	0
tech_dlc09_tmb_legions_of_legend	0	tech_dlc09_tmb_extra_army_4	2	4	0	0
tech_dlc09_tmb_legions_of_legend	0	tech_dlc09_tmb_extra_army_5	2	4	0	0
tech_dlc09_tmb_legions_of_legend	0	tech_dlc09_tmb_extra_army_6	2	4	0	0
tech_dlc09_tmb_legions_of_legend	0	tech_dlc09_tmb_extra_army_7	2	4	0	0
tech_dwf_civ_1_1	0	tech_dwf_civ_0_2	1	4	0	0
tech_dwf_civ_1_3	0	tech_dwf_civ_0_2	3	4	0	0
tech_dwf_civ_1_0	0	tech_dwf_civ_1_1	1	3	0	0
tech_dwf_civ_2_1	0	tech_dwf_civ_1_1	2	4	0	0
tech_dwf_civ_1_4	0	tech_dwf_civ_1_3	3	1	0	0
tech_dwf_civ_2_3	0	tech_dwf_civ_1_3	2	4	0	0
tech_dwf_civ_2_4	0	tech_dwf_civ_1_4	2	4	0	0
tech_dwf_civ_2_0	0	tech_dwf_civ_2_1	1	3	0	0
tech_dwf_civ_3_1	0	tech_dwf_civ_2_1	2	4	0	0
tech_dwf_civ_2_2	0	tech_dwf_civ_2_3	1	3	0	0
tech_dwf_civ_3_3	0	tech_dwf_civ_2_3	2	4	0	0
tech_dwf_civ_3_0	0	tech_dwf_civ_3_1	1	3	0	0
tech_dwf_civ_4_1	0	tech_dwf_civ_3_1	2	4	0	0
tech_dwf_civ_4_2	0	tech_dwf_civ_3_2	2	4	0	0
tech_dwf_civ_3_2	0	tech_dwf_civ_3_3	1	3	0	0
tech_dwf_civ_3_4	0	tech_dwf_civ_3_3	3	1	0	0
tech_dwf_civ_5_3	0	tech_dwf_civ_3_3	2	4	0	0
tech_dwf_civ_4_4	0	tech_dwf_civ_3_4	2	4	0	0
tech_dwf_civ_5_0	0	tech_dwf_civ_4_0	2	4	0	0
tech_dwf_civ_4_0	0	tech_dwf_civ_4_1	1	3	0	0
tech_dwf_civ_5_1	0	tech_dwf_civ_4_1	2	4	0	0
tech_dwf_civ_5_2	0	tech_dwf_civ_5_1	3	1	0	0
tech_dwf_civ_6_1	0	tech_dwf_civ_5_1	2	4	0	0
tech_dwf_civ_6_2	0	tech_dwf_civ_5_2	2	4	0	0
tech_dwf_civ_5_4	0	tech_dwf_civ_5_3	3	1	0	0
tech_dwf_civ_6_3	0	tech_dwf_civ_5_3	2	4	0	0
tech_dwf_civ_6_4	0	tech_dwf_civ_5_4	2	4	0	0
tech_dwf_civ_7_0	0	tech_dwf_civ_6_0	2	4	0	0
tech_dwf_civ_6_0	0	tech_dwf_civ_6_1	1	3	0	0
tech_dwf_civ_7_1	0	tech_dwf_civ_6_1	2	4	0	0
tech_dwf_civ_7_4	0	tech_dwf_civ_6_4	2	4	0	0
tech_dwf_civ_7_2	0	tech_dwf_civ_7_1	3	1	0	0
tech_dwf_mil_1_1	0	tech_dwf_mil_0_2	1	4	0	0
tech_dwf_mil_1_3	0	tech_dwf_mil_0_2	3	4	0	0
tech_dwf_mil_1_0	0	tech_dwf_mil_1_1	1	3	0	0
tech_dwf_mil_2_1	0	tech_dwf_mil_1_1	2	4	0	0
tech_dwf_mil_1_4	0	tech_dwf_mil_1_3	3	1	0	0
tech_dwf_mil_2_3	0	tech_dwf_mil_1_3	2	4	0	0
tech_dwf_mil_2_4	0	tech_dwf_mil_1_4	2	4	0	0
tech_dwf_mil_2_0	0	tech_dwf_mil_2_1	1	3	0	0
tech_dwf_mil_2_2	0	tech_dwf_mil_2_1	3	1	0	0
tech_dwf_mil_3_1	0	tech_dwf_mil_2_1	2	4	0	0
tech_dwf_mil_3_2	0	tech_dwf_mil_2_2	2	4	0	0
tech_dwf_mil_3_3	0	tech_dwf_mil_2_3	2	4	0	0
tech_dwf_mil_4_1	0	tech_dwf_mil_3_1	2	4	0	0
tech_dwf_mil_4_5	0	tech_dwf_mil_3_1	1	3	0	0
tech_dwf_mil_3_4	0	tech_dwf_mil_3_3	3	1	0	0
tech_dwf_mil_5_3	0	tech_dwf_mil_3_3	2	4	0	0
tech_dwf_mil_4_4	0	tech_dwf_mil_3_4	2	4	0	0
tech_dwf_mil_5_0	0	tech_dwf_mil_4_0	2	4	0	0
tech_dwf_mil_4_0	0	tech_dwf_mil_4_1	1	3	0	0
tech_dwf_mil_4_2	0	tech_dwf_mil_4_1	3	1	0	0
tech_dwf_mil_5_1	0	tech_dwf_mil_4_1	2	4	0	0
tech_dwf_mil_5_2	0	tech_dwf_mil_4_2	2	4	0	0
tech_dwf_mil_6_1	0	tech_dwf_mil_5_1	2	4	0	0
tech_dwf_mil_5_4	0	tech_dwf_mil_5_3	3	1	0	0
tech_dwf_mil_6_3	0	tech_dwf_mil_5_3	2	4	0	0
tech_dwf_mil_6_4	0	tech_dwf_mil_5_4	2	4	0	0
tech_dwf_mil_7_0	0	tech_dwf_mil_6_0	2	4	0	0
tech_dwf_mil_6_0	0	tech_dwf_mil_6_1	1	3	0	0
tech_dwf_mil_6_2	0	tech_dwf_mil_6_1	3	1	0	0
tech_dwf_mil_7_1	0	tech_dwf_mil_6_1	2	4	0	0
tech_dwf_mil_7_2	0	tech_dwf_mil_6_2	2	4	0	0
tech_dwf_mil_7_3	0	tech_dwf_mil_6_3	2	4	0	0
tech_dwf_mil_8_1	0	tech_dwf_mil_7_1	2	4	0	0
tech_dwf_mil_7_4	0	tech_dwf_mil_7_3	3	1	0	0
tech_dwf_mil_8_3	0	tech_dwf_mil_7_3	2	4	0	0
tech_dwf_mil_8_0	0	tech_dwf_mil_8_1	1	3	0	0
tech_dwf_mil_9_1	0	tech_dwf_mil_8_1	2	4	0	0
tech_dwf_mil_9_2	0	tech_dwf_mil_8_1	3	4	0	0
tech_dwf_mil_8_4	0	tech_dwf_mil_8_3	3	1	0	0
tech_dwf_mil_9_3	0	tech_dwf_mil_8_3	2	4	0	0
tech_dwf_mil_9_0	0	tech_dwf_mil_9_1	1	3	0	0
tech_grn_main_1_2	0	tech_grn_main_1_1	2	4	0	0
tech_grn_side_1_1_1	0	tech_grn_main_1_1	1	3	0	0
tech_grn_side_1_1_2	0	tech_grn_main_1_1	3	1	0	0
tech_grn_main_1_3	0	tech_grn_main_1_2	2	4	0	0
tech_grn_side_1_2_1	0	tech_grn_main_1_2	1	3	0	0
tech_grn_side_1_2_2	0	tech_grn_main_1_2	3	1	0	0
