cai_personalities_tables	19
agent_distribution_profile_key	agent_recruitment_profile_key	budget_policy_key	key	military_aggressiveness_policy	military_behaviour_policy	reliability_policy_key	religious_conversion_policy	technology_manager_key	allowed_for_random_selection	diplomatic_component	strategic_component	cultural_component	deal_evaluation_component	deal_generation_component	construction_system_policy	task_management_system_task_generation_profile	negotiation_component	income_allocation_policy	occupation_decision_component	religious_component	empire_rivalry_component	religion_change_management_policy	trespassing_component	agent_embed_profile	character_skill_selection_policy	military_generator_config_override
cai_adp_standard	cai_arp_standard	militarist_naval	wh2_darkelf_early_internally_hostile_aggressive_less_diplomatic_hard	cai_pmap_high	cai_pmbp_balanced	cai_prp_default	cai_prcp_evasive	default	true	default	aggressive_darkelf	dislikes_darkelves_internal	aggressive_unfriendly	default	militarist_construction_system_policy	aggressive_coloniser_avoid_oldworld_races_anti_player_task_generator_profile	default	militarist	looter_early	default	vhard	default_religion_change_management_policy	default	default_all	default_character_skill_selection_policy	
cai_adp_standard	cai_arp_standard	militarist_naval	wh2_darkelf_early_less_diplomatic_hard	cai_pmap_medium	cai_pmbp_balanced	cai_prp_default	cai_prcp_evasive	default	true	default	darkelf	default	default_unfriendly	default	militarist_construction_system_policy	default_coloniser_avoids_oldworld_races_anti_player_task_generator_profile	default	militarist	looter_early	default	vhard	default_religion_change_management_policy	default	default_all	default_character_skill_selection_policy	
cai_adp_standard	cai_arp_standard	balanced_naval	wh2_darkelf_early_major	cai_pmap_medium	cai_pmbp_balanced	cai_prp_default	cai_prcp_evasive	default	true	default	darkelf	default	friendly	subjugator	default_construction_system_policy	default_coloniser_avoid_oldworld_races_task_generator_profile	active	default	looter_early	default	default	default_religion_change_management_policy	default	default_all	default_character_skill_selection_policy	
cai_adp_standard	cai_arp_standard	balanced_naval	wh2_darkelf_early_major_easy	cai_pmap_medium	cai_pmbp_balanced	cai_prp_default	cai_prcp_evasive	default	true	default	darkelf	default	friendly	subjugator	default_construction_system_policy	default_coloniser_avoid_oldworld_races_and_player_task_generator_profile	active	small_military	looter_early	default	default	default_religion_change_management_policy	default	default_all	default_character_skill_selection_policy	
cai_adp_standard	cai_arp_standard	militarist_naval	wh2_darkelf_early_major_hard	cai_pmap_medium	cai_pmbp_balanced	cai_prp_default	cai_prcp_evasive	default	true	default	darkelf	default	friendly	subjugator	militarist_construction_system_policy	default_coloniser_avoids_oldworld_races_anti_player_task_generator_profile	active	militarist	looter_early	default	vhard	default_religion_change_management_policy	default	default_all	default_character_skill_selection_policy	
cai_adp_standard	cai_arp_standard	balanced_naval	wh2_darkelf_early_major_secondary	cai_pmap_medium	cai_pmbp_balanced	cai_prp_default	cai_prcp_evasive	default	true	default	darkelf	default	friendly	subjugator	default_construction_system_policy	default_coloniser_avoid_oldworld_races_task_generator_profile	active	default	looter_early	default	default	default_religion_change_management_policy	default	default_all	default_character_skill_selection_policy	
cai_adp_standard	cai_arp_standard	balanced_naval	wh2_darkelf_early_major_secondary_easy	cai_pmap_medium	cai_pmbp_balanced	cai_prp_default	cai_prcp_evasive	default	true	default	darkelf	default	friendly	subjugator	default_construction_system_policy	default_coloniser_avoid_oldworld_races_and_player_task_generator_profile	active	small_military	looter_early	default	default	default_religion_change_management_policy	default	default_all	default_character_skill_selection_policy	
cai_adp_standard	cai_arp_standard	militarist_naval	wh2_darkelf_early_major_secondary_hard	cai_pmap_medium	cai_pmbp_balanced	cai_prp_default	cai_prcp_evasive	default	true	default	darkelf	default	friendly	subjugator	militarist_construction_system_policy	default_coloniser_avoids_oldworld_races_anti_player_task_generator_profile	active	militarist	looter_early	default	vhard	default_religion_change_management_policy	default	default_all	default_character_skill_selection_policy	
cai_adp_standard	cai_arp_standard	balanced_naval	wh2_darkelf_early_noruins_easy	cai_pmap_medium	cai_pmbp_balanced	cai_prp_default	cai_prcp_evasive	default	true	default	darkelf	default	default	default	default_construction_system_policy	default_noruins_avoid_oldworld_races_and_player_task_generator_profile	default	peaceful	looter_early	default	default	default_religion_change_management_policy	default	default_all	default_character_skill_selection_policy	
cai_adp_standard	cai_arp_standard	militarist_naval	wh2_darkelf_early_noruins_hard	cai_pmap_medium	cai_pmbp_balanced	cai_prp_default	cai_prcp_evasive	default	true	default	darkelf	default	default	default	militarist_construction_system_policy	default_noruins_avoids_oldworld_races_anti_player_task_generator_profile	default	militarist	looter_early	default	vhard	default_religion_change_management_policy	default	default_all	default_character_skill_selection_policy	
cai_adp_standard	cai_arp_standard	militarist_naval	wh2_darkelf_early_noruins_internally_hostile_aggressive_less_diplomatic_hard	cai_pmap_high	cai_pmbp_balanced	cai_prp_default	cai_prcp_evasive	default	true	default	aggressive_darkelf	dislikes_darkelves_internal	aggressive_unfriendly	default	militarist_construction_system_policy	aggressive_noruins_avoid_oldworld_races_anti_player_task_generator_profile	default	militarist	looter_early	default	vhard	default_religion_change_management_policy	default	default_all	default_character_skill_selection_policy	
cai_adp_standard	cai_arp_standard	balanced_naval	wh2_darkelf_early_subordinate	cai_pmap_medium	cai_pmbp_balanced	cai_prp_default	cai_prcp_evasive	default	true	default	darkelf	default	default_subordinate	default	default_construction_system_policy	default_coloniser_avoid_oldworld_races_task_generator_profile	default	small_military	looter_early	default	default	default_religion_change_management_policy	default	default_all	default_character_skill_selection_policy	
cai_adp_standard	cai_arp_standard	balanced	wh2_darkelf_early_subordinate_easy	cai_pmap_medium	cai_pmbp_balanced	cai_prp_default	cai_prcp_evasive	default	true	default	darkelf	default	default_subordinate	default	default_construction_system_policy	default_coloniser_avoid_oldworld_races_and_player_task_generator_profile	default	peaceful	looter_early	default	default	default_religion_change_management_policy	default	default_all	default_character_skill_selection_policy	
cai_adp_standard	cai_arp_standard	militarist	wh2_darkelf_early_subordinate_hard	cai_pmap_medium	cai_pmbp_balanced	cai_prp_default	cai_prcp_evasive	default	true	default	darkelf	default	default_subordinate	default	militarist_construction_system_policy	default_coloniser_avoids_oldworld_races_anti_player_task_generator_profile	default	militarist	looter_early	default	vhard	default_religion_change_management_policy	default	default_all	default_character_skill_selection_policy	
cai_adp_standard	cai_arp_standard	balanced_naval	wh2_darkelf_easy	cai_pmap_medium	cai_pmbp_balanced	cai_prp_default	cai_prcp_evasive	default	true	default	darkelf	default	default	default	default_construction_system_policy	default_vcregion_focused_overseas_attacker_avoid_player_task_generator_profile	default	peaceful	looter	default	default	default_religion_change_management_policy	default	default_all	default_character_skill_selection_policy	
cai_adp_standard	cai_arp_standard	militarist_naval	wh2_darkelf_hard	cai_pmap_medium	cai_pmbp_balanced	cai_prp_default	cai_prcp_evasive	default	true	default	darkelf	default	default	default	militarist_construction_system_policy	default_vcregion_focused_overseas_attacker_anti_player_task_generator_profile	default	militarist	looter	default	vhard	default_religion_change_management_policy	default	default_all	default_character_skill_selection_policy	
cai_adp_standard	cai_arp_standard	balanced_naval	wh2_darkelf_internally_hostile_aggressive	cai_pmap_high	cai_pmbp_balanced	cai_prp_default	cai_prcp_evasive	default	true	default	aggressive_darkelf	dislikes_darkelves_internal	aggressive	default	default_construction_system_policy	aggressive_vcregion_focused_overseas_attacker_task_generator_profile	default	small_military	looter	default	default	default_religion_change_management_policy	default	default_all	default_character_skill_selection_policy	
cai_adp_standard	cai_arp_standard	balanced_naval	wh2_darkelf_internally_hostile_aggressive_easy	cai_pmap_high	cai_pmbp_balanced	cai_prp_default	cai_prcp_evasive	default	true	default	aggressive_darkelf	dislikes_darkelves_internal	aggressive	default	default_construction_system_policy	aggressive_vcregion_focused_overseas_attacker_avoid_player_task_generator_profile	default	peaceful	looter	default	default	default_religion_change_management_policy	default	default_all	default_character_skill_selection_policy	
cai_adp_standard	cai_arp_standard	militarist_naval	wh2_darkelf_internally_hostile_aggressive_hard	cai_pmap_high	cai_pmbp_balanced	cai_prp_default	cai_prcp_evasive	default	true	default	aggressive_darkelf	dislikes_darkelves_internal	aggressive	default	militarist_construction_system_policy	aggressive_vcregion_focused_overseas_attacker_anti_player_task_generator_profile	default	militarist	looter	default	vhard	default_religion_change_management_policy	default	default_all	default_character_skill_selection_policy	
cai_adp_standard	cai_arp_standard	militarist_naval	wh2_darkelf_internally_hostile_aggressive_less_diplomatic_hard	cai_pmap_high	cai_pmbp_balanced	cai_prp_default	cai_prcp_evasive	default	true	default	aggressive_darkelf	dislikes_darkelves_internal	aggressive_unfriendly	default	militarist_construction_system_policy	aggressive_vcregion_focused_overseas_attacker_anti_player_task_generator_profile	default	militarist	looter	default	vhard	default_religion_change_management_policy	default	default_all	default_character_skill_selection_policy	
cai_adp_standard	cai_arp_standard	militarist_naval	wh2_darkelf_less_diplomatic_hard	cai_pmap_medium	cai_pmbp_balanced	cai_prp_default	cai_prcp_evasive	default	true	default	darkelf	default	default_unfriendly	default	militarist_construction_system_policy	aggressive_vcregion_focused_overseas_attacker_anti_player_task_generator_profile	default	militarist	looter	default	vhard	default_religion_change_management_policy	default	default_all	default_character_skill_selection_policy	
cai_adp_standard	cai_arp_standard	balanced_naval	wh2_darkelf_major	cai_pmap_medium	cai_pmbp_balanced	cai_prp_default	cai_prcp_evasive	default	true	default	darkelf	default	friendly	subjugator	default_construction_system_policy	default_vcregion_focused_overseas_attacker_task_generator_profile	active	default	looter	default	default	default_religion_change_management_policy	default	default_all	default_character_skill_selection_policy	
cai_adp_standard	cai_arp_standard	balanced_naval	wh2_darkelf_major_easy	cai_pmap_medium	cai_pmbp_balanced	cai_prp_default	cai_prcp_evasive	default	true	default	darkelf	default	friendly	subjugator	default_construction_system_policy	default_vcregion_focused_overseas_attacker_avoid_player_task_generator_profile	active	small_military	looter	default	default	default_religion_change_management_policy	default	default_all	default_character_skill_selection_policy	
cai_adp_standard	cai_arp_standard	militarist_naval	wh2_darkelf_major_hard	cai_pmap_medium	cai_pmbp_balanced	cai_prp_default	cai_prcp_evasive	default	true	default	darkelf	default	friendly	subjugator	militarist_construction_system_policy	default_vcregion_focused_overseas_attacker_anti_player_task_generator_profile	active	militarist	looter	default	vhard	default_religion_change_management_policy	default	default_all	default_character_skill_selection_policy	
cai_adp_standard	cai_arp_standard	balanced_naval	wh2_darkelf_major_secondary	cai_pmap_medium	cai_pmbp_balanced	cai_prp_default	cai_prcp_evasive	default	true	default	darkelf	default	friendly	subjugator	default_construction_system_policy	default_vcregion_focused_overseas_attacker_task_generator_profile	active	default	looter	default	default	default_religion_change_management_policy	default	default_all	default_character_skill_selection_policy	
cai_adp_standard	cai_arp_standard	balanced_naval	wh2_darkelf_major_secondary_easy	cai_pmap_medium	cai_pmbp_balanced	cai_prp_default	cai_prcp_evasive	default	true	default	darkelf	default	friendly	subjugator	default_construction_system_policy	default_vcregion_focused_overseas_attacker_avoid_player_task_generator_profile	active	small_military	looter	default	default	default_religion_change_management_policy	default	default_all	default_character_skill_selection_policy	
cai_adp_standard	cai_arp_standard	militarist_naval	wh2_darkelf_major_secondary_hard	cai_pmap_medium	cai_pmbp_balanced	cai_prp_default	cai_prcp_evasive	default	true	default	darkelf	default	friendly	subjugator	militarist_construction_system_policy	default_vcregion_focused_overseas_attacker_anti_player_task_generator_profile	active	militarist	looter	default	vhard	default_religion_change_management_policy	default	default_all	default_character_skill_selection_policy	
cai_adp_standard	cai_arp_standard	balanced_naval	wh2_darkelf_noruins_early	cai_pmap_medium	cai_pmbp_balanced	cai_prp_default	cai_prcp_evasive	default	true	default	darkelf	default	default	default	default_construction_system_policy	default_noruins_avoid_oldworld_races_task_generator_profile	default	small_military	looter_early	default	default	default_religion_change_management_policy	default	default_all	default_character_skill_selection_policy	
cai_adp_standard	cai_arp_standard	balanced_naval	wh2_darkelf_subordinate	cai_pmap_medium	cai_pmbp_balanced	cai_prp_default	cai_prcp_evasive	default	true	default	darkelf	default	default_subordinate	default	default_construction_system_policy	default_vcregion_focused_overseas_attacker_task_generator_profile	default	small_military	looter	default	default	default_religion_change_management_policy	default	default_all	default_character_skill_selection_policy	
cai_adp_standard	cai_arp_standard	balanced	wh2_darkelf_subordinate_easy	cai_pmap_medium	cai_pmbp_balanced	cai_prp_default	cai_prcp_evasive	default	true	default	darkelf	default	default_subordinate	default	default_construction_system_policy	default_vcregion_focused_overseas_attacker_avoid_player_task_generator_profile	default	peaceful	looter	default	default	default_religion_change_management_policy	default	default_all	default_character_skill_selection_policy	
cai_adp_standard	cai_arp_standard	militarist	wh2_darkelf_subordinate_hard	cai_pmap_medium	cai_pmbp_balanced	cai_prp_default	cai_prcp_evasive	default	true	default	darkelf	default	default_subordinate	default	militarist_construction_system_policy	default_vcregion_focused_overseas_attacker_anti_player_task_generator_profile	default	militarist	looter	default	vhard	default_religion_change_management_policy	default	default_all	default_character_skill_selection_policy	
cai_adp_standard	cai_arp_standard	dlc09_tomb_kings	wh2_dlc09_tmb_default	cai_pmap_medium	cai_pmbp_balanced	cai_prp_high	cai_prcp_evasive	dlc09_tmb_default	true	dlc09_tomb_kings	aggressive	default	dlc09_tomb_kings	dlc09_tomb_kings_passive	default_construction_system_policy	dlc09_tmb_task_generator_profile_defensive	default	default	dlc09_tomb_kings_early	dlc09_tomb_kings_desert	dlc09_tomb_kings	default_religion_change_management_policy	default	default_all	default_character_skill_selection_policy	
cai_adp_standard	cai_arp_standard	dlc09_tomb_kings	wh2_dlc09_tmb_default_late	cai_pmap_medium	cai_pmbp_balanced	cai_prp_high	cai_prcp_evasive	dlc09_tmb_default	true	dlc09_tomb_kings	aggressive	default	dlc09_tomb_kings_major	dlc09_tomb_kings	default_construction_system_policy	dlc09_tmb_task_generator_profile_defensive_late	default	default	dlc09_tomb_kings	dlc09_tomb_kings_adjustable_climates	dlc09_tomb_kings	default_religion_change_management_policy	default	default_all	default_character_skill_selection_policy	
cai_adp_standard	cai_arp_standard	dlc09_tomb_kings	wh2_dlc09_tmb_exiles_of_nehek	cai_pmap_medium	cai_pmbp_balanced	cai_prp_medium	cai_prcp_evasive	dlc09_tmb_exiles_of_nehek	true	dlc09_tomb_kings	aggressive	default	dlc09_tomb_kings	dlc09_tomb_kings	default_construction_system_policy	dlc09_tmb_task_generator_profile_khatep	default	default	dlc09_tomb_kings	dlc09_tomb_kings_adjustable_climates	dlc09_tomb_kings	default_religion_change_management_policy	default	default_all	default_character_skill_selection_policy	
cai_adp_standard	cai_arp_standard	dlc09_tomb_kings	wh2_dlc09_tmb_exiles_of_nehek_late	cai_pmap_medium	cai_pmbp_balanced	cai_prp_medium	cai_prcp_evasive	dlc09_tmb_exiles_of_nehek	true	dlc09_tomb_kings	aggressive	default	dlc09_tomb_kings_major	dlc09_tomb_kings	default_construction_system_policy	dlc09_tmb_task_generator_profile_khatep_late	default	default	dlc09_tomb_kings	dlc09_tomb_kings_adjustable_climates	dlc09_tomb_kings	default_religion_change_management_policy	default	default_all	default_character_skill_selection_policy	
cai_adp_standard	cai_arp_standard	dlc09_tomb_kings	wh2_dlc09_tmb_followers_of_nagash	cai_pmap_high	cai_pmbp_balanced	cai_prp_low	cai_prcp_evasive	dlc09_tmb_followers_of_nagash	true	dlc09_tomb_kings	aggressive	dislikes_tomb_kings	dlc09_tomb_kings_major	dlc09_tomb_kings	default_construction_system_policy	dlc09_tmb_task_generator_profile_aggressive	default	default	dlc09_tomb_kings_early	dlc09_tomb_kings_desert	dlc09_tomb_kings	default_religion_change_management_policy	default	default_all	default_character_skill_selection_policy	
cai_adp_standard	cai_arp_standard	dlc09_tomb_kings	wh2_dlc09_tmb_followers_of_nagash_late	cai_pmap_high	cai_pmbp_balanced	cai_prp_low	cai_prcp_evasive	dlc09_tmb_followers_of_nagash	true	dlc09_tomb_kings	aggressive	dislikes_tomb_kings	dlc09_tomb_kings_major	dlc09_tomb_kings	default_construction_system_policy	dlc09_tmb_task_generator_profile_aggressive_late	default	default	dlc09_tomb_kings	dlc09_tomb_kings_adjustable_climates	dlc09_tomb_kings	default_religion_change_management_policy	default	default_all	default_character_skill_selection_policy	
cai_adp_standard	cai_arp_standard	dlc09_tomb_kings	wh2_dlc09_tmb_khemri	cai_pmap_medium	cai_pmbp_balanced	cai_prp_medium	cai_prcp_evasive	dlc09_tmb_khemri	true	dlc09_tomb_kings	aggressive	default	dlc09_tomb_kings_major	dlc09_tomb_kings	default_construction_system_policy	dlc09_tmb_task_generator_profile_aggressive	default	default	dlc09_tomb_kings_early	dlc09_tomb_kings_desert	dlc09_tomb_kings	default_religion_change_management_policy	default	default_all	default_character_skill_selection_policy	
cai_adp_standard	cai_arp_standard	dlc09_tomb_kings	wh2_dlc09_tmb_khemri_late	cai_pmap_medium	cai_pmbp_balanced	cai_prp_medium	cai_prcp_evasive	dlc09_tmb_khemri	true	dlc09_tomb_kings	aggressive	default	dlc09_tomb_kings_major	dlc09_tomb_kings	default_construction_system_policy	dlc09_tmb_task_generator_profile_aggressive_late	default	default	dlc09_tomb_kings	dlc09_tomb_kings_adjustable_climates	dlc09_tomb_kings	default_religion_change_management_policy	default	default_all	default_character_skill_selection_policy	
cai_adp_standard	cai_arp_standard	dlc09_tomb_kings	wh2_dlc09_tmb_lybaras	cai_pmap_medium	cai_pmbp_balanced	cai_prp_medium	cai_prcp_evasive	dlc09_tmb_lybaras	true	dlc09_tomb_kings	defensive	dislikes_vampires	dlc09_tomb_kings	dlc09_tomb_kings	default_construction_system_policy	dlc09_tmb_task_generator_profile_aggressive	default	default	dlc09_tomb_kings	dlc09_tomb_kings_adjustable_climates	dlc09_tomb_kings	default_religion_change_management_policy	default	default_all	default_character_skill_selection_policy	
cai_adp_standard	cai_arp_standard	dlc09_tomb_kings	wh2_dlc09_tmb_lybaras_late	cai_pmap_medium	cai_pmbp_balanced	cai_prp_medium	cai_prcp_evasive	dlc09_tmb_lybaras	true	dlc09_tomb_kings	defensive	dislikes_vampires	dlc09_tomb_kings_major	dlc09_tomb_kings	default_construction_system_policy	dlc09_tmb_task_generator_profile_khalida_late	default	default	dlc09_tomb_kings	dlc09_tomb_kings_adjustable_climates	dlc09_tomb_kings	default_religion_change_management_policy	default	default_all	default_character_skill_selection_policy	
cai_adp_standard	cai_arp_standard	dlc09_tomb_kings	wh2_dlc09_tmb_the_sentinels	cai_pmap_medium	cai_pmbp_balanced	cai_prp_default	cai_prcp_evasive	dlc09_tmb_default	true	dlc09_tomb_kings	foolishly_brave	dislikes_tomb_kings	passive	dlc09_tomb_kings_passive	default_construction_system_policy	dlc09_tmb_task_generator_profile_sentinels	default	default	default	default	default	default_religion_change_management_policy	default	default_all	default_character_skill_selection_policy	
cai_adp_standard	cai_arp_standard	balanced_naval	wh2_dlc10_darkelf_major	cai_pmap_medium	cai_pmbp_balanced	cai_prp_default	cai_prcp_evasive	default	true	default	darkelf	default	friendly	default	default_construction_system_policy	default_vcregion_focused_overseas_attacker_task_generator_profile	active	default	looter	default	default	default_religion_change_management_policy	default	default_all	default_character_skill_selection_policy	
cai_adp_standard	cai_arp_standard	balanced_naval	wh2_dlc10_darkelf_major_easy	cai_pmap_medium	cai_pmbp_balanced	cai_prp_default	cai_prcp_evasive	default	true	default	darkelf	default	friendly	default	default_construction_system_policy	default_vcregion_focused_overseas_attacker_avoid_player_task_generator_profile	active	small_military	looter	default	default	default_religion_change_management_policy	default	default_all	default_character_skill_selection_policy	
cai_adp_standard	cai_arp_standard	militarist_naval	wh2_dlc10_darkelf_major_hard	cai_pmap_medium	cai_pmbp_balanced	cai_prp_default	cai_prcp_evasive	default	true	default	darkelf	default	friendly	default	militarist_construction_system_policy	default_vcregion_focused_overseas_attacker_anti_player_task_generator_profile	active	militarist	looter	default	vhard	default_religion_change_management_policy	default	default_all	default_character_skill_selection_policy	
cai_adp_standard	cai_arp_standard	balanced_naval	wh2_dlc10_darkelf_major_no_confederate	cai_pmap_medium	cai_pmbp_balanced	cai_prp_default	cai_prcp_evasive	default	true	default	darkelf	default	dlc10_friendly_no_confed	default	default_construction_system_policy	default_vcregion_focused_overseas_attacker_task_generator_profile	active	default	looter	default	default	default_religion_change_management_policy	default	default_all	default_character_skill_selection_policy	
cai_adp_standard	cai_arp_standard	balanced_naval	wh2_dlc10_darkelf_major_no_confederate_easy	cai_pmap_medium	cai_pmbp_balanced	cai_prp_default	cai_prcp_evasive	default	true	default	darkelf	default	dlc10_friendly_no_confed	default	default_construction_system_policy	default_vcregion_focused_overseas_attacker_avoid_player_task_generator_profile	active	small_military	looter	default	default	default_religion_change_management_policy	default	default_all	default_character_skill_selection_policy	
cai_adp_standard	cai_arp_standard	militarist_naval	wh2_dlc10_darkelf_major_no_confederate_hard	cai_pmap_medium	cai_pmbp_balanced	cai_prp_default	cai_prcp_evasive	default	true	default	darkelf	default	dlc10_friendly_no_confed	default	militarist_construction_system_policy	default_vcregion_focused_overseas_attacker_anti_player_task_generator_profile	active	militarist	looter	default	vhard	default_religion_change_management_policy	default	default_all	default_character_skill_selection_policy	
cai_adp_standard	cai_arp_standard	balanced_naval	wh2_dlc10_early_darkelf_major	cai_pmap_medium	cai_pmbp_balanced	cai_prp_default	cai_prcp_evasive	default	true	default	darkelf	default	friendly	default	default_construction_system_policy	default_coloniser_avoid_oldworld_races_task_generator_profile	active	default	looter_early	default	default	default_religion_change_management_policy	default	default_all	default_character_skill_selection_policy	
cai_adp_standard	cai_arp_standard	balanced_naval	wh2_dlc10_early_darkelf_major_easy	cai_pmap_medium	cai_pmbp_balanced	cai_prp_default	cai_prcp_evasive	default	true	default	darkelf	default	friendly	default	default_construction_system_policy	default_coloniser_avoid_oldworld_races_and_player_task_generator_profile	active	small_military	looter_early	default	default	default_religion_change_management_policy	default	default_all	default_character_skill_selection_policy	
cai_adp_standard	cai_arp_standard	militarist_naval	wh2_dlc10_early_darkelf_major_hard	cai_pmap_medium	cai_pmbp_balanced	cai_prp_default	cai_prcp_evasive	default	true	default	darkelf	default	friendly	default	militarist_construction_system_policy	default_coloniser_avoids_oldworld_races_anti_player_task_generator_profile	active	militarist	looter_early	default	vhard	default_religion_change_management_policy	default	default_all	default_character_skill_selection_policy	
cai_adp_standard	cai_arp_standard	balanced_naval	wh2_dlc10_early_darkelf_major_no_confederate	cai_pmap_medium	cai_pmbp_balanced	cai_prp_default	cai_prcp_evasive	default	true	default	darkelf	default	dlc10_friendly_no_confed	default	default_construction_system_policy	default_coloniser_avoid_oldworld_races_task_generator_profile	active	default	looter_early	default	default	default_religion_change_management_policy	default	default_all	default_character_skill_selection_policy	
cai_adp_standard	cai_arp_standard	balanced_naval	wh2_dlc10_early_darkelf_major_no_confederate_easy	cai_pmap_medium	cai_pmbp_balanced	cai_prp_default	cai_prcp_evasive	default	true	default	darkelf	default	dlc10_friendly_no_confed	default	default_construction_system_policy	default_coloniser_avoid_oldworld_races_and_player_task_generator_profile	active	small_military	looter_early	default	default	default_religion_change_management_policy	default	default_all	default_character_skill_selection_policy	
cai_adp_standard	cai_arp_standard	militarist_naval	wh2_dlc10_early_darkelf_major_no_confederate_hard	cai_pmap_medium	cai_pmbp_balanced	cai_prp_default	cai_prcp_evasive	default	true	default	darkelf	default	dlc10_friendly_no_confed	default	militarist_construction_system_policy	default_coloniser_avoids_oldworld_races_anti_player_task_generator_profile	active	militarist	looter_early	default	vhard	default_religion_change_management_policy	default	default_all	default_character_skill_selection_policy	
