audio_entity_random_vocalisations_tables	3
event	key	max_time	min_time	use_reverb	use_obstruction	limitation_scale	min_probability	max_probability
Battle_Individual_Vocalisation_Elf_Female_High_Default_Running	wh2_hef_elf_female_default_running	20	10	false	false	0.1	100	100
Battle_Individual_Vocalisation_Elf_Female_High_Default_Walking	wh2_hef_elf_female_default_walking	20	10	false	false	0.1	100	100
Battle_Individual_Vocalisation_Elf_Male_High_Default_Fatigue_Stop	wh2_hef_elf_male_default_fatigue_stop	20	10	false	false	0.2	100	100
Battle_Individual_Vocalisation_Elf_Male_High_Default_Idle	wh2_hef_elf_male_default_idle	20	10	false	false	0.050000004	100	100
Battle_Individual_Vocalisation_Elf_Male_High_Default_Running	wh2_hef_elf_male_default_running	20	10	false	false	0.1	100	100
Battle_Individual_Vocalisation_Elf_Male_High_Default_Walking	wh2_hef_elf_male_default_walking	20	10	false	false	0.1	100	100
Battle_Individual_Vocalisation_Hydra_Idle	wh2_hydra_idle	4	2	true	false	0.050000004	100	0
Battle_Individual_Vocalisation_Hydra_Idle	wh2_hydra_running	3	2	true	false	0.1	80	0
Battle_Individual_Vocalisation_Hydra_Idle	wh2_hydra_walking	3	2	true	false	0.1	80	0
Battle_Individual_Vocalisation_Kroxigor_Idle	wh2_kroxigor_idle	25	20	true	false	0.1	100	100
Battle_Individual_Vocalisation_Kroxigor_Running	wh2_kroxigor_running	25	15	true	false	0.1	100	100
Battle_Individual_Vocalisation_Kroxigor_Walking	wh2_kroxigor_walking	25	15	true	false	0.1	100	100
Battle_Individual_Vocalisation_Necrosphinx_Idle	wh2_necrosphinx_idle	20	10	true	false	0.050000004	100	0
Battle_Individual_Vocalisation_Necrosphinx_Walking	wh2_necrosphinx_running	20	10	true	false	0.2	100	20
Battle_Individual_Vocalisation_Necrosphinx_Walking	wh2_necrosphinx_walking	20	10	true	false	0.1	80	0
Battle_Individual_Vocalisation_pheonix_flamespyre_Idle	wh2_phoenix_flamespyre_idle	20	8	true	false	0.050000004	100	100
Battle_Individual_Vocalisation_pheonix_flamespyre_Running	wh2_phoenix_flamespyre_running	20	10	true	false	0.1	80	0
Battle_Individual_Vocalisation_pheonix_flamespyre_Walking	wh2_phoenix_flamespyre_walking	20	10	true	false	0.1	80	0
Battle_Individual_Vocalisation_Bonebreaker_Running	wh2_rat_ogre_LH_running	4	2	true	false	0.1	100	100
Battle_Individual_Vocalisation_Bonebreaker_Walking	wh2_rat_ogre_LH_walking	4	2	true	false	0.1	100	100
Battle_Individual_Vocalisation_Rat_Ogre_Running	wh2_rat_ogre_running	20	10	true	false	0.1	100	100
Battle_Individual_Vocalisation_Rat_Ogre_Walking	wh2_rat_ogre_walking	20	10	true	false	0.1	100	100
Battle_Individual_Vocalisation_Salamander_Running	wh2_salamander_running	20	10	true	false	0.1	100	20
Battle_Individual_Vocalisation_Salamander_Walking	wh2_salamander_walking	20	10	true	false	0.2	100	20
Battle_Individual_Vocalisation_Saurus_Idle	wh2_saurus_idle	20	10	true	false	0.1	100	100
Battle_Individual_Vocalisation_Saurus_Running	wh2_saurus_running	5	1	true	false	0.1	100	100
Battle_Individual_Vocalisation_Saurus_Walking	wh2_saurus_walking	5	1	true	false	0.1	100	100
Battle_Individual_Vocalisation_Skaven_Assassin_Idle	wh2_skaven_assassin_idle	10	4	false	false	0.050000004	100	25
Battle_Individual_Vocalisation_Skaven_Assassin_Running	wh2_skaven_assassin_running	16	8	false	false	0.1	100	100
Battle_Individual_Vocalisation_Skaven_Assassin_Walking	wh2_skaven_assassin_walking	20	10	false	false	0.1	100	100
Battle_Individual_Vocalisation_Skaven_Default_Idle	wh2_skaven_default_idle	10	4	false	false	0.050000004	100	25
Battle_Individual_Vocalisation_Skaven_Default_Running	wh2_skaven_default_running	16	8	false	false	0.1	100	100
Battle_Individual_Vocalisation_Skaven_Default_Walking	wh2_skaven_default_walking	20	10	false	false	0.1	100	100
Battle_Individual_Vocalisation_Skaven_Default_Idle	wh2_skaven_globadiers_idle	8	3	false	false	1	100	25
Battle_Individual_Vocalisation_Skaven_Grey_Seer_Running	wh2_skaven_grey_seer_running	16	8	false	false	0.1	100	100
Battle_Individual_Vocalisation_Skaven_Grey_Seer_Walking	wh2_skaven_grey_seer_walking	20	10	false	false	0.1	100	100
Battle_Individual_Vocalisation_Skaven_Lord_Skrolk_Running	wh2_skaven_lord_skrolk_running	16	8	false	false	0.1	100	100
Battle_Individual_Vocalisation_Skaven_Lord_Skrolk_Walking	wh2_skaven_lord_skrolk_walking	20	10	false	false	0.1	100	100
Battle_Individual_Vocalisation_Skaven_Default_Idle	wh2_skaven_plague_priests_idle	10	4	false	false	0.050000004	100	25
Battle_Individual_Vocalisation_Skaven_Default_Running	wh2_skaven_plague_priests_running	16	8	false	false	0.1	100	100
Battle_Individual_Vocalisation_Skaven_Default_Walking	wh2_skaven_plague_priests_walking	20	10	false	false	0.1	100	100
Battle_Individual_Vocalisation_Skaven_Queek_Headtaker_Walking	wh2_skaven_queek_headtaker_walking	20	10	false	false	0.1	100	100
Battle_Individual_Vocalisation_Skaven_Warlock_Idle	wh2_skaven_warlock_idle	10	4	false	false	0.050000004	100	25
Battle_Individual_Vocalisation_Skaven_Warlock_Master_Running	wh2_skaven_warlock_master_running	16	8	false	false	0.1	100	100
Battle_Individual_Vocalisation_Skaven_Warlock_Master_Walking	wh2_skaven_warlock_master_walking	20	10	false	false	0.1	100	100
Battle_Individual_Vocalisation_Skaven_Warlock_Running	wh2_skaven_warlock_running	16	8	false	false	0.1	100	100
Battle_Individual_Vocalisation_Skaven_Warlock_Walking	wh2_skaven_warlock_walking	20	10	false	false	0.1	100	100
Battle_Individual_Vocalisation_Skaven_Warlord_Running	wh2_skaven_warlord_running	16	8	false	false	0.1	100	100
Battle_Individual_Vocalisation_Skaven_Warlord_Walking	wh2_skaven_warlord_walking	20	10	false	false	0.1	100	100
Battle_Individual_Vocalisation_Skinks_Idle	wh2_skinks_idle	10	4	false	false	0.050000004	100	25
Battle_Individual_Vocalisation_Skinks_Running	wh2_skinks_running	16	8	false	false	0.1	100	100
Battle_Individual_Vocalisation_Skinks_Walking	wh2_skinks_walking	20	10	false	false	0.1	100	100
Battle_Individual_Vocalisation_Terradon_Idle	wh2_terradon_idle	20	10	true	false	0.050000004	100	100
Battle_Individual_Vocalisation_Terradon_Running	wh2_terradon_running	20	10	true	false	0.050000004	100	100
Battle_Individual_Vocalisation_Terradon_Walking	wh2_terradon_walking	20	10	true	false	0.050000004	100	100
Battle_Individual_Vocalisation_tmb_Carrion_Idle	wh2_tmb_carrion_idles	30	20	true	false	0.1	80	0
Battle_Individual_Vocalisation_tmb_Carrion_Running	wh2_tmb_carrion_running	30	20	true	false	0.1	80	0
Battle_Individual_Vocalisation_tmb_Carrion_Walking	wh2_tmb_carrion_walking	30	20	true	false	0.1	80	0
Battle_Individual_Vocalisation_Tomb_Necro_Serpent_Idle	wh2_tmb_necro_serpent_idle	10	5	true	false	0.1	100	20
Battle_Individual_Vocalisation_Tomb_Necro_Serpent_Running	wh2_tmb_necro_serpent_running	10	5	true	false	0.3	100	50
Battle_Individual_Vocalisation_Tomb_Necro_Serpent_Walking	wh2_tmb_necro_serpent_walking	10	5	true	false	0.3	100	50
Battle_Individual_Vocalisation_tmb_Skeleton_Idle	wh2_tmb_skeleton_idle	20	10	false	false	0.050000004	100	100
Battle_Individual_Vocalisation_tmb_Skeleton_Running	wh2_tmb_skeleton_running	20	10	false	false	0.1	100	100
Battle_Individual_Vocalisation_tmb_Skeleton_Walking	wh2_tmb_skeleton_walking	20	10	false	false	0.1	100	100
Battle_Individual_Vocalisation_Tomb_Scorpion_Running	wh2_tmb_tomb_scorpion_running	3	2	true	false	0.1	80	0
Battle_Individual_Vocalisation_Tomb_Scorpion_Walking	wh2_tmb_tomb_scorpion_walking	3	2	true	false	0.1	80	0
Battle_Individual_Vocalisation_tmb_Ushabti_Running	wh2_tmb_ushabti_running	30	15	false	false	0.1	100	100
Battle_Individual_Vocalisation_tmb_Ushabti_Walking	wh2_tmb_ushabti_walking	30	15	false	false	0.1	100	100
Battle_Individual_Vocalisation_Warsphinx_Idle	wh2_warsphinx_idle	20	10	true	false	0.050000004	100	0
Battle_Individual_Vocalisation_Warsphinx_Walking	wh2_warsphinx_running	20	10	true	false	0.2	100	20
Battle_Individual_Vocalisation_Warsphinx_Walking	wh2_warsphinx_walking	20	10	true	false	0.1	80	0
Battle_Individual_Vocalisation_Boar_Idle	wh_boar_idle	20	10	true	false	0.050000004	100	100
Battle_Individual_Vocalisation_Boar_Running	wh_boar_running	20	10	true	false	0.1	100	100
Battle_Individual_Vocalisation_Boar_Walking	wh_boar_walking	20	10	true	false	0.2	100	100
Battle_Individual_Vocalisation_Chaos_Idle_Archaon	wh_chaos_archaon_idle	20	10	false	false	0.1	100	100
Battle_Individual_Vocalisation_Chaos_Running_Archaon	wh_chaos_archaon_running	20	10	false	false	0.1	100	100
Battle_Individual_Vocalisation_Chaos_Walking_Archaon	wh_chaos_archaon_walking	20	10	false	false	0.2	100	100
Battle_Individual_Vocalisation_Chaos_Fatigue_Default	wh_chaos_default_fatigue	20	10	false	false	0.1	100	100
Battle_Individual_Vocalisation_Chaos_Idle_Default	wh_chaos_default_idle	20	10	false	false	0.050000004	100	100
Battle_Individual_Vocalisation_Chaos_Running_Default	wh_chaos_default_running	20	10	false	false	0.1	100	100
Battle_Individual_Vocalisation_Chaos_Walking_Default	wh_chaos_default_walking	20	10	false	false	0.2	100	100
Battle_Individual_Vocalisation_Chaos_Idle_Forsaken	wh_chaos_forsaken_idle	20	10	false	false	0.050000004	100	100
Battle_Individual_Vocalisation_Chaos_Running_Forsaken	wh_chaos_forsaken_running	20	10	false	false	0.1	100	100
Battle_Individual_Vocalisation_Chaos_Walking_Forsaken	wh_chaos_forsaken_walking	20	10	false	false	0.2	100	100
Battle_Individual_Vocalisation_Chaos_Fatigue_Marauder	wh_chaos_marauder_fatigue	20	10	false	false	0.1	100	100
Battle_Individual_Vocalisation_Chaos_Idle_Marauder	wh_chaos_marauder_idle	20	10	false	false	0.050000004	100	100
Battle_Individual_Vocalisation_Chaos_Running_Marauder	wh_chaos_marauder_running	20	10	false	false	0.1	100	100
Battle_Individual_Vocalisation_Chaos_Walking_Marauder	wh_chaos_marauder_walking	20	10	false	false	0.2	100	100
Battle_Individual_Vocalisation_Chaos_Idle_Sigvald	wh_chaos_sigvald_idle	20	10	false	false	0.1	100	100
Battle_Individual_Vocalisation_Chaos_Running_Sigvald	wh_chaos_sigvald_running	20	10	false	false	0.1	100	100
Battle_Individual_Vocalisation_Chaos_Walking_Sigvald	wh_chaos_sigvald_walking	20	10	false	false	0.2	100	100
Battle_Individual_Vocalisation_Crypt_Ghoul_Idle	wh_crypt_ghoul_idle	20	10	false	false	0.050000004	100	100
Battle_Individual_Vocalisation_Crypt_Ghoul_Running	wh_crypt_ghoul_running	20	10	false	false	0.1	100	100
Battle_Individual_Vocalisation_Crypt_Ghoul_Walking	wh_crypt_ghoul_walking	20	10	false	false	0.2	100	100
Battle_Individual_Vocalisation_Crypt_Horror_Idle	wh_crypt_horror_idle	20	10	false	false	0.1	100	100
Battle_Individual_Vocalisation_Crypt_Horror_Running	wh_crypt_horror_running	20	10	false	false	0.1	100	100
Battle_Individual_Vocalisation_Crypt_Horror_Walking	wh_crypt_horror_walking	20	10	false	false	0.2	100	100
Battle_Individual_Vocalisation_Dire_Wolves_Warhound_Idle	wh_dire_wolves_warhound_idle	10	5	true	false	0.050000004	100	100
Battle_Individual_Vocalisation_Dire_Wolves_Warhound_Running	wh_dire_wolves_warhound_running	20	10	true	false	0.1	100	100
Battle_Individual_Vocalisation_Dire_Wolves_Warhound_Walking	wh_dire_wolves_warhounds_walking	20	10	true	false	0.1	100	100
Battle_Individual_Vocalisation_Humanoid_Male_Fatigue_Stop_Grail	wh_dlc_bret_grail_fatigue	20	10	false	false	0.2	100	100
Battle_Individual_Vocalisation_Humanoid_Male_Idle_Grail	wh_dlc_bret_grail_idle	20	10	false	false	0.1	100	100
Battle_Individual_Vocalisation_Humanoid_Male_Running_Grail	wh_dlc_bret_grail_running	20	10	false	false	0.1	100	100
Battle_Individual_Vocalisation_Humanoid_Male_Walking_Grail	wh_dlc_bret_grail_walking	20	10	false	false	0.1	100	100
Battle_Individual_Vocalisation_Humanoid_Male_Idle_Green_Knight	wh_dlc_bret_green_knight_idle	20	10	false	false	0.1	100	100
Battle_Individual_Vocalisation_Centigor_Running	wh_dlc_centigor_running	5	1	true	false	0.1	100	100
Battle_Individual_Vocalisation_Centigor_Walking	wh_dlc_centigor_walking	5	1	true	false	0.1	100	100
Battle_Individual_Vocalisation_Dragon_Large_2_Heads_Idle	wh_dlc_dragon_large_2_heads_idle	20	10	false	false	0.1	100	100
Battle_Individual_Vocalisation_Dragon_Large_2_Heads_Running	wh_dlc_dragon_large_2_heads_running	20	10	false	false	0.1	100	100
Battle_Individual_Vocalisation_Dragon_Large_2_Heads_Walking	wh_dlc_dragon_large_2_heads_walking	20	10	false	false	0.1	100	100
Battle_Individual_Vocalisation_Dragon_Ogre_Large_Idle	wh_dlc_dragon_ogre_large_idle	20	10	false	false	0.1	100	100
Battle_Individual_Vocalisation_Dragon_Ogre_Large_Running	wh_dlc_dragon_ogre_large_running	20	10	false	false	0.1	100	100
Battle_Individual_Vocalisation_Dragon_Ogre_Large_Walking	wh_dlc_dragon_ogre_large_walking	20	10	false	false	0.1	100	100
Battle_Individual_Vocalisation_Dragon_Ogre_Small_Idle	wh_dlc_dragon_ogre_small_idle	20	10	false	false	0.050000004	100	100
Battle_Individual_Vocalisation_Dragon_Ogre_Small_Running	wh_dlc_dragon_ogre_small_running	20	10	false	false	0.1	100	100
