agent_actions_tables	12
ability	agent	attribute	cannot_fail	critical_failure	critical_success	failure	opportune_failure	success	localised_action_name	localised_action_description	unique_id	target_attribute	critical_success_proportion_modifier	opportune_failure_proportion_modifier	critical_failure_proportion_modifier	chance_of_success	voiceover	icon_path	show_action_info_in_ui	subculture	succeed_always_override	order
hinder_settlement	engineer	authority	wh2_main_agent_action_hinder_settlement_cannot_fail_treasure_hunt	wh_main_agent_action_dummy_critical_failure	wh2_main_agent_action_hinder_settlement_cannot_fail_treasure_hunt	wh_main_agent_action_dummy_failure	wh_main_agent_action_dummy_failure	wh2_main_agent_action_hinder_settlement_cannot_fail_treasure_hunt	{{tr:agent_action_name_treasure_hunt}}	[[col:yellow]]Searches the ruined settlement, leading to either a good or bad outcome.[[/col]]	wh2_dlc11_agent_action_engineer_hinder_settlement_treasure_hunt	authority	0	0	0	100	vo_campaign_action_passive	 	false		true	0
hinder_settlement	runesmith	subterfuge	wh2_main_agent_action_hinder_settlement_cannot_fail_treasure_hunt	wh_main_agent_action_dummy_critical_failure	wh2_main_agent_action_hinder_settlement_cannot_fail_treasure_hunt	wh_main_agent_action_dummy_failure	wh_main_agent_action_dummy_failure	wh2_main_agent_action_hinder_settlement_cannot_fail_treasure_hunt	{{tr:agent_action_name_treasure_hunt}}	[[col:yellow]]Searches the ruined settlement, leading to either a good or bad outcome.[[/col]]	wh2_dlc11_agent_action_runesmith_hinder_settlement_treasure_hunt	subterfuge	0	0	0	100	vo_campaign_action_passive	 	false		true	0
assist_province	spy	subterfuge	wh_main_agent_action_dummy_cannot_fail	wh_main_agent_action_dummy_critical_failure	wh_main_agent_action_dummy_critical_success	wh_main_agent_action_dummy_critical_failure	wh_main_agent_action_dummy_critical_failure	wh_main_agent_action_dummy_success	Dig for Treasure	[[col:yellow]]Solve Treasure Maps by digging for treasure at the locations hinted at in the riddles.[[/col]]	wh2_dlc11_agent_action_spy_assist_province	authority	0	0	1	100	vo_campaign_action_own_region	UI/Campaign UI/stance_icons/warhammer2/wh2_dlc11_cst_vampire_coast/MILITARY_FORCE_ACTIVE_STANCE_TYPE_CHANNELING.png	false		true	0
hinder_province	spy	subterfuge	wh_main_agent_action_dummy_cannot_fail	wh_main_agent_action_dummy_critical_failure	wh_main_agent_action_dummy_critical_success	wh_main_agent_action_dummy_critical_failure	wh_main_agent_action_dummy_critical_failure	wh_main_agent_action_dummy_success	Dig for Treasure	[[col:yellow]]Solve Treasure Maps by digging for treasure at the locations hinted at in the riddles.[[/col]]	wh2_dlc11_agent_action_spy_hinder_province	authority	0	0	1	100	vo_campaign_action_enemy_region	UI/Campaign UI/stance_icons/warhammer2/wh2_dlc11_cst_vampire_coast/MILITARY_FORCE_ACTIVE_STANCE_TYPE_CHANNELING.png	false		true	0
hinder_settlement	spy	subterfuge	wh2_main_agent_action_hinder_settlement_cannot_fail_treasure_hunt	wh_main_agent_action_dummy_critical_failure	wh2_main_agent_action_hinder_settlement_cannot_fail_treasure_hunt	wh_main_agent_action_dummy_failure	wh_main_agent_action_dummy_failure	wh2_main_agent_action_hinder_settlement_cannot_fail_treasure_hunt	{{tr:agent_action_name_treasure_hunt}}	[[col:yellow]]Searches the ruined settlement, leading to either a good or bad outcome.[[/col]]	wh2_dlc11_agent_action_spy_hinder_settlement_treasure_hunt	subterfuge	0	0	0	100	vo_campaign_action_passive	 	false		true	0
hinder_settlement	wizard	authority	wh2_main_agent_action_hinder_settlement_cannot_fail_treasure_hunt	wh_main_agent_action_dummy_critical_failure	wh2_main_agent_action_hinder_settlement_cannot_fail_treasure_hunt	wh_main_agent_action_dummy_failure	wh_main_agent_action_dummy_failure	wh2_main_agent_action_hinder_settlement_cannot_fail_treasure_hunt	{{tr:agent_action_name_treasure_hunt}}	[[col:yellow]]Searches the ruined settlement, leading to either a good or bad outcome.[[/col]]	wh2_dlc11_agent_action_wizard_hinder_settlement_treasure_hunt	authority	0	0	0	100	vo_campaign_action_passive	 	false		true	0
hinder_settlement	engineer	authority	wh2_dlc12_agent_action_hinder_settlement_success_expand_underempire	wh2_dlc12_agent_action_hinder_settlement_success_expand_underempire	wh2_dlc12_agent_action_hinder_settlement_success_expand_underempire	wh2_dlc12_agent_action_hinder_settlement_success_expand_underempire	wh2_dlc12_agent_action_hinder_settlement_success_expand_underempire	wh2_dlc12_agent_action_hinder_settlement_success_expand_underempire	{{tr:agent_action_name_expand_underempire}}	[[col:yellow]]Establish an Under-City beneath the target settlement.[[/col]]	wh2_dlc12_agent_action_dignitary_hinder_settlement_expand_underempire	authority	0	0	0	100	vo_campaign_action_enemy_settlement	ui/campaign ui/effect_bundles/dlc12_under_empire.png	true		false	0
hinder_settlement	engineer	authority	wh2_dlc12_agent_action_hinder_settlement_success_expand_underempire_unique	wh2_dlc12_agent_action_hinder_settlement_success_expand_underempire_unique	wh2_dlc12_agent_action_hinder_settlement_success_expand_underempire_unique	wh2_dlc12_agent_action_hinder_settlement_success_expand_underempire_unique	wh2_dlc12_agent_action_hinder_settlement_success_expand_underempire_unique	wh2_dlc12_agent_action_hinder_settlement_success_expand_underempire_unique	Establish Warlock Laboratory	[[col:yellow]]Establish an Under-City beneath the target settlement and instantly create a Laboratory building.[[/col]]\n[[col:red]]This action will kill the Warlock Engineer![[/col]]	wh2_dlc12_agent_action_dignitary_hinder_settlement_expand_underempire_unique	authority	0	0	0	100	vo_campaign_action_enemy_settlement	ui/campaign ui/effect_bundles/dlc12_under_empire.png	true		false	0
assist_army	wizard	authority	wh2_main_agent_action_assist_army_cannot_fail_replenish_troops	wh_main_agent_action_dummy_critical_failure	wh_main_agent_action_dummy_critical_success	wh_main_agent_action_dummy_failure	wh_main_agent_action_dummy_failure	wh_main_agent_action_dummy_success	{{tr:agent_action_name_replenish_troops}}	[[col:yellow]]Increases [[img:icon_replenishment]][[/img]]replenishment of the parent army by %n%.[[/col]]	wh2_dlc12_agent_action_kroak_assist_army_replenish_troops	authority	0	0	1	100	vo_campaign_action_own_army	ui/campaign ui/effect_bundles/replenishment.png	true		true	0
assist_army	wizard	authority	wh2_main_agent_action_assist_army_cannot_fail_training	wh_main_agent_action_dummy_critical_failure	wh_main_agent_action_dummy_critical_success	wh_main_agent_action_dummy_failure	wh_main_agent_action_dummy_failure	wh_main_agent_action_dummy_success	{{tr:agent_action_name_training}}	[[col:yellow]]Grants %n experience per turn to units serving in the parent army.[[/col]]	wh2_dlc12_agent_action_kroak_assist_army_training	authority	0	0	1	100	vo_campaign_action_own_army	ui/campaign ui/effect_bundles/experience.png	true		true	0
passive_ability	wizard	authority	wh2_main_agent_action_passive_cannot_fail_boost_income	wh_main_agent_action_dummy_critical_failure	wh_main_agent_action_dummy_critical_success	wh_main_agent_action_dummy_failure	wh_main_agent_action_dummy_failure	wh_main_agent_action_dummy_success	{{tr:agent_action_name_boost_income}}	[[col:yellow]]Increases the {{tr:icon_income}}income generated by buildings in the local province by %n% (reduces in enemy provinces).[[/col]]	wh2_dlc12_agent_action_kroak_passive_boost_income	authority	0	0	1	100	vo_campaign_action_passive	ui/campaign ui/effect_bundles/income.png	true		true	0
passive_ability	wizard	authority	wh2_main_agent_action_passive_cannot_fail_stimulate_growth	wh_main_agent_action_dummy_critical_failure	wh_main_agent_action_dummy_critical_success	wh_main_agent_action_dummy_failure	wh_main_agent_action_dummy_failure	wh_main_agent_action_dummy_success	{{tr:agent_action_name_stimulate_growth}}	[[col:yellow]]Increases [[img:icon_growth]][[/img]]growth in the local province by %n (reduces in enemy provinces).[[/col]]	wh2_dlc12_agent_action_kroak_passive_stimulate_growth	authority	0	0	1	100	vo_campaign_action_passive	ui/campaign ui/effect_bundles/growth.png	true		true	0
hinder_settlement	wizard	authority	wh2_dlc12_agent_action_kroak_hinder_settlement_success_lord_kroak_success_settlement	wh2_dlc12_agent_action_kroak_hinder_settlement_success_lord_kroak_success_settlement	wh2_dlc12_agent_action_kroak_hinder_settlement_success_lord_kroak_success_settlement	wh2_dlc12_agent_action_kroak_hinder_settlement_success_lord_kroak_success_settlement	wh2_dlc12_agent_action_kroak_hinder_settlement_success_lord_kroak_success_settlement	wh2_dlc12_agent_action_kroak_hinder_settlement_success_lord_kroak_success_settlement	Ultimate Deliverance	[[col:yellow]]Damages the walls, buildings, and lowers the settlement level of the target settlement.[[/col]]	wh2_dlc12_agent_action_wizard_hinder_settlement_kroak_settlement	authority	0	0	0	100	vo_campaign_action_enemy_settlement	ui/campaign ui/effect_bundles/siege_attack.png	true		true	0
hinder_settlement	wizard	authority	wh2_dlc12_agent_action_kroak_hinder_settlement_success_lord_kroak_success_walls_1	wh2_dlc12_agent_action_kroak_hinder_settlement_success_lord_kroak_success_walls_1	wh2_dlc12_agent_action_kroak_hinder_settlement_success_lord_kroak_success_walls_1	wh2_dlc12_agent_action_kroak_hinder_settlement_success_lord_kroak_success_walls_1	wh2_dlc12_agent_action_kroak_hinder_settlement_success_lord_kroak_success_walls_1	wh2_dlc12_agent_action_kroak_hinder_settlement_success_lord_kroak_success_walls_1	Colossal Deliverance	[[col:yellow]]Damages the walls of the target settlement.[[/col]]	wh2_dlc12_agent_action_wizard_hinder_settlement_kroak_walls_1	authority	0	0	0	100	vo_campaign_action_enemy_settlement	ui/campaign ui/effect_bundles/siege_attack.png	true		true	0
hinder_settlement	wizard	authority	wh2_dlc12_agent_action_kroak_hinder_settlement_success_lord_kroak_success_walls_2	wh2_dlc12_agent_action_kroak_hinder_settlement_success_lord_kroak_success_walls_2	wh2_dlc12_agent_action_kroak_hinder_settlement_success_lord_kroak_success_walls_2	wh2_dlc12_agent_action_kroak_hinder_settlement_success_lord_kroak_success_walls_2	wh2_dlc12_agent_action_kroak_hinder_settlement_success_lord_kroak_success_walls_2	wh2_dlc12_agent_action_kroak_hinder_settlement_success_lord_kroak_success_walls_2	Colossal Deliverance	[[col:yellow]]Damages the walls of the target settlement.[[/col]]	wh2_dlc12_agent_action_wizard_hinder_settlement_kroak_walls_2	authority	0	0	0	100	vo_campaign_action_enemy_settlement	ui/campaign ui/effect_bundles/siege_attack.png	true		true	0
assist_army	champion	zeal	wh_main_agent_action_dummy_success	wh_main_agent_action_dummy_critical_failure	wh_main_agent_action_dummy_critical_success	wh_main_agent_action_dummy_failure	wh_main_agent_action_dummy_failure	wh_main_agent_action_dummy_success	Join Army	[[col:yellow]]Joins the parent army to serve in battle.[[/col]]	wh2_main_agent_action_champion_assist_army_green_knight	zeal	0	0	1	100	vo_campaign_action_own_army	ui/campaign ui/effect_bundles/placeholder.png	false		true	0
assist_army	champion	zeal	wh2_main_agent_action_assist_army_cannot_fail_replenish_troops	wh_main_agent_action_dummy_critical_failure	wh_main_agent_action_dummy_critical_success	wh_main_agent_action_dummy_failure	wh_main_agent_action_dummy_failure	wh_main_agent_action_dummy_success	{{tr:agent_action_name_replenish_troops}}	[[col:yellow]]Increases [[img:icon_replenishment]][[/img]]replenishment of the parent army by %n%.[[/col]]	wh2_main_agent_action_champion_assist_army_replenish_troops	zeal	0	0	1	100	vo_campaign_action_own_army	ui/campaign ui/effect_bundles/replenishment.png	true		true	0
assist_army	champion	zeal	wh2_main_agent_action_assist_army_cannot_fail_scavenge	wh_main_agent_action_dummy_critical_failure	wh_main_agent_action_dummy_critical_success	wh_main_agent_action_dummy_failure	wh_main_agent_action_dummy_failure	wh_main_agent_action_dummy_success	{{tr:agent_action_name_scavenge}}	[[col:yellow]]Increases the {{tr:icon_income}}income of post-battle loot earned by the parent army by %n%.[[/col]]	wh2_main_agent_action_champion_assist_army_scavenge	subterfuge	0	0	1	100	vo_campaign_action_own_army	ui/campaign ui/effect_bundles/income.png	true		true	0
assist_army	champion	zeal	wh2_main_agent_action_assist_army_cannot_fail_scouting	wh_main_agent_action_dummy_critical_failure	wh_main_agent_action_dummy_critical_success	wh_main_agent_action_dummy_failure	wh_main_agent_action_dummy_failure	wh_main_agent_action_dummy_success	{{tr:agent_action_name_scouting}}	[[col:yellow]]Increases the parent army's chance of finding a magic item after winning a battle by %n%.[[/col]]	wh2_main_agent_action_champion_assist_army_scouting	subterfuge	0	0	1	100	vo_campaign_action_own_army	ui/campaign ui/effect_bundles/item_ability.png	true		true	0
assist_army	champion	zeal	wh2_main_agent_action_assist_army_cannot_fail_training	wh_main_agent_action_dummy_critical_failure	wh_main_agent_action_dummy_critical_success	wh_main_agent_action_dummy_failure	wh_main_agent_action_dummy_failure	wh_main_agent_action_dummy_success	{{tr:agent_action_name_training}}	[[col:yellow]]Grants %n experience per turn to units serving in the parent army.[[/col]]	wh2_main_agent_action_champion_assist_army_training	zeal	0	0	1	100	vo_campaign_action_own_army	ui/campaign ui/effect_bundles/experience.png	true		true	0
hinder_agent	champion	zeal	wh_main_agent_action_dummy_cannot_fail	wh_main_agent_action_all_hinder_character_critical_failure	wh_main_agent_action_all_hinder_agent_critical_success	wh_main_agent_action_all_hinder_character_failure	wh_main_agent_action_all_hinder_character_failure	wh_main_agent_action_all_hinder_agent_success	{{tr:agent_action_name_assassinate}}	[[col:yellow]]Kills the target [[img:icon_hero]][[/img]]Hero.[[/col]]	wh2_main_agent_action_champion_hinder_agent_assassinate	zeal	3	0	0.5	35	vo_campaign_action_enemy_character	ui/campaign ui/effect_bundles/subterfuge.png	true		false	0
hinder_agent	champion	zeal	wh_main_agent_action_dummy_cannot_fail	wh_main_agent_action_all_hinder_character_critical_failure	wh_main_agent_action_all_hinder_agent_success	wh_main_agent_action_all_hinder_character_failure	wh_main_agent_action_all_hinder_character_failure	wh_main_agent_action_all_hinder_agent_success	{{tr:agent_action_name_wound}}	[[col:yellow]]Wounds the target [[img:icon_hero]][[/img]]Hero.[[/col]]	wh2_main_agent_action_champion_hinder_agent_wound	zeal	0	0	1	30	vo_campaign_action_enemy_character	ui/campaign ui/effect_bundles/wound_time.png	true		false	0
hinder_army	champion	zeal	wh_main_agent_action_dummy_cannot_fail	wh_main_agent_action_all_hinder_army_critical_failure	wh2_main_agent_action_hinder_army_success_assault_units	wh_main_agent_action_all_hinder_army_failure	wh_main_agent_action_all_hinder_army_failure	wh2_main_agent_action_hinder_army_success_assault_units	{{tr:agent_action_name_assault_units}}	[[col:yellow]]Inflicts damage upon all units in the target army.[[/col]]	wh2_main_agent_action_champion_hinder_army_assault_units	zeal	0	0	0.75	50	vo_campaign_action_enemy_army	ui/campaign ui/effect_bundles/disaster.png	true		false	0
hinder_army	champion	zeal	wh2_main_agent_action_hinder_army_success_block_army	wh_main_agent_action_all_hinder_army_critical_failure	wh2_main_agent_action_hinder_army_success_block_army	wh_main_agent_action_all_hinder_army_failure	wh_main_agent_action_all_hinder_army_failure	wh2_main_agent_action_hinder_army_success_block_army	{{tr:agent_action_name_block_army}}	[[col:yellow]]Modifies the campaign movement range of the target army by %n%.[[/col]]	wh2_main_agent_action_champion_hinder_army_block_army	zeal	0	0	0.5	50	vo_campaign_action_enemy_army	ui/campaign ui/effect_bundles/campaign_movement.png	true		false	0
hinder_army	champion	zeal	wh2_main_agent_action_hinder_army_success_hinder_replenishment	wh_main_agent_action_all_hinder_army_critical_failure	wh2_main_agent_action_hinder_army_success_hinder_replenishment	wh_main_agent_action_all_hinder_army_failure	wh_main_agent_action_all_hinder_army_failure	wh2_main_agent_action_hinder_army_success_hinder_replenishment	{{tr:agent_action_name_hinder_replenishment}}	[[col:yellow]]Modifies the [[img:icon_replenishment]][[/img]]replenishment of the target army by %n%.[[/col]]	wh2_main_agent_action_champion_hinder_army_hinder_replenishment	authority	0	0	1	45	vo_campaign_action_enemy_army	ui/campaign ui/effect_bundles/replenishment.png	true		false	0
hinder_settlement	champion	zeal	wh_main_agent_action_dummy_cannot_fail	wh_main_agent_action_all_hinder_settlement_critical_failure	wh2_main_agent_action_hinder_settlement_success_assault_garrison	wh_main_agent_action_all_hinder_settlement_failure	wh_main_agent_action_all_hinder_settlement_failure	wh2_main_agent_action_hinder_settlement_success_assault_garrison	{{tr:agent_action_name_assault_garrison}}	[[col:yellow]]Inflicts damage upon the garrison of the target settlement.[[/col]]	wh2_main_agent_action_champion_hinder_settlement_assault_garrison	zeal	0	0	0.75	50	vo_campaign_action_enemy_settlement	ui/campaign ui/effect_bundles/siege_defence.png	true		false	0
hinder_settlement	champion	zeal	wh_main_agent_action_dummy_cannot_fail	wh_main_agent_action_all_hinder_settlement_critical_failure	wh2_main_agent_action_hinder_settlement_success_damage_building	wh_main_agent_action_all_hinder_settlement_failure	wh_main_agent_action_all_hinder_settlement_failure	wh2_main_agent_action_hinder_settlement_success_damage_building	{{tr:agent_action_name_damage_building}}	[[col:yellow]]Inflicts damage upon a building in the target settlement.[[/col]]	wh2_main_agent_action_champion_hinder_settlement_damage_building	authority	0	0	1	45	vo_campaign_action_enemy_settlement	ui/campaign ui/effect_bundles/siege_attack.png	true		false	0
hinder_settlement	champion	zeal	wh2_main_agent_action_hinder_settlement_success_damage_walls	wh_main_agent_action_all_hinder_settlement_critical_failure	wh2_main_agent_action_hinder_settlement_success_damage_walls	wh_main_agent_action_all_hinder_settlement_failure	wh_main_agent_action_all_hinder_settlement_failure	wh2_main_agent_action_hinder_settlement_success_damage_walls	{{tr:agent_action_name_damage_walls}}	[[col:yellow]]Damages the walls of the target settlement.[[/col]]	wh2_main_agent_action_champion_hinder_settlement_damage_walls	zeal	0	0	0.5	60	vo_campaign_action_enemy_settlement	ui/campaign ui/effect_bundles/siege_attack.png	true		false	0
hinder_settlement	champion	zeal	wh2_main_agent_action_hinder_settlement_success_gain_influence	wh_main_agent_action_all_hinder_settlement_critical_failure	wh2_main_agent_action_hinder_settlement_success_gain_influence	wh_main_agent_action_all_hinder_settlement_failure	wh_main_agent_action_all_hinder_settlement_failure	wh2_main_agent_action_hinder_settlement_success_gain_influence	{{tr:agent_action_name_gain_influence}}	[[col:yellow]]Gains %n [[img:icon_influence]][[/img]]influence.[[/col]]	wh2_main_agent_action_champion_hinder_settlement_gain_influence	zeal	0	0	0.5	60	vo_campaign_action_enemy_settlement	ui/campaign ui/effect_bundles/intrigue.png	true		false	0
hinder_settlement	champion	zeal	wh2_main_agent_action_hinder_settlement_cannot_fail_scout_settlement	wh_main_agent_action_dummy_critical_failure	wh2_main_agent_action_hinder_settlement_cannot_fail_scout_settlement	wh_main_agent_action_dummy_failure	wh_main_agent_action_dummy_failure	wh2_main_agent_action_hinder_settlement_cannot_fail_scout_settlement	{{tr:agent_action_name_scout_settlement}}	[[col:yellow]]Scouts the ruined settlement to reveal any hidden threats.[[/col]]	wh2_main_agent_action_champion_hinder_settlement_scout_settlement	zeal	0	0	0	100	vo_campaign_action_passive	 	false		true	0
passive_ability	champion	zeal	wh2_main_agent_action_passive_cannot_fail_increase_trade	wh_main_agent_action_dummy_critical_failure	wh_main_agent_action_dummy_critical_success	wh_main_agent_action_dummy_failure	wh_main_agent_action_dummy_failure	wh_main_agent_action_dummy_success	{{tr:agent_action_name_increase_trade}}	[[col:yellow]]Increases tradable resources produced in the local province by %n%.[[/col]]	wh2_main_agent_action_champion_passive_increase_trade	zeal	0	0	1	100	vo_campaign_action_passive	ui/campaign ui/effect_bundles/trade_agreement.png	true		true	0
passive_ability	champion	zeal	wh2_main_agent_action_passive_cannot_fail_spread_corruption	wh_main_agent_action_dummy_critical_failure	wh_main_agent_action_dummy_critical_success	wh_main_agent_action_dummy_failure	wh_main_agent_action_dummy_failure	wh_main_agent_action_dummy_success	{{tr:agent_action_name_spread_corruption}}	[[col:yellow]]Increases the amount of [[img:icon_corruption_vmp]][[/img]]Vampiric corruption in the local province by %n.[[/col]]	wh2_main_agent_action_champion_passive_spread_corruption_vmp	authority	0	0	1	100	vo_campaign_action_passive	ui/campaign ui/effect_bundles/religion_undeath.png	true		true	0
passive_ability	champion	zeal	wh2_main_agent_action_passive_cannot_fail_spread_public_order	wh_main_agent_action_dummy_critical_failure	wh_main_agent_action_dummy_critical_success	wh_main_agent_action_dummy_failure	wh_main_agent_action_dummy_failure	wh_main_agent_action_dummy_success	{{tr:agent_action_name_spread_public_order}}	[[col:yellow]]Increases [[img:icon_public_order]][[/img]]{{tr:hp_campaign_public_order_term}} in the local province by %n (reduces in enemy provinces).[[/col]]	wh2_main_agent_action_champion_passive_spread_public_order	zeal	0	0	1	100	vo_campaign_action_passive	ui/campaign ui/effect_bundles/public_order.png	true		true	0
passive_ability	champion	zeal	wh2_main_agent_action_passive_cannot_fail_spread_public_order_horde	wh_main_agent_action_dummy_critical_failure	wh_main_agent_action_dummy_critical_success	wh_main_agent_action_dummy_failure	wh_main_agent_action_dummy_failure	wh_main_agent_action_dummy_success	{{tr:agent_action_name_spread_public_order}}	[[col:yellow]]Modifies [[img:icon_public_order]][[/img]]{{tr:hp_campaign_public_order_term}} in the local province by %n.[[/col]]	wh2_main_agent_action_champion_passive_spread_public_order_horde	zeal	0	0	1	100	vo_campaign_action_passive	ui/campaign ui/effect_bundles/public_order.png	true		true	0
