technology_nodes_tables	3
campaign_key	faction_key	indent	key	technology_key	technology_node_set	tier	research_points_required	cost_per_round	food_cost	optional_ui_group	resource_cost
		3	tech_chs_branch_4_1	tech_chs_branch_4_1	chs_mil	7	2000	0	0		
		4	tech_chs_branch_4_2	tech_chs_branch_4_2	chs_mil	7	2000	0	0		
		5	tech_chs_branch_4_3	tech_chs_branch_4_3	chs_mil	7	2000	0	0		
		6	tech_chs_branch_4_4	tech_chs_branch_4_4	chs_mil	7	2000	0	0		
		7	tech_chs_branch_4_5	tech_chs_branch_4_5	chs_mil	7	2000	0	0		
		3	tech_chs_branch_5_1	tech_chs_branch_5_1	chs_mil	9	2500	0	0		
		4	tech_chs_branch_5_2	tech_chs_branch_5_2	chs_mil	9	2500	0	0		
		5	tech_chs_branch_5_3	tech_chs_branch_5_3	chs_mil	9	2500	0	0		
		6	tech_chs_branch_5_4	tech_chs_branch_5_4	chs_mil	9	2500	0	0		
		7	tech_chs_branch_5_5	tech_chs_branch_5_5	chs_mil	9	2500	0	0		
		1	tech_chs_main_1	tech_chs_main_1	chs_mil	0	100	2500	0		
		1	tech_chs_main_2	tech_chs_main_2	chs_mil	2	100	5000	0		
		1	tech_chs_main_3	tech_chs_main_3	chs_mil	4	100	10000	0		
		1	tech_chs_main_4	tech_chs_main_4	chs_mil	6	100	20000	0		
		1	tech_chs_main_5	tech_chs_main_5	chs_mil	8	100	40000	0		
		1	tech_cst_admirals_00	tech_cst_admirals_00	cst_mil	5	600	0	0	cst_5	
		0	tech_cst_admirals_01	tech_cst_admirals_01	cst_mil	6	100	0	0	cst_5	wh2_dlc11_admiral_tech_cost
		1	tech_cst_admirals_02	tech_cst_admirals_02	cst_mil	6	100	0	0	cst_5	wh2_dlc11_admiral_tech_cost
		2	tech_cst_admirals_03	tech_cst_admirals_03	cst_mil	6	100	0	0	cst_5	wh2_dlc11_admiral_tech_cost
		3	tech_cst_admirals_04	tech_cst_admirals_04	cst_mil	6	100	0	0	cst_5	wh2_dlc11_admiral_tech_cost
		1	tech_cst_command_00	tech_cst_command_00	cst_mil	0	300	0	0	cst_1	
		2	tech_cst_command_01	tech_cst_command_01	cst_mil	2	800	0	0	cst_1	
		0	tech_cst_command_02	tech_cst_command_02	cst_mil	4	1000	0	0	cst_1	
		2	tech_cst_command_03	tech_cst_command_03	cst_mil	4	1000	0	0	cst_1	
		1	tech_cst_command_04	tech_cst_command_04	cst_mil	1	600	0	0	cst_1	
		0	tech_cst_command_05	tech_cst_command_05	cst_mil	1	600	0	0	cst_1	
		3	tech_cst_command_06	tech_cst_command_06	cst_mil	4	1000	0	0	cst_1	
		1	tech_cst_command_07	tech_cst_command_07	cst_mil	3	800	0	0	cst_1	
		2	tech_cst_command_08	tech_cst_command_08	cst_mil	1	600	0	0	cst_1	
		2	tech_cst_command_09	tech_cst_command_09	cst_mil	3	800	0	0	cst_1	
		3	tech_cst_command_10	tech_cst_command_10	cst_mil	1	600	0	0	cst_1	
		3	tech_cst_command_11	tech_cst_command_11	cst_mil	2	800	0	0	cst_1	
		3	tech_cst_command_12	tech_cst_command_12	cst_mil	3	800	0	0	cst_1	
		6	tech_cst_firearms_00	tech_cst_firearms_00	cst_mil	0	300	0	0	cst_2	
		5	tech_cst_firearms_01	tech_cst_firearms_01	cst_mil	1	600	0	0	cst_2	
		5	tech_cst_firearms_02	tech_cst_firearms_02	cst_mil	2	800	0	0	cst_2	
		5	tech_cst_firearms_03	tech_cst_firearms_03	cst_mil	3	1000	0	0	cst_2	
		6	tech_cst_firearms_04	tech_cst_firearms_04	cst_mil	1	600	0	0	cst_2	
		6	tech_cst_firearms_05	tech_cst_firearms_05	cst_mil	3	1000	0	0	cst_2	
		6	tech_cst_firearms_06	tech_cst_firearms_06	cst_mil	2	800	0	0	cst_2	
		8	tech_cst_firearms_07	tech_cst_firearms_07	cst_mil	2	800	0	0	cst_2	
		8	tech_cst_firearms_08	tech_cst_firearms_08	cst_mil	3	1000	0	0	cst_2	
		8	tech_cst_firearms_09	tech_cst_firearms_09	cst_mil	1	600	0	0	cst_2	
		0	tech_cst_piracy_00	tech_cst_piracy_00	cst_mil	2	800	0	0	cst_1	
		0	tech_cst_piracy_01	tech_cst_piracy_01	cst_mil	3	800	0	0	cst_1	
		7	tech_cst_piracy_02	tech_cst_piracy_02	cst_mil	2	800	0	0	cst_2	
		7	tech_cst_piracy_03	tech_cst_piracy_03	cst_mil	5	600	0	0	cst_3	
		7	tech_cst_piracy_05	tech_cst_piracy_05	cst_mil	3	1000	0	0	cst_2	
		7	tech_cst_piracy_13	tech_cst_piracy_13	cst_mil	1	600	0	0	cst_2	
		1	tech_cst_piracy_14	tech_cst_piracy_14	cst_mil	2	800	0	0	cst_1	
		6	tech_cst_vampiric_00	tech_cst_vampiric_00	cst_mil	4	300	0	0	cst_3	
		5	tech_cst_vampiric_01	tech_cst_vampiric_01	cst_mil	5	600	0	0	cst_3	
		5	tech_cst_vampiric_02	tech_cst_vampiric_02	cst_mil	6	800	0	0	cst_3	
		5	tech_cst_vampiric_03	tech_cst_vampiric_03	cst_mil	7	1000	0	0	cst_3	
		6	tech_cst_vampiric_04	tech_cst_vampiric_04	cst_mil	5	600	0	0	cst_3	
		1	tech_cst_vampiric_05	tech_cst_vampiric_05	cst_mil	4	1000	0	0	cst_1	
		7	tech_cst_vampiric_06	tech_cst_vampiric_06	cst_mil	6	800	0	0	cst_3	
		6	tech_cst_vampiric_07	tech_cst_vampiric_07	cst_mil	6	800	0	0	cst_3	
		6	tech_cst_vampiric_08	tech_cst_vampiric_08	cst_mil	7	1000	0	0	cst_3	
		7	tech_cst_vampiric_09	tech_cst_vampiric_09	cst_mil	7	1000	0	0	cst_3	
		8	tech_cst_vampiric_10	tech_cst_vampiric_10	cst_mil	6	800	0	0	cst_3	
		8	tech_cst_vampiric_11	tech_cst_vampiric_11	cst_mil	5	600	0	0	cst_3	
		8	tech_cst_vampiric_12	tech_cst_vampiric_12	cst_mil	7	1000	0	0	cst_3	
		4	tech_def_0_0_0	tech_def_0_0_0	def_mil	0	0	0	0		
		1	tech_def_0_1_0	tech_def_0_1_0	def_mil	1	400	0	0		
		0	tech_def_0_1_1	tech_def_0_1_1	def_mil	2	600	0	0		
		1	tech_def_0_1_2	tech_def_0_1_2	def_mil	2	600	0	0		
		2	tech_def_0_1_3	tech_def_0_1_3	def_mil	2	600	0	0		
		4	tech_def_0_2_0	tech_def_0_2_0	def_mil	1	400	0	0		
		3	tech_def_0_2_1	tech_def_0_2_1	def_mil	2	600	0	0		
		4	tech_def_0_2_2	tech_def_0_2_2	def_mil	2	600	0	0		
		5	tech_def_0_2_3	tech_def_0_2_3	def_mil	2	600	0	0		
		7	tech_def_0_3_0	tech_def_0_3_0	def_mil	1	400	0	0		
		6	tech_def_0_3_1	tech_def_0_3_1	def_mil	2	600	0	0		
		7	tech_def_0_3_2	tech_def_0_3_2	def_mil	2	600	0	0		
		8	tech_def_0_3_3	tech_def_0_3_3	def_mil	2	600	0	0		
		4	tech_def_1_0_0	tech_def_1_0_0	def_mil	3	100	2000	0		
		1	tech_def_1_1_0	tech_def_1_1_0	def_mil	4	600	0	0		
		0	tech_def_1_1_1	tech_def_1_1_1	def_mil	5	800	0	0		
		1	tech_def_1_1_2	tech_def_1_1_2	def_mil	5	800	0	0		
		2	tech_def_1_1_3	tech_def_1_1_3	def_mil	5	800	0	0		
		4	tech_def_1_2_0	tech_def_1_2_0	def_mil	4	600	0	0		
		3	tech_def_1_2_1	tech_def_1_2_1	def_mil	5	800	0	0		
		4	tech_def_1_2_2	tech_def_1_2_2	def_mil	5	800	0	0		
		5	tech_def_1_2_3	tech_def_1_2_3	def_mil	5	800	0	0		
		7	tech_def_1_3_0	tech_def_1_3_0	def_mil	4	600	0	0		
		6	tech_def_1_3_1	tech_def_1_3_1	def_mil	5	800	0	0		
		7	tech_def_1_3_2	tech_def_1_3_2	def_mil	5	800	0	0		
		8	tech_def_1_3_3	tech_def_1_3_3	def_mil	5	800	0	0		
	wh2_main_def_cult_of_pleasure	8	tech_def_1_3_3_slaanesh	tech_def_1_3_3_slaanesh	def_mil	5	600	0	0		
		4	tech_def_2_0_0	tech_def_2_0_0	def_mil	6	100	5000	0		
		1	tech_def_2_1_0	tech_def_2_1_0	def_mil	7	800	0	0		
		0	tech_def_2_1_1	tech_def_2_1_1	def_mil	8	1000	0	0		
		1	tech_def_2_1_2	tech_def_2_1_2	def_mil	8	1000	0	0		
		2	tech_def_2_1_3	tech_def_2_1_3	def_mil	8	1000	0	0		
		4	tech_def_2_2_0	tech_def_2_2_0	def_mil	7	800	0	0		
		3	tech_def_2_2_1	tech_def_2_2_1	def_mil	8	1000	0	0		
		4	tech_def_2_2_2	tech_def_2_2_2	def_mil	8	1000	0	0		
		5	tech_def_2_2_3	tech_def_2_2_3	def_mil	8	1000	0	0		
		7	tech_def_2_3_0	tech_def_2_3_0	def_mil	7	800	0	0		
		6	tech_def_2_3_1	tech_def_2_3_1	def_mil	8	1000	0	0		
		7	tech_def_2_3_2	tech_def_2_3_2	def_mil	8	1000	0	0		
		8	tech_def_2_3_3	tech_def_2_3_3	def_mil	8	1000	0	0		
		4	tech_def_3_0_0	tech_def_3_0_0	def_mil	9	100	12500	0		
		1	tech_def_3_1_0	tech_def_3_1_0	def_mil	10	1000	0	0		
		0	tech_def_3_1_1	tech_def_3_1_1	def_mil	11	1200	0	0		
		1	tech_def_3_1_2	tech_def_3_1_2	def_mil	11	1200	0	0		
		2	tech_def_3_1_3	tech_def_3_1_3	def_mil	11	1200	0	0		
		4	tech_def_3_2_0	tech_def_3_2_0	def_mil	10	1000	0	0		
		3	tech_def_3_2_1	tech_def_3_2_1	def_mil	11	1200	0	0		
		4	tech_def_3_2_2	tech_def_3_2_2	def_mil	11	1200	0	0		
		5	tech_def_3_2_3	tech_def_3_2_3	def_mil	11	1200	0	0		
		7	tech_def_3_3_0	tech_def_3_3_0	def_mil	10	1000	0	0		
		6	tech_def_3_3_1	tech_def_3_3_1	def_mil	11	1200	0	0		
		7	tech_def_3_3_2	tech_def_3_3_2	def_mil	11	1200	0	0		
	wh2_main_def_cult_of_pleasure	7	tech_def_3_3_2_slaanesh	tech_def_3_3_2_slaanesh	def_mil	11	1200	0	0		
		8	tech_def_3_3_3	tech_def_3_3_3	def_mil	11	1200	0	0		
		2	tech_dlc03_bst_actions_1	tech_dlc03_bst_vitriolic_temperament	bst_mil	0	700	0	0		
		2	tech_dlc03_bst_actions_2	tech_dlc03_bst_true_horn	bst_mil	1	700	0	0		
		2	tech_dlc03_bst_actions_3	tech_dlc03_bst_the_days_of_wrath	bst_mil	2	700	0	0		
		3	tech_dlc03_bst_actions_4	tech_dlc03_bst_twisted_visions	bst_mil	1	700	0	0		
		3	tech_dlc03_bst_actions_5	tech_dlc03_bst_messenger_of_the_bray	bst_mil	2	700	0	0		
		6	tech_dlc03_bst_income_1	tech_dlc03_bst_blood_grounds	bst_mil	0	700	0	0		
		6	tech_dlc03_bst_income_2	tech_dlc03_bst_the_rewards_of_ruin	bst_mil	1	700	0	0		
		6	tech_dlc03_bst_income_3	tech_dlc03_bst_bountiful_herdstone	bst_mil	2	700	0	0		
		7	tech_dlc03_bst_income_4	tech_dlc03_bst_the_endless_hunt	bst_mil	1	700	0	0		
		7	tech_dlc03_bst_income_5	tech_dlc03_bst_fell_rituals	bst_mil	2	700	0	0		
		6	tech_dlc03_bst_income_6	tech_dlc03_bst_gaze_of_the_dark_gods	bst_mil	3	1	5000	0		
		0	tech_dlc03_bst_leadership_1	tech_dlc03_bst_grisly_trophies	bst_mil	0	700	0	0		
		0	tech_dlc03_bst_leadership_2	tech_dlc03_bst_ancient_paths	bst_mil	1	700	0	0		
		0	tech_dlc03_bst_leadership_3	tech_dlc03_bst_heart_of_the_dark	bst_mil	2	700	0	0		
		1	tech_dlc03_bst_leadership_4	tech_dlc03_bst_hives_of_pestilence	bst_mil	1	700	0	0		
		1	tech_dlc03_bst_leadership_5	tech_dlc03_bst_gore_drunk	bst_mil	2	700	0	0		
		0	tech_dlc03_bst_leadership_6	tech_dlc03_bst_the_path_to_war	bst_mil	3	1	5000	0		
		0	tech_dlc03_bst_research_1	tech_dlc03_bst_the_seed_of_hate	bst_mil	5	1	5000	0		
		2	tech_dlc03_bst_research_2	tech_dlc03_bst_worship_of_the_ruinous_powers	bst_mil	5	1	10000	0		
		4	tech_dlc03_bst_research_3	tech_dlc03_bst_sacrifice_to_morslieh	bst_mil	5	1	15000	0		
		6	tech_dlc03_bst_research_4	tech_dlc03_bst_blessings_of_the_dark_gods	bst_mil	5	1	20000	0		
		8	tech_dlc03_bst_research_5	tech_dlc03_bst_embrace_of_chaos	bst_mil	5	1	25000	0		
		4	tech_dlc03_bst_stats_1	tech_dlc03_bst_drunken_fury	bst_mil	0	700	0	0		
		4	tech_dlc03_bst_stats_2	tech_dlc03_bst_defiled_honour	bst_mil	1	700	0	0		
		4	tech_dlc03_bst_stats_3	tech_dlc03_bst_man_cleavers	bst_mil	2	700	0	0		
		5	tech_dlc03_bst_stats_4	tech_dlc03_bst_the_kalkengard_larder	bst_mil	1	700	0	0		
		5	tech_dlc03_bst_stats_5	tech_dlc03_bst_encircled_prey	bst_mil	2	700	0	0		
		0	tech_dlc07_brt_chivalry_beastmen_1	tech_dlc07_brt_chivalry_beastmen_1	brt_mil	2	500	0	0		
		6	tech_dlc07_brt_chivalry_chaos_1	tech_dlc07_brt_chivalry_chaos_1	brt_mil	3	600	0	0		
		0	tech_dlc07_brt_chivalry_dark_elves	tech_dlc07_brt_chivalry_dark_elves	brt_mil	1	600	0	0		
		4	tech_dlc07_brt_chivalry_greenskins_1	tech_dlc07_brt_chivalry_greenskins_1	brt_mil	2	300	0	0		
		5	tech_dlc07_brt_chivalry_greenskins_2	tech_dlc07_brt_chivalry_greenskins_2	brt_mil	2	400	0	0		
		4	tech_dlc07_brt_chivalry_norsca_1	tech_dlc07_brt_chivalry_norsca_1	brt_mil	3	300	0	0		
		5	tech_dlc07_brt_chivalry_norsca_2	tech_dlc07_brt_chivalry_norsca_2	brt_mil	3	400	0	0		
		0	tech_dlc07_brt_chivalry_skaven	tech_dlc07_brt_chivalry_skaven	brt_mil	4	600	0	0		
		4	tech_dlc07_brt_chivalry_tomb_kings	tech_dlc07_brt_chivalry_tomb_kings	brt_mil	4	800	0	0		
		0	tech_dlc07_brt_chivalry_vampires_1	tech_dlc07_brt_chivalry_vampires_1	brt_mil	0	500	0	0		
		0	tech_dlc07_brt_chivalry_wood_elves_1	tech_dlc07_brt_chivalry_wood_elves_1	brt_mil	3	500	0	0		
		4	tech_dlc07_brt_economy_farm_1	tech_dlc07_brt_economy_farm_1	brt_mil	7	500	0	0		
		4	tech_dlc07_brt_economy_farm_2	tech_dlc07_brt_economy_farm_2	brt_mil	8	500	0	0		
		5	tech_dlc07_brt_economy_farm_3	tech_dlc07_brt_economy_farm_3	brt_mil	7	1000	0	0		
		5	tech_dlc07_brt_economy_farm_4	tech_dlc07_brt_economy_farm_4	brt_mil	8	1500	0	0		
		5	tech_dlc07_brt_economy_farm_farriers	tech_dlc07_brt_economy_farm_farriers	brt_mil	9	600	0	0		
		4	tech_dlc07_brt_economy_farm_hay	tech_dlc07_brt_economy_farm_hay	brt_mil	9	600	0	0		
		5	tech_dlc07_brt_economy_farm_hoods	tech_dlc07_brt_economy_farm_hoods	brt_mil	10	600	0	0		
		7	tech_dlc07_brt_economy_industry_1	tech_dlc07_brt_economy_industry_1	brt_mil	7	500	0	0		
		7	tech_dlc07_brt_economy_industry_2	tech_dlc07_brt_economy_industry_2	brt_mil	8	500	0	0		
		8	tech_dlc07_brt_economy_industry_3	tech_dlc07_brt_economy_industry_3	brt_mil	7	1000	0	0		
		8	tech_dlc07_brt_economy_industry_4	tech_dlc07_brt_economy_industry_4	brt_mil	8	1000	0	0		
		6	tech_dlc07_brt_economy_industry_mines	tech_dlc07_brt_economy_industry_mines	brt_mil	9	500	0	0		
		7	tech_dlc07_brt_economy_industry_pottery	tech_dlc07_brt_economy_industry_pottery	brt_mil	9	600	0	0		
		7	tech_dlc07_brt_economy_industry_start	tech_dlc07_brt_economy_industry_start	brt_mil	6	1	3000	0		
		6	tech_dlc07_brt_economy_industry_steel	tech_dlc07_brt_economy_industry_steel	brt_mil	10	1200	0	0		
		7	tech_dlc07_brt_economy_industry_swords	tech_dlc07_brt_economy_industry_swords	brt_mil	10	1200	0	0		
		8	tech_dlc07_brt_economy_industry_tournaments	tech_dlc07_brt_economy_industry_tournaments	brt_mil	10	1500	0	0		
		1	tech_dlc07_brt_economy_other_1	tech_dlc07_brt_economy_other_1	brt_mil	7	600	0	0		
		1	tech_dlc07_brt_economy_other_2	tech_dlc07_brt_economy_other_2	brt_mil	8	600	0	0		
		0	tech_dlc07_brt_economy_other_3	tech_dlc07_brt_economy_other_3	brt_mil	7	1	2000	0		
		0	tech_dlc07_brt_economy_other_4	tech_dlc07_brt_economy_other_4	brt_mil	8	1	2000	0		
		1	tech_dlc07_brt_economy_other_carpenters	tech_dlc07_brt_economy_other_carpenters	brt_mil	9	1200	0	0		
		2	tech_dlc07_brt_economy_other_draft	tech_dlc07_brt_economy_other_draft	brt_mil	9	1200	0	0		
		0	tech_dlc07_brt_economy_other_fanaticism	tech_dlc07_brt_economy_other_fanaticism	brt_mil	9	1200	0	0		
		2	tech_dlc07_brt_economy_other_fletchers	tech_dlc07_brt_economy_other_fletchers	brt_mil	10	1200	0	0		
		3	tech_dlc07_brt_economy_other_siege	tech_dlc07_brt_economy_other_siege	brt_mil	10	1000	0	0		
		1	tech_dlc07_brt_economy_other_spears	tech_dlc07_brt_economy_other_spears	brt_mil	10	1200	0	0		
		0	tech_dlc07_brt_economy_other_tithes	tech_dlc07_brt_economy_other_tithes	brt_mil	10	1	10000	0		
		2	tech_dlc07_brt_economy_start	tech_dlc07_brt_economy_start	brt_mil	6	500	0	0		
		2	tech_dlc07_brt_economy_trade_1	tech_dlc07_brt_economy_trade_1	brt_mil	7	1	4000	0		
		2	tech_dlc07_brt_economy_trade_2	tech_dlc07_brt_economy_trade_2	brt_mil	8	1	8000	50		
		4	tech_dlc07_brt_heraldry_artois	tech_dlc07_brt_heraldry_artois	brt_mil	0	600	0	0		
		5	tech_dlc07_brt_heraldry_bastonne	tech_dlc07_brt_heraldry_bastonne	brt_mil	1	600	0	0		
	wh_main_brt_bretonnia	6	tech_dlc07_brt_heraldry_bordeleaux_bret	tech_dlc07_brt_heraldry_bordeleaux	brt_mil	0	600	0	0		
	wh_main_brt_carcassonne	6	tech_dlc07_brt_heraldry_bordeleaux_carc	tech_dlc07_brt_heraldry_bordeleaux	brt_mil	1	600	0	0		
	wh_main_brt_bordeleaux	6	tech_dlc07_brt_heraldry_bretonnia_bord	tech_dlc07_brt_heraldry_bretonnia	brt_mil	0	600	0	0		
	wh_main_brt_carcassonne	6	tech_dlc07_brt_heraldry_bretonnia_carc	tech_dlc07_brt_heraldry_bretonnia	brt_mil	0	600	0	0		
	wh_main_brt_bordeleaux	6	tech_dlc07_brt_heraldry_carcassonne_bord	tech_dlc07_brt_heraldry_carcassonne	brt_mil	1	600	0	0		
	wh_main_brt_bretonnia	6	tech_dlc07_brt_heraldry_carcassonne_bret	tech_dlc07_brt_heraldry_carcassonne	brt_mil	1	600	0	0		
		7	tech_dlc07_brt_heraldry_errantry	tech_dlc07_brt_heraldry_errantry	brt_mil	3	500	0	0		
		4	tech_dlc07_brt_heraldry_lyonesse	tech_dlc07_brt_heraldry_lyonesse	brt_mil	1	600	0	0		
		6	tech_dlc07_brt_heraldry_oversea	tech_dlc07_brt_heraldry_oversea	brt_mil	2	500	0	0		
		5	tech_dlc07_brt_heraldry_parravon	tech_dlc07_brt_heraldry_parravon	brt_mil	0	600	0	0		
		2	tech_dlc07_brt_heraldry_start	tech_dlc07_brt_heraldry_start	brt_mil	0	500	0	0		
		7	tech_dlc07_brt_heraldry_unification	tech_dlc07_brt_heraldry_unification	brt_mil	1	500	0	0		
		5	tech_dlc09_tmb_campaign_bonus_1_1	tech_dlc09_tmb_campaign_bonus_1_1	tmb_mil	1	200	0	0		
		6	tech_dlc09_tmb_campaign_bonus_1_2	tech_dlc09_tmb_campaign_bonus_1_2	tmb_mil	1	200	0	0		
		7	tech_dlc09_tmb_campaign_bonus_1_3	tech_dlc09_tmb_campaign_bonus_1_3	tmb_mil	1	200	0	0		
		5	tech_dlc09_tmb_campaign_bonus_2_1	tech_dlc09_tmb_campaign_bonus_2_1	tmb_mil	3	200	0	0		
		6	tech_dlc09_tmb_campaign_bonus_2_2	tech_dlc09_tmb_campaign_bonus_2_2	tmb_mil	3	200	0	0		
		7	tech_dlc09_tmb_campaign_bonus_2_3	tech_dlc09_tmb_campaign_bonus_2_3	tmb_mil	3	200	0	0		
		5	tech_dlc09_tmb_campaign_bonus_3_1	tech_dlc09_tmb_campaign_bonus_3_1	tmb_mil	5	200	0	0		
		6	tech_dlc09_tmb_campaign_bonus_3_2	tech_dlc09_tmb_campaign_bonus_3_2	tmb_mil	5	200	0	0		
		7	tech_dlc09_tmb_campaign_bonus_3_3	tech_dlc09_tmb_campaign_bonus_3_3	tmb_mil	5	200	0	0		
		5	tech_dlc09_tmb_campaign_bonus_4_1	tech_dlc09_tmb_campaign_bonus_4_1	tmb_mil	7	200	0	0		
		6	tech_dlc09_tmb_campaign_bonus_4_2	tech_dlc09_tmb_campaign_bonus_4_2	tmb_mil	7	200	0	0		
		7	tech_dlc09_tmb_campaign_bonus_4_3	tech_dlc09_tmb_campaign_bonus_4_3	tmb_mil	7	200	0	0		
		5	tech_dlc09_tmb_campaign_bonus_5_1	tech_dlc09_tmb_campaign_bonus_5_1	tmb_mil	9	200	0	0		
		6	tech_dlc09_tmb_campaign_bonus_5_2	tech_dlc09_tmb_campaign_bonus_5_2	tmb_mil	9	200	0	0		
		7	tech_dlc09_tmb_campaign_bonus_5_3	tech_dlc09_tmb_campaign_bonus_5_3	tmb_mil	9	200	0	0		
		5	tech_dlc09_tmb_campaign_bonus_6_1	tech_dlc09_tmb_campaign_bonus_6_1	tmb_mil	11	200	0	0		
		6	tech_dlc09_tmb_campaign_bonus_6_2	tech_dlc09_tmb_campaign_bonus_6_2	tmb_mil	11	200	0	0		
		7	tech_dlc09_tmb_campaign_bonus_6_3	tech_dlc09_tmb_campaign_bonus_6_3	tmb_mil	11	200	0	0		
		4	tech_dlc09_tmb_dynasty_1	tech_dlc09_tmb_dynasty_1	tmb_mil	0	1500	0	0	tmb_1	
		4	tech_dlc09_tmb_dynasty_2	tech_dlc09_tmb_dynasty_2	tmb_mil	2	1500	0	0	tmb_2	
		4	tech_dlc09_tmb_dynasty_3	tech_dlc09_tmb_dynasty_3	tmb_mil	4	1500	0	0	tmb_3	
		4	tech_dlc09_tmb_dynasty_4	tech_dlc09_tmb_dynasty_4	tmb_mil	6	1500	0	0	tmb_4	
		4	tech_dlc09_tmb_dynasty_5	tech_dlc09_tmb_dynasty_5	tmb_mil	8	1500	0	0	tmb_5	
		4	tech_dlc09_tmb_dynasty_6	tech_dlc09_tmb_dynasty_6	tmb_mil	10	1500	0	0	tmb_6	
		1	tech_dlc09_tmb_extra_army_1	tech_dlc09_tmb_extra_army_1	tmb_mil	12	1	0	0	tmb_7	wh2_dlc09_tmb_tech_follower_unlock
		2	tech_dlc09_tmb_extra_army_2	tech_dlc09_tmb_extra_army_2	tmb_mil	12	1	0	0		wh2_dlc09_tmb_tech_follower_unlock
		3	tech_dlc09_tmb_extra_army_3	tech_dlc09_tmb_extra_army_3	tmb_mil	12	1	0	0		wh2_dlc09_tmb_tech_follower_unlock
		4	tech_dlc09_tmb_extra_army_4	tech_dlc09_tmb_extra_army_4	tmb_mil	12	1	0	0		wh2_dlc09_tmb_tech_follower_unlock
		5	tech_dlc09_tmb_extra_army_5	tech_dlc09_tmb_extra_army_5	tmb_mil	12	1	0	0		wh2_dlc09_tmb_tech_follower_unlock
		6	tech_dlc09_tmb_extra_army_6	tech_dlc09_tmb_extra_army_6	tmb_mil	12	1	0	0		wh2_dlc09_tmb_tech_follower_unlock
