special_ability_phase_stat_effects_tables	3
phase	value	stat	how
wh2_dlc09_spell_nehekhara_usirians_incantation_of_vengeance_upgraded	0.52	scalar_speed	mult
wh2_dlc09_spell_nehekhara_usirians_incantation_of_vengeance	0.76	scalar_speed	mult
wh2_dlc09_unit_contact_shieldbreaker	-24	stat_missile_block_chance	add
wh2_dlc09_unit_passive_guardian	15	stat_resistance_physical	add
wh2_dlc09_weapon_abilities_blade_of_setep	-30	stat_armour	add
wh2_dlc09_weapon_abilities_blade_of_setep	-22	stat_resistance_physical	add
wh2_dlc10_character_abilities_entangle	-22	stat_weakness_flame	add
wh2_dlc10_hef_unit_passive_ability_guardian	15	stat_resistance_physical	add
wh2_dlc10_hero_passive_quicksilver_shot	10	stat_reloading	add
wh2_dlc10_item_abilities_fear_of_aramar	-24	stat_morale	add
wh2_dlc10_item_abilities_speed_of_lykos	1.24	scalar_speed	mult
wh2_dlc10_item_abilities_stave_of_avelorn	0	scalar_miscast_chance	mult
wh2_dlc10_item_abilities_the_amber_trance_miscast	8	stat_morale	add
wh2_dlc10_item_abilities_the_amber_trance	-8	stat_morale	add
wh2_dlc10_item_passive_amulet_of_dark_fire	22	stat_resistance_magic	add
wh2_dlc10_item_passive_dragon_slayers_fang	18	stat_armour	add
wh2_dlc10_item_passive_dragon_slayers_fang	9	stat_melee_defence	add
wh2_dlc10_item_passive_gate_keepers_belt	33	stat_resistance_all	add
wh2_dlc10_item_passive_gate_keepers_helm	22	stat_resistance_magic	add
wh2_dlc10_item_passive_gate_keepers_helm	11	stat_resistance_missile	add
wh2_dlc10_item_passive_ironbeards_bracers	1.12	scalar_speed	mult
wh2_dlc10_item_passive_ironbeards_bracers	33	stat_resistance_physical	add
wh2_dlc10_item_passive_ironbeards_ring	-22	stat_weakness_flame	add
wh2_dlc10_item_passive_ironwardens_shield	12	stat_resistance_all	add
wh2_dlc10_item_passive_old_guards_armour	-9	stat_melee_attack	add
wh2_dlc10_item_passive_prospectors_spyglass	1.1800001	stat_accuracy	mult
wh2_dlc10_item_passive_ring_of_vengeance	5	stat_melee_attack	add
wh2_dlc10_item_passive_ring_of_vengeance	12	stat_morale	add
wh2_dlc10_item_passive_shieldstone_of_isha	12	stat_resistance_physical	add
wh2_dlc10_item_passive_stone_of_midnight	22	stat_resistance_missile	add
wh2_dlc10_item_passive_the_shadow_crown	1.1800001	scalar_speed	mult
wh2_dlc10_item_passive_the_shadow_crown	5	stat_melee_defence	add
wh2_dlc10_lord_abilities_gaze_of_khaine	25	stat_melee_attack	add
wh2_dlc10_lord_abilities_gaze_of_khaine	1.25	stat_melee_damage_base	mult
wh2_dlc10_lord_abilities_gaze_of_khaine	8	stat_morale	add
wh2_dlc10_lord_abilities_oath_of_vengeance	-27	stat_melee_defence	add
wh2_dlc10_lord_abilities_red_ruin	1.6	stat_melee_damage_ap	mult
wh2_dlc10_lord_abilities_red_ruin	1.6	stat_melee_damage_base	mult
wh2_dlc10_lord_abilities_red_ruin	-27	stat_melee_defence	add
wh2_dlc10_lord_passive_blood_frenzy_1	1.05	stat_melee_damage_ap	mult
wh2_dlc10_lord_passive_blood_frenzy_2	1.1	stat_melee_damage_ap	mult
wh2_dlc10_lord_passive_blood_frenzy_3	1.15	stat_melee_damage_ap	mult
wh2_dlc10_quest_abilities_insane_head	-35	stat_armour	add
wh2_dlc10_quest_abilities_insane_head	12	stat_melee_attack	add
wh2_dlc10_quest_abilities_insane_head	-25	stat_melee_defence	add
wh2_dlc10_quest_abilities_regenerating_head	99	stat_resistance_flame	add
wh2_dlc10_quest_abilities_unidentified_hydra_head	80	stat_resistance_flame	add
wh2_dlc10_quest_passive_mother_of_flame	1.24	scalar_speed	mult
wh2_dlc10_quest_passive_mother_of_flame	12	stat_melee_attack	add
wh2_dlc10_quest_passive_mother_of_flame	20	stat_resistance_physical	add
wh2_dlc10_quest_passive_primal_rage_iii	1.24	stat_melee_damage_ap	mult
wh2_dlc10_quest_passive_primal_rage_iii	1.24	stat_melee_damage_base	mult
wh2_dlc10_quest_passive_primal_rage_ii	1.15	stat_melee_damage_ap	mult
wh2_dlc10_quest_passive_primal_rage_ii	1.15	stat_melee_damage_base	mult
wh2_dlc10_quest_passive_primal_rage_i	1.1	stat_melee_damage_ap	mult
wh2_dlc10_quest_passive_primal_rage_i	1.1	stat_melee_damage_base	mult
wh2_dlc10_quest_passive_primal_rampage_iii	15	stat_melee_attack	add
wh2_dlc10_quest_passive_primal_rampage_iii	1.48	stat_melee_damage_ap	mult
wh2_dlc10_quest_passive_primal_rampage_iii	85	stat_resistance_all	add
wh2_dlc10_quest_passive_primal_rampage_ii	7	stat_melee_attack	add
wh2_dlc10_quest_passive_primal_rampage_ii	1.24	stat_melee_damage_ap	mult
wh2_dlc10_quest_passive_primal_rampage_ii	25	stat_resistance_all	add
wh2_dlc10_quest_passive_primal_rampage_i	10	stat_resistance_all	add
wh2_dlc10_unit_passive_abyssal_howl	-8	stat_morale	add
wh2_dlc10_unit_passive_the_trial_of_blades	9	stat_melee_attack	add
wh2_dlc10_unit_passive_the_trial_of_blades	4	stat_melee_damage_ap	add
wh2_dlc10_weapon_passive_dragon_slayers_axe	5	stat_melee_attack	add
wh2_dlc10_weapon_passive_dragon_slayers_axe	1.15	stat_melee_damage_ap	mult
wh2_dlc10_weapon_passive_dragon_slayers_axe	1.15	stat_melee_damage_base	mult
wh2_dlc10_weapon_passive_shadow_of_khaine	3	scalar_splash_attack_power	mult
wh2_dlc11_army_abilities_shanty_verse_1	20	stat_melee_defence	add
wh2_dlc11_army_abilities_shanty_verse_1	20	stat_reloading	add
wh2_dlc11_army_abilities_shanty_verse_2	30	stat_melee_defence	add
wh2_dlc11_army_abilities_shanty_verse_2	30	stat_reloading	add
wh2_dlc11_army_abilities_shanty_verse_3	40	stat_melee_defence	add
wh2_dlc11_army_abilities_shanty_verse_3	40	stat_reloading	add
wh2_dlc11_character_abilities_all_hands_hoay	1.2	stat_melee_damage_ap	mult
wh2_dlc11_character_abilities_all_hands_hoay	1.2	stat_melee_damage_base	mult
wh2_dlc11_character_abilities_all_hands_hoay	16	stat_morale	add
wh2_dlc11_character_abilities_avast_ye	1.2	stat_melee_damage_ap	mult
wh2_dlc11_character_abilities_avast_ye	1.2	stat_melee_damage_base	mult
wh2_dlc11_character_abilities_avast_ye	8	stat_morale	add
wh2_dlc11_character_abilities_ballistic_enchantment	1.6	stat_accuracy	mult
wh2_dlc11_character_abilities_ballistic_enchantment	20	stat_reloading	add
wh2_dlc11_character_abilities_cackle_fruit	0.52	scalar_speed	mult
wh2_dlc11_character_abilities_hornswaggle	0.76	scalar_speed	mult
wh2_dlc11_character_abilities_hornswaggle	-30	stat_armour	add
wh2_dlc11_character_abilities_hornswaggle	-27	stat_melee_defence	add
wh2_dlc11_character_abilities_taunt	0.76	scalar_speed	mult
wh2_dlc11_character_abilities_taunt	-30	stat_armour	add
wh2_dlc11_character_abilities_taunt	-27	stat_melee_defence	add
wh2_dlc11_hero_abilities_bomb_throw	1.2	scalar_missile_damage_ap	mult
wh2_dlc11_hero_passive_dead_eyes	1.1	scalar_missile_damage_ap	mult
wh2_dlc11_hero_passive_dead_eyes	1.1	scalar_missile_damage_base	mult
wh2_dlc11_item_abilities_moonshine	1.2	stat_melee_damage_ap	mult
wh2_dlc11_item_abilities_moonshine	1.2	stat_melee_damage_base	mult
wh2_dlc11_item_abilities_moonshine	-44	stat_resistance_flame	add
wh2_dlc11_item_passive_helm_of_the_kraken	9	stat_melee_defence	add
wh2_dlc11_lord_abilities_claws_of_mourkain	1.4	stat_melee_damage_ap	mult
wh2_dlc11_lord_abilities_dark_protection	27	stat_melee_defence	add
wh2_dlc11_lord_abilities_dark_protection	22	stat_resistance_all	add
wh2_dlc11_lord_abilities_dreaded_duelist	26	stat_melee_attack	add
wh2_dlc11_lord_abilities_dreaded_duelist	27	stat_melee_defence	add
wh2_dlc11_lord_abilities_ghoul_king_of_ushoran	8	stat_morale	add
wh2_dlc11_lord_abilities_heart_piercing	1.3599999	stat_charge_bonus	mult
wh2_dlc11_lord_abilities_heart_piercing	1.4	stat_melee_damage_ap	mult
wh2_dlc11_lord_abilities_lightning_reflexes	1.24	scalar_speed	mult
wh2_dlc11_lord_abilities_lightning_reflexes	22	stat_resistance_all	add
wh2_dlc11_lord_abilities_mananns_luck	27	stat_melee_defence	add
wh2_dlc11_lord_abilities_mananns_luck	22	stat_resistance_all	add
wh2_dlc11_lord_abilities_seduction	0.76	scalar_speed	mult
wh2_dlc11_lord_abilities_seduction	-26	stat_melee_attack	add
wh2_dlc11_lord_abilities_song_of_enthrallment	0.52	scalar_speed	mult
wh2_dlc11_lord_abilities_song_of_enthrallment	-26	stat_melee_attack	add
wh2_dlc11_lord_abilities_spearfishers_net	-27	stat_melee_defence	add
wh2_dlc11_lord_abilities_storm_of_the_night	0.28	scalar_speed	mult
wh2_dlc11_lord_abilities_transfix	1.24	scalar_speed	mult
wh2_dlc11_lord_abilities_transfix	22	stat_resistance_all	add
wh2_dlc11_lord_passive_honour_or_death	8	stat_morale	add
wh2_dlc11_lord_passive_honour_or_death	11	stat_resistance_all	add
wh2_dlc11_lord_passive_magical_void	33	stat_resistance_magic	add
wh2_dlc11_lord_passive_merciless_slaver	-4	stat_morale	add
wh2_dlc11_quest_battle_supply	1.24	scalar_speed	mult
wh2_dlc11_spell_deep_fog_of_the_damned_upgraded	-44	stat_melee_attack	add
wh2_dlc11_spell_deep_fog_of_the_damned_upgraded	-8	stat_morale	add
wh2_dlc11_spell_deep_fog_of_the_damned	-26	stat_melee_attack	add
wh2_dlc11_spell_deep_fog_of_the_damned	-8	stat_morale	add
wh2_dlc11_spell_deep_krakens_pull	0.52	scalar_speed	mult
wh2_dlc11_spell_deep_spiteful_shot_upgraded	90	stat_accuracy	add
wh2_dlc11_spell_deep_spiteful_shot	90	stat_accuracy	add
wh2_dlc11_spell_deep_tidecall	0.76	scalar_speed	mult
wh2_dlc11_unit_contact_charmed	-9	stat_melee_attack	add
wh2_dlc11_unit_contact_disrupted	1.5	scalar_miscast_chance	mult
wh2_dlc11_unit_contact_disrupted	-10	stat_resistance_physical	add
wh2_dlc11_unit_contact_monstrous_impact	0.24000001	scalar_charge_speed	mult
wh2_dlc11_unit_contact_monstrous_impact	0.24000001	scalar_speed	mult
wh2_dlc11_unit_passive_extra_powder	1.3	scalar_missile_damage_ap	mult
wh2_dlc11_unit_passive_extra_powder	1.3	scalar_missile_damage_base	mult
wh2_dlc11_unit_passive_extra_powder	1.3	scalar_missile_explosion_damage_ap	mult
wh2_dlc11_unit_passive_extra_powder	1.3	scalar_missile_explosion_damage_base	mult
wh2_dlc11_weapon_passive_krakens_bane	8	stat_bonus_vs_large	add
wh2_dlc11_weapon_passive_krakens_bane	5	stat_melee_attack	add
wh2_dlc12_character_abilities_supreme_shield_of_the_old_ones	44	stat_resistance_all	add
wh2_dlc12_item_passive_braid_of_bordeleaux	8	stat_bonus_vs_large	add
wh2_dlc12_item_passive_braid_of_bordeleaux	4	stat_morale	add
wh2_dlc12_item_passive_golden_death_mask	-9	stat_melee_attack	add
wh2_dlc12_item_passive_mask_of_heavens	18	stat_armour	add
wh2_dlc12_item_passive_mask_of_heavens	9	stat_melee_defence	add
wh2_dlc12_item_passive_plaque_of_sotek	12	stat_morale	add
wh2_dlc12_item_passive_plaque_of_sotek	22	stat_resistance_all	add
wh2_dlc12_lord_abilities_drop_sphere_of_tepok	0.28	scalar_speed	mult
wh2_dlc12_lord_abilities_master_of_the_skies	1.24	scalar_speed	mult
wh2_dlc12_lord_abilities_master_of_the_skies	45	stat_melee_defence	add
wh2_dlc12_lord_abilities_warriors_crest	44	stat_melee_attack	add
wh2_dlc12_lord_abilities_warriors_crest	27	stat_melee_defence	add
wh2_dlc12_lord_passive_adrenaline_rush	1.4	stat_melee_damage_ap	mult
wh2_dlc12_lord_passive_secondwind_serum	12	stat_melee_defence	add
wh2_dlc12_unit_abilities_shield_of_chaqua	44	stat_resistance_missile	add
wh2_dlc12_unit_abilities_toad_rage	1.4	stat_melee_damage_ap	mult
wh2_dlc12_unit_abilities_toad_rage	1.4	stat_melee_damage_base	mult
wh2_dlc12_unit_contact_flammable	-22	stat_weakness_flame	add
wh2_dlc12_unit_contact_sundered_armour	-30	stat_armour	add
wh2_dlc12_unit_contact_suppressive_fire	0.64000005	scalar_speed	mult
wh2_dlc12_unit_passive_blade_swirl	12	stat_resistance_missile	add
wh2_dlc12_unit_passive_portent_of_warding	5	stat_resistance_all	add
wh2_dlc12_unit_passive_the_best_defence	24	stat_armour	add
wh2_dlc12_weapon_passive_blade_of_the_ancient_skies	15	stat_melee_attack	add
wh2_dlc12_weapon_passive_blade_of_the_ancient_skies	1.15	stat_melee_damage_ap	mult
wh2_dlc12_weapon_passive_blade_of_the_ancient_skies	1.15	stat_melee_damage_base	mult
wh2_dlc12_weapon_passive_blade_of_the_serpents_tongue	1.08	stat_charge_bonus	mult
wh2_main_army_abilities_holy_stela	0.75	scalar_missile_damage_base	mult
wh2_main_army_abilities_holy_stela	0.7	stat_accuracy	mult
wh2_main_army_abilities_mors_clanstone	1.4	stat_melee_damage_ap	mult
wh2_main_army_abilities_skyre_clanstone	-44	stat_resistance_magic	add
wh2_main_army_abilities_temple_of_mists	0.75	scalar_missile_damage_base	mult
wh2_main_army_abilities_temple_of_mists	0.1	stat_accuracy	mult
wh2_main_banner_passive_battle_banner	-4	stat_morale	add
wh2_main_banner_passive_sacred_banner_of_the_horned_rat	-8	stat_morale	add
wh2_main_banner_passive_storm_banner	0.94000006	scalar_missile_damage_base	mult
wh2_main_character_abilities_assassins_trophy	-26	stat_melee_attack	add
wh2_main_character_abilities_assassins_trophy	-27	stat_melee_defence	add
wh2_main_character_abilities_cold_blooded	16	stat_morale	add
wh2_main_character_abilities_dark_venom	1.75	stat_melee_damage_base	mult
wh2_main_character_abilities_shield_of_the_old_ones	8	stat_morale	add
wh2_main_character_abilities_shield_of_the_old_ones	22	stat_resistance_all	add
wh2_main_character_abilities_swiftness_of_itzl	1.3599999	scalar_speed	mult
wh2_main_character_abilities_verminous_valour	1.24	scalar_speed	mult
wh2_main_character_abilities_verminous_valour	8	stat_morale	add
wh2_main_character_abilities_witchbrew	26	stat_melee_attack	add
wh2_main_character_abilities_witchbrew	1.5	stat_melee_damage_base	mult
wh2_main_character_passive_aura_of_pestilence	-5	stat_melee_attack	add
wh2_main_character_passive_darken_the_skies	20	stat_reloading	add
wh2_main_character_passive_horn_of_isha	5	stat_melee_attack	add
wh2_main_character_passive_horn_of_isha	5	stat_reloading	add
wh2_main_character_passive_loose	10	stat_reloading	add
wh2_main_faction_abilities_murderous_mastery	1.25	stat_charge_bonus	mult
wh2_main_faction_abilities_murderous_mastery	1.25	stat_melee_attack	mult
wh2_main_faction_abilities_murderous_mastery	15	stat_morale	add
wh2_main_faction_abilities_murderous_prowess	1.2	scalar_missile_damage_ap	mult
wh2_main_faction_abilities_murderous_prowess	1.25	stat_charge_bonus	mult
wh2_main_faction_abilities_murderous_prowess	1.25	stat_melee_attack	mult
wh2_main_faction_abilities_murderous_prowess	15	stat_morale	add
wh2_main_item_abilities_amulet_of_itzl	66	stat_resistance_all	add
wh2_main_item_abilities_aura_of_quetzl	30	stat_armour	add
wh2_main_item_abilities_aura_of_quetzl	27	stat_melee_defence	add
wh2_main_item_abilities_blade_of_bel_korhadris	26	stat_melee_attack	add
wh2_main_item_abilities_blade_of_bel_korhadris	1.2	stat_melee_damage_ap	mult
wh2_main_item_abilities_dragonhorn	1.25	scalar_missile_damage_base	mult
wh2_main_item_abilities_dragonhorn	1.25	stat_melee_damage_base	mult
wh2_main_item_abilities_pearl_of_infinite_bleakness	8	stat_morale	add
wh2_main_item_abilities_plaque_of_dominion	-8	stat_morale	add
wh2_main_item_abilities_rival_hide_talisman	-44	stat_melee_attack	add
wh2_main_item_abilities_scrying_stone	8	stat_morale	add
wh2_main_item_abilities_scrying_stone	22	stat_resistance_all	add
wh2_main_item_abilities_skavenbrew	-30	stat_armour	add
wh2_main_item_abilities_skavenbrew	44	stat_melee_attack	add
wh2_main_item_abilities_skavenbrew	1.25	stat_melee_damage_base	mult
wh2_main_item_abilities_talisman_of_loec	26	stat_melee_attack	add
wh2_main_item_abilities_talisman_of_loec	1.25	stat_melee_damage_base	mult
wh2_main_item_abilities_the_bane_shield	30	stat_armour	add
wh2_main_item_abilities_the_bane_shield	24	stat_missile_block_chance	add
wh2_main_item_abilities_the_guiding_eye	1.2	scalar_missile_damage_ap	mult
wh2_main_item_abilities_the_horn_of_kygor	1.1800001	stat_charge_bonus	mult
wh2_main_item_abilities_the_horn_of_kygor	25	stat_melee_attack	add
wh2_main_item_abilities_the_horn_of_kygor	8	stat_morale	add
wh2_main_item_abilities_the_tricksters_pendant	1.5	scalar_miscast_chance	mult
wh2_main_item_abilities_warpstorm_scroll	0.52	scalar_speed	mult
wh2_main_item_abilities_worlds_edge_armour	60	stat_armour	add
wh2_main_item_passive_blessed_tome	8	stat_morale	add
wh2_main_item_passive_circlet_of_iron	1.5	scalar_miscast_chance	mult
wh2_main_item_passive_curse_charm_of_tepok	1.25	scalar_miscast_chance	mult
wh2_main_item_passive_diamond_guardian_phoenix	12	stat_resistance_physical	add
wh2_main_item_passive_enchanted_spyglass	1.1	scalar_missile_damage_base	mult
wh2_main_item_passive_loremasters_cloak	22	stat_resistance_magic	add
wh2_main_item_passive_pipes_of_piebald	0.96000004	scalar_charge_speed	mult
wh2_main_item_passive_pipes_of_piebald	0.92	stat_charge_bonus	mult
wh2_main_item_passive_portents_of_verminous_doom	-4	stat_morale	add
wh2_main_item_passive_ring_of_hotek	1.25	scalar_miscast_chance	mult
wh2_main_item_passive_ruby_guardian_phoenix	12	stat_resistance_flame	add
wh2_main_item_passive_sacred_incense	12	stat_resistance_missile	add
wh2_main_item_passive_sapphire_guardian_phoenix	12	stat_resistance_magic	add
wh2_main_item_passive_shadow_magnet_trinket	12	stat_missile_block_chance	add
wh2_main_item_passive_shield_of_distraction	-5	stat_melee_attack	add
wh2_main_item_passive_shield_of_ghrond	0.88	stat_melee_damage_base	mult
wh2_main_item_passive_sunburst_standard_of_hexoatl	9	stat_melee_defence	add
wh2_main_item_passive_sunburst_standard_of_hexoatl	12	stat_resistance_missile	add
wh2_main_item_passive_war_drum_of_xahutec	1.06	scalar_speed	mult
wh2_main_item_passive_war_drum_of_xahutec	1.04	stat_charge_bonus	mult
wh2_main_item_passive_war_drum_of_xahutec	4	stat_morale	add
wh2_main_item_passive_warp_shard_armour	-18	stat_armour	add
wh2_main_item_passive_warp_shard_armour	-5	stat_melee_defence	add
wh2_main_lord_abilities_feint_and_reposte	26	stat_melee_attack	add
wh2_main_lord_abilities_feint_and_reposte	27	stat_melee_defence	add
wh2_main_lord_abilities_feint_and_reposte	22	stat_resistance_physical	add
wh2_main_lord_abilities_potion_of_charoi	44	stat_resistance_all	add
wh2_main_lord_abilities_sacred_spawning_of_xhotl	22	stat_resistance_physical	add
wh2_main_lord_abilities_trophy_heads	-26	stat_melee_attack	add
wh2_main_lord_abilities_trophy_heads	-45	stat_melee_defence	add
wh2_main_lord_passive_enchanting_beauty	0.92	stat_charge_bonus	mult
wh2_main_lord_passive_enchanting_beauty	-9	stat_melee_attack	add
wh2_main_lord_passive_glamour_of_hoeth	3	scalar_bracing	mult
wh2_main_lord_passive_glamour_of_hoeth	4	stat_morale	add
wh2_main_lord_passive_kindle_the_fury	9	stat_melee_attack	add
wh2_main_lord_passive_kindle_the_fury	1.06	stat_melee_damage_base	mult
wh2_main_lord_passive_strength_through_spite	5	stat_melee_attack	add
wh2_main_lore_passive_musk_of_fear	-13	stat_melee_attack	add
wh2_main_lore_passive_musk_of_fear	-4	stat_morale	add
wh2_main_lore_passive_plague_rash	0.88	scalar_speed	mult
wh2_main_lore_passive_shield_of_saphery	11	stat_resistance_all	add
wh2_main_lore_passive_spiteful_conjuration	-15	stat_armour	add
wh2_main_mount_abilities_unholy_clamour	16	stat_morale	add
wh2_main_mount_passive_wall_of_unholy_sound	5	stat_melee_attack	add
wh2_main_mount_passive_wall_of_unholy_sound	4	stat_morale	add
wh2_main_spell_bound_embers_of_the_phoenix	1.25	scalar_missile_damage_base	mult
wh2_main_spell_bound_embers_of_the_phoenix	1.25	stat_melee_damage_base	mult
wh2_main_spell_bound_the_seerstaff_of_saphery	26	stat_melee_attack	add
wh2_main_spell_bound_the_seerstaff_of_saphery	40	stat_reloading	add
wh2_main_spell_bound_whip_of_agony	0.7	stat_accuracy	mult
wh2_main_spell_bound_whip_of_agony	-26	stat_melee_attack	add
wh2_main_spell_dark_magic_chillwind_upgraded	0.52	scalar_speed	mult
wh2_main_spell_dark_magic_chillwind_upgraded	-20	stat_reloading	add
wh2_main_spell_dark_magic_chillwind	0.76	scalar_speed	mult
wh2_main_spell_dark_magic_word_of_pain_upgraded	0.4	stat_accuracy	mult
wh2_main_spell_dark_magic_word_of_pain_upgraded	-44	stat_melee_attack	add
wh2_main_spell_dark_magic_word_of_pain_upgraded	-27	stat_melee_defence	add
wh2_main_spell_dark_magic_word_of_pain	0.4	stat_accuracy	mult
wh2_main_spell_dark_magic_word_of_pain	-44	stat_melee_attack	add
wh2_main_spell_high_magic_hand_of_glory_upgraded	1.24	scalar_speed	mult
wh2_main_spell_high_magic_hand_of_glory_upgraded	26	stat_melee_attack	add
wh2_main_spell_high_magic_hand_of_glory_upgraded	40	stat_reloading	add
wh2_main_spell_high_magic_hand_of_glory	26	stat_melee_attack	add
wh2_main_spell_high_magic_hand_of_glory	40	stat_reloading	add
wh2_main_spell_high_magic_tempest_upgraded	0.28	scalar_speed	mult
wh2_main_spell_high_magic_tempest	0.28	scalar_speed	mult
wh2_main_spell_plague_wither_upgraded	-60	stat_armour	add
wh2_main_spell_plague_wither	-30	stat_armour	add
wh2_main_spell_ruin_death_frenzy	26	stat_melee_attack	add
wh2_main_spell_ruin_death_frenzy	1.25	stat_melee_damage_base	mult
wh2_main_spell_ruin_skitterleap_upgraded	1.24	scalar_speed	mult
wh2_main_spell_ruin_skitterleap	1.24	scalar_speed	mult
wh2_main_unit_abilities_fury_of_khaine	1.1800001	stat_charge_bonus	mult
wh2_main_unit_abilities_fury_of_khaine	26	stat_melee_attack	add
wh2_main_unit_abilities_fury_of_khaine	1.25	stat_melee_damage_base	mult
wh2_main_unit_contact_noxious_breath	0.7	stat_melee_attack	mult
wh2_main_unit_contact_noxious_breath	-30	stat_reloading	add
wh2_main_unit_contact_plague_monk_censer_morale	-10	stat_morale	add
wh2_main_unit_contact_weeping_blade	0.5	stat_armour	mult
