audio_battle_environment_one_shot_junctions_tables	0
dark_elves_marsh	dark_elves_marsh_forest_wildlife_birds	forest
dark_elves_marsh	dark_elves_marsh_forest_wildlife_insects	forest
dark_elves_marsh	dark_elves_marsh_forest_wildlife_mammals	forest
dark_elves_marsh	dark_elves_marsh_primary_nature_one_shots	plains
dark_elves_marsh	dark_elves_marsh_primary_wildlife_birds	plains
dark_elves_marsh	dark_elves_marsh_primary_wildlife_insects	plains
dark_elves_marsh	dark_elves_marsh_primary_wildlife_mammals	plains
dark_elves_qb_altar_of_darkness	dark_elves_cold_forest_nature_one_shots	forest
dark_elves_qb_altar_of_darkness	dark_elves_cold_forest_wildlife_birds	forest
dark_elves_qb_altar_of_darkness	dark_elves_cold_forest_wildlife_close	forest
dark_elves_qb_altar_of_darkness	dark_elves_cold_forest_wildlife_mammals	forest
dark_elves_qb_altar_of_darkness	dark_elves_cold_primary_nature_one_shots_01	plains
dark_elves_qb_altar_of_darkness	dark_elves_cold_primary_nature_one_shots_02	plains
dark_elves_qb_altar_of_darkness	dark_elves_cold_primary_wildlife_birds	plains
dark_elves_qb_altar_of_darkness	dark_elves_cold_primary_wildlife_mammals	plains
dark_elves_volcanic_lava_river	dark_elves_volcanic_forest_nature_one_shots	forest
dark_elves_volcanic_lava_river	dark_elves_volcanic_forest_wildlife_birds	forest
dark_elves_volcanic_lava_river	dark_elves_volcanic_forest_wildlife_mammals	forest
dark_elves_volcanic_lava_river	dark_elves_volcanic_primary_nature_one_shots_01	plains
dark_elves_volcanic_lava_river	dark_elves_volcanic_primary_nature_one_shots_02	plains
dark_elves_volcanic_lava_river	dark_elves_volcanic_primary_wildlife_birds	plains
dark_elves_volcanic_lava_river	dark_elves_volcanic_primary_wildlife_mammals	plains
dark_elves_volcanic	dark_elves_volcanic_forest_nature_one_shots	forest
dark_elves_volcanic	dark_elves_volcanic_forest_wildlife_birds	forest
dark_elves_volcanic	dark_elves_volcanic_forest_wildlife_mammals	forest
dark_elves_volcanic	dark_elves_volcanic_primary_nature_one_shots_01	plains
dark_elves_volcanic	dark_elves_volcanic_primary_nature_one_shots_02	plains
dark_elves_volcanic	dark_elves_volcanic_primary_wildlife_birds	plains
dark_elves_volcanic	dark_elves_volcanic_primary_wildlife_mammals	plains
dlc10_dark_elves_qb_shrine_of_khaine	dark_elves_volcanic_forest_nature_one_shots	forest
dlc10_dark_elves_qb_shrine_of_khaine	dark_elves_volcanic_forest_wildlife_birds	forest
dlc10_dark_elves_qb_shrine_of_khaine	dark_elves_volcanic_forest_wildlife_mammals	forest
dlc10_dark_elves_qb_shrine_of_khaine	dark_elves_volcanic_primary_nature_one_shots_01	plains
dlc10_dark_elves_qb_shrine_of_khaine	dark_elves_volcanic_primary_nature_one_shots_02	plains
dlc10_dark_elves_qb_shrine_of_khaine	dark_elves_volcanic_primary_wildlife_birds	plains
dlc10_dark_elves_qb_shrine_of_khaine	dark_elves_volcanic_primary_wildlife_mammals	plains
dlc10_dark_elves_qb_the_moonbow	dark_elves_hills_forest_nature_one_shots	forest
dlc10_dark_elves_qb_the_moonbow	dark_elves_hills_forest_wildlife_birds	forest
dlc10_dark_elves_qb_the_moonbow	dark_elves_hills_forest_wildlife_distant	forest
dlc10_dark_elves_qb_the_moonbow	dark_elves_hills_forest_wildlife_insects	forest
dlc10_dark_elves_qb_the_moonbow	dark_elves_hills_forest_wildlife_mammals	forest
dlc10_dark_elves_qb_the_moonbow	dark_elves_hills_primary_wildlife_birds	plains
dlc10_dark_elves_qb_the_moonbow	weather_thunder_low	static
dlc10_high_elves_qb_shadow_realm	dark_elves_beach_forest_wildlife_birds	forest
dlc10_high_elves_qb_shadow_realm	dark_elves_beach_forest_wildlife_mammals	forest
dlc10_high_elves_qb_shadow_realm	high_elves_hills_forest_nature_one_shots	forest
dlc10_high_elves_qb_shadow_realm	high_elves_hills_forest_wildlife_distant	forest
dlc10_high_elves_qb_shadow_realm	high_elves_hills_forest_wildlife_insects	forest
dlc10_high_elves_qb_shadow_realm	high_elves_hills_forest_wildlife_mammals	forest
dlc10_high_elves_qb_shadow_realm	high_elves_hills_primary_wildlife_birds	plains
dlc10_high_elves_qb_star_of_avelorn	nordic_wildlife	plains
dlc11_coast_desert_island	vampire_coast_tropical_island_forest_nature	forest
dlc11_coast_desert_island	vampire_coast_tropical_island_forest_wildlife	forest
dlc11_coast_desert_island	vampire_coast_tropical_island_plains_nature	plains
dlc11_coast_desert_island	vampire_coast_tropical_island_plains_wildlife	plains
dlc11_coast_desert_island	vampire_coast_tropical_island_sea_wildlife	sea
dlc11_coast_final_battle	vampire_coast_final_battle_plains_nature	plains
dlc11_coast_final_battle	vampire_coast_final_battle_plains_wildlife	plains
dlc11_coast_galleons_graveyard	vampire_coast_galleons_graveyard_plains_nature	plains
dlc11_coast_galleons_graveyard	vampire_coast_galleons_graveyard_plains_wildlife	plains
dlc11_coast_galleons_graveyard	vampire_coast_galleons_graveyard_sea_wildlife	sea
dlc11_coast_rocky_island	vampire_coast_desert_island_forest_nature	forest
dlc11_coast_rocky_island	vampire_coast_desert_island_forest_wildlife	forest
dlc11_coast_rocky_island	vampire_coast_desert_island_plains_nature	plains
dlc11_coast_rocky_island	vampire_coast_desert_island_plains_wildlife	plains
dlc11_coast_rocky_island	vampire_coast_desert_island_sea_wildlife	sea
dlc11_coast_snowy_island	vampire_coast_snowy_island_forest_nature	forest
dlc11_coast_snowy_island	vampire_coast_snowy_island_forest_wildlife	forest
dlc11_coast_snowy_island	vampire_coast_snowy_island_plains_nature	plains
dlc11_coast_snowy_island	vampire_coast_snowy_island_plains_wildlife	plains
dlc11_coast_snowy_island	vampire_coast_snowy_island_sea_wildlife	sea
dlc12_lizardmen_qb_lord_kroak_mountain	lizardmen_jungle_forest_nature_one_shots	forest
dlc12_lizardmen_qb_lord_kroak_mountain	lizardmen_jungle_forest_wildlife_birds	forest
dlc12_lizardmen_qb_lord_kroak_mountain	lizardmen_jungle_forest_wildlife_distant	forest
dlc12_lizardmen_qb_lord_kroak_mountain	lizardmen_jungle_forest_wildlife_insects	forest
dlc12_lizardmen_qb_lord_kroak_mountain	lizardmen_jungle_forest_wildlife_mammals	forest
dlc12_lizardmen_qb_lord_kroak_mountain	lizardmen_mountain_primary_wildlife_one_shots	plains
dlc12_lizardmen_qb_lord_kroak_mountain	weather_thunder_low	static
dlc12_lizardmen_qb_mask_of_heavens	lizardmen_mountain_forest_wildife_one_shots	forest
dlc12_lizardmen_qb_mask_of_heavens	lizardmen_mountain_primary_wildlife_one_shots	plains
dlc12_lizardmen_qb_plaque_of_sotek	lizardmen_jungle_forest_nature_one_shots	forest
dlc12_lizardmen_qb_plaque_of_sotek	lizardmen_jungle_forest_wildlife_birds	forest
dlc12_lizardmen_qb_plaque_of_sotek	lizardmen_jungle_forest_wildlife_distant	forest
dlc12_lizardmen_qb_plaque_of_sotek	lizardmen_jungle_forest_wildlife_insects	forest
dlc12_lizardmen_qb_plaque_of_sotek	lizardmen_jungle_forest_wildlife_mammals	forest
dlc12_lizardmen_qb_plaque_of_sotek	lizardmen_mountain_primary_wildlife_one_shots	plains
dlc12_lizardmen_qb_plaque_of_sotek	weather_thunder_high	static
dlc12_prophet_grassy_island	empire_wildlife	forest
dlc12_prophet_grassy_island	high_elves_beach_forest_nature_one_shots	forest
dlc12_prophet_grassy_island	high_elves_beach_forest_wildlife_mammals	plains
dlc12_prophet_grassy_island	high_elves_hills_forest_wildlife_distant	plains
dlc12_prophet_grassy_island	high_elves_hills_forest_wildlife_insects	plains
dlc12_prophet_grassy_island	high_elves_hills_primary_wildlife_birds	plains
dlc12_prophet_grassy_island	high_elves_beach_forest_wildlife_mammals	sea
dlc12_prophet_tropical_island	lizardmen_jungle_forest_nature_one_shots	forest
dlc12_prophet_tropical_island	lizardmen_jungle_forest_wildlife_birds	forest
dlc12_prophet_tropical_island	lizardmen_jungle_forest_wildlife_distant	forest
dlc12_prophet_tropical_island	lizardmen_jungle_forest_wildlife_insects	forest
dlc12_prophet_tropical_island	lizardmen_jungle_forest_wildlife_mammals	forest
dlc12_prophet_tropical_island	lizardmen_jungle_forest_nature_one_shots	plains
dlc12_skaven_qb_storm_daemon	lizardmen_jungle_forest_wildlife_distant	forest
dlc12_skaven_qb_storm_daemon	skaven_marsh_forest_nature_one_shots	forest
dlc12_skaven_qb_storm_daemon	skaven_marsh_forest_wildlife_birds	forest
dlc12_skaven_qb_storm_daemon	skaven_marsh_forest_wildlife_insects	forest
dlc12_skaven_qb_storm_daemon	skaven_marsh_forest_wildlife_mammals	forest
dlc12_skaven_qb_storm_daemon	skaven_desert_primary_nature_one_shots	plains
dlc12_skaven_qb_storm_daemon	skaven_desert_primary_wildlife_insects	plains
dwarf	dwarf_wildlife	plains
empire	empire_wildlife	forest
empire	generic_frog	lake
empire	empire_wildlife	plains
empire	generic_seagull	sea
greenskin	greenskin_wildlife	plains
high_elves_beach	high_elves_beach_forest_nature_one_shots	forest
high_elves_beach	high_elves_beach_forest_wildlife_birds	forest
high_elves_beach	high_elves_beach_forest_wildlife_distant	forest
high_elves_beach	high_elves_beach_forest_wildlife_insects	forest
high_elves_beach	high_elves_beach_forest_wildlife_mammals	forest
high_elves_beach	high_elves_beach_primary_wildlife_birds	plains
high_elves_beach	high_elves_beach_primary_wildlife_insects	plains
high_elves_hills	high_elves_hills_forest_nature_one_shots	forest
high_elves_hills	high_elves_hills_forest_wildlife_birds	forest
high_elves_hills	high_elves_hills_forest_wildlife_distant	forest
high_elves_hills	high_elves_hills_forest_wildlife_insects	forest
high_elves_hills	high_elves_hills_forest_wildlife_mammals	forest
high_elves_hills	high_elves_hills_primary_wildlife_birds	plains
high_elves_mwnl_steps_of_isha_01	chaos_wildlife	forest
high_elves_mwnl_steps_of_isha_01	high_elves_hills_forest_wildlife_insects	forest
high_elves_mwnl_steps_of_isha_01	high_elves_hills_forest_wildlife_mammals	forest
high_elves_mwnl_steps_of_isha_01	wood_elves_wildlife_generic	forest
high_elves_mwnl_steps_of_isha_01	chaos_wildlife	plains
high_elves_mwnl_steps_of_isha_02	chaos_wildlife	forest
high_elves_mwnl_steps_of_isha_02	high_elves_hills_forest_wildlife_insects	forest
high_elves_mwnl_steps_of_isha_02	high_elves_hills_forest_wildlife_mammals	forest
high_elves_mwnl_steps_of_isha_02	wood_elves_wildlife_generic	forest
high_elves_mwnl_steps_of_isha_02	vampire_wildlife	plains
high_elves_mwnl_steps_of_isha_03	high_elves_hills_forest_nature_one_shots	forest
high_elves_mwnl_steps_of_isha_03	high_elves_hills_forest_wildlife_insects	forest
high_elves_mwnl_steps_of_isha_03	high_elves_hills_forest_wildlife_mammals	forest
high_elves_mwnl_steps_of_isha_03	wood_elves_wildlife_generic	forest
high_elves_mwnl_steps_of_isha_03	wood_elves_wildlife_generic	plains
high_elves_mwnl_steps_of_isha_04	high_elves_hills_forest_nature_one_shots	forest
high_elves_mwnl_steps_of_isha_04	high_elves_hills_forest_wildlife_birds	forest
high_elves_mwnl_steps_of_isha_04	high_elves_hills_forest_wildlife_distant	forest
high_elves_mwnl_steps_of_isha_04	high_elves_hills_forest_wildlife_insects	forest
high_elves_mwnl_steps_of_isha_04	high_elves_hills_forest_wildlife_mammals	forest
high_elves_mwnl_steps_of_isha_04	high_elves_hills_primary_wildlife_birds	plains
high_elves_qb_arnheim	high_elves_hills_forest_nature_one_shots	forest
high_elves_qb_arnheim	high_elves_hills_forest_wildlife_birds	forest
high_elves_qb_arnheim	high_elves_hills_forest_wildlife_distant	forest
high_elves_qb_arnheim	high_elves_hills_forest_wildlife_insects	forest
high_elves_qb_arnheim	high_elves_hills_forest_wildlife_mammals	forest
high_elves_qb_arnheim	high_elves_hills_primary_wildlife_birds	plains
high_elves_qb_tower_of_hoeth	high_elves_hills_forest_nature_one_shots	forest
high_elves_qb_tower_of_hoeth	high_elves_hills_forest_wildlife_birds	forest
high_elves_qb_tower_of_hoeth	high_elves_hills_forest_wildlife_distant	forest
high_elves_qb_tower_of_hoeth	high_elves_hills_forest_wildlife_insects	forest
high_elves_qb_tower_of_hoeth	high_elves_hills_forest_wildlife_mammals	forest
high_elves_qb_tower_of_hoeth	high_elves_hills_primary_wildlife_birds	plains
lizardmen_jungle	lizardmen_jungle_forest_nature_one_shots	forest
lizardmen_jungle	lizardmen_jungle_forest_wildlife_birds	forest
lizardmen_jungle	lizardmen_jungle_forest_wildlife_distant	forest
lizardmen_jungle	lizardmen_jungle_forest_wildlife_insects	forest
lizardmen_jungle	lizardmen_jungle_forest_wildlife_mammals	forest
lizardmen_jungle	lizardmen_jungle_primary_wildlife_birds	plains
lizardmen_jungle	lizardmen_jungle_primary_wildlife_insects	plains
lizardmen_mountain	lizardmen_mountain_forest_wildife_one_shots	forest
lizardmen_mountain	lizardmen_mountain_primary_wildlife_one_shots	plains
lizardmen_qb_crimson_skull	lizardmen_jungle_forest_nature_one_shots	forest
lizardmen_qb_crimson_skull	lizardmen_jungle_forest_wildlife_birds	forest
lizardmen_qb_crimson_skull	lizardmen_jungle_forest_wildlife_distant	forest
lizardmen_qb_crimson_skull	lizardmen_jungle_forest_wildlife_insects	forest
lizardmen_qb_crimson_skull	lizardmen_jungle_forest_wildlife_mammals	forest
lizardmen_qb_crimson_skull	lizardmen_jungle_primary_wildlife_birds	plains
lizardmen_qb_crimson_skull	lizardmen_jungle_primary_wildlife_insects	plains
lizardmen_qb_fallen_gates	lizardmen_jungle_forest_nature_one_shots	forest
lizardmen_qb_fallen_gates	lizardmen_jungle_forest_wildlife_birds	forest
lizardmen_qb_fallen_gates	lizardmen_jungle_forest_wildlife_distant	forest
lizardmen_qb_fallen_gates	lizardmen_jungle_forest_wildlife_insects	forest
lizardmen_qb_fallen_gates	lizardmen_jungle_forest_wildlife_mammals	forest
lizardmen_qb_fallen_gates	lizardmen_mountain_primary_wildlife_one_shots	plains
lizardmen_qb_mosquito_swamp	lizardmen_jungle_forest_nature_one_shots	forest
lizardmen_qb_mosquito_swamp	lizardmen_jungle_forest_wildlife_birds	forest
lizardmen_qb_mosquito_swamp	lizardmen_jungle_forest_wildlife_distant	forest
lizardmen_qb_mosquito_swamp	lizardmen_jungle_forest_wildlife_insects	forest
lizardmen_qb_mosquito_swamp	lizardmen_jungle_forest_wildlife_mammals	forest
lizardmen_qb_mosquito_swamp	lizardmen_jungle_primary_wildlife_birds	plains
lizardmen_qb_mosquito_swamp	lizardmen_jungle_primary_wildlife_insects	plains
lizardmen_swamp	lizardmen_swamp_forest_wildlife_one_shots	forest
lizardmen_swamp	lizardmen_swamp_primary_wildlife_one_shots	plains
nordic	nordic_wildlife	plains
skaven_cavern	lizardmen_jungle_primary_wildlife_insects	plains
skaven_cavern	skaven_cavern_primary_nature_one_shots	plains
skaven_cavern	skaven_cavern_primary_wildlife_insects	plains
skaven_cavern	skaven_cavern_primary_wildlife_mammals	plains
skaven_desert	skaven_desert_forest_nature_one_shots	forest
skaven_desert	skaven_desert_forest_wildlife_birds	forest
skaven_desert	skaven_desert_forest_wildlife_insects	forest
skaven_desert	skaven_desert_forest_wildlife_mammals	forest
skaven_desert	skaven_desert_primary_nature_one_shots	plains
skaven_desert	skaven_desert_primary_wildlife_birds	plains
skaven_desert	skaven_desert_primary_wildlife_insects	plains
skaven_desert	skaven_desert_primary_wildlife_mammals	plains
skaven_marsh	skaven_marsh_forest_nature_one_shots	forest
skaven_marsh	skaven_marsh_forest_wildlife_birds	forest
skaven_marsh	skaven_marsh_forest_wildlife_insects	forest
skaven_marsh	skaven_marsh_forest_wildlife_mammals	forest
skaven_marsh	skaven_marsh_primary_wildlife_birds	plains
skaven_marsh	skaven_marsh_primary_wildlife_insects	plains
skaven_marsh	skaven_marsh_primary_wildlife_mammals	plains
tomb_kings_cavern	tomb_kings_cavern_primary_nature_one_shots	plains
tomb_kings_cavern	tomb_kings_cavern_primary_wildlife_insects	plains
tomb_kings_cavern	tomb_kings_cavern_secondary_nature_one_shots	urban
tomb_kings_desert	tomb_kings_desert_primary_nature_one_shots	plains
tomb_kings_desert	tomb_kings_desert_primary_wildlife_birds	plains
tomb_kings_desert	tomb_kings_desert_primary_wildlife_insects	plains
tomb_kings_desert	tomb_kings_desert_secondary_nature_one_shots	urban
tomb_kings_desert	tomb_kings_desert_secondary_wildlife_insects	urban
tomb_kings_qb_final_battle	tomb_kings_desert_primary_nature_one_shots	plains
tomb_kings_qb_final_battle	tomb_kings_desert_primary_wildlife_birds	plains
tomb_kings_qb_final_battle	tomb_kings_desert_primary_wildlife_insects	plains
tomb_kings_qb_final_battle	tomb_kings_desert_secondary_nature_one_shots	urban
tomb_kings_qb_final_battle	tomb_kings_desert_secondary_wildlife_insects	urban
tomb_kings_qb_staff_of_nagash	tomb_kings_desert_primary_nature_one_shots	plains
tomb_kings_qb_staff_of_nagash	tomb_kings_desert_primary_wildlife_birds	plains
tomb_kings_qb_staff_of_nagash	tomb_kings_desert_primary_wildlife_insects	plains
tomb_kings_qb_staff_of_nagash	tomb_kings_desert_secondary_nature_one_shots	urban
tomb_kings_qb_staff_of_nagash	tomb_kings_desert_secondary_wildlife_insects	urban
vampire	vampire_wildlife	plains
vampire	vampire_urban	urban
wood_elves_autumn	wood_elves_wildlife_autumn	forest
wood_elves_autumn	wood_elves_wildlife_autumn	plains
wood_elves_generic	wood_elves_wildlife_generic	forest
wood_elves_generic	wood_elves_wildlife_generic	plains
wood_elves_night	wood_elves_wildlife_night	forest
wood_elves_night	wood_elves_wildlife_night	plains
wood_elves_winter	wood_elves_wildlife_winter	forest
wood_elves_winter	wood_elves_wildlife_winter	plains
