battle_set_piece_armies_characters_junctions_tables	1
wh2_dlc09_qb_tmb_khatep_the_liche_staff_stage_5_pits_of_zardok_defender_03	wh2_dlc09_qb_tmb_khatep_the_liche_staff_stage_5_pits_of_zardok_defender_03	enemy_army_3
wh2_dlc09_qb_tmb_settra_the_blessed_blade_of_ptra_stage_3_charnel_valley_attacker	wh2_dlc09_qb_tmb_settra_the_blessed_blade_of_ptra_stage_3_charnel_valley_attacker_01	player_army
wh2_dlc09_qb_tmb_settra_the_blessed_blade_of_ptra_stage_3_charnel_valley_defender_1	wh2_dlc09_qb_tmb_settra_the_blessed_blade_of_ptra_stage_3_charnel_valley_defender_01	enemy_army_1
wh2_dlc09_qb_tmb_settra_the_blessed_blade_of_ptra_stage_3_charnel_valley_defender_2	wh2_dlc09_qb_tmb_settra_the_blessed_blade_of_ptra_stage_3_charnel_valley_defender_02	enemy_army_2
wh2_dlc09_qb_tmb_tretch_craventail_lucky_skullhelm_stage_5_mushroom_cave_defender_1	wh2_dlc09_qb_tmb_tretch_craventail_lucky_skullhelm_stage_5_defender_1	main_enemy
wh2_dlc09_qb_tmb_tretch_craventail_lucky_skullhelm_stage_5_mushroom_cave_defender_3	wh2_dlc09_qb_tmb_tretch_craventail_lucky_skullhelm_stage_5_defender_3	skaven_reinforcements
wh2_dlc09_qb_tmb_tretch_craventail_lucky_skullhelm_stage_5_mushroom_cave_player	wh2_dlc09_qb_tmb_tretch_craventail_lucky_skullhelm_stage_5_player	player
wh2_dlc09_tmb_settra_the_crown_of_nehekhara_stage_5_pack_ice_bay_attacker	wh2_dlc09_tmb_settra_the_crown_of_nehekhara_stage_5_pack_ice_bay_attacker	player_army
wh2_dlc09_tmb_settra_the_crown_of_nehekhara_stage_5_pack_ice_bay_defender	wh2_dlc09_tmb_settra_the_crown_of_nehekhara_stage_5_pack_ice_bay_defender	enemy_army_5
wh2_dlc10_hef_alarielle_star_of_avelorn_stage_5_attacker_01	wh2_dlc10_alarielle_star_of_avelorn_stage_4_hef_cha_handmaiden	player_army
wh2_dlc10_hef_alarielle_star_of_avelorn_stage_5_attacker_01	wh2_dlc10_qb_hef_cha_alarielle	player_army
wh2_dlc10_hef_alarielle_star_of_avelorn_stage_5_defender_01	wh2_dlc10_chs_cha_chaos_lord_alarielle_star_of_avelorn_1	enemy_army_2
wh2_dlc10_hef_alarielle_star_of_avelorn_stage_5_defender_02	wh2_dlc10_chs_cha_chaos_lord_alarielle_star_of_avelorn_2	enemy_army_1
wh2_dlc10_hef_alarielle_star_of_avelorn_stage_5_defender_03	wh2_dlc10_chs_cha_chaos_lord_alarielle_star_of_avelorn_3	enemy_army_3
wh2_dlc10_qb_def_hellebron_deathsword_and_the_cursed_blade_stage_4_altar_of_ultimate_darkness_attacker_01	wh2_dlc10_qb_def_hellebron_deathsword_and_the_cursed_blade_stage_4_altar_of_ultimate_darkness_attacker_beastlord_01	enemy_army
wh2_dlc10_qb_def_hellebron_deathsword_and_the_cursed_blade_stage_4_altar_of_ultimate_darkness_attacker_01	wh2_dlc10_qb_def_hellebron_deathsword_and_the_cursed_blade_stage_4_altar_of_ultimate_darkness_attacker_gorebull_01	enemy_army
wh2_dlc10_qb_def_hellebron_deathsword_and_the_cursed_blade_stage_4_altar_of_ultimate_darkness_attacker_02	wh2_dlc10_qb_def_hellebron_deathsword_and_the_cursed_blade_stage_4_altar_of_ultimate_darkness_attacker_supreme_sorceress_01	enemy_reinforcements_1
wh2_dlc10_qb_def_hellebron_deathsword_and_the_cursed_blade_stage_4_altar_of_ultimate_darkness_attacker_03	wh2_dlc10_qb_def_hellebron_deathsword_and_the_cursed_blade_stage_4_altar_of_ultimate_darkness_attacker_supreme_sorceress_02	enemy_reinforcements_2
wh2_dlc10_qb_def_hellebron_deathsword_and_the_cursed_blade_stage_4_altar_of_ultimate_darkness_defender_01	wh2_dlc10_qb_def_hellebron_deathsword_and_the_cursed_blade_stage_4_altar_of_ultimate_darkness_defender_crone_hellebron_01	player_army
wh2_dlc10_qb_def_hellebron_deathsword_and_the_cursed_blade_stage_4_altar_of_ultimate_darkness_defender_01	wh2_dlc10_qb_def_hellebron_deathsword_and_the_cursed_blade_stage_4_altar_of_ultimate_darkness_defender_khainite_assassin_01	player_army
wh2_dlc10_qb_hef_alith_anar_stage_4_the_moon_bow_attacker_01	wh2_dlc10_qb_hef_alith_anar_the_moon_bow_stage_4_alith_anar	player_army
wh2_dlc10_qb_hef_alith_anar_stage_4_the_moon_bow_attacker_01	wh2_dlc10_qb_hef_alith_anar_the_moon_bow_stage_4_noble	player_army
wh2_dlc10_qb_hef_alith_anar_stage_4_the_moon_bow_attacker_02	wh2_dlc10_alith_anar_the_moon_bow_stage_4_hef_princess	reinforcements
wh2_dlc10_qb_hef_alith_anar_stage_4_the_moon_bow_defender_01	wh2_dlc10_alith_anar_the_moon_bow_stage_4_def_dreadlord	enemy_army
wh2_dlc10_qb_hef_alith_anar_stage_4_the_moon_bow_defender_02	wh2_dlc10_qb_alith_anar_the_moon_bow_stage_4_def_supreme_sorceress_fire	enemy_reinforcements
wh2_dlc11_qb_cst_aranessa_saltspite_krakens_bane_attacker_1	wh2_dlc11_qb_cst_aranessa_saltspite_krakens_bane_attacker_1_general	enemy_main
wh2_dlc11_qb_cst_aranessa_saltspite_krakens_bane_attacker_1	wh2_dlc11_qb_cst_aranessa_saltspite_krakens_bane_attacker_1_sorcerer	enemy_main
wh2_dlc11_qb_cst_aranessa_saltspite_krakens_bane_defender_1	wh2_dlc11_qb_cst_aranessa_saltspite_krakens_bane_defender_1_general	empire_reinforcements
wh2_dlc11_qb_cst_aranessa_saltspite_krakens_bane_player	wh2_dlc11_qb_cst_aranessa_saltspite_krakens_bane_player	player_army
wh2_dlc11_qb_cst_aranessa_saltspite_krakens_bane_player	wh2_dlc11_qb_cst_aranessa_saltspite_krakens_bane_player_agent	player_army
wh2_dlc11_qb_cst_cylostra_shifting_isles_bretonnia_reinforcement	wh_main_brt_cha_paladin_0	reinforcements
wh2_dlc11_qb_cst_cylostra_shifting_isles_bretonnia	wh2_dlc11_qb_cst_cylostra_bretonnia	enemy_army
wh2_dlc11_qb_cst_cylostra_shifting_isles_high_elf_reinforcement	wh2_main_hef_cha_mage_high_0	reinforcements
wh2_dlc11_qb_cst_cylostra_shifting_isles_high_elf	wh2_dlc11_qb_cst_cylostra_high_elf	enemy_army
wh2_dlc11_qb_cst_cylostra_shifting_isles_player_01	wh2_dlc11_qb_cst_cylostra_shifting_isles	player_army
wh2_dlc11_qb_cst_final_battle_attacker_01	wh2_dlc11_cst_final_battle_def_general	
wh2_dlc11_qb_cst_final_battle_fellheart	wh2_dlc11_cst_final_battle_fellheart	
wh2_dlc11_qb_cst_final_battle_luthor	wh2_dlc11_cst_final_battle_fleet_captain	
wh2_dlc11_qb_cst_final_battle_luthor	wh2_dlc11_cst_final_battle_gunnery_wight	
wh2_dlc11_qb_cst_final_battle_luthor	wh2_dlc11_cst_final_battle_harkon_player	
wh2_dlc11_qb_cst_harkon_quest_for_slann_gold_attacker_01	wh2_dlc11_qb_cst_harkon_quest_for_slann_gold	player_army
wh2_dlc11_qb_cst_harkon_quest_for_slann_gold_attacker_01	wh2_dlc11_qb_harkon_mourngul_haunter	player_army
wh2_dlc11_qb_cst_harkon_quest_for_slann_gold_defender_01	wh2_dlc11_qb_lzd_harkon_quest_for_slann_gold_saurus_old_blood_1	enemy_defenders
wh2_dlc11_qb_cst_harkon_quest_for_slann_gold_reinforcement	wh2_dlc11_qb_lzd_harkon_quest_for_slann_gold_mage_priest	enemy_army
wh2_dlc11_qb_def_lokhir_fellheart_helm_of_the_kraken_attacker_01	wh2_dlc11_qb_def_lokhir_fellheart_helm_of_the_kraken_attacker	enemy_army
wh2_dlc11_qb_def_lokhir_fellheart_helm_of_the_kraken_defender_01	wh2_dlc11_qb_def_lokhir_fellheart_helm_of_the_kraken_defender	player_army
wh2_dlc11_qb_noctilus_piece_of_8_attacker_01	wh2_dlc11_cst_qb_noctilus_fleet_captain_player	player_army
wh2_dlc11_qb_noctilus_piece_of_8_attacker_01	wh2_dlc11_cst_qb_noctilus_general	player_army
wh2_dlc11_qb_noctilus_piece_of_8_attacker_01	wh2_dlc11_cst_qb_noctilus_gunnery_wight_player	player_army
wh2_dlc11_qb_noctilus_piece_of_8_defender_01	wh_dlc11_emp_qb_noctilus_cha_general	enemy_siege
wh2_dlc12_great_vortex_kroqgar_lord_kroak_stage_3_player	wh2_dlc12_lzd_cha_skink_priest_heavens_0_kroak_kroqgar	player_army
wh2_dlc12_great_vortex_kroqgar_lord_kroak_stage_3_player	wh2_dlc12_lzd_lord_kroak_kroqgar	player_army
wh2_dlc12_great_vortex_lord_kroak_stage_3_player_reinforcements	wh2_dlc12_lzd_cha_lord_kroak_0_qb	lord_kroak
wh2_dlc12_great_vortex_lord_kroak_stage_3_player_reinforcements	wh2_dlc12_lzd_lord_kroak_cha_saurus_oldblood_0	lord_kroak_guardians
wh2_dlc12_great_vortex_lord_kroak_stage_3_skaven_1	wh2_dlc12_skv_lord_kroak_warlord	enemy_army
wh2_dlc12_great_vortex_lord_kroak_stage_3_skaven_reinforcements_2	wh2_dlc12_skv_lord_kroak_warlock_master_3	enemy_reinforcements_2
wh2_dlc12_great_vortex_lord_kroak_stage_3_skaven_reinforcements	wh2_dlc12_skv_lord_kroak_grey_seer_2	enemy_reinforcements
wh2_dlc12_great_vortex_mazdamundi_lord_kroak_stage_3_player	wh2_dlc12_lzd_lord_kroak_mazdamundi	player_army
wh2_dlc12_great_vortex_tehenhauin_lord_kroak_stage_3_player	wh2_dlc12_lzd_lord_kroak_tehenhauin_01	player_army
wh2_dlc12_great_vortex_tiktaqto_lord_kroak_stage_3_player	wh2_dlc12_lzd_cha_skink_priest_heavens_0_kroak_tiktaqto	player_army
wh2_dlc12_great_vortex_tiktaqto_lord_kroak_stage_3_player	wh2_dlc12_lzd_lord_kroak_tiktaqto	player_army
wh2_dlc12_qb_lzd_tehenhauin_plaque_of_sotek_enemy_reinforcements_1	wh2_dlc12_qb_lzd_tehenhauin_plaque_of_sotek_enemy_plague_priest_1	enemy_reinforcements_1
wh2_dlc12_qb_lzd_tehenhauin_plaque_of_sotek_enemy_reinforcements_2	wh2_dlc12_qb_lzd_tehenhauin_plaque_of_sotek_enemy_plague_priest_2	enemy_reinforcements_2
wh2_dlc12_qb_lzd_tehenhauin_plaque_of_sotek_enemy	wh2_dlc12_qb_lzd_tehenhauin_plaque_of_sotek_enemy_grey_seer	enemy_army
wh2_dlc12_qb_lzd_tehenhauin_plaque_of_sotek_player_reinforcements_1	wh2_dlc12_qb_lzd_tehenhauin_plaque_of_sotek_skink_chief_1	player_reinforcements_1
wh2_dlc12_qb_lzd_tehenhauin_plaque_of_sotek_player_reinforcements_2	wh2_dlc12_qb_lzd_tehenhauin_plaque_of_sotek_skink_chief_2	player_reinforcements_2
wh2_dlc12_qb_lzd_tehenhauin_plaque_of_sotek_player	wh2_dlc12_qb_lzd_tehenhauin_plaque_of_sotek_tehenhauin	player_army
wh2_dlc12_qb_lzd_tiktaqto_mask_of_heavens_enemy_reinforcements_1	wh2_dlc12_qb_lzd_tiktaqto_mask_of_heavens_enemy_plague_priest	enemy_reinforcements_1
wh2_dlc12_qb_lzd_tiktaqto_mask_of_heavens_enemy_reinforcements_2	wh2_dlc12_qb_lzd_tiktaqto_mask_of_heavens_enemy_warlock_engineer	enemy_reinforcements_2
wh2_dlc12_qb_lzd_tiktaqto_mask_of_heavens_enemy_reinforcements_3	wh2_dlc12_qb_lzd_tiktaqto_mask_of_heavens_enemy_warlock_master	enemy_reinforcements_3
wh2_dlc12_qb_lzd_tiktaqto_mask_of_heavens_enemy	wh2_dlc12_qb_lzd_tiktaqto_mask_of_heavens_enemy_grey_seer	enemy_force_1
wh2_dlc12_qb_lzd_tiktaqto_mask_of_heavens_player	wh2_dlc12_qb_lzd_tiktaqto_mask_of_heavens_player	player_army
wh2_dlc12_qb_lzd_tiktaqto_mask_of_heavens_player	wh2_dlc12_qb_lzd_tiktaqto_mask_of_heavens_skink_priest	player_army
wh2_dlc12_skv_ikit_claw_storm_daemon_enemy_reinforcements	wh2_main_lzd_cha_slann_mage_priest_0_ikit_qb	enemy_reinforcements
wh2_dlc12_skv_ikit_claw_storm_daemon_enemy	wh2_dlc12_lzd_cha_skink_chief_red_crested_0_qb_ikit	enemy_army
wh2_dlc12_skv_ikit_claw_storm_daemon_player	wh2_dlc12_qb_skv_ikit_claw_warlock_engineer_02	player_army
wh2_dlc12_skv_ikit_claw_storm_daemon_player	wh2_dlc12_skv_cha_ikit_claw_qb	player_army
wh2_main_qb_def_malekith_circlet_of_iron_stage_3_altar_of_ultimate_darkness_attacker_01	wh2_main_qb_def_malekith_circlet_of_iron_stage_3_altar_of_ultimate_darkness_attacker_sorcerer_lord	enemy_army
wh2_main_qb_def_malekith_circlet_of_iron_stage_3_altar_of_ultimate_darkness_attacker_02	wh2_main_qb_def_malekith_circlet_of_iron_stage_3_altar_of_ultimate_darkness_attacker_exalted_hero_01	enemy_reinforcements_1
wh2_main_qb_def_malekith_circlet_of_iron_stage_3_altar_of_ultimate_darkness_attacker_03	wh2_main_qb_def_malekith_circlet_of_iron_stage_3_altar_of_ultimate_darkness_attacker_exalted_hero_02	enemy_reinforcements_2
wh2_main_qb_def_malekith_circlet_of_iron_stage_3_altar_of_ultimate_darkness_defender_01	wh2_main_qb_def_malekith_circlet_of_iron_stage_3_altar_of_ultimate_darkness_defender_malekith	player_army
wh2_main_qb_def_malekith_destroyer_stage_3_vauls_anvil_attacker_01	wh2_main_qb_def_malekith_destroyer_stage_3_vauls_anvil_attacker_malekith	player_army
wh2_main_qb_def_malekith_destroyer_stage_3_vauls_anvil_attacker_02	wh2_main_qb_def_malekith_destroyer_stage_3_vauls_anvil_attacker_dreadlord	player_ally_1
wh2_main_qb_def_malekith_destroyer_stage_3_vauls_anvil_defender_01	wh2_main_qb_def_malekith_destroyer_stage_3_vauls_anvil_defender_tyrion	enemy_tyrion
wh2_main_qb_def_malekith_destroyer_stage_3_vauls_anvil_defender_01	wh2_main_qb_hef_tyrion_dragon_armour_of_aenarion_stage_4_vauls_anvil_defender_mage	enemy_tyrion
wh2_main_qb_def_malekith_destroyer_stage_3_vauls_anvil_defender_02	wh2_main_qb_def_malekith_destroyer_stage_3_vauls_anvil_defender_teclis	enemy_teclis_west
wh2_main_qb_def_malekith_supreme_spellshield_stage_3_mosquito_swamps_attacker_01	wh2_main_qb_def_malekith_supreme_spellshield_stage_3_mosquito_swamps_attacker_hag	player_army
wh2_main_qb_def_malekith_supreme_spellshield_stage_3_mosquito_swamps_attacker_01	wh2_main_qb_def_malekith_supreme_spellshield_stage_3_mosquito_swamps_attacker_malekith	player_army
wh2_main_qb_def_malekith_supreme_spellshield_stage_3_mosquito_swamps_defender_01	wh2_main_qb_def_malekith_supreme_spellshield_stage_3_mosquito_swamps_defender_saurus_01	enemy_army_1
wh2_main_qb_def_malekith_supreme_spellshield_stage_3_mosquito_swamps_defender_02	wh2_main_qb_def_malekith_supreme_spellshield_stage_3_mosquito_swamps_defender_saurus_02	enemy_army_2
wh2_main_qb_def_malekith_supreme_spellshield_stage_3_mosquito_swamps_defender_02	wh2_main_qb_def_malekith_supreme_spellshield_stage_3_mosquito_swamps_defender_skink_priest_heavens	enemy_army_2
wh2_main_qb_def_morathi_heartrender_and_the_darksword_stage_6_arnheim_attacker_01	wh2_main_qb_def_morathi_heartrender_and_the_darksword_stage_6_attacker_assassin	player_army
wh2_main_qb_def_morathi_heartrender_and_the_darksword_stage_6_arnheim_attacker_01	wh2_main_qb_def_morathi_heartrender_and_the_darksword_stage_6_attacker_morathi	player_army
wh2_main_qb_def_morathi_heartrender_and_the_darksword_stage_6_arnheim_defender_01	wh2_main_qb_def_morathi_heartrender_and_the_darksword_stage_6_defender_prince	enemy_army
wh2_main_qb_final_battle_ai_def_attacker_ally	wh2_main_qb_final_battle_def_general_attacker_ally	
wh2_main_qb_final_battle_ai_def_attacker_reinforcements	wh2_main_qb_final_battle_def_general	def_wave_2
wh2_main_qb_final_battle_ai_def_attacker_reinforcements	wh2_main_qb_final_battle_def_sorceress	def_wave_2
wh2_main_qb_final_battle_ai_def_defender_reinforcements	wh2_main_qb_final_battle_def_ai_morathi	
wh2_main_qb_final_battle_ai_def_defender	wh2_main_qb_final_battle_def_general_with_army_abilities	
wh2_main_qb_final_battle_ai_def_defender	wh2_main_qb_final_battle_def_khainite_assassin	
wh2_main_qb_final_battle_ai_def_defender	wh2_main_qb_final_battle_def_sorceress	
wh2_main_qb_final_battle_ai_hef_attacker_ally	wh2_main_qb_final_battle_hef_general_attacker_ally	
wh2_main_qb_final_battle_ai_hef_attacker_reinforcements	wh2_main_qb_final_battle_hef_general	hef_wave_2
wh2_main_qb_final_battle_ai_hef_attacker_reinforcements	wh2_main_qb_final_battle_hef_mage	hef_wave_2
wh2_main_qb_final_battle_ai_hef_defender_reinforcements	wh2_main_qb_final_battle_hef_ai_teclis	
wh2_main_qb_final_battle_ai_hef_defender	wh2_main_qb_final_battle_hef_general_with_army_abilities	
wh2_main_qb_final_battle_ai_hef_defender	wh2_main_qb_final_battle_hef_mage	
wh2_main_qb_final_battle_ai_hef_defender	wh2_main_qb_final_battle_hef_noble	
wh2_main_qb_final_battle_ai_hef_skaven_defence	wh2_main_qb_final_battle_ai_hef_skaven_defence_general	
wh2_main_qb_final_battle_ai_lzd_attacker_ally	wh2_main_qb_final_battle_lzd_general_attacker_ally	
wh2_main_qb_final_battle_ai_lzd_attacker_reinforcements	wh2_main_qb_final_battle_lzd_general	lzd_wave_2
wh2_main_qb_final_battle_ai_lzd_attacker_reinforcements	wh2_main_qb_final_battle_lzd_skink_priest	lzd_wave_2
wh2_main_qb_final_battle_ai_lzd_defender_reinforcements	wh2_main_qb_final_battle_lzd_ai_kroq_gar	
wh2_main_qb_final_battle_ai_lzd_defender	wh2_main_qb_final_battle_lzd_general_with_army_abilities	
wh2_main_qb_final_battle_ai_lzd_defender	wh2_main_qb_final_battle_lzd_saurus_scar_veteran	
wh2_main_qb_final_battle_ai_lzd_defender	wh2_main_qb_final_battle_lzd_skink_priest	
wh2_main_qb_final_battle_ai_skv_attacker_ally	wh2_main_qb_final_battle_skv_general_attacker_ally	
wh2_main_qb_final_battle_ai_skv_defender_reinforcements	wh2_main_qb_final_battle_skv_ai_lord_skrolk	
wh2_main_qb_final_battle_ai_skv_defender	wh2_main_qb_final_battle_skv_general_with_army_abilities	
wh2_main_qb_final_battle_ai_skv_defender	wh2_main_qb_final_battle_skv_plague_priest	
wh2_main_qb_final_battle_ai_skv_defender	wh2_main_qb_final_battle_skv_warlock_engineer	
wh2_main_qb_final_battle_ai_skv_grey_seer_clan_reinforcements	wh2_main_qb_final_battle_skv_warlock_engineer	reinforcements
wh2_main_qb_final_battle_ai_skv_grey_seer_clan	wh2_main_qb_final_battle_ai_skv_grey_seer_clan_general	
wh2_main_qb_final_battle_def_frontend_player	wh2_main_qb_final_battle_def_general_with_army_abilities	
wh2_main_qb_final_battle_def_frontend_player	wh2_main_qb_final_battle_def_khainite_assassin	
wh2_main_qb_final_battle_def_frontend_player	wh2_main_qb_final_battle_def_sorceress	
wh2_main_qb_final_battle_head_to_head_skv_grey_seer_clan	wh2_main_qb_final_battle_head_to_head_general	
wh2_main_qb_final_battle_hef_frontend_player	wh2_main_qb_final_battle_hef_general_with_army_abilities	
wh2_main_qb_final_battle_hef_frontend_player	wh2_main_qb_final_battle_hef_mage	
wh2_main_qb_final_battle_hef_frontend_player	wh2_main_qb_final_battle_hef_noble	
wh2_main_qb_final_battle_lzd_frontend_player	wh2_main_qb_final_battle_lzd_general_with_army_abilities	
wh2_main_qb_final_battle_lzd_frontend_player	wh2_main_qb_final_battle_lzd_saurus_scar_veteran	
wh2_main_qb_final_battle_lzd_frontend_player	wh2_main_qb_final_battle_lzd_skink_priest	
