province_to_mercenary_set_junctions_tables	0
wh2_dlc11_cst_vampire_pirate_province_pool	wh2_main_volcanic_islands
wh_main_vmp_province_pool	wh2_main_volcanic_islands
wh2_dlc11_cst_vampire_pirate_province_pool	wh2_main_vor_aghol_wastelands
wh_main_vmp_province_pool	wh2_main_vor_aghol_wastelands
wh2_dlc11_cst_vampire_pirate_province_pool	wh2_main_vor_albion
wh_main_vmp_province_pool	wh2_main_vor_albion
wh2_dlc11_cst_vampire_pirate_province_pool	wh2_main_vor_ash_river
wh_main_vmp_province_pool	wh2_main_vor_ash_river
wh2_dlc11_cst_vampire_pirate_province_pool	wh2_main_vor_ashen_coast
wh_main_vmp_province_pool	wh2_main_vor_ashen_coast
wh2_dlc11_cst_vampire_pirate_province_pool	wh2_main_vor_avelorn
wh_main_vmp_province_pool	wh2_main_vor_avelorn
wh2_dlc11_cst_vampire_pirate_province_pool	wh2_main_vor_caledor
wh_main_vmp_province_pool	wh2_main_vor_caledor
wh2_dlc11_cst_vampire_pirate_province_pool	wh2_main_vor_central_spine_of_sotek
wh_main_vmp_province_pool	wh2_main_vor_central_spine_of_sotek
wh2_dlc11_cst_vampire_pirate_province_pool	wh2_main_vor_chrace
wh_main_vmp_province_pool	wh2_main_vor_chrace
wh2_dlc11_cst_vampire_pirate_province_pool	wh2_main_vor_coast_of_araby
wh_main_vmp_province_pool	wh2_main_vor_coast_of_araby
wh2_dlc11_cst_vampire_pirate_province_pool	wh2_main_vor_coast_of_squalls
wh_main_vmp_province_pool	wh2_main_vor_coast_of_squalls
wh2_dlc11_cst_vampire_pirate_province_pool	wh2_main_vor_coasts_of_the_lustrian_gulf
wh_main_vmp_province_pool	wh2_main_vor_coasts_of_the_lustrian_gulf
wh2_dlc11_cst_vampire_pirate_province_pool	wh2_main_vor_cobra_pass
wh_main_vmp_province_pool	wh2_main_vor_cobra_pass
wh2_dlc11_cst_vampire_pirate_province_pool	wh2_main_vor_copper_desert
wh_main_vmp_province_pool	wh2_main_vor_copper_desert
wh2_dlc11_cst_vampire_pirate_province_pool	wh2_main_vor_cothique
wh_main_vmp_province_pool	wh2_main_vor_cothique
wh2_dlc11_cst_vampire_pirate_province_pool	wh2_main_vor_culchan_plains
wh_main_vmp_province_pool	wh2_main_vor_culchan_plains
wh2_dlc11_cst_vampire_pirate_province_pool	wh2_main_vor_deadwood
wh_main_vmp_province_pool	wh2_main_vor_deadwood
wh2_dlc11_cst_vampire_pirate_province_pool	wh2_main_vor_eagle_gate
wh_main_vmp_province_pool	wh2_main_vor_eagle_gate
wh2_dlc11_cst_vampire_pirate_province_pool	wh2_main_vor_eataine
wh_main_vmp_province_pool	wh2_main_vor_eataine
wh2_dlc11_cst_vampire_pirate_province_pool	wh2_main_vor_ellyrion
wh_main_vmp_province_pool	wh2_main_vor_ellyrion
wh2_dlc11_cst_vampire_pirate_province_pool	wh2_main_vor_forest_of_the_viper
wh_main_vmp_province_pool	wh2_main_vor_forest_of_the_viper
wh2_dlc11_cst_vampire_pirate_province_pool	wh2_main_vor_fortress_of_dawn
wh_main_vmp_province_pool	wh2_main_vor_fortress_of_dawn
wh2_dlc11_cst_vampire_pirate_province_pool	wh2_main_vor_galleons_graveyard
wh_main_vmp_province_pool	wh2_main_vor_galleons_graveyard
wh2_dlc11_cst_vampire_pirate_province_pool	wh2_main_vor_great_mortis_delta
wh_main_vmp_province_pool	wh2_main_vor_great_mortis_delta
wh2_dlc11_cst_vampire_pirate_province_pool	wh2_main_vor_grey_guardians
wh_main_vmp_province_pool	wh2_main_vor_grey_guardians
wh2_dlc11_cst_vampire_pirate_province_pool	wh2_main_vor_griffon_gate
wh_main_vmp_province_pool	wh2_main_vor_griffon_gate
wh2_dlc11_cst_vampire_pirate_province_pool	wh2_main_vor_headhunters_jungle
wh_main_vmp_province_pool	wh2_main_vor_headhunters_jungle
wh2_dlc11_cst_vampire_pirate_province_pool	wh2_main_vor_heart_of_the_jungle
wh_main_vmp_province_pool	wh2_main_vor_heart_of_the_jungle
wh2_dlc11_cst_vampire_pirate_province_pool	wh2_main_vor_iron_mountains
wh_main_vmp_province_pool	wh2_main_vor_iron_mountains
wh2_dlc11_cst_vampire_pirate_province_pool	wh2_main_vor_iron_peaks
wh_main_vmp_province_pool	wh2_main_vor_iron_peaks
wh2_dlc11_cst_vampire_pirate_province_pool	wh2_main_vor_ironfrost_glacier
wh_main_vmp_province_pool	wh2_main_vor_ironfrost_glacier
wh2_dlc11_cst_vampire_pirate_province_pool	wh2_main_vor_isthmus_of_lustria
wh_main_vmp_province_pool	wh2_main_vor_isthmus_of_lustria
wh2_dlc11_cst_vampire_pirate_province_pool	wh2_main_vor_jungle_of_pahualaxa
wh_main_vmp_province_pool	wh2_main_vor_jungle_of_pahualaxa
wh2_dlc11_cst_vampire_pirate_province_pool	wh2_main_vor_jungles_of_green_mist
wh_main_vmp_province_pool	wh2_main_vor_jungles_of_green_mist
wh2_dlc11_cst_vampire_pirate_province_pool	wh2_main_vor_kingdom_of_beasts
wh_main_vmp_province_pool	wh2_main_vor_kingdom_of_beasts
wh2_dlc11_cst_vampire_pirate_province_pool	wh2_main_vor_land_of_assassins
wh_main_vmp_province_pool	wh2_main_vor_land_of_assassins
wh2_dlc11_cst_vampire_pirate_province_pool	wh2_main_vor_land_of_the_dead
wh_main_vmp_province_pool	wh2_main_vor_land_of_the_dead
wh2_dlc11_cst_vampire_pirate_province_pool	wh2_main_vor_land_of_the_dervishes
wh_main_vmp_province_pool	wh2_main_vor_land_of_the_dervishes
wh2_dlc11_cst_vampire_pirate_province_pool	wh2_main_vor_mosquito_swamps
wh_main_vmp_province_pool	wh2_main_vor_mosquito_swamps
wh2_dlc11_cst_vampire_pirate_province_pool	wh2_main_vor_nagarythe
wh_main_vmp_province_pool	wh2_main_vor_nagarythe
wh2_dlc11_cst_vampire_pirate_province_pool	wh2_main_vor_naggarond
wh_main_vmp_province_pool	wh2_main_vor_naggarond
wh2_dlc11_cst_vampire_pirate_province_pool	wh2_main_vor_northern_great_jungle
wh_main_vmp_province_pool	wh2_main_vor_northern_great_jungle
wh2_dlc11_cst_vampire_pirate_province_pool	wh2_main_vor_northern_red_rivers
wh_main_vmp_province_pool	wh2_main_vor_northern_red_rivers
wh2_dlc11_cst_vampire_pirate_province_pool	wh2_main_vor_northern_spine_of_sotek
wh_main_vmp_province_pool	wh2_main_vor_northern_spine_of_sotek
wh2_dlc11_cst_vampire_pirate_province_pool	wh2_main_vor_northern_yvresse
wh_main_vmp_province_pool	wh2_main_vor_northern_yvresse
wh2_dlc11_cst_vampire_pirate_province_pool	wh2_main_vor_obsidian_peaks
wh_main_vmp_province_pool	wh2_main_vor_obsidian_peaks
wh2_dlc11_cst_vampire_pirate_province_pool	wh2_main_vor_phoenix_gate
wh_main_vmp_province_pool	wh2_main_vor_phoenix_gate
wh2_dlc11_cst_vampire_pirate_province_pool	wh2_main_vor_plain_of_spiders
wh_main_vmp_province_pool	wh2_main_vor_plain_of_spiders
wh2_dlc11_cst_vampire_pirate_province_pool	wh2_main_vor_red_desert
wh_main_vmp_province_pool	wh2_main_vor_red_desert
wh2_dlc11_cst_vampire_pirate_province_pool	wh2_main_vor_river_qurveza
wh_main_vmp_province_pool	wh2_main_vor_river_qurveza
wh2_dlc11_cst_vampire_pirate_province_pool	wh2_main_vor_saphery
wh_main_vmp_province_pool	wh2_main_vor_saphery
wh2_dlc11_cst_vampire_pirate_province_pool	wh2_main_vor_sartosa
wh_main_vmp_province_pool	wh2_main_vor_sartosa
wh2_dlc11_cst_vampire_pirate_province_pool	wh2_main_vor_scorpion_coast
wh_main_vmp_province_pool	wh2_main_vor_scorpion_coast
wh2_dlc11_cst_vampire_pirate_province_pool	wh2_main_vor_sea_of_dread
wh_main_vmp_province_pool	wh2_main_vor_sea_of_dread
wh2_dlc11_cst_vampire_pirate_province_pool	wh2_main_vor_settlers_coast
wh_main_vmp_province_pool	wh2_main_vor_settlers_coast
wh2_dlc11_cst_vampire_pirate_province_pool	wh2_main_vor_shadow_wood
wh_main_vmp_province_pool	wh2_main_vor_shadow_wood
wh2_dlc11_cst_vampire_pirate_province_pool	wh2_main_vor_shifting_mangrove_coastline
wh_main_vmp_province_pool	wh2_main_vor_shifting_mangrove_coastline
wh2_dlc11_cst_vampire_pirate_province_pool	wh2_main_vor_shifting_sands
wh_main_vmp_province_pool	wh2_main_vor_shifting_sands
wh2_dlc11_cst_vampire_pirate_province_pool	wh2_main_vor_southern_badlands
wh_main_vmp_province_pool	wh2_main_vor_southern_badlands
wh2_dlc11_cst_vampire_pirate_province_pool	wh2_main_vor_southern_great_jungle
wh_main_vmp_province_pool	wh2_main_vor_southern_great_jungle
wh2_dlc11_cst_vampire_pirate_province_pool	wh2_main_vor_southern_jungles
wh_main_vmp_province_pool	wh2_main_vor_southern_jungles
wh2_dlc11_cst_vampire_pirate_province_pool	wh2_main_vor_southern_red_rivers
wh_main_vmp_province_pool	wh2_main_vor_southern_red_rivers
wh2_dlc11_cst_vampire_pirate_province_pool	wh2_main_vor_southern_spine_of_sotek
wh_main_vmp_province_pool	wh2_main_vor_southern_spine_of_sotek
wh2_dlc11_cst_vampire_pirate_province_pool	wh2_main_vor_southern_yvresse
wh_main_vmp_province_pool	wh2_main_vor_southern_yvresse
wh2_dlc11_cst_vampire_pirate_province_pool	wh2_main_vor_southlands_world_edge_mountains
wh_main_vmp_province_pool	wh2_main_vor_southlands_world_edge_mountains
wh2_dlc11_cst_vampire_pirate_province_pool	wh2_main_vor_straits_of_lothern
wh_main_vmp_province_pool	wh2_main_vor_straits_of_lothern
wh2_dlc11_cst_vampire_pirate_province_pool	wh2_main_vor_the_black_coast
wh_main_vmp_province_pool	wh2_main_vor_the_black_coast
wh2_dlc11_cst_vampire_pirate_province_pool	wh2_main_vor_the_black_flood
wh_main_vmp_province_pool	wh2_main_vor_the_black_flood
wh2_dlc11_cst_vampire_pirate_province_pool	wh2_main_vor_the_broken_land
wh_main_vmp_province_pool	wh2_main_vor_the_broken_land
wh2_dlc11_cst_vampire_pirate_province_pool	wh2_main_vor_the_capes
wh_main_vmp_province_pool	wh2_main_vor_the_capes
wh2_dlc11_cst_vampire_pirate_province_pool	wh2_main_vor_the_chill_road
wh_main_vmp_province_pool	wh2_main_vor_the_chill_road
wh2_dlc11_cst_vampire_pirate_province_pool	wh2_main_vor_the_clawed_coast
wh_main_vmp_province_pool	wh2_main_vor_the_clawed_coast
wh2_dlc11_cst_vampire_pirate_province_pool	wh2_main_vor_the_creeping_jungle
wh_main_vmp_province_pool	wh2_main_vor_the_creeping_jungle
wh2_dlc11_cst_vampire_pirate_province_pool	wh2_main_vor_the_dragon_isles
wh_main_vmp_province_pool	wh2_main_vor_the_dragon_isles
wh2_dlc11_cst_vampire_pirate_province_pool	wh2_main_vor_the_forbidden_jungle
wh_main_vmp_province_pool	wh2_main_vor_the_forbidden_jungle
wh2_dlc11_cst_vampire_pirate_province_pool	wh2_main_vor_the_great_desert
wh_main_vmp_province_pool	wh2_main_vor_the_great_desert
wh2_dlc11_cst_vampire_pirate_province_pool	wh2_main_vor_the_jungles_of_the_gods
wh_main_vmp_province_pool	wh2_main_vor_the_jungles_of_the_gods
wh2_dlc11_cst_vampire_pirate_province_pool	wh2_main_vor_the_lost_valleys
wh_main_vmp_province_pool	wh2_main_vor_the_lost_valleys
wh2_dlc11_cst_vampire_pirate_province_pool	wh2_main_vor_the_road_of_skulls
wh_main_vmp_province_pool	wh2_main_vor_the_road_of_skulls
wh2_dlc11_cst_vampire_pirate_province_pool	wh2_main_vor_the_turtle_isles
wh_main_vmp_province_pool	wh2_main_vor_the_turtle_isles
wh2_dlc11_cst_vampire_pirate_province_pool	wh2_main_vor_the_vampire_coast
wh_main_vmp_province_pool	wh2_main_vor_the_vampire_coast
wh2_dlc11_cst_vampire_pirate_province_pool	wh2_main_vor_tiranoc
wh_main_vmp_province_pool	wh2_main_vor_tiranoc
wh2_dlc11_cst_vampire_pirate_province_pool	wh2_main_vor_unicorn_gate
wh_main_vmp_province_pool	wh2_main_vor_unicorn_gate
wh2_dlc11_cst_vampire_pirate_province_pool	wh2_main_vor_volcanic_islands
wh_main_vmp_province_pool	wh2_main_vor_volcanic_islands
wh2_dlc11_cst_vampire_pirate_province_pool	wh2_main_vor_western_jungles
wh_main_vmp_province_pool	wh2_main_vor_western_jungles
wh2_dlc11_cst_vampire_pirate_province_pool	wh2_main_western_jungles
wh_main_vmp_province_pool	wh2_main_western_jungles
wh2_dlc11_cst_vampire_pirate_province_pool	wh2_main_yvresse
wh_main_vmp_province_pool	wh2_main_yvresse
wh2_dlc11_cst_vampire_pirate_province_pool	wh_main_argwylon
wh_main_vmp_province_pool	wh_main_argwylon
wh2_dlc11_cst_vampire_pirate_province_pool	wh_main_averland
wh_main_vmp_province_pool	wh_main_averland
wh2_dlc11_cst_vampire_pirate_province_pool	wh_main_bastonne_et_montfort
wh_main_vmp_province_pool	wh_main_bastonne_et_montfort
wh2_dlc11_cst_vampire_pirate_province_pool	wh_main_black_mountains
wh_main_vmp_province_pool	wh_main_black_mountains
wh2_dlc11_cst_vampire_pirate_province_pool	wh_main_blightwater
wh_main_vmp_province_pool	wh_main_blightwater
wh2_dlc11_cst_vampire_pirate_province_pool	wh_main_blood_river_valley
wh_main_vmp_province_pool	wh_main_blood_river_valley
wh2_dlc11_cst_vampire_pirate_province_pool	wh_main_bordeleaux_et_aquitaine
wh_main_vmp_province_pool	wh_main_bordeleaux_et_aquitaine
wh2_dlc11_cst_vampire_pirate_province_pool	wh_main_carcassone_et_brionne
wh_main_vmp_province_pool	wh_main_carcassone_et_brionne
wh2_dlc11_cst_vampire_pirate_province_pool	wh_main_couronne_et_languille
wh_main_vmp_province_pool	wh_main_couronne_et_languille
wh2_dlc11_cst_vampire_pirate_province_pool	wh_main_death_pass
wh_main_vmp_province_pool	wh_main_death_pass
wh2_dlc11_cst_vampire_pirate_province_pool	wh_main_desolation_of_nagash
wh_main_vmp_province_pool	wh_main_desolation_of_nagash
wh2_dlc11_cst_vampire_pirate_province_pool	wh_main_eastern_badlands
wh_main_vmp_province_pool	wh_main_eastern_badlands
wh2_dlc11_cst_vampire_pirate_province_pool	wh_main_eastern_border_princes
wh_main_vmp_province_pool	wh_main_eastern_border_princes
wh2_dlc11_cst_vampire_pirate_province_pool	wh_main_eastern_oblast
wh_main_vmp_province_pool	wh_main_eastern_oblast
wh2_dlc11_cst_vampire_pirate_province_pool	wh_main_eastern_sylvania
wh_main_vmp_province_pool	wh_main_eastern_sylvania
wh2_dlc11_cst_vampire_pirate_province_pool	wh_main_estalia
wh_main_vmp_province_pool	wh_main_estalia
wh2_dlc11_cst_vampire_pirate_province_pool	wh_main_forest_of_arden
wh_main_vmp_province_pool	wh_main_forest_of_arden
wh2_dlc11_cst_vampire_pirate_province_pool	wh_main_gianthome_mountains
wh_main_vmp_province_pool	wh_main_gianthome_mountains
wh2_dlc11_cst_vampire_pirate_province_pool	wh_main_goromadny_mountains
wh_main_vmp_province_pool	wh_main_goromadny_mountains
wh2_dlc11_cst_vampire_pirate_province_pool	wh_main_helspire_mountains
wh_main_vmp_province_pool	wh_main_helspire_mountains
wh2_dlc11_cst_vampire_pirate_province_pool	wh_main_hochland
wh_main_vmp_province_pool	wh_main_hochland
wh2_dlc11_cst_vampire_pirate_province_pool	wh_main_ice_tooth_mountains
wh_main_vmp_province_pool	wh_main_ice_tooth_mountains
wh2_dlc11_cst_vampire_pirate_province_pool	wh_main_lyonesse
wh_main_vmp_province_pool	wh_main_lyonesse
wh2_dlc11_cst_vampire_pirate_province_pool	wh_main_massif_orcal
wh_main_vmp_province_pool	wh_main_massif_orcal
wh2_dlc11_cst_vampire_pirate_province_pool	wh_main_middenland
wh_main_vmp_province_pool	wh_main_middenland
wh2_dlc11_cst_vampire_pirate_province_pool	wh_main_mountains_of_hel
wh_main_vmp_province_pool	wh_main_mountains_of_hel
wh2_dlc11_cst_vampire_pirate_province_pool	wh_main_mountains_of_naglfari
wh_main_vmp_province_pool	wh_main_mountains_of_naglfari
wh2_dlc11_cst_vampire_pirate_province_pool	wh_main_nordland
wh_main_vmp_province_pool	wh_main_nordland
wh2_dlc11_cst_vampire_pirate_province_pool	wh_main_northern_grey_mountains
wh_main_vmp_province_pool	wh_main_northern_grey_mountains
wh2_dlc11_cst_vampire_pirate_province_pool	wh_main_northern_oblast
wh_main_vmp_province_pool	wh_main_northern_oblast
wh2_dlc11_cst_vampire_pirate_province_pool	wh_main_northern_worlds_edge_mountains
wh_main_vmp_province_pool	wh_main_northern_worlds_edge_mountains
wh2_dlc11_cst_vampire_pirate_province_pool	wh_main_ostermark
wh_main_vmp_province_pool	wh_main_ostermark
wh2_dlc11_cst_vampire_pirate_province_pool	wh_main_ostland
wh_main_vmp_province_pool	wh_main_ostland
wh2_dlc11_cst_vampire_pirate_province_pool	wh_main_parravon_et_quenelles
wh_main_vmp_province_pool	wh_main_parravon_et_quenelles
wh2_dlc11_cst_vampire_pirate_province_pool	wh_main_peak_pass
wh_main_vmp_province_pool	wh_main_peak_pass
wh2_dlc11_cst_vampire_pirate_province_pool	wh_main_reikland
wh_main_vmp_province_pool	wh_main_reikland
wh2_dlc11_cst_vampire_pirate_province_pool	wh_main_rib_peaks
wh_main_vmp_province_pool	wh_main_rib_peaks
wh2_dlc11_cst_vampire_pirate_province_pool	wh_main_southern_badlands
wh_main_vmp_province_pool	wh_main_southern_badlands
wh2_dlc11_cst_vampire_pirate_province_pool	wh_main_southern_grey_mountains
wh_main_vmp_province_pool	wh_main_southern_grey_mountains
wh2_dlc11_cst_vampire_pirate_province_pool	wh_main_southern_oblast
wh_main_vmp_province_pool	wh_main_southern_oblast
wh2_dlc11_cst_vampire_pirate_province_pool	wh_main_stirland
wh_main_vmp_province_pool	wh_main_stirland
wh2_dlc11_cst_vampire_pirate_province_pool	wh_main_talabecland
wh_main_vmp_province_pool	wh_main_talabecland
wh2_dlc11_cst_vampire_pirate_province_pool	wh_main_talsyn
wh_main_vmp_province_pool	wh_main_talsyn
wh2_dlc11_cst_vampire_pirate_province_pool	wh_main_the_silver_road
wh_main_vmp_province_pool	wh_main_the_silver_road
wh2_dlc11_cst_vampire_pirate_province_pool	wh_main_the_vaults
wh_main_vmp_province_pool	wh_main_the_vaults
wh2_dlc11_cst_vampire_pirate_province_pool	wh_main_the_wasteland
wh_main_vmp_province_pool	wh_main_the_wasteland
wh2_dlc11_cst_vampire_pirate_province_pool	wh_main_tilea
wh_main_vmp_province_pool	wh_main_tilea
wh2_dlc11_cst_vampire_pirate_province_pool	wh_main_torgovann
wh_main_vmp_province_pool	wh_main_torgovann
wh2_dlc11_cst_vampire_pirate_province_pool	wh_main_troll_country
wh_main_vmp_province_pool	wh_main_troll_country
wh2_dlc11_cst_vampire_pirate_province_pool	wh_main_trollheim_mountains
wh_main_vmp_province_pool	wh_main_trollheim_mountains
wh2_dlc11_cst_vampire_pirate_province_pool	wh_main_vanaheim_mountains
wh_main_vmp_province_pool	wh_main_vanaheim_mountains
wh2_dlc11_cst_vampire_pirate_province_pool	wh_main_western_badlands
wh_main_vmp_province_pool	wh_main_western_badlands
wh2_dlc11_cst_vampire_pirate_province_pool	wh_main_western_border_princes
wh_main_vmp_province_pool	wh_main_western_border_princes
wh2_dlc11_cst_vampire_pirate_province_pool	wh_main_western_sylvania
wh_main_vmp_province_pool	wh_main_western_sylvania
wh2_dlc11_cst_vampire_pirate_province_pool	wh_main_wissenland
wh_main_vmp_province_pool	wh_main_wissenland
wh2_dlc11_cst_vampire_pirate_province_pool	wh_main_wydrioth
wh_main_vmp_province_pool	wh_main_wydrioth
wh2_dlc11_cst_vampire_pirate_province_pool	wh_main_yn_edri_eternos
wh_main_vmp_province_pool	wh_main_yn_edri_eternos
