building_culture_variants_tables	4
building	culture	description	icon	subculture	faction	disables	short_description	display_tooltip
wh2_dlc09_special_settlement_castle_drakenhof_tmb_3		wh_main_PLACEHOLDER	vampire_city_castle_drakenhof			false	wh2_dlc09_tmb_settlement_major_3	true
wh2_dlc09_special_settlement_castle_drakenhof_tmb_4		wh_main_PLACEHOLDER	vampire_city_castle_drakenhof			false	wh2_dlc09_tmb_settlement_major_4	true
wh2_dlc09_special_settlement_castle_drakenhof_tmb_5		wh_main_PLACEHOLDER	vampire_city_castle_drakenhof			false	wh2_dlc09_tmb_settlement_major_5	true
wh2_dlc09_special_settlement_castle_drakenhof_tmb_ruin		wh_main_PLACEHOLDER	wh_main_settlement_default_ruin			false	wh_main_settlement_major_ruin	true
wh2_dlc09_special_settlement_couronne_tmb_1		wh_main_PLACEHOLDER	bretonnia_city_couronne			false	wh2_dlc09_tmb_settlement_major_1	true
wh2_dlc09_special_settlement_couronne_tmb_2		wh_main_PLACEHOLDER	bretonnia_city_couronne			false	wh2_dlc09_tmb_settlement_major_2	true
wh2_dlc09_special_settlement_couronne_tmb_3		wh_main_PLACEHOLDER	bretonnia_city_couronne			false	wh2_dlc09_tmb_settlement_major_3	true
wh2_dlc09_special_settlement_couronne_tmb_4		wh_main_PLACEHOLDER	bretonnia_city_couronne			false	wh2_dlc09_tmb_settlement_major_4	true
wh2_dlc09_special_settlement_couronne_tmb_5		wh_main_PLACEHOLDER	bretonnia_city_couronne			false	wh2_dlc09_tmb_settlement_major_5	true
wh2_dlc09_special_settlement_couronne_tmb_ruin		wh_main_PLACEHOLDER	wh_main_settlement_default_ruin			false	wh_main_settlement_major_ruin	true
wh2_dlc09_special_settlement_eight_peaks_tmb_1		wh_main_PLACEHOLDER	greenskins_eight_peaks			false	wh2_dlc09_tmb_settlement_major_1	true
wh2_dlc09_special_settlement_eight_peaks_tmb_2		wh_main_PLACEHOLDER	greenskins_eight_peaks			false	wh2_dlc09_tmb_settlement_major_2	true
wh2_dlc09_special_settlement_eight_peaks_tmb_3		wh_main_PLACEHOLDER	greenskins_eight_peaks			false	wh2_dlc09_tmb_settlement_major_3	true
wh2_dlc09_special_settlement_eight_peaks_tmb_4		wh_main_PLACEHOLDER	greenskins_eight_peaks			false	wh2_dlc09_tmb_settlement_major_4	true
wh2_dlc09_special_settlement_eight_peaks_tmb_5		wh_main_PLACEHOLDER	greenskins_eight_peaks			false	wh2_dlc09_tmb_settlement_major_5	true
wh2_dlc09_special_settlement_eight_peaks_tmb_ruin		wh_main_PLACEHOLDER	wh_main_settlement_dwarf_ruin			false	wh_main_settlement_major_ruin	true
wh2_dlc09_special_settlement_gaean_vale_tmb_1		wh_main_PLACEHOLDER	wh2_dlc10_hef_alarielle_settlement			false	wh2_dlc09_tmb_settlement_major_1	true
wh2_dlc09_special_settlement_gaean_vale_tmb_2		wh_main_PLACEHOLDER	wh2_dlc10_hef_alarielle_settlement			false	wh2_dlc09_tmb_settlement_major_2	true
wh2_dlc09_special_settlement_gaean_vale_tmb_3		wh_main_PLACEHOLDER	wh2_dlc10_hef_alarielle_settlement			false	wh2_dlc09_tmb_settlement_major_3	true
wh2_dlc09_special_settlement_gaean_vale_tmb_4		wh_main_PLACEHOLDER	wh2_dlc10_hef_alarielle_settlement			false	wh2_dlc09_tmb_settlement_major_4	true
wh2_dlc09_special_settlement_gaean_vale_tmb_5		wh_main_PLACEHOLDER	wh2_dlc10_hef_alarielle_settlement			false	wh2_dlc09_tmb_settlement_major_5	true
wh2_dlc09_special_settlement_gaean_vale_tmb_ruin		wh_main_PLACEHOLDER	wh_main_settlement_default_ruin			false	wh_main_settlement_major_ruin	true
wh2_dlc09_special_settlement_hexoatl_tmb_1		wh_main_PLACEHOLDER	lizardmen_city_hexoatl			false	wh2_dlc09_tmb_settlement_major_1	true
wh2_dlc09_special_settlement_hexoatl_tmb_2		wh_main_PLACEHOLDER	lizardmen_city_hexoatl			false	wh2_dlc09_tmb_settlement_major_2	true
wh2_dlc09_special_settlement_hexoatl_tmb_3		wh_main_PLACEHOLDER	lizardmen_city_hexoatl			false	wh2_dlc09_tmb_settlement_major_3	true
wh2_dlc09_special_settlement_hexoatl_tmb_4		wh_main_PLACEHOLDER	lizardmen_city_hexoatl			false	wh2_dlc09_tmb_settlement_major_4	true
wh2_dlc09_special_settlement_hexoatl_tmb_5		wh_main_PLACEHOLDER	lizardmen_city_hexoatl			false	wh2_dlc09_tmb_settlement_major_5	true
wh2_dlc09_special_settlement_hexoatl_tmb_ruin		wh_main_PLACEHOLDER	wh_main_settlement_dwarf_ruin			false	wh_main_settlement_major_ruin	true
wh2_dlc09_special_settlement_itza_tmb_1		wh_main_PLACEHOLDER	lizardmen_city_itza			false	wh2_dlc09_tmb_settlement_major_1	true
wh2_dlc09_special_settlement_itza_tmb_2		wh_main_PLACEHOLDER	lizardmen_city_itza			false	wh2_dlc09_tmb_settlement_major_2	true
wh2_dlc09_special_settlement_itza_tmb_3		wh_main_PLACEHOLDER	lizardmen_city_itza			false	wh2_dlc09_tmb_settlement_major_3	true
wh2_dlc09_special_settlement_itza_tmb_4		wh_main_PLACEHOLDER	lizardmen_city_itza			false	wh2_dlc09_tmb_settlement_major_4	true
wh2_dlc09_special_settlement_itza_tmb_5		wh_main_PLACEHOLDER	lizardmen_city_itza			false	wh2_dlc09_tmb_settlement_major_5	true
wh2_dlc09_special_settlement_itza_tmb_ruin		wh_main_PLACEHOLDER	wh_main_settlement_dwarf_ruin			false	wh_main_settlement_major_ruin	true
wh2_dlc09_special_settlement_karaz_a_karak_tmb_1		wh_main_PLACEHOLDER	dwarf_city_karaz_a_karak			false	wh2_dlc09_tmb_settlement_major_1	true
wh2_dlc09_special_settlement_karaz_a_karak_tmb_2		wh_main_PLACEHOLDER	dwarf_city_karaz_a_karak			false	wh2_dlc09_tmb_settlement_major_2	true
wh2_dlc09_special_settlement_karaz_a_karak_tmb_3		wh_main_PLACEHOLDER	dwarf_city_karaz_a_karak			false	wh2_dlc09_tmb_settlement_major_3	true
wh2_dlc09_special_settlement_karaz_a_karak_tmb_4		wh_main_PLACEHOLDER	dwarf_city_karaz_a_karak			false	wh2_dlc09_tmb_settlement_major_4	true
wh2_dlc09_special_settlement_karaz_a_karak_tmb_5		wh_main_PLACEHOLDER	dwarf_city_karaz_a_karak			false	wh2_dlc09_tmb_settlement_major_5	true
wh2_dlc09_special_settlement_karaz_a_karak_tmb_ruin		wh_main_PLACEHOLDER	wh_main_settlement_dwarf_ruin			false	wh_main_settlement_major_ruin	true
wh2_dlc09_special_settlement_khemri_tmb_1		wh_main_PLACEHOLDER	tomb_kings_city_khemri			false	wh2_dlc09_tmb_settlement_major_1	true
wh2_dlc09_special_settlement_khemri_tmb_2		wh_main_PLACEHOLDER	tomb_kings_city_khemri			false	wh2_dlc09_tmb_settlement_major_2	true
wh2_dlc09_special_settlement_khemri_tmb_3		wh_main_PLACEHOLDER	tomb_kings_city_khemri			false	wh2_dlc09_tmb_settlement_major_3	true
wh2_dlc09_special_settlement_khemri_tmb_4		wh_main_PLACEHOLDER	tomb_kings_city_khemri			false	wh2_dlc09_tmb_settlement_major_4	true
wh2_dlc09_special_settlement_khemri_tmb_5		wh_main_PLACEHOLDER	tomb_kings_city_khemri			false	wh2_dlc09_tmb_settlement_major_5	true
wh2_dlc09_special_settlement_khemri_tmb_ruin		wh_main_PLACEHOLDER	wh_main_settlement_dwarf_ruin			false	wh_main_settlement_major_ruin	true
wh2_dlc09_special_settlement_kislev_tmb_1		wh_main_PLACEHOLDER	kislev_city_kislev			false	wh2_dlc09_tmb_settlement_major_1	true
wh2_dlc09_special_settlement_kislev_tmb_2		wh_main_PLACEHOLDER	kislev_city_kislev			false	wh2_dlc09_tmb_settlement_major_2	true
wh2_dlc09_special_settlement_kislev_tmb_3		wh_main_PLACEHOLDER	kislev_city_kislev			false	wh2_dlc09_tmb_settlement_major_3	true
wh2_dlc09_special_settlement_kislev_tmb_4		wh_main_PLACEHOLDER	kislev_city_kislev			false	wh2_dlc09_tmb_settlement_major_4	true
wh2_dlc09_special_settlement_kislev_tmb_5		wh_main_PLACEHOLDER	kislev_city_kislev			false	wh2_dlc09_tmb_settlement_major_5	true
wh2_dlc09_special_settlement_kislev_tmb_ruin		wh_main_PLACEHOLDER	wh_main_settlement_default_ruin			false	wh_main_settlement_major_ruin	true
wh2_dlc09_special_settlement_lahmia_tmb_1		wh_main_PLACEHOLDER	tomb_kings_city_lahmia			false	wh2_dlc09_tmb_settlement_major_1	true
wh2_dlc09_special_settlement_lahmia_tmb_2		wh_main_PLACEHOLDER	tomb_kings_city_lahmia			false	wh2_dlc09_tmb_settlement_major_2	true
wh2_dlc09_special_settlement_lahmia_tmb_3		wh_main_PLACEHOLDER	tomb_kings_city_lahmia			false	wh2_dlc09_tmb_settlement_major_3	true
wh2_dlc09_special_settlement_lahmia_tmb_4		wh_main_PLACEHOLDER	tomb_kings_city_lahmia			false	wh2_dlc09_tmb_settlement_major_4	true
wh2_dlc09_special_settlement_lahmia_tmb_5		wh_main_PLACEHOLDER	tomb_kings_city_lahmia			false	wh2_dlc09_tmb_settlement_major_5	true
wh2_dlc09_special_settlement_lahmia_tmb_ruin		wh_main_PLACEHOLDER	wh_main_settlement_dwarf_ruin			false	wh_main_settlement_major_ruin	true
wh2_dlc09_special_settlement_lothern_tmb_1		wh_main_PLACEHOLDER	high_elves_city_lothern			false	wh2_dlc09_tmb_settlement_major_1	true
wh2_dlc09_special_settlement_lothern_tmb_2		wh_main_PLACEHOLDER	high_elves_city_lothern			false	wh2_dlc09_tmb_settlement_major_2	true
wh2_dlc09_special_settlement_lothern_tmb_3		wh_main_PLACEHOLDER	high_elves_city_lothern			false	wh2_dlc09_tmb_settlement_major_3	true
wh2_dlc09_special_settlement_lothern_tmb_4		wh_main_PLACEHOLDER	high_elves_city_lothern			false	wh2_dlc09_tmb_settlement_major_4	true
wh2_dlc09_special_settlement_lothern_tmb_5		wh_main_PLACEHOLDER	high_elves_city_lothern			false	wh2_dlc09_tmb_settlement_major_5	true
wh2_dlc09_special_settlement_lothern_tmb_ruin		wh_main_PLACEHOLDER	wh_main_settlement_default_ruin			false	wh_main_settlement_major_ruin	true
wh2_dlc09_special_settlement_miragliano_tmb_1		wh_main_PLACEHOLDER	tilea_city_miragliano			false	wh2_dlc09_tmb_settlement_major_1	true
wh2_dlc09_special_settlement_miragliano_tmb_2		wh_main_PLACEHOLDER	tilea_city_miragliano			false	wh2_dlc09_tmb_settlement_major_2	true
wh2_dlc09_special_settlement_miragliano_tmb_3		wh_main_PLACEHOLDER	tilea_city_miragliano			false	wh2_dlc09_tmb_settlement_major_3	true
wh2_dlc09_special_settlement_miragliano_tmb_4		wh_main_PLACEHOLDER	tilea_city_miragliano			false	wh2_dlc09_tmb_settlement_major_4	true
wh2_dlc09_special_settlement_miragliano_tmb_5		wh_main_PLACEHOLDER	tilea_city_miragliano			false	wh2_dlc09_tmb_settlement_major_5	true
wh2_dlc09_special_settlement_miragliano_tmb_ruin		wh_main_PLACEHOLDER	wh_main_settlement_default_ruin			false	wh_main_settlement_major_ruin	true
wh2_dlc09_special_settlement_naggarond_tmb_1		wh_main_PLACEHOLDER	dark_elves_city_naggarond			false	wh2_dlc09_tmb_settlement_major_1	true
wh2_dlc09_special_settlement_naggarond_tmb_2		wh_main_PLACEHOLDER	dark_elves_city_naggarond			false	wh2_dlc09_tmb_settlement_major_2	true
wh2_dlc09_special_settlement_naggarond_tmb_3		wh_main_PLACEHOLDER	dark_elves_city_naggarond			false	wh2_dlc09_tmb_settlement_major_3	true
wh2_dlc09_special_settlement_naggarond_tmb_4		wh_main_PLACEHOLDER	dark_elves_city_naggarond			false	wh2_dlc09_tmb_settlement_major_4	true
wh2_dlc09_special_settlement_naggarond_tmb_5		wh_main_PLACEHOLDER	dark_elves_city_naggarond			false	wh2_dlc09_tmb_settlement_major_5	true
wh2_dlc09_special_settlement_naggarond_tmb_ruin		wh_main_PLACEHOLDER	wh_main_settlement_dwarf_ruin			false	wh_main_settlement_major_ruin	true
wh2_dlc09_special_settlement_pyramid_of_nagash_brt_1		wh_main_PLACEHOLDER	special_pyramid_of_nagash_settlement			false	wh_main_brt_settlement_major_1	true
wh2_dlc09_special_settlement_pyramid_of_nagash_brt_2		wh_main_PLACEHOLDER	special_pyramid_of_nagash_settlement			false	wh_main_brt_settlement_major_2	true
wh2_dlc09_special_settlement_pyramid_of_nagash_brt_3		wh_main_PLACEHOLDER	special_pyramid_of_nagash_settlement			false	wh_main_brt_settlement_major_3	true
wh2_dlc09_special_settlement_pyramid_of_nagash_brt_4		wh_main_PLACEHOLDER	special_pyramid_of_nagash_settlement			false	wh_main_brt_settlement_major_4	true
wh2_dlc09_special_settlement_pyramid_of_nagash_brt_5		wh_main_PLACEHOLDER	special_pyramid_of_nagash_settlement			false	wh_main_brt_settlement_major_5	true
wh2_dlc09_special_settlement_pyramid_of_nagash_brt_ruin		wh_main_PLACEHOLDER	tmb_settlement_ruin			false	wh_main_settlement_major_ruin	true
wh2_dlc09_special_settlement_pyramid_of_nagash_def_1		wh_main_PLACEHOLDER	special_pyramid_of_nagash_settlement			false	wh2_main_def_settlement_major_1	true
wh2_dlc09_special_settlement_pyramid_of_nagash_def_2		wh_main_PLACEHOLDER	special_pyramid_of_nagash_settlement			false	wh2_main_def_settlement_major_2	true
wh2_dlc09_special_settlement_pyramid_of_nagash_def_3		wh_main_PLACEHOLDER	special_pyramid_of_nagash_settlement			false	wh2_main_def_settlement_major_3	true
wh2_dlc09_special_settlement_pyramid_of_nagash_def_4		wh_main_PLACEHOLDER	special_pyramid_of_nagash_settlement			false	wh2_main_def_settlement_major_4	true
wh2_dlc09_special_settlement_pyramid_of_nagash_def_5		wh_main_PLACEHOLDER	special_pyramid_of_nagash_settlement			false	wh2_main_def_settlement_major_5	true
wh2_dlc09_special_settlement_pyramid_of_nagash_def_ruin		wh_main_PLACEHOLDER	tmb_settlement_ruin			false	wh_main_settlement_major_ruin	true
wh2_dlc09_special_settlement_pyramid_of_nagash_dwf_1		wh_main_PLACEHOLDER	special_pyramid_of_nagash_settlement			false	wh_main_dwf_settlement_major_1	true
wh2_dlc09_special_settlement_pyramid_of_nagash_dwf_2		wh_main_PLACEHOLDER	special_pyramid_of_nagash_settlement			false	wh_main_dwf_settlement_major_2	true
wh2_dlc09_special_settlement_pyramid_of_nagash_dwf_3		wh_main_PLACEHOLDER	special_pyramid_of_nagash_settlement			false	wh_main_dwf_settlement_major_3	true
wh2_dlc09_special_settlement_pyramid_of_nagash_dwf_4		wh_main_PLACEHOLDER	special_pyramid_of_nagash_settlement			false	wh_main_dwf_settlement_major_4	true
wh2_dlc09_special_settlement_pyramid_of_nagash_dwf_5		wh_main_PLACEHOLDER	special_pyramid_of_nagash_settlement			false	wh_main_dwf_settlement_major_5	true
wh2_dlc09_special_settlement_pyramid_of_nagash_dwf_ruin		wh_main_PLACEHOLDER	tmb_settlement_ruin			false	wh_main_settlement_major_ruin	true
wh2_dlc09_special_settlement_pyramid_of_nagash_emp_1		wh_main_PLACEHOLDER	special_pyramid_of_nagash_settlement			false	wh_main_emp_settlement_major_1	true
wh2_dlc09_special_settlement_pyramid_of_nagash_emp_2		wh_main_PLACEHOLDER	special_pyramid_of_nagash_settlement			false	wh_main_emp_settlement_major_2	true
wh2_dlc09_special_settlement_pyramid_of_nagash_emp_3		wh_main_PLACEHOLDER	special_pyramid_of_nagash_settlement			false	wh_main_emp_settlement_major_3	true
wh2_dlc09_special_settlement_pyramid_of_nagash_emp_4		wh_main_PLACEHOLDER	special_pyramid_of_nagash_settlement			false	wh_main_emp_settlement_major_4	true
wh2_dlc09_special_settlement_pyramid_of_nagash_emp_5		wh_main_PLACEHOLDER	special_pyramid_of_nagash_settlement			false	wh_main_emp_settlement_major_5	true
wh2_dlc09_special_settlement_pyramid_of_nagash_emp_ruin		wh_main_PLACEHOLDER	tmb_settlement_ruin			false	wh_main_settlement_major_ruin	true
wh2_dlc09_special_settlement_pyramid_of_nagash_grn_1		wh_main_PLACEHOLDER	special_pyramid_of_nagash_settlement	wh_main_sc_grn_greenskins		false	wh_main_grn_settlement_major_1	true
wh2_dlc09_special_settlement_pyramid_of_nagash_grn_2		wh_main_PLACEHOLDER	special_pyramid_of_nagash_settlement	wh_main_sc_grn_greenskins		false	wh_main_grn_settlement_major_2	true
wh2_dlc09_special_settlement_pyramid_of_nagash_grn_3		wh_main_PLACEHOLDER	special_pyramid_of_nagash_settlement	wh_main_sc_grn_greenskins		false	wh_main_grn_settlement_major_3	true
wh2_dlc09_special_settlement_pyramid_of_nagash_grn_4		wh_main_PLACEHOLDER	special_pyramid_of_nagash_settlement	wh_main_sc_grn_greenskins		false	wh_main_grn_settlement_major_4	true
wh2_dlc09_special_settlement_pyramid_of_nagash_grn_5		wh_main_PLACEHOLDER	special_pyramid_of_nagash_settlement	wh_main_sc_grn_greenskins		false	wh_main_grn_settlement_major_5	true
wh2_dlc09_special_settlement_pyramid_of_nagash_grn_ruin		wh_main_PLACEHOLDER	tmb_settlement_ruin			false	wh_main_settlement_major_ruin	true
wh2_dlc09_special_settlement_pyramid_of_nagash_hef_1		wh_main_PLACEHOLDER	special_pyramid_of_nagash_settlement			false	wh2_main_hef_settlement_major_1	true
wh2_dlc09_special_settlement_pyramid_of_nagash_hef_2		wh_main_PLACEHOLDER	special_pyramid_of_nagash_settlement			false	wh2_main_hef_settlement_major_2	true
wh2_dlc09_special_settlement_pyramid_of_nagash_hef_3		wh_main_PLACEHOLDER	special_pyramid_of_nagash_settlement			false	wh2_main_hef_settlement_major_3	true
wh2_dlc09_special_settlement_pyramid_of_nagash_hef_4		wh_main_PLACEHOLDER	special_pyramid_of_nagash_settlement			false	wh2_main_hef_settlement_major_4	true
wh2_dlc09_special_settlement_pyramid_of_nagash_hef_5		wh_main_PLACEHOLDER	special_pyramid_of_nagash_settlement			false	wh2_main_hef_settlement_major_5	true
wh2_dlc09_special_settlement_pyramid_of_nagash_hef_ruin		wh_main_PLACEHOLDER	tmb_settlement_ruin			false	wh_main_settlement_major_ruin	true
wh2_dlc09_special_settlement_pyramid_of_nagash_lzd_1		wh_main_PLACEHOLDER	special_pyramid_of_nagash_settlement			false	wh2_main_lzd_settlement_major_1	true
wh2_dlc09_special_settlement_pyramid_of_nagash_lzd_2		wh_main_PLACEHOLDER	special_pyramid_of_nagash_settlement			false	wh2_main_lzd_settlement_major_2	true
wh2_dlc09_special_settlement_pyramid_of_nagash_lzd_3		wh_main_PLACEHOLDER	special_pyramid_of_nagash_settlement			false	wh2_main_lzd_settlement_major_3	true
wh2_dlc09_special_settlement_pyramid_of_nagash_lzd_4		wh_main_PLACEHOLDER	special_pyramid_of_nagash_settlement			false	wh2_main_lzd_settlement_major_4	true
wh2_dlc09_special_settlement_pyramid_of_nagash_lzd_5		wh_main_PLACEHOLDER	special_pyramid_of_nagash_settlement			false	wh2_main_lzd_settlement_major_5	true
wh2_dlc09_special_settlement_pyramid_of_nagash_lzd_ruin		wh_main_PLACEHOLDER	tmb_settlement_ruin			false	wh_main_settlement_major_ruin	true
wh2_dlc09_special_settlement_pyramid_of_nagash_norsca_1		wh_main_PLACEHOLDER	special_pyramid_of_nagash_settlement			false	wh_main_nor_settlement_minor_1	true
wh2_dlc09_special_settlement_pyramid_of_nagash_norsca_2		wh_main_PLACEHOLDER	special_pyramid_of_nagash_settlement			false	wh_main_nor_settlement_minor_2	true
wh2_dlc09_special_settlement_pyramid_of_nagash_norsca_3		wh_main_PLACEHOLDER	special_pyramid_of_nagash_settlement			false	wh_main_nor_settlement_minor_3	true
wh2_dlc09_special_settlement_pyramid_of_nagash_norsca_ruin		wh_main_PLACEHOLDER	tmb_settlement_ruin			false	wh_main_settlement_major_ruin	true
wh2_dlc09_special_settlement_pyramid_of_nagash_savage_1		wh_main_PLACEHOLDER	special_pyramid_of_nagash_settlement	wh_main_sc_grn_savage_orcs		false	wh_main_savage_settlement_major_1	true
wh2_dlc09_special_settlement_pyramid_of_nagash_savage_2		wh_main_PLACEHOLDER	special_pyramid_of_nagash_settlement	wh_main_sc_grn_savage_orcs		false	wh_main_savage_settlement_major_2	true
wh2_dlc09_special_settlement_pyramid_of_nagash_savage_3		wh_main_PLACEHOLDER	special_pyramid_of_nagash_settlement	wh_main_sc_grn_savage_orcs		false	wh_main_savage_settlement_major_3	true
wh2_dlc09_special_settlement_pyramid_of_nagash_savage_ruin		wh_main_PLACEHOLDER	tmb_settlement_ruin			false	wh_main_settlement_major_ruin	true
wh2_dlc09_special_settlement_pyramid_of_nagash_skv_1		wh_main_PLACEHOLDER	special_pyramid_of_nagash_settlement			false	wh2_main_skv_settlement_major_1	true
wh2_dlc09_special_settlement_pyramid_of_nagash_skv_2		wh_main_PLACEHOLDER	special_pyramid_of_nagash_settlement			false	wh2_main_skv_settlement_major_2	true
wh2_dlc09_special_settlement_pyramid_of_nagash_skv_3		wh_main_PLACEHOLDER	special_pyramid_of_nagash_settlement			false	wh2_main_skv_settlement_major_3	true
wh2_dlc09_special_settlement_pyramid_of_nagash_skv_4		wh_main_PLACEHOLDER	special_pyramid_of_nagash_settlement			false	wh2_main_skv_settlement_major_4	true
wh2_dlc09_special_settlement_pyramid_of_nagash_skv_5		wh_main_PLACEHOLDER	special_pyramid_of_nagash_settlement			false	wh2_main_skv_settlement_major_5	true
wh2_dlc09_special_settlement_pyramid_of_nagash_skv_ruin		wh_main_PLACEHOLDER	tmb_settlement_ruin			false	wh_main_settlement_major_ruin	true
wh2_dlc09_special_settlement_pyramid_of_nagash_tmb_1		wh_main_PLACEHOLDER	special_pyramid_of_nagash_settlement			false	wh2_main_special_pyramid_of_nagash_other	true
wh2_dlc09_special_settlement_pyramid_of_nagash_tmb_2		wh_main_PLACEHOLDER	special_pyramid_of_nagash_settlement			false	wh2_main_special_pyramid_of_nagash_other	true
wh2_dlc09_special_settlement_pyramid_of_nagash_tmb_3		wh_main_PLACEHOLDER	special_pyramid_of_nagash_settlement			false	wh2_main_special_pyramid_of_nagash_other	true
wh2_dlc09_special_settlement_pyramid_of_nagash_tmb_4		wh_main_PLACEHOLDER	special_pyramid_of_nagash_settlement			false	wh2_main_special_pyramid_of_nagash_other	true
wh2_dlc09_special_settlement_pyramid_of_nagash_tmb_5		wh_main_PLACEHOLDER	special_pyramid_of_nagash_settlement			false	wh2_main_special_pyramid_of_nagash_other	true
wh2_dlc09_special_settlement_pyramid_of_nagash_tmb_ruin		wh_main_PLACEHOLDER	tmb_settlement_ruin			false	wh_main_settlement_major_ruin	true
wh2_dlc09_special_settlement_pyramid_of_nagash_vmp_1		wh_main_PLACEHOLDER	special_pyramid_of_nagash_settlement			false	wh2_main_special_pyramid_of_nagash_vmp	true
