special_ability_to_invalid_target_flags_tables	0
on_a_platform	wh2_main_spell_ruin_cracks_call_upgraded
flying_currently	wh2_main_spell_ruin_cracks_call
on_a_platform	wh2_main_spell_ruin_cracks_call
ground_unit	wh2_main_spell_ruin_howling_warpgale_upgraded
ground_unit	wh2_main_spell_ruin_howling_warpgale
on_a_platform	wh2_main_spell_ruin_scorch_upgraded
on_a_platform	wh2_main_spell_ruin_scorch
unit_is_not_a_lizard_unit	wh2_main_unit_abilities_revivification_crystal
climbing	wh2_main_unit_passive_snare_net
flying_currently	wh2_main_unit_passive_snare_net
manning_equipment	wh2_main_unit_passive_snare_net
on_a_platform	wh2_main_unit_passive_snare_net
climbing_manning_eq_on_platform	wh2_main_unit_passive_the_rats_emerge
on_a_platform	wh2_main_weapon_abilities_sunfang
climbing_manning_eq_on_platform	wh_dlc01_weapon_abilities_sword_of_change
morale_is_higher_than_half_of_base_morale	wh_dlc03_lord_passive_crush_the_weak
climbing_manning_eq_on_platform	wh_dlc03_spell_beasts_transformation_of_kadon
flying_currently	wh_dlc03_spell_bound_viletide
on_a_platform	wh_dlc03_spell_wild_bray_scream_upgraded
on_a_platform	wh_dlc03_spell_wild_bray_scream
climbing_manning_eq_on_platform	wh_dlc03_spell_wild_savage_dominion
flying_currently	wh_dlc03_spell_wild_viletide_upgraded
flying_currently	wh_dlc03_spell_wild_viletide
climbing_manning_eq_on_platform	wh_dlc04_quest_abilities_servant_of_nagash
health_above_20%	wh_dlc04_quest_abilities_servant_of_nagash
on_a_platform	wh_dlc04_spell_bound_banishment
hp_replenish_cap_reached	wh_dlc04_spell_vampires_invocation_of_nehek_helman
living_unit	wh_dlc04_spell_vampires_invocation_of_nehek_helman
on_a_platform	wh_dlc04_spell_vampires_invocation_of_nehek_helman
hp_replenish_cap_reached	wh_dlc04_spell_vampires_invocation_of_nehek_strigoi
living_unit	wh_dlc04_spell_vampires_invocation_of_nehek_strigoi
on_a_platform	wh_dlc04_spell_vampires_invocation_of_nehek_strigoi
climbing_manning_eq_on_platform	wh_dlc04_spell_vampires_raise_dead_helman
climbing_manning_eq_on_platform	wh_dlc04_spell_vampires_raise_dead_strigoi
climbing_manning_eq_on_platform	wh_dlc04_spell_vampires_raise_dead_upgraded_helman
climbing_manning_eq_on_platform	wh_dlc04_spell_vampires_raise_dead_upgraded_strigoi
flying_currently	wh_dlc04_spell_vampires_wind_of_death_helman
on_a_platform	wh_dlc04_spell_vampires_wind_of_death_helman
living_unit	wh_dlc04_unit_passive_the_reliquary_binding
living_unit	wh_dlc04_unit_passive_unholy_lodestone
climbing_manning_eq_on_platform	wh_dlc05_lord_abilities_spirit_essence_of_chaos
health_above_20%	wh_dlc05_lord_abilities_spirit_essence_of_chaos
unit_is_commander_class	wh_dlc05_lord_abilities_spirit_essence_of_chaos
climbing_manning_eq_on_platform	wh_dlc05_lord_abilities_spirit_essence_of_eternal_chaos
health_above_20%	wh_dlc05_lord_abilities_spirit_essence_of_eternal_chaos
unit_is_commander_class	wh_dlc05_lord_abilities_spirit_essence_of_eternal_chaos
flying_currently	wh_dlc05_lord_ablities_grey_wolves
on_a_platform	wh_dlc05_lord_ablities_grey_wolves
climbing_manning_eq_on_platform	wh_dlc05_quest_passive_gift_of_slaanesh
flying_currently	wh_dlc05_spell_life_awakening_of_the_wood
flying_currently	wh_dlc05_spell_life_awakening_the_wood_branchwraith
hp_replenish_cap_reached	wh_dlc05_spell_life_earth_blood_branchwraith
hp_replenish_cap_reached	wh_dlc05_spell_life_earth_blood_upgraded
hp_replenish_cap_reached	wh_dlc05_spell_life_earth_blood
hp_replenish_cap_reached	wh_dlc05_spell_life_regrowth_upgraded
hp_replenish_cap_reached	wh_dlc05_spell_life_regrowth
flying_currently	wh_dlc05_spell_life_the_dwellers_below_upgraded
on_a_platform	wh_dlc05_spell_life_the_dwellers_below_upgraded
flying_currently	wh_dlc05_spell_life_the_dwellers_below
on_a_platform	wh_dlc05_spell_life_the_dwellers_below
flying_currently	wh_dlc05_spell_shadow_the_penumbral_pendulum_branchwraith
on_a_platform	wh_dlc05_spell_shadow_the_penumbral_pendulum_branchwraith
flying_currently	wh_dlc05_spell_shadow_the_penumbral_pendulum_upgraded
on_a_platform	wh_dlc05_spell_shadow_the_penumbral_pendulum_upgraded
flying_currently	wh_dlc05_spell_shadow_the_penumbral_pendulum
on_a_platform	wh_dlc05_spell_shadow_the_penumbral_pendulum
unit_is_not_commander_class	wh_dlc05_weapon_abilities_el_syf
climbing_manning_eq_on_platform	wh_dlc05_weapon_abilities_stave_of_ruinous_corruption
climbing_manning_eq_on_platform	wh_dlc06_unit_abilities_maternal_instinct
climbing	wh_dlc06_unit_abilities_the_loons_of_eight_peaks
flying_currently	wh_dlc06_unit_abilities_the_loons_of_eight_peaks
on_a_platform	wh_dlc06_unit_abilities_the_loons_of_eight_peaks
flying_currently	wh_dlc07_item_abilities_wrath_of_manann
on_a_platform	wh_dlc07_item_abilities_wrath_of_manann
unit_is_not_commander_class	wh_dlc08_character_abilities_hunter_of_champions
on_a_platform	wh_dlc08_item_abilities_ancient_frost_wyrm_scale
on_a_platform	wh_dlc08_item_abilities_great_horn_of_dragon_ogre
flying_currently	wh_dlc08_lord_abilities_copious_vomit
flying_currently	wh_dlc08_lord_abilities_seafang
on_a_platform	wh_dlc08_lord_abilities_seafang
on_a_platform	wh_dlc08_quest_abilities_howling_winter
health_above_20%	wh_dlc08_quest_abilities_master_of_souls
unit_is_commander_class	wh_dlc08_quest_abilities_master_of_souls
unit_is_commander_class	wh_dlc08_quest_passive_exploding_fart
ground_unit	wh_main_banner_passive_scarecrow_banner
living_unit	wh_main_character_passive_master_of_the_dead
cannot_perform_missile_attack	wh_main_hero_passive_extra_powder
flying_currently	wh_main_item_abilities_fiery_ring_of_thori
on_a_platform	wh_main_item_abilities_fiery_ring_of_thori
ground_unit	wh_main_item_passive_featherfoe_torc
ground_unit	wh_main_item_passive_pidgeon_plucker_pendant
morale_is_lower_than_half_of_base_morale	wh_main_lord_passive_beloved_son_of_bretonnia
morale_is_lower_than_half_of_base_morale	wh_main_lord_passive_high_king
living_unit	wh_main_lore_passive_exorcism
grounded	wh_main_lore_passive_roiling_skies
living_unit	wh_main_lore_passive_the_curse_of_undeath
hasnt_casting_ability	wh_main_mount_abilities_locus_of_hysh
flying_currently	wh_main_spell_big_waaagh_brain_bursta_upgraded
flying_currently	wh_main_spell_big_waaagh_brain_bursta
flying_currently	wh_main_spell_big_waaagh_eadbutt_upgraded
on_a_platform	wh_main_spell_big_waaagh_eadbutt_upgraded
flying_currently	wh_main_spell_big_waaagh_eadbutt
on_a_platform	wh_main_spell_big_waaagh_eadbutt
flying_currently	wh_main_spell_big_waaagh_foot_of_gork_upgraded
flying_currently	wh_main_spell_big_waaagh_foot_of_gork
on_a_platform	wh_main_spell_death_the_purple_sun_of_xereus_upgraded
on_a_platform	wh_main_spell_death_the_purple_sun_of_xereus
on_a_platform	wh_main_spell_fire_flame_storm_upgraded
on_a_platform	wh_main_spell_fire_flame_storm
flying_currently	wh_main_spell_fire_the_burning_head_upgraded
on_a_platform	wh_main_spell_fire_the_burning_head_upgraded
flying_currently	wh_main_spell_fire_the_burning_head
on_a_platform	wh_main_spell_fire_the_burning_head
on_a_platform	wh_main_spell_heavens_chain_lightning
flying_currently	wh_main_spell_heavens_wind_blast_upgraded
on_a_platform	wh_main_spell_heavens_wind_blast_upgraded
flying_currently	wh_main_spell_heavens_wind_blast
on_a_platform	wh_main_spell_heavens_wind_blast
on_a_platform	wh_main_spell_light_banishment_upgraded
on_a_platform	wh_main_spell_light_banishment
on_a_platform	wh_main_spell_lil_waaagh_curse_of_da_bad_moon_upgraded
on_a_platform	wh_main_spell_lil_waaagh_curse_of_da_bad_moon
flying_currently	wh_main_spell_metal_gehennas_golden_hounds_upgraded
on_a_platform	wh_main_spell_metal_gehennas_golden_hounds_upgraded
flying_currently	wh_main_spell_metal_gehennas_golden_hounds
on_a_platform	wh_main_spell_metal_gehennas_golden_hounds
hp_replenish_cap_reached	wh_main_spell_vampires_invocation_of_nehek_upgraded
living_unit	wh_main_spell_vampires_invocation_of_nehek_upgraded
on_a_platform	wh_main_spell_vampires_invocation_of_nehek_upgraded
hp_replenish_cap_reached	wh_main_spell_vampires_invocation_of_nehek
living_unit	wh_main_spell_vampires_invocation_of_nehek
on_a_platform	wh_main_spell_vampires_invocation_of_nehek
climbing_manning_eq_on_platform	wh_main_spell_vampires_raise_dead_upgraded
climbing_manning_eq_on_platform	wh_main_spell_vampires_raise_dead
flying_currently	wh_main_spell_vampires_wind_of_death_upgraded
on_a_platform	wh_main_spell_vampires_wind_of_death_upgraded
flying_currently	wh_main_spell_vampires_wind_of_death
on_a_platform	wh_main_spell_vampires_wind_of_death
climbing	wh_main_unit_abilities_entrenchment
flying_currently	wh_main_unit_abilities_entrenchment
manning_equipment	wh_main_unit_abilities_entrenchment
climbing	wh_main_unit_abilities_spinning_loons
flying_currently	wh_main_unit_abilities_spinning_loons
on_a_platform	wh_main_unit_abilities_spinning_loons
flying_currently	wh_main_weapon_abilities_skabscrath
on_a_platform	wh_main_weapon_abilities_skabscrath
unit_is_not_commander_class	wh_pro02_item_abilities_blood_chalice_of_bathori
climbing_manning_eq_on_platform	wh_pro03_lord_abilities_lord_of_undeath_0
climbing_manning_eq_on_platform	wh_pro03_lord_abilities_lord_of_undeath_1
climbing_manning_eq_on_platform	wh_pro03_lord_abilities_lord_of_undeath_2
climbing_manning_eq_on_platform	wh_pro03_lord_abilities_lord_of_undeath_3
climbing_manning_eq_on_platform	wh_pro03_lord_abilities_lord_of_undeath_4
climbing_manning_eq_on_platform	wh_pro03_lord_abilities_lord_of_undeath
unit_is_not_commander_class	wh_pro04_unit_passive_guardian
