campaign_rogue_army_group_units_tables	0
group	key	unit	xp
wh2_dlc11_cst_rogue_boyz_of_the_forbidden_coast	1171519025	wh_main_grn_cav_goblin_wolf_riders_0	0
wh2_main_rogue_group_celestial_storm	1175929969	wh_dlc01_chs_mon_dragon_ogre	8
wh2_main_rogue_group_abominations	117644288	wh2_main_skv_mon_hell_pit_abomination	9
wh2_dlc09_rogue_eyes_of_the_jungle	1177133477	wh2_main_lzd_inf_chameleon_skinks_0	5
wh2_main_rogue_group_mengils_manflayers	118	wh2_main_def_inf_black_ark_corsairs_0	5
wh2_dlc11_cst_shanty_middle_sea_brigands	1180478032	wh_dlc08_nor_inf_marauder_berserkers_0	0
wh2_dlc09_rogue_dwellers_of_zardok	1181195446	wh_main_grn_cav_savage_orc_boar_boyz	7
wh2_dlc09_rogue_pilgrims_of_myrmidia	1189710286	wh_main_emp_art_great_cannon	5
wh2_main_rogue_group_pirates_of_the_southern_ocean	11906156	wh_main_emp_art_mortar	0
wh2_dlc09_rogue_dwellers_of_zardok	1200010757	wh_main_grn_cav_savage_orc_boar_boy_big_uns	7
wh2_dlc11_cst_rogue_boyz_of_the_forbidden_coast	1202523805	wh_main_grn_cav_goblin_wolf_riders_0	0
wh2_dlc11_cst_shanty_shark_straight_seadogs	1207150095	wh_main_vmp_cav_hexwraiths	0
wh2_dlc09_rogue_black_creek_raiders	121120361	wh_dlc06_chs_inf_aspiring_champions_0	7
wh2_dlc11_cst_rogue_freebooters_of_port_royale	121304164	wh_dlc04_emp_inf_free_company_militia_0	0
wh2_dlc11_cst_rogue_the_churning_gulf_raiders	1229648328	wh_dlc08_nor_inf_marauder_hunters_0	0
wh2_main_rogue_group_mengils_manflayers	123	wh2_main_def_inf_shades_1	5
wh2_main_rogue_group_vauls_expedition	1230226178	wh2_main_hef_inf_archers_1	0
wh2_main_rogue_group_pirates_of_the_far_sea	1231901894	wh_main_emp_cav_outriders_0	0
wh2_dlc11_cst_shanty_dragon_spine_privateers	1239865587	wh2_main_hef_inf_swordmasters_of_hoeth_0	0
wh2_main_rogue_group_scions_of_tesseninck	125900847	wh_main_emp_art_great_cannon	0
wh2_dlc11_cst_rogue_grey_point_scuttlers	1259628769	wh2_main_skv_inf_poison_wind_globadiers	0
wh2_main_rogue_group_mengils_manflayers	127	wh2_main_def_inf_shades_2	5
wh2_main_rogue_group_doomseekers	1270099139	wh_main_dwf_inf_irondrakes_0	7
wh2_dlc11_cst_rogue_the_churning_gulf_raiders	1270979166	wh_dlc08_nor_inf_marauder_champions_0	0
wh2_main_rogue_group_hung_warband	1271766659	wh_main_chs_cav_marauder_horsemen_1	8
wh2_dlc09_rogue_pilgrims_of_myrmidia	1274084866	wh_main_emp_veh_luminark_of_hysh_0	5
wh2_dlc11_cst_rogue_freebooters_of_port_royale	1274148753	wh_main_emp_inf_swordsmen	0
wh2_main_rogue_group_1	1287588583	wh_dlc01_chs_inf_chosen_2	6
wh2_main_rogue_group_pirates_of_the_southern_ocean	128836282	wh_main_emp_cav_pistoliers_1	0
wh2_main_rogue_group_boneclubbers_tribe	1295443962	wh_main_grn_cav_orc_boar_boy_big_uns	5
wh2_main_rogue_group_doomseekers	1296358752	wh_main_dwf_inf_irondrakes_0	7
wh2_main_rogue_group_1	1297924261	wh2_main_def_inf_darkshards_1	4
wh2_main_rogue_group_pirates_of_trantio	1300075313	wh_dlc04_emp_inf_free_company_militia_0	7
wh2_dlc11_cst_rogue_boyz_of_the_forbidden_coast	130525104	wh_main_grn_mon_trolls	0
wh2_dlc11_cst_rogue_boyz_of_the_forbidden_coast	1310049953	wh_main_grn_mon_trolls	0
wh2_dlc09_rogue_dwellers_of_zardok	1312431468	wh_main_grn_mon_arachnarok_spider_0	5
wh2_main_rogue_group_pirates_of_the_far_sea	1313081037	wh_main_emp_cav_pistoliers_1	0
wh2_dlc09_rogue_dwellers_of_zardok	1313668136	wh_main_grn_mon_arachnarok_spider_0	5
wh2_dlc11_cst_rogue_grey_point_scuttlers	1314867560	wh2_main_skv_inf_clanrats_1	0
wh2_main_rogue_group_bernhoffs_brigands	1326833850	wh_dlc04_emp_inf_free_company_militia_0	4
wh2_dlc11_cst_harpoon_the_sunken_land_corsairs	1334513399	wh2_main_def_inf_harpies	0
wh2_dlc09_rogue_pilgrims_of_myrmidia	1335991673	wh_main_emp_inf_halberdiers	7
wh2_main_rogue_group_morrsliebs_howlers	1344407198	wh_main_grn_art_doom_diver_catapult	5
wh2_main_rogue_group_mengils_manflayers	135	wh2_main_def_cav_dark_riders_1	5
wh2_main_rogue_group_pirates_of_the_far_sea	1350125013	wh_main_emp_inf_halberdiers	0
wh2_main_rogue_group_wrath_of_nature	1353620154	wh_dlc05_wef_mon_treekin_0	7
wh2_dlc11_cst_shanty_middle_sea_brigands	1362767394	wh_main_emp_inf_halberdiers	0
wh2_dlc09_rogue_black_creek_raiders	136297109	wh2_main_def_inf_witch_elves_0	7
wh2_main_rogue_group_teef_snatchaz	1364751069	wh_main_grn_inf_night_goblins	0
wh2_main_rogue_group_mengils_manflayers	137	wh2_main_def_art_reaper_bolt_thrower	5
wh2_dlc11_cst_rogue_grey_point_scuttlers	1386095939	wh2_main_skv_mon_rat_ogres	0
wh2_main_rogue_group_wrath_of_nature	1390270764	wh_dlc05_wef_forest_dragon_0	9
wh2_dlc09_rogue_pilgrims_of_myrmidia	1398244341	wh_main_emp_inf_halberdiers	7
wh2_main_rogue_group_college_of_pyrotechnics	1399400292	wh_main_emp_art_helstorm_rocket_battery	7
wh2_dlc11_cst_rogue_tyrants_of_the_black_ocean	1411235251	wh2_main_def_cav_dark_riders_2	0
wh2_dlc11_cst_shanty_dragon_spine_privateers	1415926579	wh2_main_hef_cav_dragon_princes	0
wh2_main_rogue_group_wrath_of_nature	1431210742	wh_dlc05_wef_inf_dryads_0	5
wh2_dlc09_rogue_eyes_of_the_jungle	1434484224	wh2_main_lzd_inf_chameleon_skinks_0	5
wh2_main_rogue_group_bernhoffs_brigands	1435364495	wh_main_brt_cav_mounted_yeomen_1	6
wh2_dlc11_cst_shanty_shark_straight_seadogs	1435870591	wh_main_vmp_inf_grave_guard_0	0
wh2_dlc11_cst_shanty_dragon_spine_privateers	1438801340	wh_dlc05_wef_inf_wardancers_1	0
wh2_dlc09_rogue_eyes_of_the_jungle	1445765864	wh2_main_lzd_mon_bastiladon_1	5
wh2_dlc11_cst_rogue_terrors_of_the_dark_straights	1449808225	wh2_dlc11_cst_inf_zombie_gunnery_mob_1	0
wh2_main_rogue_group_stuff_snatchers	1457304224	wh_dlc06_grn_inf_nasty_skulkers_0	6
wh2_main_rogue_group_vauls_expedition	1470149469	wh2_main_hef_inf_swordmasters_of_hoeth_0	0
wh2_dlc11_cst_rogue_terrors_of_the_dark_straights	1473505886	wh2_dlc11_cst_inf_zombie_deckhands_mob_1	0
wh2_dlc11_cst_rogue_bleak_coast_buccaneers	1487268110	wh_main_dwf_inf_longbeards	0
wh2_dlc11_cst_rogue_freebooters_of_port_royale	149027410	wh_main_emp_inf_spearmen_1	0
wh2_dlc11_cst_shanty_dragon_spine_privateers	1500573463	wh_dlc05_wef_forest_dragon_0	0
wh2_dlc11_cst_shanty_shark_straight_seadogs	1500923534	wh_main_vmp_mon_varghulf	0
wh2_main_rogue_group_scions_of_tesseninck	1501693352	wh_main_emp_inf_swordsmen	0
wh2_dlc09_rogue_eyes_of_the_jungle	1503282803	wh_dlc05_wef_cav_wild_riders_1	5
wh2_dlc11_cst_rogue_bleak_coast_buccaneers	1507104066	wh_main_dwf_inf_thunderers_0	0
wh2_dlc11_cst_rogue_the_churning_gulf_raiders	151133475	wh_main_nor_inf_chaos_marauders_1	0
wh2_dlc09_rogue_black_creek_raiders	1523503377	wh_main_chs_inf_chaos_marauders_1	7
wh2_main_rogue_group_scions_of_tesseninck	1527327282	wh_dlc04_emp_inf_free_company_militia_0	0
wh2_dlc09_rogue_pilgrims_of_myrmidia	1536817718	wh_dlc04_emp_inf_flagellants_0	7
wh2_main_rogue_group_gerhardts_mercenaries	1552497306	wh_main_grn_mon_giant	7
wh2_main_rogue_group_stuff_snatchers	1559136393	wh2_main_skv_inf_death_runners_0	6
wh2_dlc11_cst_shanty_middle_sea_brigands	1559760247	wh_main_emp_inf_handgunners	0
wh2_main_rogue_group_teef_snatchaz	1565521232	wh_main_grn_inf_night_goblin_archers	0
wh2_main_rogue_group_boneclubbers_tribe	157793339	wh_dlc01_chs_mon_trolls_1	5
wh2_dlc11_cst_rogue_terrors_of_the_dark_straights	1584521826	wh2_dlc11_cst_mon_rotting_prometheans_gunnery_mob_0	0
wh2_main_rogue_group_scourge_of_aquitaine	1585412979	wh_main_vmp_cav_black_knights_3	6
wh2_dlc11_cst_rogue_grey_point_scuttlers	1586206306	wh2_main_skv_mon_rat_ogres	0
wh2_dlc11_cst_rogue_the_churning_gulf_raiders	1588814501	wh_dlc08_nor_inf_marauder_berserkers_0	0
wh2_dlc09_rogue_eyes_of_the_jungle	1591664578	wh_dlc05_wef_inf_waywatchers_0	5
wh2_main_rogue_group_jerrods_errantry	159606877	wh_dlc07_brt_inf_battle_pilgrims_0	6
wh2_dlc09_rogue_black_creek_raiders	1597847894	wh_main_chs_mon_giant	5
wh2_main_rogue_group_doomseekers	1604338552	wh_main_dwf_inf_slayers	9
wh2_dlc09_rogue_dwellers_of_zardok	1604394121	wh_dlc03_bst_inf_centigors_2	5
wh2_dlc11_cst_rogue_grey_point_scuttlers	1604974131	wh2_main_skv_art_warp_lightning_cannon	0
wh2_main_rogue_group_celestial_storm	1605826538	wh_dlc01_chs_mon_dragon_ogre_shaggoth	9
wh2_main_rogue_group_doomseekers	1607498267	wh_main_dwf_veh_gyrobomber	4
wh2_dlc11_cst_shanty_shark_straight_seadogs	1609197785	wh2_dlc11_cst_mon_rotting_leviathan_0	0
wh2_dlc09_rogue_pilgrims_of_myrmidia	1609453786	wh_dlc04_emp_inf_flagellants_0	7
wh2_main_rogue_group_scions_of_tesseninck	1611264609	wh_main_emp_inf_spearmen_0	0
wh2_dlc09_rogue_pilgrims_of_myrmidia	1616801470	wh_dlc07_brt_inf_battle_pilgrims_0	7
wh2_dlc11_cst_rogue_terrors_of_the_dark_straights	1617717714	wh2_dlc11_cst_mon_mournguls_0	0
wh2_dlc11_cst_shanty_dragon_spine_privateers	1621996139	wh_dlc05_wef_inf_waywatchers_0	0
wh2_main_rogue_group_black_spider_tribe	1623255625	wh_main_grn_cav_forest_goblin_spider_riders_1	8
wh2_main_rogue_group_college_of_pyrotechnics	162622328	wh_main_emp_veh_steam_tank	9
wh2_dlc11_cst_shanty_dragon_spine_privateers	1627476251	wh2_main_hef_inf_lothern_sea_guard_1	0
wh2_dlc11_cst_rogue_boyz_of_the_forbidden_coast	1631547077	wh_main_grn_art_goblin_rock_lobber	0
wh2_main_rogue_group_beastcatchas	1632215461	wh_dlc06_grn_inf_squig_herd_0	8
wh2_dlc11_cst_shanty_shark_straight_seadogs	1636103921	wh_main_vmp_mon_vargheists	0
wh2_main_rogue_group_1	1638797191	wh2_main_def_mon_black_dragon	9
wh2_dlc11_cst_rogue_freebooters_of_port_royale	1645601128	wh_dlc04_emp_inf_free_company_militia_0	0
wh2_dlc11_cst_shanty_shark_straight_seadogs	1646318426	wh_main_vmp_inf_cairn_wraiths	0
wh2_main_rogue_group_black_spider_tribe	1658244901	wh2_main_lzd_mon_bastiladon_0	9
wh2_dlc11_cst_rogue_the_churning_gulf_raiders	1665899781	wh_main_nor_inf_chaos_marauders_1	0
wh2_main_rogue_group_jerrods_errantry	1666507873	wh_dlc07_brt_inf_battle_pilgrims_0	6
wh2_main_rogue_group_morrsliebs_howlers	166897999	wh_dlc04_emp_inf_flagellants_0	7
wh2_main_rogue_group_mangy_houndz	1671898229	wh_main_grn_inf_goblin_spearmen	0
wh2_dlc11_cst_rogue_terrors_of_the_dark_straights	1671902738	wh2_dlc11_cst_inf_zombie_gunnery_mob_1	0
wh2_main_rogue_group_beastcatchas	1672915266	wh_dlc06_grn_cav_squig_hoppers_0	7
wh2_dlc09_rogue_eyes_of_the_jungle	1679401197	wh2_main_lzd_mon_bastiladon_1	5
wh2_main_rogue_group_pirates_of_the_far_sea	1682272596	wh_main_emp_art_mortar	0
wh2_main_rogue_group_pirates_of_the_southern_ocean	1682283428	wh_dlc04_emp_inf_free_company_militia_0	0
wh2_main_rogue_group_hung_warband	1702447710	wh_main_chs_cav_marauder_horsemen_1	8
wh2_main_rogue_group_gerhardts_mercenaries	1702872023	wh_dlc04_emp_inf_free_company_militia_0	5
wh2_dlc09_rogue_black_creek_raiders	1705097688	wh_main_chs_inf_chaos_marauders_1	7
wh2_dlc11_cst_shanty_middle_sea_brigands	171230343	wh_main_emp_inf_handgunners	0
wh2_main_rogue_group_wrath_of_nature	1716618452	wh_dlc05_wef_inf_dryads_0	5
wh2_dlc09_rogue_pilgrims_of_myrmidia	1723644143	wh_dlc07_brt_inf_battle_pilgrims_0	7
wh2_main_rogue_group_jerrods_errantry	1723978822	wh_dlc04_emp_inf_flagellants_0	7
wh2_main_rogue_group_scourge_of_aquitaine	1725355646	wh_dlc02_vmp_cav_blood_knights_0	9
wh2_main_rogue_group_jerrods_errantry	1726938950	wh_main_brt_cav_grail_knights	9
wh2_main_rogue_group_college_of_pyrotechnics	1728967928	wh_main_emp_cav_outriders_1	6
wh2_main_rogue_group_hung_warband	1730310140	wh_main_chs_cav_marauder_horsemen_1	8
wh2_main_rogue_group_college_of_pyrotechnics	173986339	wh_main_emp_cav_outriders_1	6
wh2_dlc09_rogue_dwellers_of_zardok	1741855792	wh_dlc03_bst_inf_minotaurs_1	5
wh2_dlc09_rogue_pilgrims_of_myrmidia	1742219944	wh_dlc07_brt_inf_grail_reliquae_0	5
wh2_main_rogue_group_the_wandering_dead	1742923609	wh_main_vmp_inf_crypt_ghouls	0
wh2_main_rogue_group_pirates_of_trantio	1746738912	wh_dlc04_emp_inf_free_company_militia_0	7
wh2_main_rogue_group_morrsliebs_howlers	1747485637	wh_dlc04_emp_inf_flagellants_0	7
wh2_dlc11_cst_rogue_tyrants_of_the_black_ocean	1751431168	wh2_main_def_cav_dark_riders_2	0
wh2_dlc11_cst_rogue_the_churning_gulf_raiders	1752196707	wh_main_nor_inf_chaos_marauders_0	0
wh2_main_rogue_group_pirates_of_the_southern_ocean	1758601972	wh_main_emp_cav_outriders_0	0
wh2_dlc11_cst_rogue_tyrants_of_the_black_ocean	1759069965	wh2_main_def_inf_black_ark_corsairs_1	0
wh2_dlc11_cst_rogue_bleak_coast_buccaneers	176001436	wh_main_dwf_art_organ_gun	0
wh2_dlc09_rogue_black_creek_raiders	1760819779	wh_main_chs_inf_chaos_marauders_1	7
wh2_dlc11_cst_rogue_bleak_coast_buccaneers	176291799	wh_main_dwf_inf_longbeards	0
wh2_dlc11_cst_shanty_dragon_spine_privateers	1775172361	wh2_main_hef_inf_lothern_sea_guard_1	0
wh2_dlc09_rogue_eyes_of_the_jungle	1775543966	wh2_main_lzd_mon_ancient_stegadon	9
wh2_dlc09_rogue_eyes_of_the_jungle	1779397711	wh_dlc05_wef_inf_dryads_0	7
wh2_main_rogue_group_wrath_of_nature	1781848957	wh_dlc05_wef_inf_dryads_0	5
wh2_dlc11_cst_harpoon_the_sunken_land_corsairs	1782033142	wh2_main_def_inf_dreadspears_0	0
wh2_dlc11_cst_rogue_grey_point_scuttlers	1788725808	wh2_main_skv_inf_stormvermin_1	0
wh2_main_rogue_group_1	1793774907	wh_main_chs_inf_chosen_0	5
wh2_dlc11_cst_rogue_terrors_of_the_dark_straights	1794709613	wh2_dlc11_cst_mon_necrofex_colossus_0	0
wh2_main_rogue_group_1	18	wh2_main_def_cav_cold_one_knights_1	5
wh2_main_rogue_group_worldroot_rangers	1820885351	wh_dlc05_wef_inf_glade_guard_1	0
wh2_dlc09_rogue_black_creek_raiders	1829194043	wh_main_chs_inf_chaos_marauders_1	7
wh2_main_rogue_group_celestial_storm	1829476786	wh2_main_lzd_inf_saurus_spearmen_1	7
wh2_dlc11_cst_rogue_tyrants_of_the_black_ocean	1829945917	wh2_main_def_inf_darkshards_1	0
wh2_main_rogue_group_pirates_of_the_southern_ocean	1834646381	wh_main_emp_art_mortar	0
wh2_main_rogue_group_troll_skullz	1840139774	wh_main_chs_mon_trolls	8
wh2_main_rogue_group_troll_skullz	185043637	wh_main_chs_mon_trolls	8
wh2_main_rogue_group_the_wandering_dead	1857030570	wh_main_vmp_inf_zombie	0
wh2_dlc11_cst_harpoon_the_sunken_land_corsairs	1866504364	wh2_main_def_inf_dreadspears_0	0
wh2_main_rogue_group_jerrods_errantry	1868253772	wh_dlc04_emp_inf_flagellants_0	7
wh2_main_rogue_group_mangy_houndz	1868807262	wh_main_grn_cav_goblin_wolf_riders_0	0
wh2_main_rogue_group_abominations	1871660368	wh2_main_skv_mon_rat_ogres	6
wh2_dlc11_cst_shanty_shark_straight_seadogs	1874860914	wh2_dlc11_cst_mon_rotting_prometheans_gunnery_mob_0	0
wh2_dlc11_cst_shanty_middle_sea_brigands	1875102772	wh_dlc08_nor_inf_marauder_berserkers_0	0
wh2_dlc09_rogue_dwellers_of_zardok	1884494431	wh_dlc03_bst_inf_cygor_0	9
wh2_dlc11_cst_shanty_dragon_spine_privateers	1888609109	wh2_main_hef_art_eagle_claw_bolt_thrower	0
wh2_dlc11_cst_rogue_tyrants_of_the_black_ocean	1893997187	wh2_dlc10_def_cav_doomfire_warlocks_0	0
wh2_dlc09_rogue_eyes_of_the_jungle	1894119879	wh_dlc05_wef_cav_wild_riders_1	5
wh2_main_rogue_group_worldroot_rangers	1901697313	wh_dlc05_wef_cav_glade_riders_0	0
wh2_main_rogue_group_teef_snatchaz	1902014718	wh_main_grn_inf_night_goblin_archers	0
wh2_main_rogue_group_1	1905065167	wh2_main_def_art_reaper_bolt_thrower	5
wh2_main_rogue_group_celestial_storm	1911022882	wh2_main_lzd_inf_saurus_spearmen_1	7
wh2_main_rogue_group_troll_skullz	1913433576	wh_main_grn_mon_trolls	5
wh2_dlc09_rogue_pilgrims_of_myrmidia	1915187027	wh_dlc07_brt_cav_questing_knights_0	5
wh2_main_rogue_group_doomseekers	1922361486	wh_dlc06_grn_inf_squig_explosive_0	9
wh2_dlc09_rogue_eyes_of_the_jungle	1924685037	wh_dlc05_wef_inf_waywatchers_0	5
wh2_dlc11_cst_shanty_middle_sea_brigands	1926257575	wh_main_emp_inf_halberdiers	0
wh2_dlc11_cst_rogue_grey_point_scuttlers	1937159092	wh2_main_skv_inf_gutter_runner_slingers_1	0
wh2_dlc11_cst_rogue_grey_point_scuttlers	1938911230	wh2_main_skv_inf_gutter_runner_slingers_1	0
wh2_dlc11_cst_rogue_bleak_coast_buccaneers	1939901460	wh_main_dwf_inf_ironbreakers	0
wh2_dlc09_rogue_pilgrims_of_myrmidia	1941184925	wh_dlc07_brt_inf_battle_pilgrims_0	7
wh2_dlc11_cst_shanty_shark_straight_seadogs	1944243474	wh2_dlc11_cst_inf_depth_guard_1	0
wh2_main_rogue_group_beastcatchas	194564436	wh_dlc06_grn_cav_squig_hoppers_0	7
wh2_dlc11_cst_rogue_freebooters_of_port_royale	1946343774	wh_dlc04_emp_inf_free_company_militia_0	0
wh2_dlc11_cst_rogue_terrors_of_the_dark_straights	1955377539	wh2_dlc11_cst_mon_rotting_leviathan_0	0
wh2_main_rogue_group_pirates_of_the_southern_ocean	1959744587	wh_dlc04_emp_inf_free_company_militia_0	0
wh2_main_rogue_group_boneclubbers_tribe	1964174189	wh_dlc03_bst_inf_cygor_0	7
wh2_dlc09_rogue_eyes_of_the_jungle	1968591014	wh_dlc05_wef_inf_dryads_0	7
wh2_dlc11_cst_rogue_freebooters_of_port_royale	1970116662	wh_main_emp_inf_crossbowmen	0
wh2_main_rogue_group_pirates_of_the_southern_ocean	1975911490	wh_dlc04_emp_inf_free_company_militia_0	0
wh2_main_rogue_group_mangy_houndz	1988720161	wh_main_grn_inf_goblin_spearmen	0
wh2_dlc11_cst_harpoon_the_sunken_land_corsairs	198885989	wh2_main_def_inf_dreadspears_0	0
wh2_dlc11_cst_shanty_shark_straight_seadogs	1990394491	wh2_dlc11_cst_mon_necrofex_colossus_0	0
wh2_dlc11_cst_shanty_dragon_spine_privateers	1994277006	wh_dlc05_wef_inf_wardancers_0	0
wh2_main_rogue_group_troll_skullz	1995577520	wh_main_grn_mon_trolls	5
wh2_dlc11_cst_rogue_terrors_of_the_dark_straights	1996745807	wh2_dlc11_cst_mon_rotting_prometheans_0	0
wh2_dlc09_rogue_pilgrims_of_myrmidia	1999818499	wh_dlc07_brt_cav_grail_guardians_0	5
wh2_main_rogue_group_1	20	wh_dlc01_chs_inf_chosen_2	6
wh2_main_rogue_group_scions_of_tesseninck	20045006	wh_main_emp_cav_outriders_1	0
wh2_dlc11_cst_rogue_grey_point_scuttlers	2008511699	wh2_main_skv_inf_warpfire_thrower	0
wh2_dlc11_cst_shanty_middle_sea_brigands	2015766459	wh_main_emp_art_mortar	0
wh2_main_rogue_group_morrsliebs_howlers	2024708762	wh_main_grn_inf_night_goblin_fanatics_1	7
wh2_dlc09_rogue_dwellers_of_zardok	202486549	wh_dlc03_bst_inf_minotaurs_1	5
wh2_main_rogue_group_black_spider_tribe	2036544124	wh_main_grn_cav_forest_goblin_spider_riders_1	8
wh2_dlc11_cst_rogue_terrors_of_the_dark_straights	2038525673	wh2_dlc11_cst_art_carronade	0
wh2_dlc09_rogue_black_creek_raiders	204687328	wh_dlc01_chs_mon_dragon_ogre_shaggoth	9
wh2_main_rogue_group_beastcatchas	2047218199	wh_dlc06_grn_inf_squig_herd_0	8
wh2_dlc11_cst_harpoon_the_sunken_land_corsairs	2051584503	wh2_main_def_inf_black_ark_corsairs_0	0
wh2_dlc11_cst_shanty_dragon_spine_privateers	2052067460	wh2_main_hef_mon_star_dragon	0
wh2_main_rogue_group_stuff_snatchers	2053712995	wh2_main_skv_inf_death_runners_0	6
wh2_dlc11_cst_rogue_freebooters_of_port_royale	2060918082	wh_main_emp_inf_spearmen_1	0
wh2_dlc11_cst_rogue_bleak_coast_buccaneers	206752306	wh_main_dwf_inf_slayers	0
wh2_main_rogue_group_vauls_expedition	2073420327	wh2_main_hef_inf_spearmen_0	0
wh2_main_rogue_group_mangy_houndz	2076730044	wh_main_grn_inf_goblin_archers	0
wh2_dlc11_cst_shanty_middle_sea_brigands	2083471662	wh_dlc08_nor_inf_marauder_berserkers_0	0
wh2_dlc11_cst_shanty_middle_sea_brigands	2091736748	wh_dlc08_nor_mon_skinwolves_1	0
wh2_main_rogue_group_vauls_expedition	21107522	wh2_main_hef_inf_spearmen_0	0
wh2_dlc11_cst_rogue_bleak_coast_buccaneers	2111627765	wh_main_dwf_inf_ironbreakers	0
