campaign_group_members_tables	1
DLC11_diplomacy_Subcult_VampireCoast_&_OtherFactionDwarf	DLC11_diplomacy_Subcult_VFA_Female_TheTerrorsOfTheDarkStraits_&_OtherFactionDwarf	0
DLC11_diplomacy_Subcult_VampireCoast_&_OtherFactionDwarf_&_Negative	DLC11_diplomacy_Subcult_VFA_Female_TheTerrorsOfTheDarkStraits_&_OtherFactionDwarf_&_Negative	0
DLC11_diplomacy_Subcult_VampireCoast_&_OtherFactionDwarf_&_Positive	DLC11_diplomacy_Subcult_VFA_Female_TheTerrorsOfTheDarkStraits_&_OtherFactionDwarf_&_Positive	0
DLC11_diplomacy_Subcult_VampireCoast_&_OtherFactionEmpire	DLC11_diplomacy_Subcult_VFA_Female_TheTerrorsOfTheDarkStraits_&_OtherFactionEmpire	0
DLC11_diplomacy_Subcult_VampireCoast_&_OtherFactionEmpire_&_Negative	DLC11_diplomacy_Subcult_VFA_Female_TheTerrorsOfTheDarkStraits_&_OtherFactionEmpire_&_Negative	0
DLC11_diplomacy_Subcult_VampireCoast_&_OtherFactionEmpire_&_Positive	DLC11_diplomacy_Subcult_VFA_Female_TheTerrorsOfTheDarkStraits_&_OtherFactionEmpire_&_Positive	0
DLC11_diplomacy_Subcult_VampireCoast_&_OtherFactionGreenskin	DLC11_diplomacy_Subcult_VFA_Female_TheTerrorsOfTheDarkStraits_&_OtherFactionGreenskin	0
DLC11_diplomacy_Subcult_VampireCoast_&_OtherFactionGreenskin_&_Negative	DLC11_diplomacy_Subcult_VFA_Female_TheTerrorsOfTheDarkStraits_&_OtherFactionGreenskin_&_Negative	0
DLC11_diplomacy_Subcult_VampireCoast_&_OtherFactionGreenskin_&_Positive	DLC11_diplomacy_Subcult_VFA_Female_TheTerrorsOfTheDarkStraits_&_OtherFactionGreenskin_&_Positive	0
DLC11_diplomacy_Subcult_VampireCoast_&_OtherFactionHighElves	DLC11_diplomacy_Subcult_VFA_Female_TheTerrorsOfTheDarkStraits_&_OtherFactionHighElves	0
DLC11_diplomacy_Subcult_VampireCoast_&_OtherFactionHighElves_&_Negative	DLC11_diplomacy_Subcult_VFA_Female_TheTerrorsOfTheDarkStraits_&_OtherFactionHighElves_&_Negative	0
DLC11_diplomacy_Subcult_VampireCoast_&_OtherFactionHighElves_&_Positive	DLC11_diplomacy_Subcult_VFA_Female_TheTerrorsOfTheDarkStraits_&_OtherFactionHighElves_&_Positive	0
DLC11_diplomacy_Subcult_VampireCoast_&_OtherFactionLizardmen	DLC11_diplomacy_Subcult_VFA_Female_TheTerrorsOfTheDarkStraits_&_OtherFactionLizardmen	0
DLC11_diplomacy_Subcult_VampireCoast_&_OtherFactionLizardmen_&_Negative	DLC11_diplomacy_Subcult_VFA_Female_TheTerrorsOfTheDarkStraits_&_OtherFactionLizardmen_&_Negative	0
DLC11_diplomacy_Subcult_VampireCoast_&_OtherFactionLizardmen_&_Positive	DLC11_diplomacy_Subcult_VFA_Female_TheTerrorsOfTheDarkStraits_&_OtherFactionLizardmen_&_Positive	0
DLC11_diplomacy_Subcult_VampireCoast_&_OtherFactionSkaven	DLC11_diplomacy_Subcult_VFA_Female_TheTerrorsOfTheDarkStraits_&_OtherFactionSkaven	0
DLC11_diplomacy_Subcult_VampireCoast_&_OtherFactionSkaven_&_Negative	DLC11_diplomacy_Subcult_VFA_Female_TheTerrorsOfTheDarkStraits_&_OtherFactionSkaven_&_Negative	0
DLC11_diplomacy_Subcult_VampireCoast_&_OtherFactionSkaven_&_Positive	DLC11_diplomacy_Subcult_VFA_Female_TheTerrorsOfTheDarkStraits_&_OtherFactionSkaven_&_Positive	0
DLC11_diplomacy_Subcult_VampireCoast_&_OtherFactionTombKings	DLC11_diplomacy_Subcult_VFA_Female_TheTerrorsOfTheDarkStraits_&_OtherFactionTombKings	0
DLC11_diplomacy_Subcult_VampireCoast_&_OtherFactionTombKings_&_Negative	DLC11_diplomacy_Subcult_VFA_Female_TheTerrorsOfTheDarkStraits_&_OtherFactionTombKings_&_Negative	0
DLC11_diplomacy_Subcult_VampireCoast_&_OtherFactionTombKings_&_Positive	DLC11_diplomacy_Subcult_VFA_Female_TheTerrorsOfTheDarkStraits_&_OtherFactionTombKings_&_Positive	0
DLC11_diplomacy_Subcult_VampireCoast_&_OtherFactionVamp	DLC11_diplomacy_Subcult_VFA_Female_TheTerrorsOfTheDarkStraits_&_OtherFactionVamp	0
DLC11_diplomacy_Subcult_VampireCoast_&_OtherFactionVamp_&_Negative	DLC11_diplomacy_Subcult_VFA_Female_TheTerrorsOfTheDarkStraits_&_OtherFactionVamp_&_Negative	0
DLC11_diplomacy_Subcult_VampireCoast_&_OtherFactionVamp_&_Positive	DLC11_diplomacy_Subcult_VFA_Female_TheTerrorsOfTheDarkStraits_&_OtherFactionVamp_&_Positive	0
DLC11_diplomacy_Subcult_VampireCoast_&_OtherFactionVampireCoast	DLC11_diplomacy_Subcult_VFA_Female_TheTerrorsOfTheDarkStraits_&_OtherFactionVampireCoast	0
DLC11_diplomacy_Subcult_VampireCoast_&_OtherFactionVampireCoast_&_Negative	DLC11_diplomacy_Subcult_VFA_Female_TheTerrorsOfTheDarkStraits_&_OtherFactionVampireCoast_&_Negative	0
DLC11_diplomacy_Subcult_VampireCoast_&_OtherFactionVampireCoast_&_Positive	DLC11_diplomacy_Subcult_VFA_Female_TheTerrorsOfTheDarkStraits_&_OtherFactionVampireCoast_&_Positive	0
DLC11_diplomacy_Subcult_VampireCoast_&_OtherFactionWoodElves	DLC11_diplomacy_Subcult_VFA_Female_TheTerrorsOfTheDarkStraits_&_OtherFactionWoodElves	0
DLC11_diplomacy_Subcult_VampireCoast_&_OtherFactionWoodElves_&_Negative	DLC11_diplomacy_Subcult_VFA_Female_TheTerrorsOfTheDarkStraits_&_OtherFactionWoodElves_&_Negative	0
DLC11_diplomacy_Subcult_VampireCoast_&_OtherFactionWoodElves_&_Positive	DLC11_diplomacy_Subcult_VFA_Female_TheTerrorsOfTheDarkStraits_&_OtherFactionWoodElves_&_Positive	0
DLC11_diplomacy_Subcult_VampireCoast_&_Positive	DLC11_diplomacy_Subcult_VFA_Female_TheTerrorsOfTheDarkStraits_&_Positive	0
DLC11_diplomacy_Subcult_VampireCoast	DLC11_diplomacy_Subcult_VampireCoast	0
DLC11_diplomacy_Subcult_VampireCoast_&_Negative	DLC11_diplomacy_Subcult_VampireCoast_&_Negative	0
DLC11_diplomacy_Subcult_VampireCoast_&_OtherFactionBeastmen	DLC11_diplomacy_Subcult_VampireCoast_&_OtherFactionBeastmen	0
DLC11_diplomacy_Subcult_VampireCoast_&_OtherFactionBeastmen_&_Negative	DLC11_diplomacy_Subcult_VampireCoast_&_OtherFactionBeastmen_&_Negative	0
DLC11_diplomacy_Subcult_VampireCoast_&_OtherFactionBeastmen_&_Positive	DLC11_diplomacy_Subcult_VampireCoast_&_OtherFactionBeastmen_&_Positive	0
DLC11_diplomacy_Subcult_VampireCoast_&_OtherFactionBretonnia	DLC11_diplomacy_Subcult_VampireCoast_&_OtherFactionBretonnia	0
DLC11_diplomacy_Subcult_VampireCoast_&_OtherFactionBretonnia_&_Negative	DLC11_diplomacy_Subcult_VampireCoast_&_OtherFactionBretonnia_&_Negative	0
DLC11_diplomacy_Subcult_VampireCoast_&_OtherFactionBretonnia_&_Positive	DLC11_diplomacy_Subcult_VampireCoast_&_OtherFactionBretonnia_&_Positive	0
DLC11_diplomacy_Subcult_VampireCoast_&_OtherFactionChaos	DLC11_diplomacy_Subcult_VampireCoast_&_OtherFactionChaos	0
DLC11_diplomacy_Subcult_VampireCoast_&_OtherFactionChaos_&_Negative	DLC11_diplomacy_Subcult_VampireCoast_&_OtherFactionChaos_&_Negative	0
DLC11_diplomacy_Subcult_VampireCoast_&_OtherFactionChaos_&_Positive	DLC11_diplomacy_Subcult_VampireCoast_&_OtherFactionChaos_&_Positive	0
DLC11_diplomacy_Subcult_VampireCoast_&_OtherFactionDarkElves	DLC11_diplomacy_Subcult_VampireCoast_&_OtherFactionDarkElves	0
DLC11_diplomacy_Subcult_VampireCoast_&_OtherFactionDarkElves_&_Negative	DLC11_diplomacy_Subcult_VampireCoast_&_OtherFactionDarkElves_&_Negative	0
DLC11_diplomacy_Subcult_VampireCoast_&_OtherFactionDarkElves_&_Positive	DLC11_diplomacy_Subcult_VampireCoast_&_OtherFactionDarkElves_&_Positive	0
DLC11_diplomacy_Subcult_VampireCoast_&_OtherFactionDwarf	DLC11_diplomacy_Subcult_VampireCoast_&_OtherFactionDwarf	0
DLC11_diplomacy_Subcult_VampireCoast_&_OtherFactionDwarf_&_Negative	DLC11_diplomacy_Subcult_VampireCoast_&_OtherFactionDwarf_&_Negative	0
DLC11_diplomacy_Subcult_VampireCoast_&_OtherFactionDwarf_&_Positive	DLC11_diplomacy_Subcult_VampireCoast_&_OtherFactionDwarf_&_Positive	0
DLC11_diplomacy_Subcult_VampireCoast_&_OtherFactionEmpire	DLC11_diplomacy_Subcult_VampireCoast_&_OtherFactionEmpire	0
DLC11_diplomacy_Subcult_VampireCoast_&_OtherFactionEmpire_&_Negative	DLC11_diplomacy_Subcult_VampireCoast_&_OtherFactionEmpire_&_Negative	0
DLC11_diplomacy_Subcult_VampireCoast_&_OtherFactionEmpire_&_Positive	DLC11_diplomacy_Subcult_VampireCoast_&_OtherFactionEmpire_&_Positive	0
DLC11_diplomacy_Subcult_VampireCoast_&_OtherFactionGreenskin	DLC11_diplomacy_Subcult_VampireCoast_&_OtherFactionGreenskin	0
DLC11_diplomacy_Subcult_VampireCoast_&_OtherFactionGreenskin_&_Negative	DLC11_diplomacy_Subcult_VampireCoast_&_OtherFactionGreenskin_&_Negative	0
DLC11_diplomacy_Subcult_VampireCoast_&_OtherFactionGreenskin_&_Positive	DLC11_diplomacy_Subcult_VampireCoast_&_OtherFactionGreenskin_&_Positive	0
DLC11_diplomacy_Subcult_VampireCoast_&_OtherFactionHighElves	DLC11_diplomacy_Subcult_VampireCoast_&_OtherFactionHighElves	0
DLC11_diplomacy_Subcult_VampireCoast_&_OtherFactionHighElves_&_Negative	DLC11_diplomacy_Subcult_VampireCoast_&_OtherFactionHighElves_&_Negative	0
DLC11_diplomacy_Subcult_VampireCoast_&_OtherFactionHighElves_&_Positive	DLC11_diplomacy_Subcult_VampireCoast_&_OtherFactionHighElves_&_Positive	0
DLC11_diplomacy_Subcult_VampireCoast_&_OtherFactionLizardmen	DLC11_diplomacy_Subcult_VampireCoast_&_OtherFactionLizardmen	0
DLC11_diplomacy_Subcult_VampireCoast_&_OtherFactionLizardmen_&_Negative	DLC11_diplomacy_Subcult_VampireCoast_&_OtherFactionLizardmen_&_Negative	0
DLC11_diplomacy_Subcult_VampireCoast_&_OtherFactionLizardmen_&_Positive	DLC11_diplomacy_Subcult_VampireCoast_&_OtherFactionLizardmen_&_Positive	0
DLC11_diplomacy_Subcult_VampireCoast_&_OtherFactionSkaven	DLC11_diplomacy_Subcult_VampireCoast_&_OtherFactionSkaven	0
DLC11_diplomacy_Subcult_VampireCoast_&_OtherFactionSkaven_&_Negative	DLC11_diplomacy_Subcult_VampireCoast_&_OtherFactionSkaven_&_Negative	0
DLC11_diplomacy_Subcult_VampireCoast_&_OtherFactionSkaven_&_Positive	DLC11_diplomacy_Subcult_VampireCoast_&_OtherFactionSkaven_&_Positive	0
DLC11_diplomacy_Subcult_VampireCoast_&_OtherFactionTombKings	DLC11_diplomacy_Subcult_VampireCoast_&_OtherFactionTombKings	0
DLC11_diplomacy_Subcult_VampireCoast_&_OtherFactionTombKings_&_Negative	DLC11_diplomacy_Subcult_VampireCoast_&_OtherFactionTombKings_&_Negative	0
DLC11_diplomacy_Subcult_VampireCoast_&_OtherFactionTombKings_&_Positive	DLC11_diplomacy_Subcult_VampireCoast_&_OtherFactionTombKings_&_Positive	0
DLC11_diplomacy_Subcult_VampireCoast_&_OtherFactionVamp	DLC11_diplomacy_Subcult_VampireCoast_&_OtherFactionVamp	0
DLC11_diplomacy_Subcult_VampireCoast_&_OtherFactionVamp_&_Negative	DLC11_diplomacy_Subcult_VampireCoast_&_OtherFactionVamp_&_Negative	0
DLC11_diplomacy_Subcult_VampireCoast_&_OtherFactionVamp_&_Positive	DLC11_diplomacy_Subcult_VampireCoast_&_OtherFactionVamp_&_Positive	0
DLC11_diplomacy_Subcult_VampireCoast_&_OtherFactionVampireCoast	DLC11_diplomacy_Subcult_VampireCoast_&_OtherFactionVampireCoast	0
DLC11_diplomacy_Subcult_VampireCoast_&_OtherFactionVampireCoast_&_Negative	DLC11_diplomacy_Subcult_VampireCoast_&_OtherFactionVampireCoast_&_Negative	0
DLC11_diplomacy_Subcult_VampireCoast_&_OtherFactionVampireCoast_&_Positive	DLC11_diplomacy_Subcult_VampireCoast_&_OtherFactionVampireCoast_&_Positive	0
DLC11_diplomacy_Subcult_VampireCoast_&_OtherFactionWoodElves	DLC11_diplomacy_Subcult_VampireCoast_&_OtherFactionWoodElves	0
DLC11_diplomacy_Subcult_VampireCoast_&_OtherFactionWoodElves_&_Negative	DLC11_diplomacy_Subcult_VampireCoast_&_OtherFactionWoodElves_&_Negative	0
DLC11_diplomacy_Subcult_VampireCoast_&_OtherFactionWoodElves_&_Positive	DLC11_diplomacy_Subcult_VampireCoast_&_OtherFactionWoodElves_&_Positive	0
DLC11_diplomacy_Subcult_VampireCoast_&_Positive	DLC11_diplomacy_Subcult_VampireCoast_&_Positive	0
diplomacy_Subcult_Greenskins	diplomacy_CultureGroup_Rogue_GRN_Faction_Beastcatchas	1
diplomacy_Subcult_Greenskins_&_Negative	diplomacy_CultureGroup_Rogue_GRN_Faction_Beastcatchas_&_Negative	2
diplomacy_Subcult_Greenskins_&_Positive	diplomacy_CultureGroup_Rogue_GRN_Faction_Beastcatchas_&_Positive	2
diplomacy_Subcult_Greenskins	diplomacy_CultureGroup_Rogue_GRN_Faction_BlackSpiderTribe	1
diplomacy_Subcult_Greenskins_&_Negative	diplomacy_CultureGroup_Rogue_GRN_Faction_BlackSpiderTribe_&_Negative	2
diplomacy_Subcult_Greenskins_&_Positive	diplomacy_CultureGroup_Rogue_GRN_Faction_BlackSpiderTribe_&_Positive	2
diplomacy_Subcult_Greenskins	diplomacy_CultureGroup_Rogue_GRN_Faction_MangyHoundz	1
diplomacy_Subcult_Greenskins_&_Negative	diplomacy_CultureGroup_Rogue_GRN_Faction_MangyHoundz_&_Negative	2
diplomacy_Subcult_Greenskins_&_Positive	diplomacy_CultureGroup_Rogue_GRN_Faction_MangyHoundz_&_Positive	2
diplomacy_Subcult_Greenskins	diplomacy_CultureGroup_Rogue_GRN_Faction_StuffSnatchers	1
diplomacy_Subcult_Greenskins_&_Negative	diplomacy_CultureGroup_Rogue_GRN_Faction_StuffSnatchers_&_Negative	2
diplomacy_Subcult_Greenskins_&_Positive	diplomacy_CultureGroup_Rogue_GRN_Faction_StuffSnatchers_&_Positive	2
diplomacy_Subcult_Greenskins	diplomacy_CultureGroup_Rogue_GRN_Faction_TeefSnatchaz	1
diplomacy_Subcult_Greenskins_&_Negative	diplomacy_CultureGroup_Rogue_GRN_Faction_TeefSnatchaz_&_Negative	2
diplomacy_Subcult_Greenskins_&_Positive	diplomacy_CultureGroup_Rogue_GRN_Faction_TeefSnatchaz_&_Positive	2
wh_dlc05_diplomacy_Subcult_WoodElves	diplomacy_CultureGroup_Rogue_WEF_Faction_WorldrootRangers	1
wh_dlc05_diplomacy_Subcult_WoodElves_&_Negative	diplomacy_CultureGroup_Rogue_WEF_Faction_WorldrootRangers_&_Negative	2
wh_dlc05_diplomacy_Subcult_WoodElves_&_Positive	diplomacy_CultureGroup_Rogue_WEF_Faction_WorldrootRangers_&_Positive	2
wh_dlc05_diplomacy_Subcult_WoodElves	diplomacy_CultureGroup_Rogue_WEF_Faction_WrathofNature	1
wh_dlc05_diplomacy_Subcult_WoodElves_&_Negative	diplomacy_CultureGroup_Rogue_WEF_Faction_WrathofNature_&_Negative	2
wh_dlc05_diplomacy_Subcult_WoodElves_&_Positive	diplomacy_CultureGroup_Rogue_WEF_Faction_WrathofNature_&_Positive	2
diplomacy_FactionGroup_DE_Dreadlord2	diplomacy_FactionGroup_DE_Dreadlord2_Faction_CultofExcess	8
diplomacy_FactionGroup_DE_Dreadlord2_&_Negative	diplomacy_FactionGroup_DE_Dreadlord2_Faction_CultofExcess_&_Negative	24
diplomacy_FactionGroup_DE_Dreadlord2_&_OtherFactionBeastmen	diplomacy_FactionGroup_DE_Dreadlord2_Faction_CultofExcess_&_OtherFactionBeastmen	9
diplomacy_FactionGroup_DE_Dreadlord2_&_OtherFactionBeastmen_&_Negative	diplomacy_FactionGroup_DE_Dreadlord2_Faction_CultofExcess_&_OtherFactionBeastmen_&_Negative	25
diplomacy_FactionGroup_DE_Dreadlord2_&_OtherFactionBeastmen_&_Positive	diplomacy_FactionGroup_DE_Dreadlord2_Faction_CultofExcess_&_OtherFactionBeastmen_&_Positive	25
diplomacy_FactionGroup_DE_Dreadlord2_&_OtherFactionBretonnia	diplomacy_FactionGroup_DE_Dreadlord2_Faction_CultofExcess_&_OtherFactionBretonnia	9
diplomacy_FactionGroup_DE_Dreadlord2_&_OtherFactionBretonnia_&_Negative	diplomacy_FactionGroup_DE_Dreadlord2_Faction_CultofExcess_&_OtherFactionBretonnia_&_Negative	25
diplomacy_FactionGroup_DE_Dreadlord2_&_OtherFactionBretonnia_&_Positive	diplomacy_FactionGroup_DE_Dreadlord2_Faction_CultofExcess_&_OtherFactionBretonnia_&_Positive	25
diplomacy_FactionGroup_DE_Dreadlord2_&_OtherFactionChaos	diplomacy_FactionGroup_DE_Dreadlord2_Faction_CultofExcess_&_OtherFactionChaos	9
diplomacy_FactionGroup_DE_Dreadlord2_&_OtherFactionChaos_&_Negative	diplomacy_FactionGroup_DE_Dreadlord2_Faction_CultofExcess_&_OtherFactionChaos_&_Negative	25
diplomacy_FactionGroup_DE_Dreadlord2_&_OtherFactionChaos_&_Positive	diplomacy_FactionGroup_DE_Dreadlord2_Faction_CultofExcess_&_OtherFactionChaos_&_Positive	25
diplomacy_FactionGroup_DE_Dreadlord2_&_OtherFactionDarkElves	diplomacy_FactionGroup_DE_Dreadlord2_Faction_CultofExcess_&_OtherFactionDarkElves	9
diplomacy_FactionGroup_DE_Dreadlord2_&_OtherFactionDarkElves_&_Negative	diplomacy_FactionGroup_DE_Dreadlord2_Faction_CultofExcess_&_OtherFactionDarkElves_&_Negative	25
diplomacy_FactionGroup_DE_Dreadlord2_&_OtherFactionDarkElves_&_Positive	diplomacy_FactionGroup_DE_Dreadlord2_Faction_CultofExcess_&_OtherFactionDarkElves_&_Positive	25
diplomacy_FactionGroup_DE_Dreadlord2_&_OtherFactionDwarf	diplomacy_FactionGroup_DE_Dreadlord2_Faction_CultofExcess_&_OtherFactionDwarf	9
diplomacy_FactionGroup_DE_Dreadlord2_&_OtherFactionDwarf_&_Negative	diplomacy_FactionGroup_DE_Dreadlord2_Faction_CultofExcess_&_OtherFactionDwarf_&_Negative	25
diplomacy_FactionGroup_DE_Dreadlord2_&_OtherFactionDwarf_&_Positive	diplomacy_FactionGroup_DE_Dreadlord2_Faction_CultofExcess_&_OtherFactionDwarf_&_Positive	25
diplomacy_FactionGroup_DE_Dreadlord2_&_OtherFactionEmpire	diplomacy_FactionGroup_DE_Dreadlord2_Faction_CultofExcess_&_OtherFactionEmpire	9
diplomacy_FactionGroup_DE_Dreadlord2_&_OtherFactionEmpire_&_Negative	diplomacy_FactionGroup_DE_Dreadlord2_Faction_CultofExcess_&_OtherFactionEmpire_&_Negative	25
diplomacy_FactionGroup_DE_Dreadlord2_&_OtherFactionEmpire_&_Positive	diplomacy_FactionGroup_DE_Dreadlord2_Faction_CultofExcess_&_OtherFactionEmpire_&_Positive	25
diplomacy_FactionGroup_DE_Dreadlord2_&_OtherFactionGreenskin	diplomacy_FactionGroup_DE_Dreadlord2_Faction_CultofExcess_&_OtherFactionGreenskin	9
diplomacy_FactionGroup_DE_Dreadlord2_&_OtherFactionGreenskin_&_Negative	diplomacy_FactionGroup_DE_Dreadlord2_Faction_CultofExcess_&_OtherFactionGreenskin_&_Negative	25
diplomacy_FactionGroup_DE_Dreadlord2_&_OtherFactionGreenskin_&_Positive	diplomacy_FactionGroup_DE_Dreadlord2_Faction_CultofExcess_&_OtherFactionGreenskin_&_Positive	25
diplomacy_FactionGroup_DE_Dreadlord2_&_OtherFactionHighElves	diplomacy_FactionGroup_DE_Dreadlord2_Faction_CultofExcess_&_OtherFactionHighElves	9
diplomacy_FactionGroup_DE_Dreadlord2_&_OtherFactionHighElves_&_Negative	diplomacy_FactionGroup_DE_Dreadlord2_Faction_CultofExcess_&_OtherFactionHighElves_&_Negative	25
diplomacy_FactionGroup_DE_Dreadlord2_&_OtherFactionHighElves_&_Positive	diplomacy_FactionGroup_DE_Dreadlord2_Faction_CultofExcess_&_OtherFactionHighElves_&_Positive	25
diplomacy_FactionGroup_DE_Dreadlord2_&_OtherFactionLizardmen	diplomacy_FactionGroup_DE_Dreadlord2_Faction_CultofExcess_&_OtherFactionLizardmen	9
diplomacy_FactionGroup_DE_Dreadlord2_&_OtherFactionLizardmen_&_Negative	diplomacy_FactionGroup_DE_Dreadlord2_Faction_CultofExcess_&_OtherFactionLizardmen_&_Negative	25
diplomacy_FactionGroup_DE_Dreadlord2_&_OtherFactionLizardmen_&_Positive	diplomacy_FactionGroup_DE_Dreadlord2_Faction_CultofExcess_&_OtherFactionLizardmen_&_Positive	25
diplomacy_FactionGroup_DE_Dreadlord2_&_OtherFactionSkaven	diplomacy_FactionGroup_DE_Dreadlord2_Faction_CultofExcess_&_OtherFactionSkaven	9
diplomacy_FactionGroup_DE_Dreadlord2_&_OtherFactionSkaven_&_Negative	diplomacy_FactionGroup_DE_Dreadlord2_Faction_CultofExcess_&_OtherFactionSkaven_&_Negative	25
diplomacy_FactionGroup_DE_Dreadlord2_&_OtherFactionSkaven_&_Positive	diplomacy_FactionGroup_DE_Dreadlord2_Faction_CultofExcess_&_OtherFactionSkaven_&_Positive	25
diplomacy_FactionGroup_DE_Dreadlord2_&_OtherFactionTombKings	diplomacy_FactionGroup_DE_Dreadlord2_Faction_CultofExcess_&_OtherFactionTombKings	9
diplomacy_FactionGroup_DE_Dreadlord2_&_OtherFactionTombKings_&_Negative	diplomacy_FactionGroup_DE_Dreadlord2_Faction_CultofExcess_&_OtherFactionTombKings_&_Negative	25
diplomacy_FactionGroup_DE_Dreadlord2_&_OtherFactionTombKings_&_Positive	diplomacy_FactionGroup_DE_Dreadlord2_Faction_CultofExcess_&_OtherFactionTombKings_&_Positive	25
diplomacy_FactionGroup_DE_Dreadlord2_&_OtherFactionVamp	diplomacy_FactionGroup_DE_Dreadlord2_Faction_CultofExcess_&_OtherFactionVamp	9
diplomacy_FactionGroup_DE_Dreadlord2_&_OtherFactionVamp_&_Negative	diplomacy_FactionGroup_DE_Dreadlord2_Faction_CultofExcess_&_OtherFactionVamp_&_Negative	25
diplomacy_FactionGroup_DE_Dreadlord2_&_OtherFactionVamp_&_Positive	diplomacy_FactionGroup_DE_Dreadlord2_Faction_CultofExcess_&_OtherFactionVamp_&_Positive	25
diplomacy_FactionGroup_DE_Dreadlord2_&_OtherFactionWoodElves	diplomacy_FactionGroup_DE_Dreadlord2_Faction_CultofExcess_&_OtherFactionWoodElves	9
diplomacy_FactionGroup_DE_Dreadlord2_&_OtherFactionWoodElves_&_Negative	diplomacy_FactionGroup_DE_Dreadlord2_Faction_CultofExcess_&_OtherFactionWoodElves_&_Negative	25
diplomacy_FactionGroup_DE_Dreadlord2_&_OtherFactionWoodElves_&_Positive	diplomacy_FactionGroup_DE_Dreadlord2_Faction_CultofExcess_&_OtherFactionWoodElves_&_Positive	25
diplomacy_FactionGroup_DE_Dreadlord2_&_Positive	diplomacy_FactionGroup_DE_Dreadlord2_Faction_CultofExcess_&_Positive	24
diplomacy_FactionGroup_DE_Dreadlord2	diplomacy_FactionGroup_DE_Dreadlord2_Faction_TheSunkenLandCorsairs	8
diplomacy_FactionGroup_DE_Dreadlord2_&_Negative	diplomacy_FactionGroup_DE_Dreadlord2_Faction_TheSunkenLandCorsairs_&_Negative	24
diplomacy_FactionGroup_DE_Dreadlord2_&_OtherFactionBeastmen	diplomacy_FactionGroup_DE_Dreadlord2_Faction_TheSunkenLandCorsairs_&_OtherFactionBeastmen	9
diplomacy_FactionGroup_DE_Dreadlord2_&_OtherFactionBeastmen_&_Negative	diplomacy_FactionGroup_DE_Dreadlord2_Faction_TheSunkenLandCorsairs_&_OtherFactionBeastmen_&_Negative	25
diplomacy_FactionGroup_DE_Dreadlord2_&_OtherFactionBeastmen_&_Positive	diplomacy_FactionGroup_DE_Dreadlord2_Faction_TheSunkenLandCorsairs_&_OtherFactionBeastmen_&_Positive	25
diplomacy_FactionGroup_DE_Dreadlord2_&_OtherFactionBretonnia	diplomacy_FactionGroup_DE_Dreadlord2_Faction_TheSunkenLandCorsairs_&_OtherFactionBretonnia	9
